"","p.adj","p.vec","reg.mat"
"ADAMTS1:FAM129A",0,0,0.848039215686275
"ADNP:CDIPT",0,0,-0.857843137254902
"ADNP:HIPK1",0,0,0.924019607843137
"ADNP:NAA50",0,0,0.91421568627451
"ADNP:NEK1",0,0,0.848039215686275
"ADNP:OGT",0,0,0.855392156862745
"ADNP:PUM2",0,0,0.852941176470588
"ADNP:RPRD1A",0,0,0.872549019607843
"ADNP:TXN2",0,0,-0.862745098039216
"ANKRD10:CLK4",0,0,0.850490196078431
"ANKRD10:PNN",0,0,0.911764705882353
"ANKRD28:BCLAF1",0,0,0.845588235294118
"ANKRD28:BNIP3",0,0,0.887254901960784
"ANKRD28:C6orf120",0,0,0.906862745098039
"ANKRD28:LRBA",0,0,0.862745098039216
"ANKRD28:MAP4K3",0,0,0.894607843137255
"ANKRD28:PLCB1",0,0,0.901960784313726
"ANKRD28:SLC12A5",0,0,0.894607843137255
"ANKRD28:TMOD2",0,0,0.884803921568628
"ANKRD28:TRAK1",0,0,0.879901960784314
"ARMC1:BCLAF1",0,0,0.877450980392157
"ARMC1:C6orf120",0,0,0.875
"ARMC1:ESRRG",0,0,0.860294117647059
"ARMC1:PLCB1",0,0,0.862745098039216
"ARMC1:TMOD2",0,0,0.86764705882353
"ASXL2:HIPK1",0,0,0.845588235294118
"ASXL2:NUP43",0,0,-0.884803921568628
"ATF7IP:ADAM17",0,0,0.850490196078431
"ATF7IP:CDIPT",0,0,-0.852941176470588
"ATF7IP:HIPK1",0,0,0.887254901960784
"BCLAF1:C6orf120",0,0,0.906862745098039
"BCLAF1:PLCB1",0,0,0.901960784313726
"BCLAF1:TMOD2",0,0,0.899509803921569
"BNIP3:BCLAF1",0,0,0.860294117647059
"BNIP3:C6orf120",0,0,0.919117647058824
"BNIP3:LRBA",0,0,0.855392156862745
"BNIP3:PLCB1",0,0,0.865196078431373
"BNIP3:TMOD2",0,0,0.926470588235294
"BTG1:KCNAB1",0,0,-0.865196078431373
"BTG1:PLCB1",0,0,-0.870098039215686
"C6orf120:PLCB1",0,0,0.894607843137255
"C6orf120:TMOD2",0,0,0.906862745098039
"CALD1:RAP1A",0,0,0.870098039215686
"CALD1:ROCK1",0,0,0.882352941176471
"CALD1:TBC1D2B",0,0,0.865196078431373
"CBLB:NCOA6",0,0,0.889705882352941
"CCNL1:TSPYL5",0,0,-0.884803921568628
"CDIPT:DOLPP1",0,0,0.906862745098039
"CDIPT:HIPK1",0,0,-0.892156862745098
"CDIPT:NAA50",0,0,-0.870098039215686
"CEBPZ:ATF7IP",0,0,0.850490196078431
"CEBPZ:BCLAF1",0,0,0.877450980392157
"CEBPZ:CDIPT",0,0,-0.904411764705882
"CEBPZ:CPSF6",0,0,0.848039215686275
"CEBPZ:HIPK1",0,0,0.860294117647059
"CEBPZ:ICE1",0,0,0.897058823529412
"CEBPZ:MAP3K7",0,0,0.911764705882353
"CEBPZ:MON2",0,0,0.857843137254902
"CEBPZ:NAA50",0,0,0.901960784313726
"CEBPZ:NBR1",0,0,0.948529411764706
"CEBPZ:OAT",0,0,0.857843137254902
"CEBPZ:PHKB",0,0,0.862745098039216
"CEBPZ:POT1",0,0,0.887254901960784
"CEBPZ:TMOD2",0,0,0.906862745098039
"CEBPZ:TXN2",0,0,-0.860294117647059
"CEBPZ:WDR11",0,0,0.904411764705882
"CLK4:CRLF3",0,0,0.848039215686275
"CNOT1:BCLAF1",0,0,0.865196078431373
"CNOT1:BNIP3",0,0,0.852941176470588
"CNOT1:CDIPT",0,0,-0.872549019607843
"CNOT1:CEBPZ",0,0,0.921568627450981
"CNOT1:GIPC1",0,0,-0.889705882352941
"CNOT1:ICE1",0,0,0.875
"CNOT1:MON2",0,0,0.855392156862745
"CNOT1:NAA50",0,0,0.862745098039216
"CNOT1:NBR1",0,0,0.919117647058824
"CNOT1:PPP1R12B",0,0,0.857843137254902
"CNOT1:TMOD2",0,0,0.892156862745098
"CNOT1:TXN2",0,0,-0.865196078431373
"CNOT1:WDR11",0,0,0.906862745098039
"COX5A:SAMM50",0,0,0.862745098039216
"CPOX:SRSF4",0,0,0.86764705882353
"CPSF6:NAA50",0,0,0.897058823529412
"CPSF6:RPRD1A",0,0,0.86764705882353
"CRISPLD2:SAT1",0,0,0.862745098039216
"CRISPLD2:U2SURP",0,0,-0.855392156862745
"DENND4A:AMD1",0,0,0.852941176470588
"DENND4A:ATF7IP",0,0,0.860294117647059
"DENND4A:CDIPT",0,0,-0.862745098039216
"DENND4A:CEBPZ",0,0,0.872549019607843
"DENND4A:CPSF6",0,0,0.931372549019608
"DENND4A:DOLPP1",0,0,-0.852941176470588
"DENND4A:GIPC1",0,0,-0.857843137254902
"DENND4A:HIPK1",0,0,0.850490196078431
"DENND4A:MAP3K7",0,0,0.848039215686275
"DENND4A:NAA50",0,0,0.904411764705882
"DENND4A:NBR1",0,0,0.860294117647059
"DENND4A:OGT",0,0,0.855392156862745
"DENND4A:RPRD1A",0,0,0.882352941176471
"DHX29:PHKB",0,0,0.845588235294118
"DIDO1:PPP3CA",0,0,-0.845588235294118
"DOLPP1:HIPK1",0,0,-0.887254901960784
"DOLPP1:NAA50",0,0,-0.870098039215686
"ENPP2:TMEM38B",0,0,0.845588235294118
"FAM65B:BNIP3",0,0,0.850490196078431
"GDI1:CEP170B",0,0,0.857843137254902
"GIPC1:ABI1",0,0,-0.860294117647059
"GIPC1:BCLAF1",0,0,-0.91421568627451
"GIPC1:BNIP3",0,0,-0.862745098039216
"GIPC1:C6orf120",0,0,-0.857843137254902
"GIPC1:CDIPT",0,0,0.848039215686275
"GIPC1:CEBPZ",0,0,-0.943627450980392
"GIPC1:ICE1",0,0,-0.919117647058824
"GIPC1:MAP3K7",0,0,-0.884803921568628
"GIPC1:NAA50",0,0,-0.882352941176471
"GIPC1:NBR1",0,0,-0.924019607843137
"GIPC1:OAT",0,0,-0.850490196078431
"GIPC1:PHKB",0,0,-0.946078431372549
"GIPC1:RBM12",0,0,-0.877450980392157
"GIPC1:TGOLN2",0,0,-0.899509803921569
"GIPC1:TMOD2",0,0,-0.926470588235294
"GIPC1:WDR11",0,0,-0.875
"GNB5:PLCB1",0,0,0.919117647058824
"HABP4:NDEL1",0,0,0.845588235294118
"HABP4:RCN2",0,0,0.850490196078431
"HCFC2:ICE1",0,0,0.852941176470588
"HCFC2:KRIT1",0,0,0.852941176470588
"HCFC2:LRBA",0,0,0.882352941176471
"HCFC2:NBR1",0,0,0.862745098039216
"HCFC2:SEC24A",0,0,0.882352941176471
"HCFC2:ZNF12",0,0,0.857843137254902
"ICE1:ANKRD28",0,0,0.901960784313726
"ICE1:ARMC1",0,0,0.875
"ICE1:BCLAF1",0,0,0.892156862745098
"ICE1:BNIP3",0,0,0.936274509803922
"ICE1:C6orf120",0,0,0.919117647058824
"ICE1:KRIT1",0,0,0.850490196078431
"ICE1:LRBA",0,0,0.906862745098039
"ICE1:MAP4K3",0,0,0.877450980392157
"ICE1:NAA50",0,0,0.884803921568628
"ICE1:NBR1",0,0,0.882352941176471
"ICE1:NDEL1",0,0,0.870098039215686
"ICE1:OAT",0,0,0.892156862745098
"ICE1:PLCB1",0,0,0.894607843137255
"ICE1:RBM12",0,0,0.91421568627451
"ICE1:SLC11A2",0,0,0.845588235294118
"ICE1:TGOLN2",0,0,0.946078431372549
"ICE1:TRAK1",0,0,0.897058823529412
"ICE1:TSPYL5",0,0,0.86764705882353
"IFITM2:U2SURP",0,0,-0.860294117647059
"KCNAB1:GNB5",0,0,0.86764705882353
"KCNAB1:PLCB1",0,0,0.892156862745098
"KCNE4:SAT1",0,0,0.845588235294118
"KCNE4:U2SURP",0,0,-0.892156862745098
"KCTD12:LPCAT4",0,0,-0.860294117647059
"KRIT1:ESRRG",0,0,0.865196078431373
"KRIT1:LRBA",0,0,0.882352941176471
"KRIT1:TRAK1",0,0,0.872549019607843
"LAPTM5:HCLS1",0,0,0.862745098039216
"LRBA:C6orf120",0,0,0.882352941176471
"LRBA:TMOD2",0,0,0.879901960784314
"LRCH3:RCN2",0,0,-0.887254901960784
"LRCH3:ROCK1",0,0,0.879901960784314
"LRCH3:SSFA2",0,0,0.906862745098039
"LRCH3:VDAC1",0,0,-0.877450980392157
