"SUID","name","selected","shared name"
"9972743","NOTCH3","false","NOTCH3"
"9972745","AAAS","false","AAAS"
"9972622","PCMT1","false","PCMT1"
"9972729","CASP10","false","CASP10"
"9972601","MAPRE2","false","MAPRE2"
"9972734","EFEMP2","false","EFEMP2"
"9972720","ZC3H15","false","ZC3H15"
"9972592","RPA3","false","RPA3"
"9972725","ATP6V1E1","false","ATP6V1E1"
"9972726","BCL2","false","BCL2"
"9972598","KIF3A","false","KIF3A"
"9972648","PSMD6","false","PSMD6"
"9972650","DDX1","false","DDX1"
"9972651","RANBP6","false","RANBP6"
"9972654","RASA1","false","RASA1"
"9972639","PPP3CA","false","PPP3CA"
"9972641","PSMD1","false","PSMD1"
"9972643","GARS","false","GARS"
"9972631","PDHB","false","PDHB"
"9972634","DDB1","false","DDB1"
"9972635","PFN2","false","PFN2"
"9972638","OAT","false","OAT"
"9972752","YBX1","false","YBX1"
"9972625","MORF4L1","false","MORF4L1"
"9972628","RAN","false","RAN"
"9972551","SARAF","false","SARAF"
"9972680","ADAM15","false","ADAM15"
"9972681","U2AF2","false","U2AF2"
"9972683","UBE2D2","false","UBE2D2"
"9972556","RNF11","false","RNF11"
"9972685","COPS5","false","COPS5"
"9972557","BCAS2","false","BCAS2"
"9972686","UBE2V2","false","UBE2V2"
"9972672","SUMO1","false","SUMO1"
"9972544","YWHAQ","false","YWHAQ"
"9972674","TMEM30A","false","TMEM30A"
"9972546","ARMC1","false","ARMC1"
"9972547","ATP6V1A","false","ATP6V1A"
"9972676","TXNL1","false","TXNL1"
"9972549","CDC123","false","CDC123"
"9972678","PSMC2","false","PSMC2"
"9972536","NDFIP1","false","NDFIP1"
"9972665","SNAP25","false","SNAP25"
"9972537","ARL1","false","ARL1"
"9972539","PJA2","false","PJA2"
"9972668","SNAP91","false","SNAP91"
"9972670","STAU1","false","STAU1"
"9972542","TAX1BP1","false","TAX1BP1"
"9972657","RNF14","false","RNF14"
"9972530","PSMC6","false","PSMC6"
"9972531","AGTPBP1","false","AGTPBP1"
"9972660","SKIV2L2","false","SKIV2L2"
"9972533","PAFAH1B1","false","PAFAH1B1"
"9972534","ANK2","false","ANK2"
"9972711","CLCN6","false","CLCN6"
"9972587","CHCHD2","false","CHCHD2"
"9972588","HINT1","false","HINT1"
"9972590","GOT1","false","GOT1"
"9972575","EPS15","false","EPS15"
"9972704","VDAC2","false","VDAC2"
"9972577","STK39","false","STK39"
"9972706","ARL6IP5","false","ARL6IP5"
"9972707","VPS35","false","VPS35"
"9972579","TBK1","false","TBK1"
"9972695","USP14","false","USP14"
"9972697","WASF1","false","WASF1"
"9972699","VDAC3","false","VDAC3"
"9972559","CDC42","false","CDC42"
"9972689","DNM1L","false","DNM1L"
"9972561","ANKMY2","false","ANKMY2"
"9972562","COPS2","false","COPS2"
"9972564","CUL1","false","CUL1"
