SUID,interaction,name,p.adj,p.vec,reg.mat,selected,shared interaction,shared name,X,Gene1,Gene2
9968810,interacts with,ADAM15 (interacts with) U2AF2,0.872262273,0.168118035,0.538931818,FALSE,interacts with,ADAM15 (interacts with) U2AF2,U2AF2:ADAM15,U2AF2,ADAM15
9968813,interacts with,TBK1 (interacts with) TIA1,0.197267262,0.048015873,0.747058824,FALSE,interacts with,TBK1 (interacts with) TIA1,TIA1:TBK1,TIA1,TBK1
9968814,interacts with,TBK1 (interacts with) EPS15,0.144518824,0.023809524,0.770588235,FALSE,interacts with,TBK1 (interacts with) EPS15,EPS15:TBK1,EPS15,TBK1
9968802,interacts with,CLCN6 (interacts with) VPS35,0.846554538,0.114980159,0.619047619,FALSE,interacts with,CLCN6 (interacts with) VPS35,VPS35:CLCN6,VPS35,CLCN6
9968805,interacts with,ATP6V1A (interacts with) VPS35,0.71346315,0.021775794,0.80952381,FALSE,interacts with,ATP6V1A (interacts with) VPS35,VPS35:ATP6V1A,VPS35,ATP6V1A
9968839,interacts with,RTCA (interacts with) GABRG2,0.071858659,0.002777778,0.964285714,FALSE,interacts with,RTCA (interacts with) GABRG2,GABRG2:RTCA,GABRG2,RTCA
9968840,interacts with,RTCA (interacts with) EFEMP2,0.448780165,0.235714286,-0.517156863,FALSE,interacts with,RTCA (interacts with) EFEMP2,EFEMP2:RTCA,EFEMP2,RTCA
9968841,interacts with,RTCA (interacts with) NPEPPS,0.872262273,0.168118035,0.813186813,FALSE,interacts with,RTCA (interacts with) NPEPPS,NPEPPS:RTCA,NPEPPS,RTCA
9968842,interacts with,ZFPM2 (interacts with) HERC1,0.764862125,0.037509541,0.73565212,FALSE,interacts with,ZFPM2 (interacts with) HERC1,HERC1:ZFPM2,HERC1,ZFPM2
9968843,interacts with,ZFPM2 (interacts with) RPS24,0.71346315,0.021775794,-0.758241758,FALSE,interacts with,ZFPM2 (interacts with) RPS24,RPS24:ZFPM2,RPS24,ZFPM2
9968832,interacts with,DAAM2 (interacts with) RPS4X,0.8386611,0.096180556,0.520971443,FALSE,interacts with,DAAM2 (interacts with) RPS4X,RPS4X:DAAM2,RPS4X,DAAM2
9968833,interacts with,CCDC6 (interacts with) DLG2,0.745690873,0.027926587,0.785714286,FALSE,interacts with,CCDC6 (interacts with) DLG2,DLG2:CCDC6,DLG2,CCDC6
9968825,interacts with,PRKCE (interacts with) VDAC3,0.071858659,0.002777778,-0.964285714,FALSE,interacts with,PRKCE (interacts with) VDAC3,VDAC3:PRKCE,VDAC3,PRKCE
9968828,interacts with,SEC23IP (interacts with) WASF2,0.782649554,0.049628261,0.582417582,FALSE,interacts with,SEC23IP (interacts with) WASF2,WASF2:SEC23IP,WASF2,SEC23IP
9968829,interacts with,ECT2 (interacts with) GULP1,0.575659484,0.004563492,0.585784314,FALSE,interacts with,ECT2 (interacts with) GULP1,GULP1:ECT2,GULP1,ECT2
9968815,interacts with,DDX1 (interacts with) UBE2V2,0.168425923,0.034126984,0.642857143,FALSE,interacts with,DDX1 (interacts with) UBE2V2,UBE2V2:DDX1,UBE2V2,DDX1
9968816,interacts with,DDX1 (interacts with) MYH10,0.86360028,0.123342169,0.590404299,FALSE,interacts with,DDX1 (interacts with) MYH10,MYH10:DDX1,MYH10,DDX1
9968817,interacts with,DDX1 (interacts with) AKAP12,0.265737006,0.088095238,0.774725275,FALSE,interacts with,DDX1 (interacts with) AKAP12,AKAP12:DDX1,AKAP12,DDX1
9968818,interacts with,DDX1 (interacts with) TUBA1B,0.144518824,0.023809524,0.68627451,FALSE,interacts with,DDX1 (interacts with) TUBA1B,TUBA1B:DDX1,TUBA1B,DDX1
9968819,interacts with,DDX1 (interacts with) RANBP6,0.144518824,0.023809524,0.75,FALSE,interacts with,DDX1 (interacts with) RANBP6,RANBP6:DDX1,RANBP6,DDX1
9968820,interacts with,DDX1 (interacts with) PFN2,0.144518824,0.023809524,0.730769231,FALSE,interacts with,DDX1 (interacts with) PFN2,PFN2:DDX1,PFN2,DDX1
9968822,interacts with,GNG3 (interacts with) NDEL1,0.230751883,0.066269841,0.964285714,FALSE,interacts with,GNG3 (interacts with) NDEL1,NDEL1:GNG3,NDEL1,GNG3
9968874,interacts with,BRMS1 (interacts with) DAAM2,0.891347804,0.196626984,-0.523809524,FALSE,interacts with,BRMS1 (interacts with) DAAM2,DAAM2:BRMS1,DAAM2,BRMS1
9968875,interacts with,PLD2 (interacts with) ADAMTSL4,0.089107644,0.006746032,0.928571429,FALSE,interacts with,PLD2 (interacts with) ADAMTSL4,ADAMTSL4:PLD2,ADAMTSL4,PLD2
9968876,interacts with,PLD2 (interacts with) MYH10,0.337886344,0.138888889,-0.56127451,FALSE,interacts with,PLD2 (interacts with) MYH10,MYH10:PLD2,MYH10,PLD2
9968878,interacts with,COPS5 (interacts with) UBE2V2,0.846554538,0.108350063,0.514705882,FALSE,interacts with,COPS5 (interacts with) UBE2V2,UBE2V2:COPS5,UBE2V2,COPS5
