Row.names,reg.mat,C9,sALS,FTLD,VCP,PET,RAV,
AAAS (interacts with) AGTPBP1,-0.60000,-0.65869,-0.71429,-0.56765,-0.60000,-0.80637,-0.57143,
AAAS (interacts with) PCMT1,-0.58242,-0.56288,-0.64286,-0.54118,-1.00000,-0.81127,-0.58242,
AAAS (interacts with) SARS,-0.76648,-0.76648,-0.85714,-0.57941,-0.80000,-0.63725,-0.62088,
ACAT2 (interacts with) COPS4,0.73284,0.73810,-0.85714,0.80000,0.80000,0.73284,0.54396,
ACAT2 (interacts with) TUBA1A,0.84314,0.54762,0.64286,0.76471,1.00000,0.84314,0.64835,
ACAT2 (interacts with) TUBB2A,0.77353,0.66667,0.64286,0.77353,1.00000,0.68873,0.65934,
ADAM15 (interacts with) U2AF2,0.76923,0.53893,0.89286,0.77941,0.80000,0.68627,0.76923,
ADSL (interacts with) FH,0.61765,0.91020,0.89286,0.61765,1.00000,0.51961,0.53846,
AMPH (interacts with) CFLAR,-0.85714,-0.52381,-0.85714,-0.81176,-0.60000,-0.72304,-0.67582,
AMPH (interacts with) CYFIP2,0.78571,0.52381,0.78571,0.96176,1.00000,0.90441,0.65385,
ANK2 (interacts with) TIMP2,-0.55495,0.68313,0.67857,-0.53529,0.80000,0.68382,-0.55495,
ANKMY2 (interacts with) VPS35,0.80000,0.58684,0.92857,0.91471,0.80000,0.87745,0.67033,
ANKMY2 (interacts with) VPS45,0.82418,0.94612,0.96429,-0.64118,-0.60000,0.67157,0.82418,
ANKMY2 (interacts with) ZC3H15,0.80000,0.75450,0.78571,0.85588,0.80000,0.84804,0.68132,
ARL6IP5 (interacts with) VPS35,0.55637,0.54762,1.00000,0.75000,0.80000,0.55637,0.82967,
ARMC1 (interacts with) PSMD6,0.80000,0.90476,0.57143,0.69706,0.80000,0.61520,0.81868,
ARMC1 (interacts with) U2AF2,-1.00000,-0.76648,-0.92857,-0.76176,-1.00000,-0.85294,-0.54945,
ARMC1 (interacts with) UBE2V2,-0.60000,0.75632,0.96429,0.96765,-0.60000,0.79902,0.70330,
ATP6V1B2 (interacts with) AMPH,0.60000,0.54762,0.85714,0.95000,0.60000,0.85049,0.64835,
ATP6V1B2 (interacts with) CYFIP2,0.60000,0.59524,0.85714,0.90588,0.60000,0.90196,0.55495,
ATP6V1B2 (interacts with) DLG2,0.69231,0.73810,0.92857,0.79706,-1.00000,0.69608,0.69231,
ATP6V1B2 (interacts with) EPRS,1.00000,0.59524,0.92857,-0.56471,1.00000,0.70588,0.88462,
ATP6V1B2 (interacts with) GAB1,-0.80220,0.58684,-0.92857,-0.52059,-1.00000,-0.61275,-0.80220,
ATP6V1B2 (interacts with) PSMD1,0.75000,0.66667,0.75000,0.92647,0.80000,0.89951,0.73626,
ATP6V1B2 (interacts with) RNF41,0.61905,0.61905,0.71429,0.93824,0.80000,0.91667,0.57692,
ATP6V1B2 (interacts with) VPS35,0.80000,0.71429,0.96429,0.97059,0.80000,0.85784,0.96703,
ATP6V1E1 (interacts with) HPRT1,0.79167,0.71429,0.92857,0.97353,0.80000,0.79167,0.57692,
ATP6V1E1 (interacts with) SRSF7,0.70882,-0.69048,0.96429,0.70882,0.80000,0.50980,-0.50549,
