SUID,interaction,name,p.adj,p.vec,reg.mat,selected,shared interaction,Gene1,Gene2
86255,interacts with,VDAC2 (interacts with) ATP6V1A,0.09446838,0.028961367,0.759036145,FALSE,interacts with,VDAC2,ATP6V1A
86256,interacts with,TBK1 (interacts with) ZC3H15,0.823493235,0.333333333,1,FALSE,interacts with,TBK1,ZC3H15
86257,interacts with,HSP90AB1 (interacts with) FLNA,0.656542932,0.333333333,1,FALSE,interacts with,HSP90AB1,FLNA
86258,interacts with,DDX1 (interacts with) PDHB,0.097261684,0.050319665,0.683333333,FALSE,interacts with,DDX1,PDHB
86259,interacts with,DDX1 (interacts with) GULP1,0.823493235,0.333333333,1,FALSE,interacts with,DDX1,GULP1
86260,interacts with,COPS5 (interacts with) YWHAQ,0.823493235,0.333333333,1,FALSE,interacts with,COPS5,YWHAQ
86261,interacts with,COPS5 (interacts with) VPS35,0.823493235,0.333333333,0.866666667,FALSE,interacts with,COPS5,VPS35
86262,interacts with,COPS5 (interacts with) PCMT1,0.041726296,0.013828263,0.8,FALSE,interacts with,COPS5,PCMT1
86263,interacts with,COPS5 (interacts with) MAPRE2,0.823493235,0.333333333,0.80952381,FALSE,interacts with,COPS5,MAPRE2
86264,interacts with,COPS2 (interacts with) ZC3H15,0.319651122,0.165077484,0.542168675,FALSE,interacts with,COPS2,ZC3H15
86265,interacts with,CHCHD2 (interacts with) PSMD1,0.823493235,0.333333333,-0.766666667,FALSE,interacts with,CHCHD2,PSMD1
