"","p.adj","p.vec","reg.mat"
"AAAS:CHCHD2",1,0.333333333333333,-1
"AAAS:COPS5",1,0.333333333333333,-1
"AAAS:DDB1",1,0.333333333333333,1
"AAAS:GNAI2",1,0.333333333333333,1
"AAAS:MAPRE2",1,0.333333333333333,-1
"AAAS:OAT",1,0.333333333333333,-1
"AAAS:TBK1",1,0.333333333333333,-1
"ADAM15:AGTPBP1",1,0.333333333333333,-1
"ADAM15:AKAP12",1,0.333333333333333,1
"ADAM15:ANK2",1,0.333333333333333,1
"ADAM15:ATP6V1E1",1,0.333333333333333,-1
"ADAM15:BCAS2",1,0.333333333333333,-1
"ADAM15:CDC123",1,0.333333333333333,-1
"ADAM15:COPS7A",1,0.333333333333333,-1
"ADAM15:CS",1,0.333333333333333,1
"ADAM15:EFEMP2",1,0.333333333333333,-1
"ADAM15:EPS15",1,0.333333333333333,-1
"ADAM15:GGH",1,0.333333333333333,1
"ADAM15:GOLIM4",1,0.333333333333333,1
"ADAM15:IKBKB",1,0.333333333333333,-1
"ADAM15:KIF3A",1,0.333333333333333,1
"ADAM15:LRRC40",1,0.333333333333333,-1
"ADAM15:NDFIP1",1,0.333333333333333,1
"ADAM15:PFN2",1,0.333333333333333,-1
"ADAM15:PJA2",1,0.333333333333333,-1
"ADAM15:PRKCE",1,0.333333333333333,1
"ADAM15:PSMC6",1,0.333333333333333,-1
"ADAM15:PSMD12",1,0.333333333333333,-1
"ADAM15:PSMD6",1,0.333333333333333,-1
"ADAM15:RANBP6",1,0.333333333333333,-1
"ADAM15:RNF11",1,0.333333333333333,-1
"ADAM15:RNF14",1,0.333333333333333,1
"ADAM15:RPA3",1,0.333333333333333,-1
"ADAM15:SUMO1",1,0.333333333333333,-1
"ADAM15:TAX1BP1",1,0.333333333333333,-1
"ADAM15:USP14",1,0.333333333333333,1
"AGTPBP1:BCAS2",1,0.333333333333333,1
"AGTPBP1:CS",1,0.333333333333333,-1
"AGTPBP1:EFEMP2",1,0.333333333333333,1
"AGTPBP1:EPS15",1,0.333333333333333,1
"AGTPBP1:IKBKB",1,0.333333333333333,1
"AGTPBP1:LRRC40",1,0.333333333333333,1
"AGTPBP1:NDFIP1",1,0.333333333333333,-1
"AGTPBP1:PFN2",1,0.333333333333333,1
"AGTPBP1:PSMC6",1,0.333333333333333,1
"AGTPBP1:RNF11",1,0.333333333333333,1
"AKAP12:AGTPBP1",1,0.333333333333333,-1
"AKAP12:ANK2",1,0.333333333333333,1
"AKAP12:BCAS2",1,0.333333333333333,-1
"AKAP12:CDC123",1,0.333333333333333,-1
"AKAP12:COPS7A",1,0.333333333333333,-1
"AKAP12:CS",1,0.333333333333333,1
"AKAP12:EFEMP2",1,0.333333333333333,-1
"AKAP12:EPS15",1,0.333333333333333,-1
"AKAP12:IKBKB",1,0.333333333333333,-1
"AKAP12:KIF3A",1,0.333333333333333,1
"AKAP12:LRRC40",1,0.333333333333333,-1
"AKAP12:NDFIP1",1,0.333333333333333,1
"AKAP12:PFN2",1,0.333333333333333,-1
"AKAP12:PSMC6",1,0.333333333333333,-1
"AKAP12:PSMD12",1,0.333333333333333,-1
"AKAP12:RANBP6",1,0.333333333333333,-1
"AKAP12:RNF11",1,0.333333333333333,-1
"AKAP12:RNF14",1,0.333333333333333,1
"ANK2:AGTPBP1",1,0.333333333333333,-1
"ANK2:BCAS2",1,0.333333333333333,-1
"ANK2:COPS7A",1,0.333333333333333,-1
"ANK2:CS",1,0.333333333333333,1
