SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient,ISDEG
10084,6.7184466,0.03873977,0.14884393,0,4,12,FALSE,HINT1,1.5,4,0,0,0.56011949,FALSE,0,HINT1,1612,0.5,FALSE
10085,7.70873786,0,0.12972292,0,1,13,FALSE,CHCHD2,4,1,0,0,0.48394324,FALSE,0,CHCHD2,0,0,FALSE
10090,5.32038835,0,0.1879562,0,1,10,FALSE,PSMD12,4,1,0,0,0.66766243,FALSE,0,PSMD12,0,0,FALSE
10091,3.39805825,0.19952797,0.29428571,0.2,5,8,FALSE,ATP6V1A,7.4,5,0,0,0.81553398,FALSE,0,ATP6V1A,3548,0.24137931,FALSE
10092,4.33009709,0.05768132,0.2309417,0,4,9,FALSE,HSPE1,2,4,0,0,0.74383869,FALSE,0,HSPE1,978,0.25,FALSE
10093,4.66990291,0.01941748,0.21413721,0,2,9,FALSE,PFN2,2.5,2,0,0,0.71769978,FALSE,0,PFN2,488,0.5,FALSE
10094,5.66019417,0,0.17667238,0,1,10,FALSE,DDB1,2,1,0,0,0.64152353,FALSE,0,DDB1,0,0,FALSE
10095,5.24271845,0.01941748,0.19074074,0,2,10,FALSE,PSMD1,2,2,0,0,0.67363704,FALSE,0,PSMD1,328,0.5,FALSE
10096,6.23300971,0,0.16043614,0,1,11,FALSE,GARS,2,1,0,0,0.59746079,FALSE,0,GARS,0,0,FALSE
10097,5.7184466,0,0.17487267,0,1,10,FALSE,ELP3,2,1,0,0,0.63704257,FALSE,0,ELP3,0,0,FALSE
10098,3.75728155,0.0420712,0.26614987,0,3,8,FALSE,CDC42,5.66666667,3,0,0,0.78790142,FALSE,0,CDC42,642,0.33333333,FALSE
10099,4.72815534,0.01941748,0.21149897,0,2,9,FALSE,LRRC40,2,2,0,0,0.71321882,FALSE,0,LRRC40,296,0.5,FALSE
10100,3.86407767,0.02468598,0.25879397,0,3,8,FALSE,RNF14,8.33333333,3,0,0,0.77968633,FALSE,0,RNF14,920,0.36666667,FALSE
10101,4.85436893,0,0.206,0,1,9,FALSE,PAM,3,1,0,0,0.70351008,FALSE,0,PAM,0,0,FALSE
9943,4.12621359,0,0.24235294,0,1,8,FALSE,AAAS,8,1,0,0,0.75952203,FALSE,0,AAAS,0,0,FALSE
9945,4.58252427,0,0.21822034,0,1,8,FALSE,NOTCH3,3,1,0,0,0.72442121,FALSE,0,NOTCH3,0,0,FALSE
9948,4.39805825,0,0.22737307,0,1,9,FALSE,CLTC,7,1,0,0,0.7386109,FALSE,0,CLTC,0,0,FALSE
9954,6.58252427,0,0.1519174,0,1,11,FALSE,HSP90AB1,4,1,0,0,0.57057506,FALSE,0,HSP90AB1,0,0,FALSE
9955,6.58252427,0,0.1519174,0,1,11,FALSE,HABP4,4,1,0,0,0.57057506,FALSE,0,HABP4,0,0,TRUE
9958,5.09708738,0,0.19619048,0,1,9,FALSE,EFEMP2,2,1,0,0,0.68483943,FALSE,0,EFEMP2,0,0,FALSE
9959,4.47572816,0,0.22342733,0,1,9,FALSE,IKBKB,9,1,0,0,0.7326363,FALSE,0,IKBKB,0,0,FALSE
9961,5.41747573,0,0.18458781,0,1,9,FALSE,COPS7A,6,1,0,0,0.66019417,FALSE,0,COPS7A,0,0,FALSE
9963,3.9223301,0,0.2549505,0,1,8,FALSE,CASP10,20,1,0,0,0.77520538,FALSE,0,CASP10,0,0,FALSE
9964,3.80582524,0.00982335,0.2627551,0,2,8,FALSE,YBX1,12.5,2,0,0,0.78416729,FALSE,0,YBX1,804,0.575,FALSE
