,C9,sALS,FTLD,VCP,PET,RAV,corMean
PAM (interacts with) RNF14,0.582417582417582,0.535714285714286,0.582417582417582,0.582417582417582,0.582417582417582,0.582417582417582,0.574633699633699
LRRC40 (interacts with) CDC42,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.752450980392157,0.714285714285714,0.720646591970121
LRRC40 (interacts with) ELP3,0.964285714285714,0.964285714285714,0.964285714285714,0.535714285714286,0.964285714285714,0.964285714285714,0.892857142857143
GARS (interacts with) PSMD1,0.761904761904762,0.678571428571428,0.678571428571428,0.607142857142857,0.678571428571428,0.741758241758242,0.691086691086691
DDB1 (interacts with) PFN2,0.579411764705882,0.821428571428571,0.579411764705882,0.642857142857143,0.71078431372549,0.604395604395604,0.656381526969762
HSPE1 (interacts with) ATP6V1A,1,1,1,1,1,1,1
HSPE1 (interacts with) PSMD12,0.964285714285714,0.964285714285714,0.964285714285714,0.964285714285714,0.964285714285714,0.964285714285714,0.964285714285714
DAAM2 (interacts with) RPS4X,0.642857142857143,0.642857142857143,0.520971443469155,0.642857142857143,0.642857142857143,0.642857142857143,0.622542859625812
COPS3 (interacts with) DLG2,0.761904761904762,0.964285714285714,0.717647058823529,0.535714285714286,0.747252747252747,0.747252747252747,0.745676219205631
CHCHD2 (interacts with) HINT1,0.874267171196679,0.700980392156863,0.700980392156863,0.857142857142857,0.700980392156863,0.700980392156863,0.755888599494498
RPA3 (interacts with) HINT1,0.61263747463298,0.61263747463298,0.61263747463298,0.61263747463298,0.61263747463298,0.61263747463298,0.61263747463298
RPA3 (interacts with) VDAC3,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762
PSMC2 (interacts with) TXNL1,0.535714285714286,0.535714285714286,0.535714285714286,0.535714285714286,0.535714285714286,0.535714285714286,0.535714285714286
COPS5 (interacts with) UBE2V2,0.67032967032967,0.964285714285714,0.738235294117647,0.964285714285714,0.514705882352941,0.67032967032967,0.753695324283559
COPS5 (interacts with) VDAC3,0.880952380952381,0.642857142857143,0.617647058823529,0.642857142857143,0.615196078431373,0.752747252747253,0.692042842778137
MAGED1 (interacts with) HPRT1,0.547619047619048,0.964285714285714,0.841176470588235,0.785714285714285,0.781862745098039,0.637362637362637,0.759670150111326
MAGED1 (interacts with) STMN2,0.785714285714285,0.785714285714285,0.844117647058823,0.785714285714285,0.785714285714285,0.785714285714285,0.795448179271708
YWHAQ (interacts with) ARL1,0.642857142857143,0.642857142857143,0.642857142857143,0.642857142857143,0.642857142857143,0.642857142857143,0.642857142857143
STK39 (interacts with) EPS15,0.653846153846154,0.653846153846154,0.653846153846154,0.653846153846154,0.653846153846154,0.653846153846154,0.653846153846154
PRKCE (interacts with) VDAC3,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857
PSMC6 (interacts with) SNAP25,0.666666666666667,0.892857142857143,0.755882352941176,0.75,0.796703296703297,0.796703296703297,0.776468792645263
PSMC6 (interacts with) KIF3A,0.666666666666667,0.892857142857143,0.666666666666667,0.964285714285714,0.776960784313726,0.642857142857143,0.768382352941177
PSMC6 (interacts with) AGTPBP1,0.666666666666667,0.892857142857143,0.85,0.535714285714286,0.696078431372549,0.686813186813187,0.721354952237305
PSMC6 (interacts with) VPS35,0.796703296703297,0.796703296703297,0.791176470588235,0.892857142857143,0.796703296703297,0.796703296703297,0.811807800043094
PSMC6 (interacts with) SUMO1,0.761904761904762,0.526960784313726,0.720588235294118,0.857142857142857,0.526960784313726,0.681318681318681,0.679146017381312
PSMC6 (interacts with) ZC3H15,0.705882352941177,0.705882352941177,0.705882352941177,0.705882352941177,0.705882352941177,0.705882352941177,0.705882352941177
PSMC6 (interacts with) ARL1,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.527472527472527,0.683150183150183
PSMC6 (interacts with) PDHB,0.626373626373626,0.626373626373626,0.626373626373626,0.626373626373626,0.784313725490196,0.626373626373626,0.652696976226388
PSMC6 (interacts with) RANBP6,0.8,0.8,0.8,0.8,0.8,0.8,0.8
PSMC6 (interacts with) OXCT1,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857
PSMC6 (interacts with) CS,0.80952380952381,0.785714285714285,0.664835164835165,0.664835164835165,0.664835164835165,0.664835164835165,0.709096459096459
