Gene1,Gene2,corMean
PAM,RNF14,0.5746337
LRRC40,CDC42,0.720646592
LRRC40,ELP3,0.892857143
GARS,PSMD1,0.691086691
DDB1,PFN2,0.656381527
HSPE1,ATP6V1A,1
HSPE1,PSMD12,0.964285714
DAAM2,RPS4X,0.62254286
COPS3,DLG2,0.745676219
CHCHD2,HINT1,0.755888599
RPA3,HINT1,0.612637475
RPA3,VDAC3,0.761904762
PSMC2,TXNL1,0.535714286
COPS5,UBE2V2,0.753695324
COPS5,VDAC3,0.692042843
MAGED1,HPRT1,0.75967015
MAGED1,STMN2,0.795448179
YWHAQ,ARL1,0.642857143
STK39,EPS15,0.653846154
PRKCE,VDAC3,0.857142857
PSMC6,SNAP25,0.776468793
PSMC6,KIF3A,0.768382353
PSMC6,AGTPBP1,0.721354952
PSMC6,VPS35,0.8118078
PSMC6,SUMO1,0.679146017
PSMC6,ZC3H15,0.705882353
PSMC6,ARL1,0.683150183
PSMC6,PDHB,0.652696976
PSMC6,RANBP6,0.8
PSMC6,OXCT1,0.857142857
PSMC6,CS,0.709096459
PSMC6,PCMT1,0.833468003
PSMC6,EPRS,0.876373626
PSMC6,EPS15,0.793956044
PSMC6,RNF14,0.654151404
PSMD2,CLK1,0.785714286
ANKMY2,SKIV2L2,0.714868009
ANKMY2,COPS2,0.72479469
ANKMY2,TXNL1,0.581174136
ANKMY2,PAFAH1B1,0.785714286
ANKMY2,PTGER3,0.504901961
CLCN6,VPS35,0.693335668
ZFPM2,HERC1,0.805882353
PAPSS1,NFATC1,0.666666667
FKBP3,PCMT1,0.590684479
ATP6V1B2,MRPL9,0.917950514
ATP6V1B2,GOT2,0.714285714
RTCA,GABRG2,0.964285714
RTCA,NPEPPS,0.681372549
BCAS2,ZC3H15,0.728484342
BCAS2,RASA1,0.786543935
BCAS2,AKAP12,0.768993791
BCAS2,SKIV2L2,0.739087302
BCAS2,SNAP25,0.757208997
BCAS2,PCMT1,0.672511345
CDC123,ATP6V1A,0.706664332
CDC123,MAPRE2,0.674527449
CDC123,PSMD1,0.75
RAN,PCMT1,0.68614869
RAN,VPS35,0.681956116
RAN,STAU1,0.825340473
RAN,PFN2,0.840659341
PAFAH1B1,ANK2,0.646825397
MORF4L1,PCMT1,0.632936508
FURIN,GNAI2,0.632002801
GOT1,VDAC3,0.928571429
GOT1,HINT1,0.534313725
DNM1L,UBE2V2,0.753481612
PJA2,USP14,0.928571429
PJA2,ARL1,0.892857143
PJA2,VPS35,0.963235294
ARMC1,CDC42,0.70628277
ARMC1,ATP6V1A,0.721078431
ARMC1,RASA1,0.781983947
ARMC1,TMEM30A,0.769880773
ARMC1,PCMT1,0.646108059
ARMC1,PAFAH1B1,0.746031746
ARMC1,ZC3H15,0.812558357
ARMC1,VPS35,0.854225023
ARMC1,CUL1,0.75
ARMC1,PSMD6,0.849206349
ARMC1,PDHB,0.928571429
ADAM15,U2AF2,0.892857143
SERPINI1,SYNJ1,0.642857143
NDFIP1,RNF14,0.597222222
NDFIP1,VPS35,0.667582418
NDFIP1,TOR1AIP2,0.652941176
NDFIP1,ARL1,0.678571429
PRDX6,GATM,0.755882353
MCM4,CYFIP2,0.659340659
SH3GL2,NELL1,0.657401455
SH3GL2,CYFIP2,0.714752568
WASF1,VPS35,0.722780651
WASF1,USP14,0.8195845
DYNLT3,HPRT1,0.821428571
ATP6V1A,VPS35,1
GORASP2,NLK,0.686759319
NECAP1,MRPL9,0.591176471
NECAP1,CYFIP2,0.785714286
RSL1D1,BASP1,0.672619048
TAX1BP1,VPS35,0.719934641
TAX1BP1,ARL1,0.701879983
ARL6IP5,VPS35,0.756800797
SPI1,MYH9,0.697687789
CHUK,UBR5,0.642857143
GNG3,NDEL1,0.712604093
SPOCK1,HERC1,0.746816419
SARAF,SKIV2L2,0.676434676
SARAF,PCMT1,0.872710623
SARAF,KIF3A,0.604395604
SARAF,VPS35,0.964285714
SARAF,ATP6V1A,0.678571429
SARAF,ZC3H15,0.857142857
OAT,AKAP12,0.71049253
OAT,UBE2V2,0.686198197
OAT,PPP3CA,0.710679272
COPS4,HINT1,0.577268728
PLD2,ADAMTSL4,0.629411765
ALAS1,DYNLT3,0.651956076
ADSS,KIAA0368,0.554945055
ADSS,GABRG2,0.838338383
DDX1,UBE2V2,0.713116962
DDX1,AKAP12,0.74424693
DDX1,TUBA1B,0.648351648
DDX1,RANBP6,0.83015873
VDAC2,VDAC3,0.752824463
TBK1,EPS15,0.771444694
SNAP91,GULP1,0.625
SNAP91,SNAP25,0.964285714
SNAP91,VDAC3,0.7527688
RNF11,SKIV2L2,0.611841916
RNF11,BCAS2,0.783344624
RNF11,UBE2D2,0.673534799
GGH,MAPRE2,0.792770955
HSPE1,GOLIM4,-0.642857143
HSPE1,VDAC1,-0.696545285
ATP6V1E1,BCL2,-0.635807656
RAB14,FLNA,-0.607142857
RAB14,TRIM38,-0.587912088
CDC42,TRIM8,-0.674019608
PSMC6,YBX1,-0.591687316
PSMC6,TRIM8,-0.691701681
PSMC6,BCL2,-0.580586081
PSMC6,CASP10,-0.558823529
PSMC6,TRIM38,-0.642857143
PSMD2,CFLAR,-0.724423616
ANKMY2,COPS7A,-0.714285714
ZFPM2,RPS24,-0.80952381
BCAS2,U2AF2,-0.821428571
BCAS2,IKBKB,-0.698529412
MORF4L1,EFEMP2,-0.609712346
TMOD1,TRIP10,-0.607142857
FURIN,HABP4,-0.714285714
FURIN,HSP90AB1,-0.602731092
FURIN,USP14,-0.529411765
AMPH,CFLAR,-0.549145299
PJA2,TRIM8,-0.964285714
PJA2,YBX1,-0.576923077
ARMC1,U2AF2,-0.652472076
TRIM5,RAB27A,-0.821428571
GORASP2,MMP14,-0.733356051
GORASP2,GATM,-0.71978022
NECAP1,GABRG2,-0.964285714
