V1,V2,G1,G2
O95793,P62826,STAU1,RAN
Q15008,Q9Y3C5,PSMD6,RNF11
O00232,Q99460,PSMD12,PSMD1
O00232,P54578,PSMD12,USP14
P54578,Q15008,USP14,PSMD6
O95793,Q8WU90,STAU1,ZC3H15
O43396,P38606,TXNL1,ATP6V1A
O00232,O43396,PSMD12,TXNL1
P35998,P62333,PSMC2,PSMC6
P62333,Q99460,PSMC6,PSMD1
O43396,P62333,TXNL1,PSMC6
O00232,P62333,PSMD12,PSMC6
P54578,Q9Y3C5,USP14,RNF11
Q99460,Q9Y3C5,PSMD1,RNF11
O00232,Q9Y3C5,PSMD12,RNF11
Q15008,Q99460,PSMD6,PSMD1
O00232,Q15008,PSMD12,PSMD6
O43396,P54578,TXNL1,USP14
O95793,P04181,STAU1,OAT
P35998,P67809,PSMC2,YBX1
O95793,P67809,STAU1,YBX1
P07814,P41250,EPRS,GARS
O95793,P07814,STAU1,EPRS
O00232,P35998,PSMD12,PSMC2
P35998,P54578,PSMC2,USP14
P35998,Q99460,PSMC2,PSMD1
Q16531,Q9H496,DDB1,TOR1AIP2
P61201,Q9BT78,COPS2,COPS4
O95793,P11177,STAU1,PDHB
O95793,P40616,STAU1,ARL1
Q9UHD2,Q9Y3C5,TBK1,RNF11
O43396,P35998,TXNL1,PSMC2
P27348,Q9Y3C5,YWHAQ,RNF11
Q16531,Q9BT78,DDB1,COPS4
P68363,Q99460,TUBA1B,PSMD1
P27348,Q00610,YWHAQ,CLTC
O95793,P27348,STAU1,YWHAQ
P27348,Q9BT78,YWHAQ,COPS4
O95793,Q00610,STAU1,CLTC
P61201,Q16531,COPS2,DDB1
O95793,P41250,STAU1,GARS
P61201,Q9UBW8,COPS2,COPS7A
O43396,Q99460,TXNL1,PSMD1
P54578,Q99460,USP14,PSMD1
P36543,P67809,ATP6V1E1,YBX1
P67809,Q00688,YBX1,FKBP3
P21796,P68363,VDAC1,TUBA1B
Q9BT78,Q9H496,COPS4,TOR1AIP2
Q8WU90,Q92558,ZC3H15,WASF1
O43164,P62837,PJA2,UBE2D2
Q16531,Q9UBW8,DDB1,COPS7A
O95793,P62333,STAU1,PSMC6
P54578,P62333,USP14,PSMC6
P62837,Q9Y3C5,UBE2D2,RNF11
Q86VP1,Q9Y3C5,TAX1BP1,RNF11
P67809,Q5JVS0,YBX1,HABP4
O60641,P42566,SNAP91,EPS15
P61201,Q9BT78,COPS2,COPS4
O14920,Q9UHD2,IKBKB,TBK1
O95793,P20936,STAU1,RASA1
O60641,P68363,SNAP91,TUBA1B
O43164,P62837,PJA2,UBE2D2
Q9BT78,Q9UBW8,COPS4,COPS7A
P61201,Q9UBW8,COPS2,COPS7A
Q86VP1,Q9Y3C5,TAX1BP1,RNF11
P54578,Q08209,USP14,PPP3CA
P62837,Q9Y3C5,UBE2D2,RNF11
P35080,Q92558,PFN2,WASF1
P62837,Q9UBS8,UBE2D2,RNF14
O00232,Q15008,PSMD12,PSMD6
P62333,Q15008,PSMC6,PSMD6
O14920,P21333,IKBKB,FLNA
O14920,Q00610,IKBKB,CLTC
Q15008,Q99460,PSMD6,PSMD1
P35998,Q15008,PSMC2,PSMD6
O43396,Q15008,TXNL1,PSMD6
P62837,Q9BZR9,UBE2D2,TRIM8
O14920,P07814,IKBKB,EPRS
P42566,Q9Y3C5,EPS15,RNF11
