"SUID","corMean","EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"364637","-0.676425698","206.0","interacts with","KIF3A (interacts with) NOTCH3","false","interacts with","KIF3A (interacts with) NOTCH3"
"364638","-0.642857143","606.0","interacts with","PSMC6 (interacts with) TRIM38","false","interacts with","PSMC6 (interacts with) TRIM38"
"364631","0.785714286","463.99487074","interacts with","ANKMY2 (interacts with) PAFAH1B1","false","interacts with","ANKMY2 (interacts with) PAFAH1B1"
"364632","0.581174136","408.0","interacts with","ANKMY2 (interacts with) TXNL1","false","interacts with","ANKMY2 (interacts with) TXNL1"
"364633","0.72479469","206.0","interacts with","ANKMY2 (interacts with) COPS2","false","interacts with","ANKMY2 (interacts with) COPS2"
"364634","0.714868009","767.22876625","interacts with","ANKMY2 (interacts with) SKIV2L2","false","interacts with","ANKMY2 (interacts with) SKIV2L2"
"364627","0.693335668","206.0","interacts with","CLCN6 (interacts with) VPS35","false","interacts with","CLCN6 (interacts with) VPS35"
"364628","0.646825397","206.0","interacts with","PAFAH1B1 (interacts with) ANK2","false","interacts with","PAFAH1B1 (interacts with) ANK2"
"364629","-0.714285714","206.0","interacts with","ANKMY2 (interacts with) COPS7A","false","interacts with","ANKMY2 (interacts with) COPS7A"
"364630","0.504901961","206.0","interacts with","ANKMY2 (interacts with) PTGER3","false","interacts with","ANKMY2 (interacts with) PTGER3"
"364623","0.590684479","206.0","interacts with","FKBP3 (interacts with) PCMT1","false","interacts with","FKBP3 (interacts with) PCMT1"
"364615","0.739087302","509.76847993","interacts with","BCAS2 (interacts with) SKIV2L2","false","interacts with","BCAS2 (interacts with) SKIV2L2"
"364616","0.768993791","693.98308154","interacts with","BCAS2 (interacts with) AKAP12","false","interacts with","BCAS2 (interacts with) AKAP12"
"364617","0.786543935","167.12314651","interacts with","BCAS2 (interacts with) RASA1","false","interacts with","BCAS2 (interacts with) RASA1"
"364618","0.728484342","323.49474228","interacts with","BCAS2 (interacts with) ZC3H15","false","interacts with","BCAS2 (interacts with) ZC3H15"
"364611","-0.698529412","206.0","interacts with","BCAS2 (interacts with) IKBKB","false","interacts with","BCAS2 (interacts with) IKBKB"
"364612","-0.821428571","250.52552746","interacts with","BCAS2 (interacts with) U2AF2","false","interacts with","BCAS2 (interacts with) U2AF2"
"364613","0.672511345","609.57432426","interacts with","BCAS2 (interacts with) PCMT1","false","interacts with","BCAS2 (interacts with) PCMT1"
"364614","0.757208997","684.67983298","interacts with","BCAS2 (interacts with) SNAP25","false","interacts with","BCAS2 (interacts with) SNAP25"
"364607","0.68614869","405.72287202","interacts with","RAN (interacts with) PCMT1","false","interacts with","RAN (interacts with) PCMT1"
