SUID,interaction,name,p.adj,p.vec,reg.mat,selected,shared interaction,shared name,G1,G2
9927661,interacts with,CLCN6 (interacts with) VPS35,0.846554538,0.114980159,0.714285714,FALSE,interacts with,CLCN6 (interacts with) VPS35,VPS35,CLCN6
9927662,interacts with,POLDIP2 (interacts with) STK3,0.144518824,0.023809524,-0.642156863,FALSE,interacts with,POLDIP2 (interacts with) STK3,STK3,POLDIP2
9927663,interacts with,HDAC5 (interacts with) DDX17,0.846554538,0.114980159,0.619047619,FALSE,interacts with,HDAC5 (interacts with) DDX17,DDX17,HDAC5
9927664,interacts with,ATP6V1A (interacts with) VPS35,0.051975842,3.97E-04,1,FALSE,interacts with,ATP6V1A (interacts with) VPS35,VPS35,ATP6V1A
9927665,interacts with,MAP2K1 (interacts with) PRKAR2A,0.089107644,0.006746032,0.543956044,FALSE,interacts with,MAP2K1 (interacts with) PRKAR2A,PRKAR2A,MAP2K1
9927666,interacts with,TRAP1 (interacts with) RNPS1,0.337886344,0.138888889,0.642857143,FALSE,interacts with,TRAP1 (interacts with) RNPS1,RNPS1,TRAP1
9927667,interacts with,RBBP8 (interacts with) CNOT6,0.337886344,0.138888889,0.521978022,FALSE,interacts with,RBBP8 (interacts with) CNOT6,CNOT6,RBBP8
9927668,interacts with,PPP6R3 (interacts with) KAT6A,0.448780165,0.235714286,0.607142857,FALSE,interacts with,PPP6R3 (interacts with) KAT6A,KAT6A,PPP6R3
9927669,interacts with,ADAM15 (interacts with) U2AF2,0.109507431,0.012301587,0.892857143,FALSE,interacts with,ADAM15 (interacts with) U2AF2,U2AF2,ADAM15
9927670,interacts with,CDK5RAP3 (interacts with) S100A6,0.846554538,0.114980159,0.75,FALSE,interacts with,CDK5RAP3 (interacts with) S100A6,S100A6,CDK5RAP3
9927671,interacts with,MAT2B (interacts with) NOTCH4,0.197267262,0.048015873,-0.738235294,FALSE,interacts with,MAT2B (interacts with) NOTCH4,NOTCH4,MAT2B
9927672,interacts with,TBK1 (interacts with) TIA1,0.197267262,0.048015873,0.571428571,FALSE,interacts with,TBK1 (interacts with) TIA1,TIA1,TBK1
9927673,interacts with,TBK1 (interacts with) EPS15,0.575659484,0.004512386,0.785714286,FALSE,interacts with,TBK1 (interacts with) EPS15,EPS15,TBK1
9927674,interacts with,DDX1 (interacts with) UBE2V2,0.168425923,0.034126984,0.832352941,FALSE,interacts with,DDX1 (interacts with) UBE2V2,UBE2V2,DDX1
9927675,interacts with,DDX1 (interacts with) MYH10,0.86360028,0.123342169,0.664835165,FALSE,interacts with,DDX1 (interacts with) MYH10,MYH10,DDX1
9927676,interacts with,DDX1 (interacts with) AKAP12,0.265737006,0.088095238,0.805882353,FALSE,interacts with,DDX1 (interacts with) AKAP12,AKAP12,DDX1
9927677,interacts with,DDX1 (interacts with) TUBA1B,0.144518824,0.023809524,0.648351648,FALSE,interacts with,DDX1 (interacts with) TUBA1B,TUBA1B,DDX1
9927678,interacts with,DDX1 (interacts with) RANBP6,0.144518824,0.023809524,0.857142857,FALSE,interacts with,DDX1 (interacts with) RANBP6,RANBP6,DDX1
9927679,interacts with,DDX1 (interacts with) PFN2,0.658210522,0.010714286,-0.642857143,FALSE,interacts with,DDX1 (interacts with) PFN2,PFN2,DDX1
9927680,interacts with,CRLF3 (interacts with) RAD52,0.230751883,0.057858497,0.517647059,FALSE,interacts with,CRLF3 (interacts with) RAD52,RAD52,CRLF3
9927681,interacts with,GNG3 (interacts with) NDEL1,0.230751883,0.066269841,0.75,FALSE,interacts with,GNG3 (interacts with) NDEL1,NDEL1,GNG3
9927682,interacts with,AASDHPPT (interacts with) RPS19,0.197267262,0.048015873,0.785714286,FALSE,interacts with,AASDHPPT (interacts with) RPS19,RPS19,AASDHPPT
9927683,interacts with,ZZZ3 (interacts with) STAG1,0.371077115,0.166666667,0.535714286,FALSE,interacts with,ZZZ3 (interacts with) STAG1,STAG1,ZZZ3
9927684,interacts with,PRKCE (interacts with) VDAC3,0.8386611,0.096180556,0.857142857,FALSE,interacts with,PRKCE (interacts with) VDAC3,VDAC3,PRKCE
9927685,interacts with,MYL12A (interacts with) B2M,0.448780165,0.235714286,0.754901961,FALSE,interacts with,MYL12A (interacts with) B2M,B2M,MYL12A
9927686,interacts with,TXNDC9 (interacts with) CAND1,0.800379888,0.062092692,0.535714286,FALSE,interacts with,TXNDC9 (interacts with) CAND1,CAND1,TXNDC9
9927687,interacts with,SEC23IP (interacts with) WASF2,0.782649554,0.049628261,0.707527553,FALSE,interacts with,SEC23IP (interacts with) WASF2,WASF2,SEC23IP
9927688,interacts with,ECT2 (interacts with) GULP1,0.197267262,0.048015873,0.585784314,FALSE,interacts with,ECT2 (interacts with) GULP1,GULP1,ECT2
9927689,interacts with,APLP1 (interacts with) ABCD3,0.409830053,0.2,-0.571428571,FALSE,interacts with,APLP1 (interacts with) ABCD3,ABCD3,APLP1
9927690,interacts with,TMEM8A (interacts with) THRA,0.168425923,0.034126984,0.708333333,FALSE,interacts with,TMEM8A (interacts with) THRA,THRA,TMEM8A
