SUID,interaction,name,p.adj,p.vec,reg.mat,selected,shared interaction,Gene1,Gene2
9927814,interacts with,GOT1 (interacts with) HINT1,0.698932738,0.014086488,0.534313725,FALSE,interacts with,HINT1,GOT1
9927813,interacts with,GOT1 (interacts with) VDAC3,0.089107644,0.006746032,0.928571429,FALSE,interacts with,VDAC3,GOT1
9927812,interacts with,HSPE1 (interacts with) VDAC1,0.071858659,0.002777778,-0.714285714,FALSE,interacts with,VDAC1,HSPE1
9927811,interacts with,HSPE1 (interacts with) GOLIM4,0.337886344,0.138888889,-0.642857143,FALSE,interacts with,GOLIM4,HSPE1
9927810,interacts with,HSPE1 (interacts with) PSMD12,0.071858659,0.002777778,0.964285714,FALSE,interacts with,PSMD12,HSPE1
9927809,interacts with,HSPE1 (interacts with) ATP6V1A,0.051975842,3.97E-04,1,FALSE,interacts with,ATP6V1A,HSPE1
9927807,interacts with,PAM (interacts with) RNF14,0.448780165,0.235714286,0.582417582,FALSE,interacts with,RNF14,PAM
9927822,interacts with,BCAS2 (interacts with) PPP2R2B,0.109507431,0.012301587,0.620879121,FALSE,interacts with,PPP2R2B,BCAS2
9927821,interacts with,BCAS2 (interacts with) PCMT1,0.109507431,0.012301587,0.620879121,FALSE,interacts with,PCMT1,BCAS2
9927820,interacts with,BCAS2 (interacts with) SNAP25,0.846554538,0.116753544,0.697802198,FALSE,interacts with,SNAP25,BCAS2
9927818,interacts with,DNM1L (interacts with) UBE2V2,0.168425923,0.034126984,0.821428571,FALSE,interacts with,UBE2V2,DNM1L
9927817,interacts with,DNM1L (interacts with) NELL1,0.144518824,0.023809524,-0.857142857,FALSE,interacts with,NELL1,DNM1L
9927816,interacts with,MDH2 (interacts with) IKBKB,0.409830053,0.2,-0.714285714,FALSE,interacts with,IKBKB,MDH2
9927815,interacts with,GLMN (interacts with) TRIM8,0.197267262,0.048015873,-0.785714286,FALSE,interacts with,TRIM8,GLMN
9927798,interacts with,RPA3 (interacts with) VDAC3,0.764862125,0.036755952,0.761904762,FALSE,interacts with,VDAC3,RPA3
9927797,interacts with,RPA3 (interacts with) HINT1,0.3486035,0.143588575,0.612637475,FALSE,interacts with,HINT1,RPA3
