hgnc_symbol,uniprotswissprot
PAFAH1B1,P43034
TAX1BP1,Q86VP1
GARS,P41250
SNAP91,O60641
USP14,P54578
VDAC2,P45880
WASF1,Q92558
VDAC3,Q9Y277
CS,O75390
PPP3CA,Q08209
TBK1,Q9UHD2
RANBP6,O60518
YBX1,P67809
RNF11,Q9Y3C5
MORF4L1,Q9UBU8
HSPE1,P61604
ATP6V1E1,P36543
PSMD6,Q15008
CASP10,Q92851
COPS2,P61201
ATP6V1A,P38606
MAPRE2,Q15555
SARAF,Q96BY9
VPS35,Q96QK1
BCL2,P10415
GOLIM4,O00461
GNAI2,P04899
MYH9,P35579
CDC123,O75794
EPS15,P42566
PSMD1,Q99460
CHCHD2,Q9Y6H1
CLCN6,P51797
DDB1,Q16531
GOT1,P17174
SKIV2L2,P42285
LRRC40,Q9H9A6
OXCT1,P55809
TXNL1,O43396
PFN2,P35080
NOTCH3,Q9UM47
COPS5,Q92905
ZC3H15,Q8WU90
IKBKB,O14920
SNAP25,P60880
EPRS,P07814
RPA3,P35244
TMEM30A,Q9NV96
ANKMY2,Q8IV38
U2AF2,P26368
HSP90AB1,P08238
SUMO1,P63165
PRKCE,Q02156
GULP1,Q9UBP9
ADAM15,Q13444
DDX1,Q92499
ANK2,Q01484
FLNA,P21333
PTGER3,P43115
RAB14,P61106
TOR1AIP2,Q9H496
PDHB,P11177
AKAP12,Q02952
YWHAQ,P27348
FURIN,P09958
CLTC,Q00610
UBE2V2,Q15819
TRIM38,O00635
STAU1,O95793
TRIM8,Q9BZR9
COPS7A,Q9UBW8
PSMC6,P62333
FKBP3,Q00688
HABP4,Q5JVS0
GGH,Q92820
ELP3,Q9H9T3
DNM1L,O00429
ARL1,P40616
OAT,P04181
ARL6IP5,O75915
COPS4,Q9BT78
HINT1,P49773
PAM,P19021
ARMC1,Q9NVT9
SPI1,P17947
AAAS,Q9NRG9
CDC42,P60953
AGTPBP1,Q9UPW5
PSMD12,O00232
PJA2,O43164
EFEMP2,O95967
TUBA1B,P68363
KIF3A,Q9Y496
PSMC2,P35998
BCAS2,O75934
RAN,P62826
STK39,Q9UEW8
RASA1,P20936
VDAC1,P21796
UBE2D2,P62837
RNF14,Q9UBS8
CUL1,Q13616
NDFIP1,Q9BT67
PCMT1,P22061
