V1,V2,Gene1,Gene2,IntType
P35498,P49768,SCN1A,PSEN1,PPI
Q16531,Q92804,DDB1,TAF15,PPI
Q01484,Q99720,ANK2,SIGMAR1,PPI
O95793,P62826,STAU1,RAN,PPI
P09651,Q01844,HNRNPA1,EWSR1,PPI
P09651,P55072,HNRNPA1,VCP,PPI
P55072,Q9NSV4,VCP,DIAPH3,PPI
P55072,Q9UBP0,VCP,SPAST,PPI
P55072,Q08209,VCP,PPP3CA,PPI
P55072,Q9NV58,VCP,RNF19A,PPI
P42858,P55072,HTT,VCP,PPI
Q15008,Q9Y3C5,PSMD6,RNF11,PPI
P54578,Q15008,USP14,PSMD6,PPI
O95793,Q8WU90,STAU1,ZC3H15,PPI
P55072,Q96Q42,VCP,ALS2,PPI
O95292,P55072,VAPB,VCP,PPI
P02649,P49768,APOE,PSEN1,PPI
P02649,P22061,APOE,PCMT1,PPI
P26368,Q14204,U2AF2,DYNC1H1,PPI
O43396,P38606,TXNL1,ATP6V1A,PPI
P14136,P49768,GFAP,PSEN1,PPI
P35998,P62333,PSMC2,PSMC6,PPI
P62333,Q99460,PSMC6,PSMD1,PPI
O43396,P62333,TXNL1,PSMC6,PPI
P54578,Q9Y3C5,USP14,RNF11,PPI
Q99460,Q9Y3C5,PSMD1,RNF11,PPI
Q15008,Q99460,PSMD6,PSMD1,PPI
Q01844,Q16637,EWSR1,SMN1,PPI
P09651,Q16637,HNRNPA1,SMN1,PPI
O43396,P54578,TXNL1,USP14,PPI
O95793,P04181,STAU1,OAT,PPI
P09651,Q9UBS8,HNRNPA1,RNF14,PPI
O95793,P09651,STAU1,HNRNPA1,PPI
P35998,P67809,PSMC2,YBX1,PPI
P67809,P68366,YBX1,TUBA4A,PPI
O95793,P67809,STAU1,YBX1,PPI
P35998,P54578,PSMC2,USP14,PPI
P35998,Q99460,PSMC2,PSMD1,PPI
O95793,P11177,STAU1,PDHB,PPI
Q14203,Q96KM6,DCTN1,ZNF512B,PPI
P43034,Q14203,PAFAH1B1,DCTN1,PPI
P35080,P42858,PFN2,HTT,PPI
P42858,P54578,HTT,USP14,PPI
P42858,Q13501,HTT,SQSTM1,PPI
P20936,P42858,RASA1,HTT,PPI
O95793,P40616,STAU1,ARL1,PPI
Q9UHD2,Q9Y3C5,TBK1,RNF11,PPI
P35998,Q13501,PSMC2,SQSTM1,PPI
O43396,P35998,TXNL1,PSMC2,PPI
P27348,Q9Y3C5,YWHAQ,RNF11,PPI
P68366,Q99460,TUBA4A,PSMD1,PPI
Q13501,Q8N1W1,SQSTM1,ARHGEF28,PPI
O95793,P27348,STAU1,YWHAQ,PPI
P27348,P55072,YWHAQ,VCP,PPI
P07737,P27348,PFN1,YWHAQ,PPI
P27348,Q14204,YWHAQ,DYNC1H1,PPI
P10153,P27348,RNASE2,YWHAQ,PPI
P09651,P27348,HNRNPA1,YWHAQ,PPI
Q92845,Q9Y496,KIFAP3,KIF3A,PPI
P43034,Q14204,PAFAH1B1,DYNC1H1,PPI
