"","p.adj","p.vec","reg.mat"
"ANKMY2:PSMC2",0.0253571428571429,0.0000496031746031746,1
"MAPRE2:YWHAQ",0.0253571428571429,0.0000496031746031746,1
"NDFIP1:ANK2",0.0253571428571429,0.0000496031746031746,1
"PCMT1:COPS5",0.0253571428571429,0.0000496031746031746,1
"UBE2V2:PSMC6",0.0253571428571429,0.0000496031746031746,1
"ARL1:CASP10",0.0482993197278912,0.000396825396825397,-0.976190476190476
"ATP6V1A:CUL1",0.0482993197278912,0.000396825396825397,0.976190476190476
"CDC123:VDAC2",0.0482993197278912,0.000396825396825397,0.976190476190476
"CDC42:RNF14",0.0482993197278912,0.000396825396825397,0.976190476190476
"GARS:CDC123",0.0482993197278912,0.000396825396825397,0.976190476190476
"GOT1:CDC123",0.0482993197278912,0.000396825396825397,0.976190476190476
"HINT1:VDAC2",0.0482993197278912,0.000396825396825397,0.976190476190476
"KIF3A:PSMC6",0.0482993197278912,0.000396825396825397,0.976190476190476
"KIF3A:UBE2V2",0.0482993197278912,0.000396825396825397,0.976190476190476
"PFN2:VDAC2",0.0482993197278912,0.000396825396825397,0.976190476190476
"PJA2:SARAF",0.0482993197278912,0.000396825396825397,0.976190476190476
"PSMD1:PFN2",0.0482993197278912,0.000396825396825397,0.976190476190476
"RAN:DNM1L",0.0482993197278912,0.000396825396825397,0.976190476190476
"USP14:PJA2",0.0482993197278912,0.000396825396825397,0.976190476190476
"VPS35:SNAP25",0.0482993197278912,0.000396825396825397,0.976190476190476
"WASF1:ADAM15",0.0482993197278912,0.000396825396825397,-0.976190476190476
"ARL1:STAU1",0.0694302721088435,0.00114087301587302,0.952380952380953
"ATP6V1E1:ANKMY2",0.0694302721088435,0.00114087301587302,0.952380952380953
"ATP6V1E1:HINT1",0.0694302721088435,0.00114087301587302,0.952380952380953
"ATP6V1E1:PSMC2",0.0694302721088435,0.00114087301587302,0.952380952380953
"GARS:GOT1",0.0694302721088435,0.00114087301587302,0.952380952380953
"GARS:VDAC2",0.0694302721088435,0.00114087301587302,0.952380952380953
"GOT1:VDAC2",0.0694302721088435,0.00114087301587302,0.952380952380953
"HINT1:CDC123",0.0694302721088435,0.00114087301587302,0.952380952380953
"HINT1:PFN2",0.0694302721088435,0.00114087301587302,0.952380952380953
"KIF3A:PAFAH1B1",0.0694302721088435,0.00114087301587302,0.952380952380953
"PDHB:STK39",0.0694302721088435,0.00114087301587302,0.952380952380953
"PSMC6:TMEM30A",0.0694302721088435,0.00114087301587302,0.952380952380953
"RAN:SARAF",0.0694302721088435,0.00114087301587302,0.952380952380953
"RNF14:ANK2",0.0694302721088435,0.00114087301587302,0.952380952380953
"RNF14:NDFIP1",0.0694302721088435,0.00114087301587302,0.952380952380953
"RNF14:OAT",0.0694302721088435,0.00114087301587302,0.952380952380953
"TXNL1:PJA2",0.0694302721088435,0.00114087301587302,0.952380952380953
"UBE2V2:TMEM30A",0.0694302721088435,0.00114087301587302,0.952380952380953
