name,Gene1,Gene2,corMean
PJA2 (interacts with) VPS35,PJA2,VPS35,0.821203225
PSMC6 (interacts with) VPS35,PSMC6,VPS35,0.804971091
RAN (interacts with) VPS35,RAN,VPS35,0.800625234
SARAF (interacts with) VPS35,SARAF,VPS35,0.783328844
CHCHD2 (interacts with) HINT1,CHCHD2,HINT1,0.765864915
TAX1BP1 (interacts with) VPS35,TAX1BP1,VPS35,0.772397292
GOT1 (interacts with) HINT1,GOT1,HINT1,0.709829337
WASF1 (interacts with) VPS35,WASF1,VPS35,0.73071267
ARMC1 (interacts with) ZC3H15,ARMC1,ZC3H15,0.825435431
RPA3 (interacts with) HINT1,RPA3,HINT1,0.682607398
BCAS2 (interacts with) ZC3H15,BCAS2,ZC3H15,0.794697901
PSMC6 (interacts with) ZC3H15,PSMC6,ZC3H15,0.858694247
SARAF (interacts with) ZC3H15,SARAF,ZC3H15,0.87635567
PSMC6 (interacts with) KIF3A,PSMC6,KIF3A,0.802859477
ATP6V1E1 (interacts with) BCL2,ATP6V1E1,BCL2,-0.712380593
SARAF (interacts with) KIF3A,SARAF,KIF3A,0.806684982
PSMC6 (interacts with) BCL2,PSMC6,BCL2,-0.647384723
CDC123 (interacts with) MAPRE2,CDC123,MAPRE2,0.674527449
PSMC6 (interacts with) CASP10,PSMC6,CASP10,-0.632884769
MORF4L1 (interacts with) EFEMP2,MORF4L1,EFEMP2,-0.623192739
KIF3A (interacts with) NOTCH3,KIF3A,NOTCH3,-0.676265594
AAAS (interacts with) PCMT1,AAAS,PCMT1,-0.636530246
ANKMY2 (interacts with) PAFAH1B1,ANKMY2,PAFAH1B1,0.742752457
ARMC1 (interacts with) PAFAH1B1,ARMC1,PAFAH1B1,0.767275372
ARMC1 (interacts with) U2AF2,ARMC1,U2AF2,-0.73843954
BCAS2 (interacts with) U2AF2,BCAS2,U2AF2,-0.753295946
ARMC1 (interacts with) PCMT1,ARMC1,PCMT1,0.760882173
BCAS2 (interacts with) PCMT1,BCAS2,PCMT1,0.77837664
PJA2 (interacts with) YBX1,PJA2,YBX1,-0.632451699
PSMC6 (interacts with) YBX1,PSMC6,YBX1,-0.62371346
MORF4L1 (interacts with) PCMT1,MORF4L1,PCMT1,0.732853911
PSMC6 (interacts with) PCMT1,PSMC6,PCMT1,0.890412447
RAN (interacts with) PCMT1,RAN,PCMT1,0.791174546
SARAF (interacts with) PCMT1,SARAF,PCMT1,0.837743302
ARMC1 (interacts with) PDHB,ARMC1,PDHB,0.777893593
PSMC6 (interacts with) PDHB,PSMC6,PDHB,0.692023989
DDB1 (interacts with) PFN2,DDB1,PFN2,0.665603219
RAN (interacts with) PFN2,RAN,PFN2,0.777962349
OAT (interacts with) PPP3CA,OAT,PPP3CA,0.685190871
CDC123 (interacts with) PSMD1,CDC123,PSMD1,0.720076492
GARS (interacts with) PSMD1,GARS,PSMD1,0.761219744
ARMC1 (interacts with) PSMD6,ARMC1,PSMD6,0.720235402
DDX1 (interacts with) RANBP6,DDX1,RANBP6,0.83546021
PSMC6 (interacts with) RANBP6,PSMC6,RANBP6,0.720778568
ARMC1 (interacts with) RASA1,ARMC1,RASA1,0.779149396
BCAS2 (interacts with) RASA1,BCAS2,RASA1,0.767787201
NDFIP1 (interacts with) RNF14,NDFIP1,RNF14,0.738560296
PSMC6 (interacts with) RNF14,PSMC6,RNF14,0.692608454
PSMC6 (interacts with) AGTPBP1,PSMC6,AGTPBP1,0.721354952
ANKMY2 (interacts with) SKIV2L2,ANKMY2,SKIV2L2,0.718252696
BCAS2 (interacts with) SKIV2L2,BCAS2,SKIV2L2,0.806928001
RNF11 (interacts with) SKIV2L2,RNF11,SKIV2L2,0.684644114
PAFAH1B1 (interacts with) ANK2,PAFAH1B1,ANK2,0.763573763
SARAF (interacts with) SKIV2L2,SARAF,SKIV2L2,0.788537851
BCAS2 (interacts with) SNAP25,BCAS2,SNAP25,0.757208997
NDFIP1 (interacts with) ARL1,NDFIP1,ARL1,0.790935994
PSMC6 (interacts with) SNAP25,PSMC6,SNAP25,0.793603211
PJA2 (interacts with) ARL1,PJA2,ARL1,0.800958852
SNAP91 (interacts with) SNAP25,SNAP91,SNAP25,0.884681047
PSMC6 (interacts with) ARL1,PSMC6,ARL1,0.718791227
TAX1BP1 (interacts with) ARL1,TAX1BP1,ARL1,0.716967805
RAN (interacts with) STAU1,RAN,STAU1,0.762163696
YWHAQ (interacts with) ARL1,YWHAQ,ARL1,0.71412046
PSMC6 (interacts with) SUMO1,PSMC6,SUMO1,0.728223982
ARMC1 (interacts with) TMEM30A,ARMC1,TMEM30A,0.754988149
ARMC1 (interacts with) ATP6V1A,ARMC1,ATP6V1A,0.792524959
ANKMY2 (interacts with) TXNL1,ANKMY2,TXNL1,0.752278075
CDC123 (interacts with) ATP6V1A,CDC123,ATP6V1A,0.706664332
PSMC2 (interacts with) TXNL1,PSMC2,TXNL1,0.675527006
SARAF (interacts with) ATP6V1A,SARAF,ATP6V1A,0.857849422
ADAM15 (interacts with) U2AF2,ADAM15,U2AF2,0.730165286
RNF11 (interacts with) UBE2D2,RNF11,UBE2D2,0.694146376
RNF11 (interacts with) BCAS2,RNF11,BCAS2,0.772548639
COPS5 (interacts with) UBE2V2,COPS5,UBE2V2,0.74362997
ARMC1 (interacts with) CDC42,ARMC1,CDC42,0.706282769
DDX1 (interacts with) UBE2V2,DDX1,UBE2V2,0.725943759
DNM1L (interacts with) UBE2V2,DNM1L,UBE2V2,0.779327334
ANKMY2 (interacts with) COPS2,ANKMY2,COPS2,0.72479469
OAT (interacts with) UBE2V2,OAT,UBE2V2,0.807363873
ARMC1 (interacts with) CUL1,ARMC1,CUL1,0.773905406
PJA2 (interacts with) USP14,PJA2,USP14,0.781875628
WASF1 (interacts with) USP14,WASF1,USP14,0.674206526
COPS5 (interacts with) VDAC3,COPS5,VDAC3,0.751566652
GOT1 (interacts with) VDAC3,GOT1,VDAC3,0.810632787
RPA3 (interacts with) VDAC3,RPA3,VDAC3,0.728136896
SNAP91 (interacts with) VDAC3,SNAP91,VDAC3,0.791894837
PSMC6 (interacts with) EPS15,PSMC6,EPS15,0.705871115
VDAC2 (interacts with) VDAC3,VDAC2,VDAC3,0.717875099
STK39 (interacts with) EPS15,STK39,EPS15,0.728208093
TBK1 (interacts with) EPS15,TBK1,EPS15,0.771444694
ARL6IP5 (interacts with) VPS35,ARL6IP5,VPS35,0.756800797
ARMC1 (interacts with) VPS35,ARMC1,VPS35,0.781395892
ATP6V1A (interacts with) VPS35,ATP6V1A,VPS35,0.876717482
CLCN6 (interacts with) VPS35,CLCN6,VPS35,0.74361578
NDFIP1 (interacts with) VPS35,NDFIP1,VPS35,0.769977735
