"","p.adj","p.vec","reg.mat"
"AGTPBP1:COPS5",0,0,1
"ATP6V1E1:CHCHD2",0,0,1
"ATP6V1E1:TMEM30A",0,0,1
"CUL1:ATP6V1A",0,0,1
"DDX1:OAT",0,0,1
"DDX1:UBE2D2",0,0,1
"EPS15:PDHB",0,0,1
"KIF3A:ATP6V1E1",0,0,1
"KIF3A:CHCHD2",0,0,1
"KIF3A:TMEM30A",0,0,1
"PAFAH1B1:PPP3CA",0,0,1
"PCMT1:CDC42",0,0,1
"PJA2:BCAS2",0,0,1
"PJA2:SARAF",0,0,1
"PSMC6:PSMC2",0,0,1
"SARAF:BCAS2",0,0,1
"SKIV2L2:ANKMY2",0,0,1
"SNAP91:BCAS2",0,0,1
"SNAP91:PJA2",0,0,1
"SNAP91:SARAF",0,0,1
"TMEM30A:CHCHD2",0,0,1
"UBE2D2:OAT",0,0,1
"UBE2V2:DDX1",0,0,1
"UBE2V2:OAT",0,0,1
"UBE2V2:UBE2D2",0,0,1
"USP14:PSMC2",0,0,1
"USP14:PSMC6",0,0,1
"VDAC3:VDAC2",0,0,1
"VPS35:VDAC2",0,0,1
"VPS35:VDAC3",0,0,1
"AAAS:VDAC2",0.000905113139574937,0.0000343489728242445,-0.975903614457831
"AGTPBP1:BCAS2",0.000905113139574937,0.0000343489728242445,0.975903614457831
"AGTPBP1:DNM1L",0.000905113139574937,0.0000343489728242445,0.975903614457831
"AGTPBP1:PJA2",0.000905113139574937,0.0000343489728242445,0.975903614457831
"AGTPBP1:SARAF",0.000905113139574937,0.0000343489728242445,0.975903614457831
"AGTPBP1:SNAP91",0.000905113139574937,0.0000343489728242445,0.975903614457831
"ARL1:CDC42",0.000905113139574937,0.0000343489728242445,0.975903614457831
"ARL1:PCMT1",0.000905113139574937,0.0000343489728242445,0.975903614457831
"ATP6V1A:BCAS2",0.000905113139574937,0.0000343489728242445,0.975903614457831
"ATP6V1A:OAT",0.000905113139574937,0.0000343489728242445,0.975903614457831
"ATP6V1A:PJA2",0.000905113139574937,0.0000343489728242445,0.975903614457831
"ATP6V1A:SARAF",0.000905113139574937,0.0000343489728242445,0.975903614457831
"ATP6V1A:SNAP91",0.000905113139574937,0.0000343489728242445,0.975903614457831
"ATP6V1A:UBE2D2",0.000905113139574937,0.0000343489728242445,0.975903614457831
"BCAS2:COPS5",0.000905113139574937,0.0000343489728242445,0.975903614457831
"CDC42:ARL6IP5",0.000905113139574937,0.0000343489728242445,0.975903614457831
"CDC42:OAT",0.000905113139574937,0.0000343489728242445,0.975903614457831
"CDC42:PSMC2",0.000905113139574937,0.0000343489728242445,0.975903614457831
"CDC42:UBE2D2",0.000905113139574937,0.0000343489728242445,0.975903614457831
"CUL1:BCAS2",0.000905113139574937,0.0000343489728242445,0.975903614457831
"CUL1:DDX1",0.000905113139574937,0.0000343489728242445,0.975903614457831
"CUL1:OAT",0.000905113139574937,0.0000343489728242445,0.975903614457831
"CUL1:PJA2",0.000905113139574937,0.0000343489728242445,0.975903614457831
"CUL1:SARAF",0.000905113139574937,0.0000343489728242445,0.975903614457831
"CUL1:SNAP91",0.000905113139574937,0.0000343489728242445,0.975903614457831
"CUL1:UBE2D2",0.000905113139574937,0.0000343489728242445,0.975903614457831
"CUL1:UBE2V2",0.000905113139574937,0.0000343489728242445,0.975903614457831
"DDX1:ATP6V1A",0.000905113139574937,0.0000343489728242445,0.975903614457831
"DDX1:CDC42",0.000905113139574937,0.0000343489728242445,0.975903614457831
"DNM1L:COPS5",0.000905113139574937,0.0000343489728242445,0.975903614457831
"EPS15:GARS",0.000905113139574937,0.0000343489728242445,0.975903614457831
"GARS:RPA3",0.000905113139574937,0.0000343489728242445,0.975903614457831
"HINT1:GOT1",0.000905113139574937,0.0000343489728242445,0.975903614457831
"PAFAH1B1:PSMC2",0.000905113139574937,0.0000343489728242445,0.975903614457831
"PAFAH1B1:PSMC6",0.000905113139574937,0.0000343489728242445,0.975903614457831
"PCMT1:ARL6IP5",0.000905113139574937,0.0000343489728242445,0.975903614457831
"PCMT1:DDX1",0.000905113139574937,0.0000343489728242445,0.975903614457831
"PCMT1:OAT",0.000905113139574937,0.0000343489728242445,0.975903614457831
"PCMT1:PSMC2",0.000905113139574937,0.0000343489728242445,0.975903614457831
"PCMT1:PSMC6",0.000905113139574937,0.0000343489728242445,0.975903614457831
"PCMT1:UBE2D2",0.000905113139574937,0.0000343489728242445,0.975903614457831
"PCMT1:UBE2V2",0.000905113139574937,0.0000343489728242445,0.975903614457831
"PDHB:GARS",0.000905113139574937,0.0000343489728242445,0.975903614457831
"PFN2:ARL1",0.000905113139574937,0.0000343489728242445,0.975903614457831
"PJA2:COPS5",0.000905113139574937,0.0000343489728242445,0.975903614457831
"PPP3CA:PSMC2",0.000905113139574937,0.0000343489728242445,0.975903614457831
"PPP3CA:PSMC6",0.000905113139574937,0.0000343489728242445,0.975903614457831
"PSMC6:CDC42",0.000905113139574937,0.0000343489728242445,0.975903614457831
"SARAF:COPS5",0.000905113139574937,0.0000343489728242445,0.975903614457831
"SKIV2L2:TXNL1",0.000905113139574937,0.0000343489728242445,0.975903614457831
"SNAP25:TBK1",0.000905113139574937,0.0000343489728242445,0.975903614457831
"SNAP91:COPS5",0.000905113139574937,0.0000343489728242445,0.975903614457831
"TXNL1:ANKMY2",0.000905113139574937,0.0000343489728242445,0.975903614457831
"TXNL1:BCAS2",0.000905113139574937,0.0000343489728242445,0.975903614457831
"TXNL1:PJA2",0.000905113139574937,0.0000343489728242445,0.975903614457831
"TXNL1:SARAF",0.000905113139574937,0.0000343489728242445,0.975903614457831
"TXNL1:SNAP91",0.000905113139574937,0.0000343489728242445,0.975903614457831
"UBE2V2:ATP6V1A",0.000905113139574937,0.0000343489728242445,0.975903614457831
"UBE2V2:CDC42",0.000905113139574937,0.0000343489728242445,0.975903614457831
"USP14:CDC42",0.000905113139574937,0.0000343489728242445,0.975903614457831
"USP14:PAFAH1B1",0.000905113139574937,0.0000343489728242445,0.975903614457831
"USP14:PCMT1",0.000905113139574937,0.0000343489728242445,0.975903614457831
"USP14:PPP3CA",0.000905113139574937,0.0000343489728242445,0.975903614457831
"VDAC3:AAAS",0.000905113139574937,0.0000343489728242445,-0.975903614457831
"VPS35:AAAS",0.000905113139574937,0.0000343489728242445,-0.975903614457831
"ZC3H15:HINT1",0.000905113139574937,0.0000343489728242445,0.975903614457831
"ZC3H15:RAN",0.000905113139574937,0.0000343489728242445,0.975903614457831
"AGTPBP1:ATP6V1A",0.00534595975332413,0.000269807827925983,0.951807228915663
"ARL1:DDX1",0.00534595975332413,0.000269807827925983,0.951807228915663
"ARL1:OAT",0.00534595975332413,0.000269807827925983,0.951807228915663
"ARL1:PSMC2",0.00534595975332413,0.000269807827925983,0.951807228915663
"ARL1:PSMC6",0.00534595975332413,0.000269807827925983,0.951807228915663
"ARL1:UBE2D2",0.00534595975332413,0.000269807827925983,0.951807228915663
"ARL1:UBE2V2",0.00534595975332413,0.000269807827925983,0.951807228915663
"ARL6IP5:OAT",0.00534595975332413,0.000269807827925983,0.951807228915663
"ARL6IP5:UBE2D2",0.00534595975332413,0.000269807827925983,0.951807228915663
"ATP6V1A:COPS5",0.00534595975332413,0.000269807827925983,0.951807228915663
"ATP6V1E1:VDAC2",0.00534595975332413,0.000269807827925983,0.951807228915663
"CUL1:AGTPBP1",0.00534595975332413,0.000269807827925983,0.951807228915663
"CUL1:COPS5",0.00534595975332413,0.000269807827925983,0.951807228915663
"DDX1:ARL6IP5",0.00534595975332413,0.000269807827925983,0.951807228915663
"EPS15:STK39",0.00534595975332413,0.000269807827925983,0.951807228915663
"KIF3A:VDAC2",0.00534595975332413,0.000269807827925983,0.951807228915663
"KIF3A:VDAC3",0.00534595975332413,0.000269807827925983,0.951807228915663
"KIF3A:VPS35",0.00534595975332413,0.000269807827925983,0.951807228915663
"PSMD1:NDFIP1",0.00534595975332413,0.000269807827925983,0.951807228915663
"RAN:HINT1",0.00534595975332413,0.000269807827925983,0.951807228915663
"STK39:PDHB",0.00534595975332413,0.000269807827925983,0.951807228915663
"TMEM30A:VDAC2",0.00534595975332413,0.000269807827925983,0.951807228915663
"UBE2V2:ARL6IP5",0.00534595975332413,0.000269807827925983,0.951807228915663
"USP14:ARL1",0.00534595975332413,0.000269807827925983,0.951807228915663
"VDAC2:CHCHD2",0.00534595975332413,0.000269807827925983,0.951807228915663
"VDAC3:ATP6V1E1",0.00534595975332413,0.000269807827925983,0.951807228915663
