"SUID","C9","corMean","FTLD","Int","interaction","name","PET","RAV","sALS","selected","shared interaction","shared name","VCP"
"6795094","0.761904762","0.73071267","0.814705882","VPS35:WASF1","interacts with","VPS35 (interacts with) WASF1","0.659313725","0.648351648","0.928571429","false","interacts with","VPS35 (interacts with) WASF1","0.571428571"
"6795093","0.619047619","0.772397292","0.652941176","VPS35:TAX1BP1","interacts with","VPS35 (interacts with) TAX1BP1","0.933823529","0.857142857","0.964285714","false","interacts with","VPS35 (interacts with) TAX1BP1","0.607142857"
"6795092","0.833333333","0.783328844","0.714705882","VPS35:SARAF","interacts with","VPS35 (interacts with) SARAF","0.81127451","0.626373626","0.964285714","false","interacts with","VPS35 (interacts with) SARAF","0.75"
"6795091","0.850314646","0.800625234","0.914705882","VPS35:RAN","interacts with","VPS35 (interacts with) RAN","0.656862745","0.917582418","0.928571429","false","interacts with","VPS35 (interacts with) RAN","0.535714286"
"6795090","0.738095238","0.804971091","0.791176471","VPS35:PSMC6","interacts with","VPS35 (interacts with) PSMC6","0.718137255","0.796703297","0.892857143","false","interacts with","VPS35 (interacts with) PSMC6","0.892857143"
"6795089","0.595238095","0.821203225","0.717647059","VPS35:PJA2","interacts with","VPS35 (interacts with) PJA2","0.963235294","0.82967033","1.0","false","interacts with","VPS35 (interacts with) PJA2","0.821428571"
"6795088","0.571428571","0.769977735","0.917647059","VPS35:NDFIP1","interacts with","VPS35 (interacts with) NDFIP1","0.87254902","0.686813187","1.0","false","interacts with","VPS35 (interacts with) NDFIP1","0.571428571"
"6794960","0.55090808","0.772548639","0.720588235","BCAS2:RNF11","interacts with","BCAS2 (interacts with) RNF11","0.899509804","0.785714286","0.964285714","false","interacts with","BCAS2 (interacts with) RNF11","0.714285714"
"6795087","0.619047619","0.74361578","0.908823529","VPS35:CLCN6","interacts with","VPS35 (interacts with) CLCN6","0.683823529","0.714285714","1.0","false","interacts with","VPS35 (interacts with) CLCN6","0.535714286"
"6794974","0.802409595","0.72479469","0.679411765","COPS2:ANKMY2","interacts with","COPS2 (interacts with) ANKMY2","0.509803922","0.571428571","0.857142857","false","interacts with","COPS2 (interacts with) ANKMY2","0.928571429"
"6795101","-0.586836868","-0.632884769","-0.705882353","CASP10:PSMC6","interacts with","CASP10 (interacts with) PSMC6","-0.558823529","-0.517194437","-0.714285714","false","interacts with","CASP10 (interacts with) PSMC6","-0.714285714"
"6795100","-0.571428571","-0.647384723","-0.685294118","BCL2:PSMC6","interacts with","BCL2 (interacts with) PSMC6","-0.580882353","-0.582417582","-0.821428571","false","interacts with","BCL2 (interacts with) PSMC6","-0.642857143"
"6795099","-0.547619048","-0.712380593","-0.567647059","BCL2:ATP6V1E1","interacts with","BCL2 (interacts with) ATP6V1E1","-0.661764706","-0.89010989","-0.892857143","false","interacts with","BCL2 (interacts with) ATP6V1E1","-0.714285714"
"6795098","0.952380952","0.87635567","0.897058824","ZC3H15:SARAF","interacts with","ZC3H15 (interacts with) SARAF","0.823529412","0.906593407","0.857142857","false","interacts with","ZC3H15 (interacts with) SARAF","0.821428571"
"6794970","0.595238095","0.706282769","0.797058824","CDC42:ARMC1","interacts with","CDC42 (interacts with) ARMC1","0.710784314","0.67032967","0.535714286","false","interacts with","CDC42 (interacts with) ARMC1","0.928571429"
"6795097","0.785714286","0.858694247","0.935294118","ZC3H15:PSMC6","interacts with","ZC3H15 (interacts with) PSMC6","0.705882353","0.868131868","0.892857143","false","interacts with","ZC3H15 (interacts with) PSMC6","0.964285714"
"6795096","0.670670707","0.794697901","0.920588235","ZC3H15:BCAS2","interacts with","ZC3H15 (interacts with) BCAS2","0.718137255","0.78021978","0.821428571","false","interacts with","ZC3H15 (interacts with) BCAS2","0.857142857"
"6795095","0.785714286","0.825435431","0.920588235","ZC3H15:ARMC1","interacts with","ZC3H15 (interacts with) ARMC1","0.825980392","0.741758242","0.785714286","false","interacts with","ZC3H15 (interacts with) ARMC1","0.892857143"
"6794981","0.874267171","0.771444694","0.770588235","EPS15:TBK1","interacts with","EPS15 (interacts with) TBK1","0.74754902","0.593406593","0.857142857","false","interacts with","EPS15 (interacts with) TBK1","0.785714286"
"6795108","-0.562884343","-0.636530246","-0.541176471","PCMT1:AAAS","interacts with","PCMT1 (interacts with) AAAS","-0.81127451","-0.582417582","-0.642857143","false","interacts with","PCMT1 (interacts with) AAAS","-0.678571429"
"6794980","0.538931818","0.728208093","0.764705882","EPS15:STK39","interacts with","EPS15 (interacts with) STK39","0.911764706","0.653846154","0.892857143","false","interacts with","EPS15 (interacts with) STK39","0.607142857"
"6795107","-0.598813131","-0.676265594","-0.861764706","NOTCH3:KIF3A","interacts with","NOTCH3 (interacts with) KIF3A","-0.651960784","-0.730769231","-0.571428571","false","interacts with","NOTCH3 (interacts with) KIF3A","-0.642857143"
"6794979","0.50300303","0.705871115","0.867647059","EPS15:PSMC6","interacts with","EPS15 (interacts with) PSMC6","0.779411765","0.620879121","0.892857143","false","interacts with","EPS15 (interacts with) PSMC6","0.571428571"
"6795103","-0.785714286","-0.623192739","-0.55","EFEMP2:MORF4L1","interacts with","EFEMP2 (interacts with) MORF4L1","-0.639705882","-0.549450549","-0.642857143","false","interacts with","EFEMP2 (interacts with) MORF4L1","-0.571428571"
"6794975","0.867532847","0.773905406","0.876470588","CUL1:ARMC1","interacts with","CUL1 (interacts with) ARMC1","0.87745098","0.664835165","0.75","false","interacts with","CUL1 (interacts with) ARMC1","0.607142857"
"6794989","0.718575757","0.682607398","0.894117647","HINT1:RPA3","interacts with","HINT1 (interacts with) RPA3","0.595588235","0.703296703","0.612637475","false","interacts with","HINT1 (interacts with) RPA3","0.571428571"
"6795116","-0.547619048","-0.62371346","-0.858823529","YBX1:PSMC6","interacts with","YBX1 (interacts with) PSMC6","-0.517156863","-0.532967033","-0.678571429","false","interacts with","YBX1 (interacts with) PSMC6","-0.607142857"
"6794988","0.813253012","0.709829337","0.952941176","HINT1:GOT1","interacts with","HINT1 (interacts with) GOT1","0.534313725","0.846153846","0.576599976","false","interacts with","HINT1 (interacts with) GOT1","0.535714286"
"6795115","-0.738095238","-0.632451699","-0.602941176","YBX1:PJA2","interacts with","YBX1 (interacts with) PJA2","-0.519607843","-0.576923077","-0.785714286","false","interacts with","YBX1 (interacts with) PJA2","-0.571428571"
"6794987","0.874267171","0.765864915","0.932352941","HINT1:CHCHD2","interacts with","HINT1 (interacts with) CHCHD2","0.700980392","0.653846154","0.576599976","false","interacts with","HINT1 (interacts with) CHCHD2","0.857142857"
"6795114","-0.753012048","-0.753295946","-0.682352941","U2AF2:BCAS2","interacts with","U2AF2 (interacts with) BCAS2","-0.710784314","-0.587912088","-0.964285714","false","interacts with","U2AF2 (interacts with) BCAS2","-0.821428571"
"6795113","-0.766480808","-0.73843954","-0.761764706","U2AF2:ARMC1","interacts with","U2AF2 (interacts with) ARMC1","-0.852941176","-0.549450549","-0.928571429","false","interacts with","U2AF2 (interacts with) ARMC1","-0.571428571"
"6795057","0.666666667","0.754988149","0.841176471","TMEM30A:ARMC1","interacts with","TMEM30A (interacts with) ARMC1","0.862745098","0.587912088","0.892857143","false","interacts with","TMEM30A (interacts with) ARMC1","0.678571429"
"6795070","0.538931818","0.730165286","0.779411765","U2AF2:ADAM15","interacts with","U2AF2 (interacts with) ADAM15","0.68627451","0.769230769","0.892857143","false","interacts with","U2AF2 (interacts with) ADAM15","0.714285714"
"6795069","0.880952381","0.675527006","0.614705882","TXNL1:PSMC2","interacts with","TXNL1 (interacts with) PSMC2","0.615196078","0.549450549","0.857142857","false","interacts with","TXNL1 (interacts with) PSMC2","0.535714286"
"6795068","0.850314646","0.752278075","0.882352941","TXNL1:ANKMY2","interacts with","TXNL1 (interacts with) ANKMY2","0.629901961","0.686813187","0.892857143","false","interacts with","TXNL1 (interacts with) ANKMY2","0.571428571"
"6795078","0.512347538","0.674206526","0.620588235","USP14:WASF1","interacts with","USP14 (interacts with) WASF1","0.725490196","0.686813187","0.892857143","false","interacts with","USP14 (interacts with) WASF1","0.607142857"
"6795077","0.53674504","0.781875628","0.670588235","USP14:PJA2","interacts with","USP14 (interacts with) PJA2","0.860294118","0.802197802","0.928571429","false","interacts with","USP14 (interacts with) PJA2","0.892857143"
"6794949","0.895334696","0.71412046","0.576470588","ARL1:YWHAQ","interacts with","ARL1 (interacts with) YWHAQ","0.843137255","0.576923077","0.75","false","interacts with","ARL1 (interacts with) YWHAQ","0.642857143"
"6794948","0.77337007","0.716967805","0.776470588","ARL1:TAX1BP1","interacts with","ARL1 (interacts with) TAX1BP1","0.870098039","0.631868132","0.642857143","false","interacts with","ARL1 (interacts with) TAX1BP1","0.607142857"
"6795075","0.829515062","0.807363873","0.861764706","UBE2V2:OAT","interacts with","UBE2V2 (interacts with) OAT","0.825980392","0.71978022","0.964285714","false","interacts with","UBE2V2 (interacts with) OAT","0.642857143"
"6794947","0.77337007","0.718791227","0.720588235","ARL1:PSMC6","interacts with","ARL1 (interacts with) PSMC6","0.862745098","0.527472527","0.714285714","false","interacts with","ARL1 (interacts with) PSMC6","0.714285714"
"6795074","0.634335047","0.779327334","0.935294118","UBE2V2:DNM1L","interacts with","UBE2V2 (interacts with) DNM1L","0.779411765","0.862637363","0.821428571","false","interacts with","UBE2V2 (interacts with) DNM1L","0.642857143"
"6794946","0.540131478","0.800958852","0.882352941","ARL1:PJA2","interacts with","ARL1 (interacts with) PJA2","0.965686275","0.774725275","0.75","false","interacts with","ARL1 (interacts with) PJA2","0.892857143"
"6795073","0.512347538","0.725943759","0.832352941","UBE2V2:DDX1","interacts with","UBE2V2 (interacts with) DDX1","0.909313725","0.637362637","0.821428571","false","interacts with","UBE2V2 (interacts with) DDX1","0.642857143"
