SUID,name,selected,shared name,Nugget
6794582,PDHB,FALSE,PDHB,TRUE
6794579,RAN,FALSE,RAN,TRUE
6794576,MORF4L1,FALSE,MORF4L1,TRUE
6794703,YBX1,FALSE,YBX1,TRUE
6794590,PPP3CA,FALSE,PPP3CA,TRUE
6794589,OAT,FALSE,OAT,TRUE
6794586,PFN2,FALSE,PFN2,TRUE
6794585,DDB1,FALSE,DDB1,TRUE
6794594,GARS,FALSE,GARS,TRUE
6794592,PSMD1,FALSE,PSMD1,TRUE
6794605,RASA1,FALSE,RASA1,TRUE
6794602,RANBP6,FALSE,RANBP6,TRUE
6794601,DDX1,FALSE,DDX1,TRUE
6794599,PSMD6,FALSE,PSMD6,TRUE
6794549,KIF3A,FALSE,KIF3A,TRUE
6794677,BCL2,FALSE,BCL2,TRUE
6794676,ATP6V1E1,FALSE,ATP6V1E1,TRUE
6794543,RPA3,FALSE,RPA3,TRUE
6794671,ZC3H15,FALSE,ZC3H15,TRUE
6794685,EFEMP2,FALSE,EFEMP2,TRUE
6794552,MAPRE2,FALSE,MAPRE2,TRUE
6794680,CASP10,FALSE,CASP10,TRUE
6794694,NOTCH3,FALSE,NOTCH3,TRUE
6794573,PCMT1,FALSE,PCMT1,TRUE
6794696,AAAS,FALSE,AAAS,TRUE
6794646,USP14,FALSE,USP14,TRUE
6794515,CUL1,FALSE,CUL1,TRUE
6794513,COPS2,FALSE,COPS2,TRUE
6794512,ANKMY2,FALSE,ANKMY2,TRUE
6794640,DNM1L,FALSE,DNM1L,TRUE
6794526,EPS15,FALSE,EPS15,TRUE
6794650,VDAC3,FALSE,VDAC3,TRUE
6794648,WASF1,FALSE,WASF1,TRUE
6794662,CLCN6,FALSE,CLCN6,TRUE
6794530,TBK1,FALSE,TBK1,TRUE
6794658,VPS35,FALSE,VPS35,TRUE
6794657,ARL6IP5,FALSE,ARL6IP5,TRUE
6794528,STK39,FALSE,STK39,TRUE
6794655,VDAC2,FALSE,VDAC2,TRUE
6794541,GOT1,FALSE,GOT1,TRUE
6794539,HINT1,FALSE,HINT1,TRUE
6794538,CHCHD2,FALSE,CHCHD2,TRUE
6794485,ANK2,FALSE,ANK2,TRUE
6794484,PAFAH1B1,FALSE,PAFAH1B1,TRUE
6794611,SKIV2L2,FALSE,SKIV2L2,TRUE
6794482,AGTPBP1,FALSE,AGTPBP1,TRUE
6794481,PSMC6,FALSE,PSMC6,TRUE
6794608,RNF14,FALSE,RNF14,TRUE
6794621,STAU1,FALSE,STAU1,TRUE
6794493,TAX1BP1,FALSE,TAX1BP1,TRUE
6794619,SNAP91,FALSE,SNAP91,TRUE
6794490,PJA2,FALSE,PJA2,TRUE
6794616,SNAP25,FALSE,SNAP25,TRUE
6794488,ARL1,FALSE,ARL1,TRUE
6794487,NDFIP1,FALSE,NDFIP1,TRUE
6794502,SARAF,FALSE,SARAF,TRUE
6794629,PSMC2,FALSE,PSMC2,TRUE
6794500,CDC123,FALSE,CDC123,TRUE
6794627,TXNL1,FALSE,TXNL1,TRUE
6794498,ATP6V1A,FALSE,ATP6V1A,TRUE
6794497,ARMC1,FALSE,ARMC1,TRUE
6794625,TMEM30A,FALSE,TMEM30A,TRUE
6794623,SUMO1,FALSE,SUMO1,TRUE
6794495,YWHAQ,FALSE,YWHAQ,TRUE
6794510,CDC42,FALSE,CDC42,TRUE
6794637,UBE2V2,FALSE,UBE2V2,TRUE
6794508,BCAS2,FALSE,BCAS2,TRUE
6794636,COPS5,FALSE,COPS5,TRUE
6794507,RNF11,FALSE,RNF11,TRUE
6794634,UBE2D2,FALSE,UBE2D2,TRUE
6794632,U2AF2,FALSE,U2AF2,TRUE
6794631,ADAM15,FALSE,ADAM15,TRUE
