Int,C9,sALS,FTLD,VCP,PET,RAV,corMean,Gene1,Gene2
AGTPBP1:PSMC6,0.666666667,0.892857143,0.85,0.535714286,0.696078431,0.686813187,0.721354952,AGTPBP1,PSMC6
ANK2:PAFAH1B1,0.523809524,0.785714286,0.776470588,0.642857143,0.924019608,0.928571429,0.763573763,ANK2,PAFAH1B1
ARL1:NDFIP1,0.797921501,0.75,0.926470588,0.678571429,0.960784314,0.631868132,0.790935994,ARL1,NDFIP1
ARL1:PJA2,0.540131478,0.75,0.882352941,0.892857143,0.965686275,0.774725275,0.800958852,ARL1,PJA2
ARL1:PSMC6,0.77337007,0.714285714,0.720588235,0.714285714,0.862745098,0.527472527,0.718791227,ARL1,PSMC6
ARL1:TAX1BP1,0.77337007,0.642857143,0.776470588,0.607142857,0.870098039,0.631868132,0.716967805,ARL1,TAX1BP1
ARL1:YWHAQ,0.895334696,0.75,0.576470588,0.642857143,0.843137255,0.576923077,0.71412046,ARL1,YWHAQ
ATP5C1:LAMTOR3,0.595238095,0.535714286,0.644117647,0.535714286,0.669117647,0.571428571,0.591888422,ATP5C1,LAMTOR3
ATP6V1A:ARMC1,0.642857143,0.928571429,0.826470588,0.714285714,0.862745098,0.78021978,0.792524959,ATP6V1A,ARMC1
ATP6V1A:CDC123,0.571428571,0.857142857,0.797058824,0.607142857,0.835784314,0.571428571,0.706664332,ATP6V1A,CDC123
ATP6V1A:SARAF,0.928571429,0.964285714,0.873529412,0.678571429,0.850490196,0.851648352,0.857849422,ATP6V1A,SARAF
B2M:FGR,0.536144578,0.821428571,0.9,0.607142857,0.50245098,0.67032967,0.67291611,B2M,FGR
BASP1:RSL1D1,0.69047619,0.821428571,0.835294118,0.642857143,0.607843137,0.571428571,0.694887955,BASP1,RSL1D1
BCAS2:RNF11,0.55090808,0.964285714,0.720588235,0.714285714,0.899509804,0.785714286,0.772548639,BCAS2,RNF11
CAMK1D:NUAK1,0.547619048,0.857142857,0.726470588,0.678571429,0.897058824,0.697802198,0.734110824,CAMK1D,NUAK1
CAND1:TXNDC9,0.682646969,0.642857143,0.661764706,0.535714286,0.705882353,0.615384615,0.640708345,CAND1,TXNDC9
CCDC85B:HDAC11,0.503152711,0.821428571,0.538235294,0.535714286,0.772058824,0.571428571,0.62366971,CCDC85B,HDAC11
CDC42:ARMC1,0.595238095,0.535714286,0.797058824,0.928571429,0.710784314,0.67032967,0.706282769,CDC42,ARMC1
CNOT6:RBBP8,0.706599495,0.642857143,0.702941176,0.642857143,0.600490196,0.521978022,0.636287196,CNOT6,RBBP8
COPS2:ANKMY2,0.802409595,0.857142857,0.679411765,0.928571429,0.509803922,0.571428571,0.72479469,COPS2,ANKMY2
CUL1:ARMC1,0.867532847,0.75,0.876470588,0.607142857,0.87745098,0.664835165,0.773905406,CUL1,ARMC1
CYFIP2:NECAP1,0.785714286,0.785714286,0.926470588,0.785714286,0.870098039,0.675824176,0.80492261,CYFIP2,NECAP1
DLG2:COPS3,0.761904762,0.964285714,0.717647059,0.535714286,0.605392157,0.747252747,0.722032787,DLG2,COPS3
DYNLT3:ALAS1,0.514979293,0.964285714,0.614705882,0.535714286,0.666666667,0.615384615,0.651956076,DYNLT3,ALAS1
EPS15:PSMC6,0.50300303,0.892857143,0.867647059,0.571428571,0.779411765,0.620879121,0.705871115,EPS15,PSMC6
EPS15:STK39,0.538931818,0.892857143,0.764705882,0.607142857,0.911764706,0.653846154,0.728208093,EPS15,STK39
EPS15:TBK1,0.874267171,0.857142857,0.770588235,0.785714286,0.74754902,0.593406593,0.771444694,EPS15,TBK1
FH:CCNH,0.910195959,0.857142857,0.741176471,0.785714286,0.610294118,0.565934066,0.745076293,FH,CCNH
GNAI2:FURIN,0.638144902,0.821428571,0.594117647,0.535714286,0.620098039,0.785714286,0.665869622,GNAI2,FURIN
HERC1:ZFPM2,0.73565212,0.714285714,0.805882353,0.785714286,0.629901961,0.60989011,0.713554424,HERC1,ZFPM2
HINT1:CHCHD2,0.874267171,0.576599976,0.932352941,0.857142857,0.700980392,0.653846154,0.765864915,HINT1,CHCHD2
HINT1:GOT1,0.813253012,0.576599976,0.952941176,0.535714286,0.534313725,0.846153846,0.709829337,HINT1,GOT1
HINT1:RPA3,0.718575757,0.612637475,0.894117647,0.571428571,0.595588235,0.703296703,0.682607398,HINT1,RPA3
HPRT1:DYNLT3,0.904761905,0.964285714,0.767647059,0.821428571,0.637254902,0.93956044,0.839156432,HPRT1,DYNLT3
HPRT1:MAGED1,0.547619048,0.964285714,0.841176471,0.785714286,0.781862745,0.637362637,0.75967015,HPRT1,MAGED1
HSPA9:RBBP7,0.718575757,0.785714286,0.517647059,0.535714286,0.730392157,0.505494505,0.632256342,HSPA9,RBBP7
KAT6A:PPP6R3,0.595238095,0.535714286,0.779411765,0.607142857,0.620098039,0.857142857,0.665791316,KAT6A,PPP6R3
KIF3A:PSMC6,0.666666667,0.892857143,0.873529412,0.964285714,0.776960784,0.642857143,0.802859477,KIF3A,PSMC6
KIF3A:SARAF,0.785714286,0.857142857,0.876470588,0.892857143,0.823529412,0.604395604,0.806684982,KIF3A,SARAF
LAMB2:NACC2,0.646718181,0.630656224,0.664705882,0.75,0.526960784,0.604395604,0.637239446,LAMB2,NACC2
MAPRE2:CDC123,0.585540044,0.785714286,0.620588235,0.642857143,0.769607843,0.642857143,0.674527449,MAPRE2,CDC123
MRPL9:NECAP1,0.738095238,0.928571429,0.591176471,0.571428571,0.671568627,0.642857143,0.690616246,MRPL9,NECAP1
