"SUID","C9","corMean","FTLD","Int","interaction","name","PET","RAV","sALS","selected","shared interaction","shared name","SrNo","V1","V2","VCP"
"1609","0.512347538","0.674206526","0.620588235","WASF1 (interacts with) USP14","interacts with","WASF1 (interacts with) USP14","0.725490196","0.686813187","0.892857143","false","interacts with","WASF1 (interacts with) USP14",,,,"0.607142857"
"1610","0.761904762","0.73071267","0.814705882","WASF1 (interacts with) VPS35","interacts with","WASF1 (interacts with) VPS35","0.659313725","0.648351648","0.928571429","false","interacts with","WASF1 (interacts with) VPS35",,,,"0.571428571"
"1611","0.69047619","0.717875099","0.847058824","VDAC2 (interacts with) VDAC3","interacts with","VDAC2 (interacts with) VDAC3","0.632352941","0.637362637","0.964285714","false","interacts with","VDAC2 (interacts with) VDAC3",,,,"0.535714286"
"1612","0.538931818","0.728208093","0.764705882","STK39 (interacts with) EPS15","interacts with","STK39 (interacts with) EPS15","0.911764706","0.653846154","0.892857143","false","interacts with","STK39 (interacts with) EPS15",,,,"0.607142857"
"1613","0.547619048","0.756800797","0.75","ARL6IP5 (interacts with) VPS35","interacts with","ARL6IP5 (interacts with) VPS35","0.556372549","0.82967033","1.0","false","interacts with","ARL6IP5 (interacts with) VPS35",,,,"0.857142857"
"1614","0.874267171","0.771444694","0.770588235","TBK1 (interacts with) EPS15","interacts with","TBK1 (interacts with) EPS15","0.74754902","0.593406593","0.857142857","false","interacts with","TBK1 (interacts with) EPS15",,,,"0.785714286"
"1615","0.619047619","0.74361578","0.908823529","CLCN6 (interacts with) VPS35","interacts with","CLCN6 (interacts with) VPS35","0.683823529","0.714285714","1.0","false","interacts with","CLCN6 (interacts with) VPS35",,,,"0.535714286"
"1616","0.874267171","0.765864915","0.932352941","CHCHD2 (interacts with) HINT1","interacts with","CHCHD2 (interacts with) HINT1","0.700980392","0.653846154","0.576599976","false","interacts with","CHCHD2 (interacts with) HINT1",,,,"0.857142857"
"1617","0.754504545","0.810632787","0.864705882","GOT1 (interacts with) VDAC3","interacts with","GOT1 (interacts with) VDAC3","0.772058824","0.901098901","0.928571429","false","interacts with","GOT1 (interacts with) VDAC3",,,,"0.642857143"
"1618","0.813253012","0.709829337","0.952941176","GOT1 (interacts with) HINT1","interacts with","GOT1 (interacts with) HINT1","0.534313725","0.846153846","0.576599976","false","interacts with","GOT1 (interacts with) HINT1",,,,"0.535714286"
"1619","0.761904762","0.728136896","0.817647059","RPA3 (interacts with) VDAC3","interacts with","RPA3 (interacts with) VDAC3","0.720588235","0.675824176","0.785714286","false","interacts with","RPA3 (interacts with) VDAC3",,,,"0.607142857"
"1620","0.718575757","0.682607398","0.894117647","RPA3 (interacts with) HINT1","interacts with","RPA3 (interacts with) HINT1","0.595588235","0.703296703","0.612637475","false","interacts with","RPA3 (interacts with) HINT1",,,,"0.571428571"
"1621","-0.547619048","-0.712380593","-0.567647059","ATP6V1E1 (interacts with) BCL2","interacts with","ATP6V1E1 (interacts with) BCL2","-0.661764706","-0.89010989","-0.892857143","false","interacts with","ATP6V1E1 (interacts with) BCL2",,,,"-0.714285714"
"1622","-0.598813131","-0.676265594","-0.861764706","KIF3A (interacts with) NOTCH3","interacts with","KIF3A (interacts with) NOTCH3","-0.651960784","-0.730769231","-0.571428571","false","interacts with","KIF3A (interacts with) NOTCH3",,,,"-0.642857143"
"1623","-0.562884343","-0.636530246","-0.541176471","AAAS (interacts with) PCMT1","interacts with","AAAS (interacts with) PCMT1","-0.81127451","-0.582417582","-0.642857143","false","interacts with","AAAS (interacts with) PCMT1",,,,"-0.678571429"
"1624","0.761904762","0.732853911","0.829411765","MORF4L1 (interacts with) PCMT1","interacts with","MORF4L1 (interacts with) PCMT1","0.651960784","0.725274725","0.821428571","false","interacts with","MORF4L1 (interacts with) PCMT1",,,,"0.607142857"
"1625","-0.785714286","-0.623192739","-0.55","MORF4L1 (interacts with) EFEMP2","interacts with","MORF4L1 (interacts with) EFEMP2","-0.639705882","-0.549450549","-0.642857143","false","interacts with","MORF4L1 (interacts with) EFEMP2",,,,"-0.571428571"
"1626","0.850314646","0.762163696","0.664705882","RAN (interacts with) STAU1","interacts with","RAN (interacts with) STAU1","0.656862745","0.615384615","0.964285714","false","interacts with","RAN (interacts with) STAU1",,,,"0.821428571"
"1627","0.682646969","0.777962349","0.835294118","RAN (interacts with) PFN2","interacts with","RAN (interacts with) PFN2","0.737745098","0.840659341","0.928571429","false","interacts with","RAN (interacts with) PFN2",,,,"0.642857143"
"1628","0.694623232","0.791174546","0.932352941","RAN (interacts with) PCMT1","interacts with","RAN (interacts with) PCMT1","0.779411765","0.912087912","0.821428571","false","interacts with","RAN (interacts with) PCMT1",,,,"0.607142857"
