disgene,Matching.Attribute,name,Nugget,selected,shared name
FALSE,PCMT1,PCMT1,TRUE,FALSE,PCMT1
FALSE,YBX1,YBX1,TRUE,FALSE,YBX1
FALSE,MORF4L1,MORF4L1,TRUE,FALSE,MORF4L1
FALSE,RAN,RAN,TRUE,FALSE,RAN
FALSE,PDHB,PDHB,TRUE,FALSE,PDHB
FALSE,DDB1,DDB1,TRUE,FALSE,DDB1
FALSE,PFN2,PFN2,TRUE,FALSE,PFN2
FALSE,OAT,OAT,TRUE,FALSE,OAT
FALSE,PPP3CA,PPP3CA,TRUE,FALSE,PPP3CA
FALSE,PSMD1,PSMD1,TRUE,FALSE,PSMD1
TRUE,GARS,GARS,TRUE,FALSE,GARS
FALSE,PSMD6,PSMD6,TRUE,FALSE,PSMD6
FALSE,DDX1,DDX1,TRUE,FALSE,DDX1
FALSE,RANBP6,RANBP6,TRUE,FALSE,RANBP6
FALSE,RASA1,RASA1,TRUE,FALSE,RASA1
FALSE,RNF14,RNF14,TRUE,FALSE,RNF14
FALSE,PSMC6,PSMC6,TRUE,FALSE,PSMC6
FALSE,AGTPBP1,AGTPBP1,TRUE,FALSE,AGTPBP1
FALSE,SKIV2L2,SKIV2L2,TRUE,FALSE,SKIV2L2
FALSE,PAFAH1B1,PAFAH1B1,TRUE,FALSE,PAFAH1B1
FALSE,ANK2,ANK2,TRUE,FALSE,ANK2
FALSE,NDFIP1,NDFIP1,TRUE,FALSE,NDFIP1
FALSE,ARL1,ARL1,TRUE,FALSE,ARL1
FALSE,SNAP25,SNAP25,TRUE,FALSE,SNAP25
FALSE,PJA2,PJA2,TRUE,FALSE,PJA2
FALSE,SNAP91,SNAP91,TRUE,FALSE,SNAP91
FALSE,TAX1BP1,TAX1BP1,TRUE,FALSE,TAX1BP1
FALSE,STAU1,STAU1,TRUE,FALSE,STAU1
FALSE,YWHAQ,YWHAQ,TRUE,FALSE,YWHAQ
FALSE,SUMO1,SUMO1,TRUE,FALSE,SUMO1
FALSE,ARMC1,ARMC1,TRUE,FALSE,ARMC1
FALSE,TMEM30A,TMEM30A,TRUE,FALSE,TMEM30A
FALSE,ATP6V1A,ATP6V1A,TRUE,FALSE,ATP6V1A
FALSE,TXNL1,TXNL1,TRUE,FALSE,TXNL1
FALSE,CDC123,CDC123,TRUE,FALSE,CDC123
FALSE,PSMC2,PSMC2,TRUE,FALSE,PSMC2
FALSE,SARAF,SARAF,TRUE,FALSE,SARAF
FALSE,ADAM15,ADAM15,TRUE,FALSE,ADAM15
FALSE,U2AF2,U2AF2,TRUE,FALSE,U2AF2
FALSE,UBE2D2,UBE2D2,TRUE,FALSE,UBE2D2
FALSE,RNF11,RNF11,TRUE,FALSE,RNF11
FALSE,BCAS2,BCAS2,TRUE,FALSE,BCAS2
FALSE,COPS5,COPS5,TRUE,FALSE,COPS5
FALSE,UBE2V2,UBE2V2,TRUE,FALSE,UBE2V2
FALSE,CDC42,CDC42,TRUE,FALSE,CDC42
FALSE,ANKMY2,ANKMY2,TRUE,FALSE,ANKMY2
FALSE,DNM1L,DNM1L,TRUE,FALSE,DNM1L
FALSE,COPS2,COPS2,TRUE,FALSE,COPS2
FALSE,CUL1,CUL1,TRUE,FALSE,CUL1
FALSE,USP14,USP14,TRUE,FALSE,USP14
TRUE,MATR3,MATR3,FALSE,FALSE,MATR3
TRUE,PARK7,PARK7,FALSE,FALSE,PARK7
TRUE,UBQLN2,UBQLN2,FALSE,FALSE,UBQLN2
TRUE,DISC1,DISC1,FALSE,FALSE,DISC1
TRUE,OPTN,OPTN,FALSE,FALSE,OPTN
TRUE,SYT9,SYT9,FALSE,FALSE,SYT9
TRUE,GRB14,GRB14,FALSE,FALSE,GRB14
TRUE,CNTF,CNTF,FALSE,FALSE,CNTF
TRUE,AR,AR,FALSE,FALSE,AR
TRUE,APEX1,APEX1,FALSE,FALSE,APEX1
TRUE,VDR,VDR,FALSE,FALSE,VDR
TRUE,KIFAP3,KIFAP3,FALSE,FALSE,KIFAP3
TRUE,RNASE2,RNASE2,FALSE,FALSE,RNASE2
TRUE,PFN1,PFN1,FALSE,FALSE,PFN1
TRUE,ARHGEF28,ARHGEF28,FALSE,FALSE,ARHGEF28
TRUE,SQSTM1,SQSTM1,FALSE,FALSE,SQSTM1
TRUE,ZNF512B,ZNF512B,FALSE,FALSE,ZNF512B
TRUE,DCTN1,DCTN1,FALSE,FALSE,DCTN1
TRUE,TUBA4A,TUBA4A,FALSE,FALSE,TUBA4A
TRUE,SMN1,SMN1,FALSE,FALSE,SMN1
TRUE,GFAP,GFAP,FALSE,FALSE,GFAP
TRUE,DYNC1H1,DYNC1H1,FALSE,FALSE,DYNC1H1
TRUE,APOE,APOE,FALSE,FALSE,APOE
TRUE,VAPB,VAPB,FALSE,FALSE,VAPB
TRUE,ALS2,ALS2,FALSE,FALSE,ALS2
TRUE,HTT,HTT,FALSE,FALSE,HTT
TRUE,RNF19A,RNF19A,FALSE,FALSE,RNF19A
TRUE,SPAST,SPAST,FALSE,FALSE,SPAST
TRUE,DIAPH3,DIAPH3,FALSE,FALSE,DIAPH3
TRUE,VCP,VCP,FALSE,FALSE,VCP
TRUE,EWSR1,EWSR1,FALSE,FALSE,EWSR1
TRUE,HNRNPA1,HNRNPA1,FALSE,FALSE,HNRNPA1
TRUE,SIGMAR1,SIGMAR1,FALSE,FALSE,SIGMAR1
TRUE,TAF15,TAF15,FALSE,FALSE,TAF15
TRUE,PSEN1,PSEN1,FALSE,FALSE,PSEN1
TRUE,SCN1A,SCN1A,FALSE,FALSE,SCN1A
FALSE,WASF1,WASF1,TRUE,FALSE,WASF1
FALSE,VDAC3,VDAC3,TRUE,FALSE,VDAC3
FALSE,EPS15,EPS15,TRUE,FALSE,EPS15
FALSE,VDAC2,VDAC2,TRUE,FALSE,VDAC2
FALSE,STK39,STK39,TRUE,FALSE,STK39
FALSE,ARL6IP5,ARL6IP5,TRUE,FALSE,ARL6IP5
TRUE,TBK1,TBK1,TRUE,FALSE,TBK1
FALSE,VPS35,VPS35,TRUE,FALSE,VPS35
FALSE,CLCN6,CLCN6,TRUE,FALSE,CLCN6
FALSE,CHCHD2,CHCHD2,TRUE,FALSE,CHCHD2
FALSE,HINT1,HINT1,TRUE,FALSE,HINT1
FALSE,GOT1,GOT1,TRUE,FALSE,GOT1
FALSE,ZC3H15,ZC3H15,TRUE,FALSE,ZC3H15
FALSE,RPA3,RPA3,TRUE,FALSE,RPA3
FALSE,ATP6V1E1,ATP6V1E1,TRUE,FALSE,ATP6V1E1
FALSE,BCL2,BCL2,TRUE,FALSE,BCL2
FALSE,KIF3A,KIF3A,TRUE,FALSE,KIF3A
FALSE,CASP10,CASP10,TRUE,FALSE,CASP10
FALSE,MAPRE2,MAPRE2,TRUE,FALSE,MAPRE2
FALSE,EFEMP2,EFEMP2,TRUE,FALSE,EFEMP2
FALSE,NOTCH3,NOTCH3,TRUE,FALSE,NOTCH3
FALSE,AAAS,AAAS,TRUE,FALSE,AAAS
