"","p.adj","p.vec","reg.mat"
"AAAS:CHCHD2",0.984971098265896,0.333333333333333,-1
"AAAS:COPS5",0.984971098265896,0.333333333333333,-1
"AAAS:DDB1",0.984971098265896,0.333333333333333,1
"AAAS:MAPRE2",0.984971098265896,0.333333333333333,-1
"AAAS:OAT",0.984971098265896,0.333333333333333,-1
"AAAS:TBK1",0.984971098265896,0.333333333333333,-1
"ADAM15:AGTPBP1",0.984971098265896,0.333333333333333,-1
"ADAM15:ANK2",0.984971098265896,0.333333333333333,1
"ADAM15:ATP6V1E1",0.984971098265896,0.333333333333333,-1
"ADAM15:BCAS2",0.984971098265896,0.333333333333333,-1
"ADAM15:CDC123",0.984971098265896,0.333333333333333,-1
"ADAM15:EFEMP2",0.984971098265896,0.333333333333333,-1
"ADAM15:EPS15",0.984971098265896,0.333333333333333,-1
"ADAM15:KIF3A",0.984971098265896,0.333333333333333,1
"ADAM15:NDFIP1",0.984971098265896,0.333333333333333,1
"ADAM15:PFN2",0.984971098265896,0.333333333333333,-1
"ADAM15:PJA2",0.984971098265896,0.333333333333333,-1
"ADAM15:PSMC6",0.984971098265896,0.333333333333333,-1
"ADAM15:PSMD6",0.984971098265896,0.333333333333333,-1
"ADAM15:RANBP6",0.984971098265896,0.333333333333333,-1
"ADAM15:RNF11",0.984971098265896,0.333333333333333,-1
"ADAM15:RNF14",0.984971098265896,0.333333333333333,1
"ADAM15:RPA3",0.984971098265896,0.333333333333333,-1
"ADAM15:SUMO1",0.984971098265896,0.333333333333333,-1
"ADAM15:TAX1BP1",0.984971098265896,0.333333333333333,-1
"ADAM15:USP14",0.984971098265896,0.333333333333333,1
"AGTPBP1:BCAS2",0.984971098265896,0.333333333333333,1
"AGTPBP1:EFEMP2",0.984971098265896,0.333333333333333,1
"AGTPBP1:EPS15",0.984971098265896,0.333333333333333,1
"AGTPBP1:NDFIP1",0.984971098265896,0.333333333333333,-1
"AGTPBP1:PFN2",0.984971098265896,0.333333333333333,1
"AGTPBP1:PSMC6",0.984971098265896,0.333333333333333,1
"AGTPBP1:RNF11",0.984971098265896,0.333333333333333,1
"ANK2:AGTPBP1",0.984971098265896,0.333333333333333,-1
"ANK2:BCAS2",0.984971098265896,0.333333333333333,-1
"ANK2:EFEMP2",0.984971098265896,0.333333333333333,-1
"ANK2:EPS15",0.984971098265896,0.333333333333333,-1
"ANK2:NDFIP1",0.984971098265896,0.333333333333333,1
"ANK2:PFN2",0.984971098265896,0.333333333333333,-1
"ANK2:PSMC6",0.984971098265896,0.333333333333333,-1
"ANK2:RNF11",0.984971098265896,0.333333333333333,-1
"ANKMY2:AAAS",0.984971098265896,0.333333333333333,-1
"ANKMY2:ARL1",0.984971098265896,0.333333333333333,1
"ANKMY2:BCL2",0.984971098265896,0.333333333333333,1
"ANKMY2:CDC42",0.984971098265896,0.333333333333333,-1
"ANKMY2:CHCHD2",0.984971098265896,0.333333333333333,1
"ANKMY2:COPS2",0.984971098265896,0.333333333333333,1
"ANKMY2:COPS5",0.984971098265896,0.333333333333333,1
"ANKMY2:CUL1",0.984971098265896,0.333333333333333,1
"ANKMY2:DDB1",0.984971098265896,0.333333333333333,-1
"ANKMY2:HINT1",0.984971098265896,0.333333333333333,1
"ANKMY2:MAPRE2",0.984971098265896,0.333333333333333,1
"ANKMY2:MORF4L1",0.984971098265896,0.333333333333333,1
"ANKMY2:NOTCH3",0.984971098265896,0.333333333333333,-1
"ANKMY2:OAT",0.984971098265896,0.333333333333333,1
"ANKMY2:PCMT1",0.984971098265896,0.333333333333333,1
"ANKMY2:PSMC2",0.984971098265896,0.333333333333333,-1
"ANKMY2:PSMD1",0.984971098265896,0.333333333333333,1
"ANKMY2:SKIV2L2",0.984971098265896,0.333333333333333,1
"ANKMY2:STK39",0.984971098265896,0.333333333333333,-1
"ANKMY2:TBK1",0.984971098265896,0.333333333333333,1
"ANKMY2:TMEM30A",0.984971098265896,0.333333333333333,1
"ANKMY2:TXNL1",0.984971098265896,0.333333333333333,-1
"ANKMY2:YWHAQ",0.984971098265896,0.333333333333333,-1
"ARL1:AAAS",0.984971098265896,0.333333333333333,-1
"ARL1:BCL2",0.984971098265896,0.333333333333333,1
"ARL1:CDC42",0.984971098265896,0.333333333333333,-1
"ARL1:CHCHD2",0.984971098265896,0.333333333333333,1
"ARL1:COPS2",0.984971098265896,0.333333333333333,1
"ARL1:COPS5",0.984971098265896,0.333333333333333,1
"ARL1:CUL1",0.984971098265896,0.333333333333333,1
"ARL1:DDB1",0.984971098265896,0.333333333333333,-1
"ARL1:HINT1",0.984971098265896,0.333333333333333,1
"ARL1:MAPRE2",0.984971098265896,0.333333333333333,1
"ARL1:MORF4L1",0.984971098265896,0.333333333333333,1
"ARL1:NOTCH3",0.984971098265896,0.333333333333333,-1
"ARL1:OAT",0.984971098265896,0.333333333333333,1
"ARL1:PCMT1",0.984971098265896,0.333333333333333,1
"ARL1:SKIV2L2",0.984971098265896,0.333333333333333,1
"ARL1:TBK1",0.984971098265896,0.333333333333333,1
"ARL1:TMEM30A",0.984971098265896,0.333333333333333,1
"ARL1:TXNL1",0.984971098265896,0.333333333333333,-1
"ARL1:YWHAQ",0.984971098265896,0.333333333333333,-1
