IntType,name
PPI,CHGB (interacts with) ATXN2
PPI,MATR3 (interacts with) DISC1
PPI,UBQLN2 (interacts with) RNF11
PPI,OPTN (interacts with) TBK1
PPI,OPTN (interacts with) RNF11
PPI,LMNB1 (interacts with) PRPH
PPI,SNAP25 (interacts with) SYT9
PPI,EPS15 (interacts with) RNF11
PPI,SNAP91 (interacts with) EPS15
PPI,TAX1BP1 (interacts with) RNF11
PPI,AR (interacts with) RNF14
PPI,AR (interacts with) PARK7
PPI,AR (interacts with) RAN
PPI,UBE2D2 (interacts with) RNF14
PPI,UBE2D2 (interacts with) RNF11
PPI,PJA2 (interacts with) UBE2D2
PPI,APEX1 (interacts with) DCTN1
PPI,APEX1 (interacts with) YBX1
PPI,ATP6V1E1 (interacts with) YBX1
PPI,VDR (interacts with) RNF14
PPI,VDR (interacts with) COPS2
PPI,CDC123 (interacts with) ZNF512B
PPI,COPS2 (interacts with) DDB1
PPI,KIFAP3 (interacts with) KIF3A
PPI,RNASE2 (interacts with) YWHAQ
PPI,PFN1 (interacts with) WASF1
PPI,PFN1 (interacts with) YWHAQ
PPI,YWHAQ (interacts with) DISC1
PPI,YWHAQ (interacts with) DYNC1H1
PPI,YWHAQ (interacts with) VCP
PPI,YWHAQ (interacts with) RNF11
PPI,TBK1 (interacts with) RNF11
PPI,RASA1 (interacts with) HTT
PPI,SQSTM1 (interacts with) OPTN
PPI,SQSTM1 (interacts with) GRB14
PPI,SQSTM1 (interacts with) ARHGEF28
PPI,PFN2 (interacts with) WASF1
PPI,PFN2 (interacts with) HTT
PPI,PAFAH1B1 (interacts with) DISC1
PPI,PAFAH1B1 (interacts with) DCTN1
PPI,PAFAH1B1 (interacts with) DYNC1H1
PPI,ZNF512B (interacts with) VPS35
PPI,DCTN1 (interacts with) KIF3A
PPI,DCTN1 (interacts with) ZNF512B
PPI,DCTN1 (interacts with) DISC1
PPI,DCTN1 (interacts with) DYNC1H1
PPI,TUBA4A (interacts with) PSMD1
PPI,YBX1 (interacts with) DYNC1H1
PPI,YBX1 (interacts with) EWSR1
PPI,YBX1 (interacts with) TUBA4A
PPI,PSMD1 (interacts with) RNF11
PPI,PSMC6 (interacts with) PSMD6
PPI,PSMC6 (interacts with) PSMD1
PPI,PSMC2 (interacts with) PSMD6
PPI,PSMC2 (interacts with) SQSTM1
PPI,PSMC2 (interacts with) PSMD1
PPI,PSMC2 (interacts with) USP14
PPI,PSMC2 (interacts with) YBX1
PPI,PSMC2 (interacts with) PSMC6
PPI,GFAP (interacts with) PSEN1
