"hgnc_symbol","uniprotswissprot"
"PAFAH1B1","P43034"
"TAX1BP1","Q86VP1"
"GARS","P41250"
"SNAP91","O60641"
"USP14","P54578"
"VDAC2","P45880"
"WASF1","Q92558"
"VDAC3","Q9Y277"
"PPP3CA","Q08209"
"TBK1","Q9UHD2"
"RANBP6","O60518"
"YBX1","P67809"
"RNF11","Q9Y3C5"
"MORF4L1","Q9UBU8"
"ATP6V1E1","P36543"
"PSMD6","Q15008"
"CASP10","Q92851"
"COPS2","P61201"
"ATP6V1A","P38606"
"MAPRE2","Q15555"
"SARAF","Q96BY9"
"VPS35","Q96QK1"
"BCL2","P10415"
"CDC123","O75794"
"EPS15","P42566"
"PSMD1","Q99460"
"CHCHD2","Q9Y6H1"
"CLCN6","P51797"
"DDB1","Q16531"
"GOT1","P17174"
"SKIV2L2","P42285"
"TXNL1","O43396"
"PFN2","P35080"
"NOTCH3","Q9UM47"
"COPS5","Q92905"
"ZC3H15","Q8WU90"
"SNAP25","P60880"
"RPA3","P35244"
"TMEM30A","Q9NV96"
"ANKMY2","Q8IV38"
"U2AF2","P26368"
"SUMO1","P63165"
"ADAM15","Q13444"
"DDX1","Q92499"
"ANK2","Q01484"
"PDHB","P11177"
"YWHAQ","P27348"
"UBE2V2","Q15819"
"STAU1","O95793"
"PSMC6","P62333"
"DNM1L","O00429"
"ARL1","P40616"
"OAT","P04181"
"ARL6IP5","O75915"
"HINT1","P49773"
"ARMC1","Q9NVT9"
"AAAS","Q9NRG9"
"CDC42","P60953"
"AGTPBP1","Q9UPW5"
"PJA2","O43164"
"EFEMP2","O95967"
"KIF3A","Q9Y496"
"PSMC2","P35998"
"BCAS2","O75934"
"RAN","P62826"
"STK39","Q9UEW8"
"RASA1","P20936"
"UBE2D2","P62837"
"RNF14","Q9UBS8"
"CUL1","Q13616"
"NDFIP1","Q9BT67"
"PCMT1","P22061"
