"","p.adj","p.vec","reg.mat"
"AAAS:ARL6IP5",0.773841961852861,0.333333333333333,1
"AAAS:CDC123",0.773841961852861,0.333333333333333,1
"AAAS:PSMD6",0.773841961852861,0.333333333333333,-1
"AAAS:SUMO1",0.773841961852861,0.333333333333333,-1
"AAAS:UBE2D2",0.773841961852861,0.333333333333333,1
"ADAM15:ARMC1",0.773841961852861,0.333333333333333,1
"ADAM15:PSMC6",0.773841961852861,0.333333333333333,-1
"ADAM15:RNF11",0.773841961852861,0.333333333333333,-1
"ADAM15:SARAF",0.773841961852861,0.333333333333333,-1
"AGTPBP1:ANKMY2",0.773841961852861,0.333333333333333,1
"AGTPBP1:ATP6V1E1",0.773841961852861,0.333333333333333,1
"AGTPBP1:BCAS2",0.773841961852861,0.333333333333333,1
"AGTPBP1:CDC42",0.773841961852861,0.333333333333333,-1
"AGTPBP1:CHCHD2",0.773841961852861,0.333333333333333,1
"AGTPBP1:CLCN6",0.773841961852861,0.333333333333333,1
"AGTPBP1:COPS2",0.773841961852861,0.333333333333333,1
"AGTPBP1:COPS5",0.773841961852861,0.333333333333333,1
"AGTPBP1:DDB1",0.773841961852861,0.333333333333333,1
"AGTPBP1:DDX1",0.773841961852861,0.333333333333333,1
"AGTPBP1:EFEMP2",0.773841961852861,0.333333333333333,1
"AGTPBP1:GARS",0.773841961852861,0.333333333333333,1
"AGTPBP1:GOT1",0.773841961852861,0.333333333333333,1
"AGTPBP1:NDFIP1",0.773841961852861,0.333333333333333,1
"AGTPBP1:PAFAH1B1",0.773841961852861,0.333333333333333,1
"AGTPBP1:PDHB",0.773841961852861,0.333333333333333,1
"AGTPBP1:RAN",0.773841961852861,0.333333333333333,1
"AGTPBP1:RASA1",0.773841961852861,0.333333333333333,1
"AGTPBP1:SNAP91",0.773841961852861,0.333333333333333,1
"AGTPBP1:STK39",0.773841961852861,0.333333333333333,1
"AGTPBP1:TBK1",0.773841961852861,0.333333333333333,1
"AGTPBP1:TMEM30A",0.773841961852861,0.333333333333333,1
"AGTPBP1:USP14",0.773841961852861,0.333333333333333,1
"AGTPBP1:VDAC2",0.773841961852861,0.333333333333333,1
"AGTPBP1:WASF1",0.773841961852861,0.333333333333333,1
"AGTPBP1:YWHAQ",0.773841961852861,0.333333333333333,1
"AGTPBP1:ZC3H15",0.773841961852861,0.333333333333333,-1
"ANK2:AAAS",0.773841961852861,0.333333333333333,-1
"ANK2:ARL6IP5",0.773841961852861,0.333333333333333,-1
"ANK2:CDC123",0.773841961852861,0.333333333333333,-1
"ANK2:PSMD6",0.773841961852861,0.333333333333333,1
"ANK2:RPA3",0.773841961852861,0.333333333333333,-1
"ANK2:SNAP25",0.773841961852861,0.333333333333333,-1
"ANK2:SUMO1",0.773841961852861,0.333333333333333,1
"ANK2:UBE2D2",0.773841961852861,0.333333333333333,-1
"ANKMY2:CHCHD2",0.773841961852861,0.333333333333333,1
"ANKMY2:DDX1",0.773841961852861,0.333333333333333,1
"ANKMY2:GARS",0.773841961852861,0.333333333333333,1
"ARL1:AAAS",0.773841961852861,0.333333333333333,1
"ARL1:ANK2",0.773841961852861,0.333333333333333,-1
"ARL1:ARL6IP5",0.773841961852861,0.333333333333333,1
"ARL1:CDC123",0.773841961852861,0.333333333333333,1
"ARL1:PSMD6",0.773841961852861,0.333333333333333,-1
"ARL1:RPA3",0.773841961852861,0.333333333333333,1
"ARL1:SNAP25",0.773841961852861,0.333333333333333,1
"ARL1:SUMO1",0.773841961852861,0.333333333333333,-1
"ARL1:UBE2D2",0.773841961852861,0.333333333333333,1
"ARL6IP5:CDC123",0.773841961852861,0.333333333333333,1
"ARL6IP5:PSMD6",0.773841961852861,0.333333333333333,-1
"ARL6IP5:SUMO1",0.773841961852861,0.333333333333333,-1
"ARL6IP5:UBE2D2",0.773841961852861,0.333333333333333,1
"ARMC1:RNF11",0.773841961852861,0.333333333333333,-1
"ATP6V1A:AGTPBP1",0.773841961852861,0.333333333333333,1
"ATP6V1A:ANKMY2",0.773841961852861,0.333333333333333,1
"ATP6V1A:ATP6V1E1",0.773841961852861,0.333333333333333,1
"ATP6V1A:BCAS2",0.773841961852861,0.333333333333333,1
"ATP6V1A:CDC42",0.773841961852861,0.333333333333333,-1
"ATP6V1A:CHCHD2",0.773841961852861,0.333333333333333,1
"ATP6V1A:CLCN6",0.773841961852861,0.333333333333333,1
"ATP6V1A:COPS2",0.773841961852861,0.333333333333333,1
"ATP6V1A:COPS5",0.773841961852861,0.333333333333333,1
"ATP6V1A:DDB1",0.773841961852861,0.333333333333333,1
"ATP6V1A:DDX1",0.773841961852861,0.333333333333333,1
"ATP6V1A:EFEMP2",0.773841961852861,0.333333333333333,1
"ATP6V1A:GARS",0.773841961852861,0.333333333333333,1
"ATP6V1A:GOT1",0.773841961852861,0.333333333333333,1
"ATP6V1A:KIF3A",0.773841961852861,0.333333333333333,1
"ATP6V1A:MAPRE2",0.773841961852861,0.333333333333333,1
"ATP6V1A:NDFIP1",0.773841961852861,0.333333333333333,1
"ATP6V1A:PAFAH1B1",0.773841961852861,0.333333333333333,1
"ATP6V1A:PDHB",0.773841961852861,0.333333333333333,1
"ATP6V1A:PFN2",0.773841961852861,0.333333333333333,1
"ATP6V1A:PSMD1",0.773841961852861,0.333333333333333,1
"ATP6V1A:RAN",0.773841961852861,0.333333333333333,1
"ATP6V1A:RASA1",0.773841961852861,0.333333333333333,1
"ATP6V1A:SNAP91",0.773841961852861,0.333333333333333,1
"ATP6V1A:STK39",0.773841961852861,0.333333333333333,1
"ATP6V1A:TBK1",0.773841961852861,0.333333333333333,1
"ATP6V1A:TMEM30A",0.773841961852861,0.333333333333333,1
"ATP6V1A:USP14",0.773841961852861,0.333333333333333,1
"ATP6V1A:VDAC2",0.773841961852861,0.333333333333333,1
"ATP6V1A:WASF1",0.773841961852861,0.333333333333333,1
"ATP6V1A:YWHAQ",0.773841961852861,0.333333333333333,1
"ATP6V1A:ZC3H15",0.773841961852861,0.333333333333333,-1
"ATP6V1E1:ANKMY2",0.773841961852861,0.333333333333333,1
"ATP6V1E1:BCAS2",0.773841961852861,0.333333333333333,1
"ATP6V1E1:CHCHD2",0.773841961852861,0.333333333333333,1
"ATP6V1E1:CLCN6",0.773841961852861,0.333333333333333,1
"ATP6V1E1:COPS2",0.773841961852861,0.333333333333333,1
"ATP6V1E1:COPS5",0.773841961852861,0.333333333333333,1
"ATP6V1E1:DDB1",0.773841961852861,0.333333333333333,1
"ATP6V1E1:DDX1",0.773841961852861,0.333333333333333,1
"ATP6V1E1:GARS",0.773841961852861,0.333333333333333,1
"ATP6V1E1:GOT1",0.773841961852861,0.333333333333333,1
"ATP6V1E1:NDFIP1",0.773841961852861,0.333333333333333,1
"ATP6V1E1:TBK1",0.773841961852861,0.333333333333333,1
"ATP6V1E1:TMEM30A",0.773841961852861,0.333333333333333,1
"ATP6V1E1:VDAC2",0.773841961852861,0.333333333333333,1
"ATP6V1E1:WASF1",0.773841961852861,0.333333333333333,1
"ATP6V1E1:ZC3H15",0.773841961852861,0.333333333333333,-1
"BCAS2:ANKMY2",0.773841961852861,0.333333333333333,1
"BCAS2:CHCHD2",0.773841961852861,0.333333333333333,1
"BCAS2:CLCN6",0.773841961852861,0.333333333333333,1
"BCAS2:COPS5",0.773841961852861,0.333333333333333,1
"BCAS2:DDX1",0.773841961852861,0.333333333333333,1
"BCAS2:GARS",0.773841961852861,0.333333333333333,1
"BCAS2:NDFIP1",0.773841961852861,0.333333333333333,1
"BCAS2:TBK1",0.773841961852861,0.333333333333333,1
"BCAS2:TMEM30A",0.773841961852861,0.333333333333333,1
"BCL2:ADAM15",0.773841961852861,0.333333333333333,-1
"BCL2:ARMC1",0.773841961852861,0.333333333333333,-1
"BCL2:EPS15",0.773841961852861,0.333333333333333,1
"BCL2:MORF4L1",0.773841961852861,0.333333333333333,1
"BCL2:OAT",0.773841961852861,0.333333333333333,1
"BCL2:PJA2",0.773841961852861,0.333333333333333,1
"BCL2:PSMC6",0.773841961852861,0.333333333333333,1
"BCL2:RANBP6",0.773841961852861,0.333333333333333,1
"BCL2:RNF11",0.773841961852861,0.333333333333333,1
"BCL2:SARAF",0.773841961852861,0.333333333333333,1
"BCL2:SKIV2L2",0.773841961852861,0.333333333333333,1
"BCL2:STAU1",0.773841961852861,0.333333333333333,1
