"SUID","EdgeBetweenness","interaction","name","p.adj","p.vec","reg.mat","selected","shared interaction","shared name","X"
"9932475","390.0","interacts with","PAM (interacts with) RNF14","0.448780165372471","0.235714285714286","0.535714285714286","false","interacts with","PAM (interacts with) RNF14","RNF14:PAM"
"9932476","362.22368742","interacts with","LRRC40 (interacts with) CDC42","0.265737005578696","0.0880952380952381","0.714285714285714","false","interacts with","LRRC40 (interacts with) CDC42","CDC42:LRRC40"
"9932477","1040.65510046","interacts with","LRRC40 (interacts with) YBX1","0.846554537547995","0.114980158730159","0.75","false","interacts with","LRRC40 (interacts with) YBX1","YBX1:LRRC40"
"9932478","463.41212121","interacts with","LRRC40 (interacts with) ANK2","0.265737005578696","0.0880952380952381","0.714285714285714","false","interacts with","LRRC40 (interacts with) ANK2","ANK2:LRRC40"
"9932479","776.0","interacts with","LRRC40 (interacts with) WASF2","0.409830052785837","0.2","-0.571428571428571","false","interacts with","LRRC40 (interacts with) WASF2","WASF2:LRRC40"
"9932480","390.0","interacts with","LRRC40 (interacts with) ELP3","0.0718586588842205","0.00277777777777778","0.964285714285714","false","interacts with","LRRC40 (interacts with) ELP3","ELP3:LRRC40"
"9932481","390.0","interacts with","GARS (interacts with) CALD1","0.337886344327174","0.138888888888889","0.642857142857143","false","interacts with","GARS (interacts with) CALD1","CALD1:GARS"
"9932482","776.0","interacts with","GARS (interacts with) PSMD1","0.297098604729228","0.10952380952381","0.678571428571428","false","interacts with","GARS (interacts with) PSMD1","PSMD1:GARS"
"9932483","2413.80555556","interacts with","DDB1 (interacts with) PFN2","0.168425923122207","0.0341269841269841","0.821428571428571","false","interacts with","DDB1 (interacts with) PFN2","PFN2:DDB1"
"9932484","2101.04365079","interacts with","DDB1 (interacts with) CLK1","0.0125076458183542","5.29615351564429E-7","-0.763736263736264","false","interacts with","DDB1 (interacts with) CLK1","CLK1:DDB1"
"9932485","1536.0","interacts with","HSPE1 (interacts with) ATP6V1A","0.051975842430622","3.96825396825397E-4","1.0","false","interacts with","HSPE1 (interacts with) ATP6V1A","ATP6V1A:HSPE1"
"9932486","390.0","interacts with","HSPE1 (interacts with) PSMD12","0.0718586588842205","0.00277777777777778","0.964285714285714","false","interacts with","HSPE1 (interacts with) PSMD12","PSMD12:HSPE1"
"9932487","390.0","interacts with","HSPE1 (interacts with) GOLIM4","0.337886344327174","0.138888888888889","-0.642857142857143","false","interacts with","HSPE1 (interacts with) GOLIM4","GOLIM4:HSPE1"
"9932488","390.0","interacts with","HSPE1 (interacts with) VDAC1","0.0718586588842205","0.00277777777777778","-0.714285714285714","false","interacts with","HSPE1 (interacts with) VDAC1","VDAC1:HSPE1"
"9932489","390.0","interacts with","PPP2R2B (interacts with) TAL1","0.109507430764323","0.0123015873015873","0.892857142857143","false","interacts with","PPP2R2B (interacts with) TAL1","TAL1:PPP2R2B"
"9932490","776.0","interacts with","DAAM2 (interacts with) RPS4X","0.83866110030021","0.0961805555555556","0.642857142857143","false","interacts with","DAAM2 (interacts with) RPS4X","RPS4X:DAAM2"
"9932491","390.0","interacts with","ATP6V1E1 (interacts with) BCL2","0.872262272775064","0.170982142857143","-0.661764705882353","false","interacts with","ATP6V1E1 (interacts with) BCL2","BCL2:ATP6V1E1"
"9932492","390.0","interacts with","SEC23IP (interacts with) WASF2","0.409830052785837","0.2","0.571428571428571","false","interacts with","SEC23IP (interacts with) WASF2","WASF2:SEC23IP"
"9932493","390.0","interacts with","ECT2 (interacts with) GULP1","0.19726726209115","0.048015873015873","-0.785714285714285","false","interacts with","ECT2 (interacts with) GULP1","GULP1:ECT2"
"9932494","1158.0","interacts with","COPS3 (interacts with) TRIP10","0.230751883077744","0.0662698412698413","-0.75","false","interacts with","COPS3 (interacts with) TRIP10","TRIP10:COPS3"
"9932495","525.59603175","interacts with","COPS3 (interacts with) ADAMTSL4","0.0718586588842205","0.00277777777777778","-0.964285714285714","false","interacts with","COPS3 (interacts with) ADAMTSL4","ADAMTSL4:COPS3"
"9932496","1841.06269841","interacts with","COPS3 (interacts with) DLG2","0.0718586588842205","0.00277777777777778","0.964285714285714","false","interacts with","COPS3 (interacts with) DLG2","DLG2:COPS3"
"9932497","390.0","interacts with","CHCHD2 (interacts with) HINT1","0.575659484384287","0.00451238560365101","0.700980392156863","false","interacts with","CHCHD2 (interacts with) HINT1","HINT1:CHCHD2"
"9932498","580.0","interacts with","RPA3 (interacts with) HINT1","0.348603499966292","0.143588575301286","0.61263747463298","false","interacts with","RPA3 (interacts with) HINT1","HINT1:RPA3"
"9932499","956.0","interacts with","RPA3 (interacts with) VDAC3","0.764862124895442","0.0367559523809524","0.761904761904762","false","interacts with","RPA3 (interacts with) VDAC3","VDAC3:RPA3"
"9932500","776.0","interacts with","RAB14 (interacts with) FLNA","0.371077114943798","0.166666666666667","-0.607142857142857","false","interacts with","RAB14 (interacts with) FLNA","FLNA:RAB14"
"9932501","1158.0","interacts with","RAB14 (interacts with) TRIM38","0.0718586588842205","0.00277777777777778","-0.587912087912088","false","interacts with","RAB14 (interacts with) TRIM38","TRIM38:RAB14"
"9932502","776.0","interacts with","PSMD1 (interacts with) NDEL1","0.168425923122207","0.0341269841269841","0.821428571428571","false","interacts with","PSMD1 (interacts with) NDEL1","NDEL1:PSMD1"
"9932503","300.35757576","interacts with","CDC42 (interacts with) TRIM8","0.891347803718289","0.196626984126984","-0.674019607843137","false","interacts with","CDC42 (interacts with) TRIM8","TRIM8:CDC42"
"9932504","390.0","interacts with","PSMC2 (interacts with) TXNL1","0.144518824391785","0.0238095238095238","0.535714285714286","false","interacts with","PSMC2 (interacts with) TXNL1","TXNL1:PSMC2"
"9932505","773.43831169","interacts with","COPS5 (interacts with) UBE2V2","0.0718586588842205","0.00277777777777778","0.964285714285714","false","interacts with","COPS5 (interacts with) UBE2V2","UBE2V2:COPS5"
"9932506","628.67121212","interacts with","COPS5 (interacts with) VDAC3","0.614809277797713","0.00724206349206349","0.642857142857143","false","interacts with","COPS5 (interacts with) VDAC3","VDAC3:COPS5"
"9932507","390.0","interacts with","MAGED1 (interacts with) EIF4E2","0.0718586588842205","0.00277777777777778","-0.964285714285714","false","interacts with","MAGED1 (interacts with) EIF4E2","EIF4E2:MAGED1"
"9932508","676.44542902","interacts with","MAGED1 (interacts with) HPRT1","0.0718586588842205","0.00277777777777778","0.964285714285714","false","interacts with","MAGED1 (interacts with) HPRT1","HPRT1:MAGED1"
"9932509","390.0","interacts with","MAGED1 (interacts with) RUNDC3A","0.371077114943798","0.166666666666667","0.607142857142857","false","interacts with","MAGED1 (interacts with) RUNDC3A","RUNDC3A:MAGED1"
"9932510","390.0","interacts with","MAGED1 (interacts with) MYOT","0.371077114943798","0.166666666666667","-0.607142857142857","false","interacts with","MAGED1 (interacts with) MYOT","MYOT:MAGED1"
"9932511","726.70079365","interacts with","MAGED1 (interacts with) CLK1","0.089107643904515","0.00674603174603175","0.928571428571428","false","interacts with","MAGED1 (interacts with) CLK1","CLK1:MAGED1"
"9932512","1207.36209568","interacts with","MAGED1 (interacts with) STMN2","0.19726726209115","0.048015873015873","0.785714285714285","false","interacts with","MAGED1 (interacts with) STMN2","STMN2:MAGED1"
"9932513","1598.42953329","interacts with","YWHAQ (interacts with) GABRG2","0.051975842430622","3.96825396825397E-4","1.0","false","interacts with","YWHAQ (interacts with) GABRG2","GABRG2:YWHAQ"
"9932514","1906.42953329","interacts with","YWHAQ (interacts with) ARL1","0.556236805809344","0.00264617029354669","0.642857142857143","false","interacts with","YWHAQ (interacts with) ARL1","ARL1:YWHAQ"
"9932515","390.0","interacts with","STK39 (interacts with) EPS15","0.109507430764323","0.0123015873015873","0.653846153846154","false","interacts with","STK39 (interacts with) EPS15","EPS15:STK39"
"9932516","390.0","interacts with","PRKCE (interacts with) VDAC3","0.83866110030021","0.0961805555555556","0.857142857142857","false","interacts with","PRKCE (interacts with) VDAC3","VDAC3:PRKCE"
"9932517","4281.65907943","interacts with","PSMC6 (interacts with) SNAP25","0.109507430764323","0.0123015873015873","0.892857142857143","false","interacts with","PSMC6 (interacts with) SNAP25","SNAP25:PSMC6"
"9932518","715.74973621","interacts with","PSMC6 (interacts with) KIF3A","0.109507430764323","0.0123015873015873","0.892857142857143","false","interacts with","PSMC6 (interacts with) KIF3A","KIF3A:PSMC6"
"9932519","390.0","interacts with","PSMC6 (interacts with) AGTPBP1","0.109507430764323","0.0123015873015873","0.892857142857143","false","interacts with","PSMC6 (interacts with) AGTPBP1","AGTPBP1:PSMC6"
"9932520","4372.74476002","interacts with","PSMC6 (interacts with) VPS35","0.109507430764323","0.0123015873015873","0.796703296703297","false","interacts with","PSMC6 (interacts with) VPS35","VPS35:PSMC6"
"9932521","390.0","interacts with","PSMC6 (interacts with) SUMO1","0.764862124895442","0.0367559523809524","0.526960784313726","false","interacts with","PSMC6 (interacts with) SUMO1","SUMO1:PSMC6"
"9932522","2586.97342363","interacts with","PSMC6 (interacts with) DLG2","0.144518824391785","0.0238095238095238","0.857142857142857","false","interacts with","PSMC6 (interacts with) DLG2","DLG2:PSMC6"
