GeneSymbol,GeneSymbol.1,INT
SMAD1,ZDHHC3,PPI
SMAD1,PRKD2,PPI
RPS27A,UCHL3,PPI
SMAD1,PIGQ,PPI
SMAD1,MBD1,PPI
KPNA2,CEP126,PPI
SMAD1,HECW2,PPI
SMAD1,-,PPI
MYC,NFYC,PPI
MYC,MAX,PPI
MYC,DNMT3A,PPI
VCL,SNRPE,PPI
LSM5,SNRPE,PPI
SMAD1,SMURF1,PPI
MYC,CSNK2A1,PPI
STARD13,SMAD1,PPI
CBX5,CDCA8,PPI
KLF11,CBX5,PPI
B2M,GRB2,PPI
SPP1,RAPGEF2,PPI
DKFZp451O0517,RAPGEF2,PPI
RPS10,SERBP1,PPI
WWOX,RAPGEF2,PPI
SCYL2,RAPGEF2,PPI
MAGI3,RAPGEF2,PPI
SSSCA1,RAPGEF2,PPI
STOM,RAPGEF2,PPI
CTTNBP2,RAPGEF2,PPI
HMCN1,RAPGEF2,PPI
PLEC,RAPGEF2,PPI
LAP3,RAPGEF2,PPI
NEDD4,RAPGEF2,PPI
PRKCI,RAPGEF2,PPI
RPS13,RPL31,PPI
UBC,PKIB,PPI
DNM2,GRB2,PPI
MYC,HADHB,PPI
TERF1,PRDX1,PPI
KPNA3,CBX5,PPI
GRB2,AES,PPI
S100A7,TERF1,PPI
UBC,KCNN3,PPI
UCHL3,ZYX,PPI
GART,ZYX,PPI
TERF1,GRPEL1,PPI
TERF1,MMTAG2,PPI
CHMP1B,KNSTRN,PPI
TERF1,HIST1H1A,PPI
ADAM10,GRB2,PPI
NR2F1,CBX5,PPI
TRIM55,ATXN3L,PPI
SH2B2,GRB2,PPI
XRCC5,SAMHD1,PPI
XRCC5,TERF1,PPI
CBX5,HDAC9,PPI
SERBP1,KAT2B,PPI
CD28,GRB2,PPI
UBC,SMAD1,PPI
SUMO1,SERBP1,PPI
SUMO1,OSBPL2,PPI
UCHL3,NT5DC1,PPI
TRAF1,HAUS1,PPI
CSRP1,GRB2,PPI
UBC,JMJD1C,PPI
UBE1,GRB2,PPI
GRB2,PON2,PPI
RPL4,RPL31,PPI
RPL4,SERBP1,PPI
VCAM1,GRB2,PPI
RPL22L1,COPS6,PPI
BANF1,LUC7L3,PPI
UBC,UCHL3,PPI
KRT36,GRB2,PPI
TIMM50,CBX5,PPI
UBC,BRWD1,PPI
HDGFRP3,GRB2,PPI
USP39,RPL22L1,PPI
IL6ST,GRB2,PPI
UBC,COX20,PPI
H2AFY,CBX5,PPI
UBC,SERBP1,PPI
ZNF302,CBX5,PPI
MBD1,CBX5,PPI
UBC,GRB2,PPI
UBC,XPR1,PPI
CBX5,ADNP2,PPI
MSN,TERF1,PPI
CKB,TERF1,PPI
TERF1,CEP85,PPI
DCP2,FANCD2,PPI
UBC,HAUS1,PPI
DDX39A,TERF1,PPI
UBXN7,UCHL3,PPI
TUBG1,RPL31,PPI
UBC,KNSTRN,PPI
UBC,COA7,PPI
UBXN7,BRWD1,PPI
MYH11,GRB2,PPI
GART,SUMO3,PPI
DCP2,PHKB,PPI
TXNDC9,UBC,PPI
COPS5,LUC7L3,PPI
ANGEL2,DCP2,PPI
TERF1,TPI1,PPI
KEAP1,TERF1,PPI
RPS27A,RPL31,PPI
MGC2474,CBX5,PPI
GRB2,HIPK3,PPI
LUC7L3,SUZ12,PPI
MYC,FBL,PPI
TXNDC9,PCF11,PPI
GRB2,KRT85,PPI
COPS5,RPL31,PPI
GRB2,MAP1A,PPI
TERF1,KLHDC4,PPI
CUL3,GART,PPI
GART,XPO7,PPI
NEFL,TERF1,PPI
WARS,TERF1,PPI
TUBG1,SAMHD1,PPI
GART,WARS,PPI
GART,PAICS,PPI
GART,CUL5,PPI
RTN3,TERF1,PPI
SOAT1,TERF1,PPI
TRMT1,TERF1,PPI
LRSAM1,TERF1,PPI
TERF1,RPAP3,PPI
SUMO1,GART,PPI
TERF1,HGD,PPI
AMPH,TERF1,PPI
HCLS1,TERF1,PPI
U2AF2,TERF1,PPI
COPS5,UCHL3,PPI
DCP2,INTS7,PPI
RAB5A,KCNN3,PPI
LIG4,COA7,PPI
SAMHD1,DCAF1,PPI
DDB1,SAMHD1,PPI
CUL2,SAMHD1,PPI
COPS6,SAMHD1,PPI
RBX1,SAMHD1,PPI
GANAB,SAMHD1,PPI
ATP6V1E1,SAMHD1,PPI
FAF1,SAMHD1,PPI
SEC23A,SAMHD1,PPI
TRMT1,SAMHD1,PPI
XPO7,SAMHD1,PPI
SUMO1,SAMHD1,PPI
SYVN1,UBE2Z,PPI
RNF166,UBE2Z,PPI
CDK1,SAMHD1,PPI
CDK2,SAMHD1,PPI
SUMO2,SAMHD1,PPI
PIK3CB,GRB2,PPI
SNRPD2,GRB2,PPI
CSN2,GRB2,PPI
TERF1,MAP7,PPI
TRIM27,TRIM55,PPI
TRIM27,GRB2,PPI
LDHB,TERF1,PPI
FEN1,TERF1,PPI
SRSF11,TRIM55,PPI
SERBP1,SIRT7,PPI
KRT5,GRB2,PPI
TERF1,WDR4,PPI
ASS1,TERF1,PPI
DNPH1,TERF1,PPI
PAFAH1B3,TERF1,PPI
TERF1,DDX19B,PPI
ANXA2,TERF1,PPI
JAK1,MAGOH,PPI
HEXIM1,TERF1,PPI
TERF1,EVL,PPI
UBE1L2,UCHL3,PPI
FKBP10,COA7,PPI
XRCC6,SAMHD1,PPI
UBE1L2,UBE2Z,PPI
XRCC6,MYC,PPI
ENO2,TERF1,PPI
TERF1,BMP2K,PPI
VCP,HAUS1,PPI
RPS6,RPL31,PPI
RPS6,SERBP1,PPI
ATN1,KAT6A,PPI
E2F3,PKIB,PPI
GRB2,IRS2,PPI
WASL,FNBP1,PPI
CBX5,SUV39H2,PPI
GRB2,KRT81,PPI
FES,TERF1,PPI
CPNE3,TERF1,PPI
TXNDC9,UBR7,PPI
GRB2,MAP4K5,PPI
GRB2,PTPN23,PPI
HSPH1,TERF1,PPI
AHCY,TERF1,PPI
TERF1,ACY1,PPI
MDC1,SERBP1,PPI
GRB2,PRR22,PPI
NCL,CBX5,PPI
MFAP4,GRB2,PPI
KPNA4,CBX5,PPI
GRB2,NKD2,PPI
KPNA4,KPNA2,PPI
MED14,MYC,PPI
CCT5,GRB2,PPI
GRB2,AHNAK,PPI
CALM1,GRB2,PPI
HSP90AB1,GRB2,PPI
SNU13,RPL31,PPI
GRB2,PTPN18,PPI
YWHAG,GRB2,PPI
GRB2,PEAK1,PPI
GRB2,DNM3,PPI
PPP1CC,GRB2,PPI
GRB2,PTPRJ,PPI
GRB2,MIA2,PPI
GRB2,ARHGEF5,PPI
GRB2,AP2S1,PPI
GRB2,EPS8,PPI
GRB2,IKZF3,PPI
GRB2,C1orf94,PPI
GRB2,LNX1,PPI
GRB2,ARHGAP9,PPI
BCAR1,GRB2,PPI
GRB2,PLEC,PPI
CD22,GRB2,PPI
RPL31,RPS21,PPI
TXNDC9,ZCCHC8,PPI
GRB2,DCTN1,PPI
ANXA11,RPS21,PPI
ACOT7,TERF1,PPI
GRB2,SYNCRIP,PPI
ASNS,ALDH7A1,PPI
RET,GRB2,PPI
TERF1,CALD1,PPI
TERF1,DDX24,PPI
TUBB,HAUS1,PPI
BCL7B,TERF1,PPI
GRB2,STRADB,PPI
GRB2,DAB2,PPI
GRB2,MICAL1,PPI
NPM1,GRB2,PPI
GRB2,WIPF2,PPI
KRT8,GRB2,PPI
GRB2,GAREM1,PPI
EPS15,GRB2,PPI
GRB2,DNAJA3,PPI
MYC,TUBB,PPI
ENO1,GRB2,PPI
GRB2,FLJ13052,PPI
GRB2,EURL,PPI
ECHS1,GRB2,PPI
GRB2,GSTK1,PPI
TERF1,DBN1,PPI
RECQL4,TERF1,PPI
TERF1,TBC1D10A,PPI
TERF1,CCDC9,PPI
SULT1C2,TERF1,PPI
EMC1,DERL1,PPI
PGM1,TERF1,PPI
ANXA5,TERF1,PPI
SERBP1,DYNC1LI1,PPI
TERF1,PAGE2,PPI
TERF1,RLIM,PPI
TERF1,TMSB10,PPI
TYW1,FAM96B,PPI
RNH1,ERO1A,PPI
P8,KNSTRN,PPI
DCP2,FAM96B,PPI
KAT6A,MEAF6,PPI
HIST1H3F,KAT6A,PPI
KMT2A,KAT6A,PPI
MYC,RNH1,PPI
CAD,GRB2,PPI
CALM1,BRWD1,PPI
DCP2,TRRAP,PPI
TERF1,U2AF1,PPI
KDM1A,TERF1,PPI
TK1,JMJD1C,PPI
PFN2,TERF1,PPI
PRMT1,TERF1,PPI
CDC6,TERF1,PPI
BRAF,TERF1,PPI
GRB2,BTK,PPI
EEF1G,TRIM55,PPI
TERF1,KPNB1,PPI
MYC,KPNB1,PPI
MTOR,TERF1,PPI
MCM7,TERF1,PPI
CDC5L,TRIM55,PPI
ZNF8,CBX5,PPI
NFIA,TRIM55,PPI
MPP6,KNSTRN,PPI
TOP1,JAK1,PPI
JAK1,EIF2AK2,PPI
HSP90AA1,JAK1,PPI
ERBB2,JAK1,PPI
ALDH7A1,TBCB,PPI
JAK1,ABL2,PPI
ZNF568,CBX5,PPI
PRMT5,JAK1,PPI
JAK1,ELP2,PPI
SIRT1,JAK1,PPI
HMGB3,ALDH7A1,PPI
PA2G4,SERBP1,PPI
GRB2,PPP3CA,PPI
TERF1,CYFIP1,PPI
DCP2,ELP3,PPI
OBFC2B,MYC,PPI
RPL31,DHX9,PPI
RPL31,RPL24,PPI
RPL5,CBX5,PPI
RPL24,SAMHD1,PPI
ABL2,GRB2,PPI
TERF1,C12orf43,PPI
GJA9,GRB2,PPI
CBX5,ZNF483,PPI
IMPDH2,GRB2,PPI
MYH9,TERF1,PPI
PSMD3,MYC,PPI
FABP1,GRB2,PPI
TERF1,RBM15B,PPI
TERF1,PABPC4,PPI
PRDX6,TERF1,PPI
TERF1,SKP1,PPI
TERF1,FBXO21,PPI
FBL,NIFK,PPI
OTUB2,TRIM55,PPI
TERT,TERF1,PPI
CDK19,NIFK,PPI
PRKN,SERBP1,PPI
TERF1,BAIAP2L1,PPI
PLOD2,TERF1,PPI
TERF1,PLOD1,PPI
TERF1,ACLY,PPI
HSP90B1,TERF1,PPI
TERF1,RING1,PPI
PCMT1,TERF1,PPI
TERF1,RAD50,PPI
TBX1,TERF1,PPI
TERF1,RSBN1L,PPI
PRMT5,TERF1,PPI
TERF1,GANAB,PPI
TERF1,CDK13,PPI
MCM2,TERF1,PPI
MYC,ABI3BP,PPI
EIF5A,DCP2,PPI
CBX5,MAU2,PPI
CBX5,ZNF620,PPI
GRB2,MAP4K1,PPI
MYL12B,HAUS1,PPI
TERF1,STAG1,PPI
MYC,AKAP8L,PPI
TERF1,ACD,PPI
IRF5,GRB2,PPI
AKR1A1,TERF1,PPI
RPL22,RPL31,PPI
TERF1,PRKDC,PPI
CRYBB1,TERF1,PPI
NOMO1,TRIM55,PPI
ZDHHC17,KNSTRN,PPI
