"SUID","name","selected","shared name"
"115071","SMAD1","false","SMAD1"
"115072","ZDHHC3","false","ZDHHC3"
"115074","PRKD2","false","PRKD2"
"115076","RPS27A","false","RPS27A"
"115077","UCHL3","false","UCHL3"
"115079","PIGQ","false","PIGQ"
"115081","MBD1","false","MBD1"
"115083","KPNA2","false","KPNA2"
"115084","CEP126","false","CEP126"
"115086","HECW2","false","HECW2"
"115088","-","false","-"
"115090","MYC","false","MYC"
"115091","NFYC","false","NFYC"
"115093","MAX","false","MAX"
"115095","DNMT3A","false","DNMT3A"
"115097","VCL","false","VCL"
"115098","SNRPE","false","SNRPE"
"115100","LSM5","false","LSM5"
"115102","SMURF1","false","SMURF1"
"115104","CSNK2A1","false","CSNK2A1"
"115106","STARD13","false","STARD13"
"115108","CBX5","false","CBX5"
"115109","CDCA8","false","CDCA8"
"115111","KLF11","false","KLF11"
"115113","B2M","false","B2M"
"115114","GRB2","false","GRB2"
"115116","SPP1","false","SPP1"
"115117","RAPGEF2","false","RAPGEF2"
"115119","DKFZp451O0517","false","DKFZp451O0517"
"115121","RPS10","false","RPS10"
"115122","SERBP1","false","SERBP1"
"115124","WWOX","false","WWOX"
"115126","SCYL2","false","SCYL2"
"115128","MAGI3","false","MAGI3"
"115130","SSSCA1","false","SSSCA1"
"115132","STOM","false","STOM"
"115134","CTTNBP2","false","CTTNBP2"
"115136","HMCN1","false","HMCN1"
"115138","PLEC","false","PLEC"
"115140","LAP3","false","LAP3"
"115142","NEDD4","false","NEDD4"
"115144","PRKCI","false","PRKCI"
"115146","RPS13","false","RPS13"
"115147","RPL31","false","RPL31"
"115149","UBC","false","UBC"
"115150","PKIB","false","PKIB"
"115152","DNM2","false","DNM2"
"115154","HADHB","false","HADHB"
"115156","TERF1","false","TERF1"
"115157","PRDX1","false","PRDX1"
"115159","KPNA3","false","KPNA3"
"115161","AES","false","AES"
"115163","S100A7","false","S100A7"
"115165","KCNN3","false","KCNN3"
"115167","ZYX","false","ZYX"
"115169","GART","false","GART"
"115171","GRPEL1","false","GRPEL1"
"115173","MMTAG2","false","MMTAG2"
"115175","CHMP1B","false","CHMP1B"
"115176","KNSTRN","false","KNSTRN"
"115178","HIST1H1A","false","HIST1H1A"
"115180","ADAM10","false","ADAM10"
"115182","NR2F1","false","NR2F1"
"115184","TRIM55","false","TRIM55"
"115185","ATXN3L","false","ATXN3L"
"115187","SH2B2","false","SH2B2"
"115189","XRCC5","false","XRCC5"
"115190","SAMHD1","false","SAMHD1"
"115193","HDAC9","false","HDAC9"
"115195","KAT2B","false","KAT2B"
"115197","CD28","false","CD28"
"115200","SUMO1","false","SUMO1"
"115202","OSBPL2","false","OSBPL2"
"115204","NT5DC1","false","NT5DC1"
"115206","TRAF1","false","TRAF1"
"115207","HAUS1","false","HAUS1"
"115209","CSRP1","false","CSRP1"
"115211","JMJD1C","false","JMJD1C"
"115213","UBE1","false","UBE1"
"115215","PON2","false","PON2"
"115217","RPL4","false","RPL4"
"115220","VCAM1","false","VCAM1"
"115222","RPL22L1","false","RPL22L1"
"115223","COPS6","false","COPS6"
"115225","BANF1","false","BANF1"
"115226","LUC7L3","false","LUC7L3"
"115229","KRT36","false","KRT36"
"115231","TIMM50","false","TIMM50"
"115233","BRWD1","false","BRWD1"
"115235","HDGFRP3","false","HDGFRP3"
"115237","USP39","false","USP39"
"115239","IL6ST","false","IL6ST"
"115241","COX20","false","COX20"
"115243","H2AFY","false","H2AFY"
"115246","ZNF302","false","ZNF302"
"115250","XPR1","false","XPR1"
"115252","ADNP2","false","ADNP2"
"115254","MSN","false","MSN"
"115256","CKB","false","CKB"
"115258","CEP85","false","CEP85"
"115260","DCP2","false","DCP2"
"115261","FANCD2","false","FANCD2"
"115264","DDX39A","false","DDX39A"
"115266","UBXN7","false","UBXN7"
"115268","TUBG1","false","TUBG1"
"115271","COA7","false","COA7"
"115274","MYH11","false","MYH11"
"115276","SUMO3","false","SUMO3"
"115278","PHKB","false","PHKB"
"115280","TXNDC9","false","TXNDC9"
"115282","COPS5","false","COPS5"
"115284","ANGEL2","false","ANGEL2"
"115286","TPI1","false","TPI1"
"115288","KEAP1","false","KEAP1"
"115291","MGC2474","false","MGC2474"
"115293","HIPK3","false","HIPK3"
"115295","SUZ12","false","SUZ12"
"115297","FBL","false","FBL"
"115299","PCF11","false","PCF11"
"115301","KRT85","false","KRT85"
"115304","MAP1A","false","MAP1A"
"115306","KLHDC4","false","KLHDC4"
"115308","CUL3","false","CUL3"
"115310","XPO7","false","XPO7"
"115312","NEFL","false","NEFL"
"115314","WARS","false","WARS"
"115318","PAICS","false","PAICS"
"115320","CUL5","false","CUL5"
"115322","RTN3","false","RTN3"
"115324","SOAT1","false","SOAT1"
"115326","TRMT1","false","TRMT1"
"115328","LRSAM1","false","LRSAM1"
"115330","RPAP3","false","RPAP3"
"115333","HGD","false","HGD"
"115335","AMPH","false","AMPH"
"115337","HCLS1","false","HCLS1"
"115339","U2AF2","false","U2AF2"
"115342","INTS7","false","INTS7"
"115344","RAB5A","false","RAB5A"
"115346","LIG4","false","LIG4"
"115348","DCAF1","false","DCAF1"
"115350","DDB1","false","DDB1"
"115352","CUL2","false","CUL2"
"115355","RBX1","false","RBX1"
"115357","GANAB","false","GANAB"
"115359","ATP6V1E1","false","ATP6V1E1"
"115361","FAF1","false","FAF1"
"115363","SEC23A","false","SEC23A"
"115368","SYVN1","false","SYVN1"
"115369","UBE2Z","false","UBE2Z"
"115371","RNF166","false","RNF166"
"115373","CDK1","false","CDK1"
"115375","CDK2","false","CDK2"
"115377","SUMO2","false","SUMO2"
"115379","PIK3CB","false","PIK3CB"
"115381","SNRPD2","false","SNRPD2"
"115383","CSN2","false","CSN2"
"115385","MAP7","false","MAP7"
"115387","TRIM27","false","TRIM27"
"115390","LDHB","false","LDHB"
"115392","FEN1","false","FEN1"
"115394","SRSF11","false","SRSF11"
"115396","SIRT7","false","SIRT7"
"115398","KRT5","false","KRT5"
"115400","WDR4","false","WDR4"
"115402","ASS1","false","ASS1"
"115404","DNPH1","false","DNPH1"
"115406","PAFAH1B3","false","PAFAH1B3"
"115408","DDX19B","false","DDX19B"
"115410","ANXA2","false","ANXA2"
"115412","JAK1","false","JAK1"
"115413","MAGOH","false","MAGOH"
"115415","HEXIM1","false","HEXIM1"
"115417","EVL","false","EVL"
"115419","UBE1L2","false","UBE1L2"
"115421","FKBP10","false","FKBP10"
"115423","XRCC6","false","XRCC6"
"115427","ENO2","false","ENO2"
"115429","BMP2K","false","BMP2K"
"115431","VCP","false","VCP"
"115433","RPS6","false","RPS6"
"115436","ATN1","false","ATN1"
"115437","KAT6A","false","KAT6A"
"115439","E2F3","false","E2F3"
"115441","IRS2","false","IRS2"
"115443","WASL","false","WASL"
"115444","FNBP1","false","FNBP1"
"115446","SUV39H2","false","SUV39H2"
"115448","KRT81","false","KRT81"
"115450","FES","false","FES"
"115452","CPNE3","false","CPNE3"
"115454","UBR7","false","UBR7"
"115456","MAP4K5","false","MAP4K5"
"115458","PTPN23","false","PTPN23"
"115460","HSPH1","false","HSPH1"
"115462","AHCY","false","AHCY"
"115464","ACY1","false","ACY1"
"115466","MDC1","false","MDC1"
"115468","PRR22","false","PRR22"
"115470","NCL","false","NCL"
"115472","MFAP4","false","MFAP4"
"115474","KPNA4","false","KPNA4"
"115476","NKD2","false","NKD2"
"115479","MED14","false","MED14"
"115481","CCT5","false","CCT5"
"115483","AHNAK","false","AHNAK"
"115485","CALM1","false","CALM1"
"115487","HSP90AB1","false","HSP90AB1"
"115489","SNU13","false","SNU13"
"115491","PTPN18","false","PTPN18"
"115493","YWHAG","false","YWHAG"
"115495","PEAK1","false","PEAK1"
"115497","DNM3","false","DNM3"
"115499","PPP1CC","false","PPP1CC"
"115501","PTPRJ","false","PTPRJ"
"115503","MIA2","false","MIA2"
"115505","ARHGEF5","false","ARHGEF5"
"115507","AP2S1","false","AP2S1"
"115509","EPS8","false","EPS8"
"115511","IKZF3","false","IKZF3"
"115513","C1orf94","false","C1orf94"
"115515","LNX1","false","LNX1"
"115517","ARHGAP9","false","ARHGAP9"
"115519","BCAR1","false","BCAR1"
"115522","CD22","false","CD22"
"115524","RPS21","false","RPS21"
"115526","ZCCHC8","false","ZCCHC8"
"115528","DCTN1","false","DCTN1"
"115530","ANXA11","false","ANXA11"
"115532","ACOT7","false","ACOT7"
"115534","SYNCRIP","false","SYNCRIP"
"115536","ASNS","false","ASNS"
"115537","ALDH7A1","false","ALDH7A1"
"115539","RET","false","RET"
"115541","CALD1","false","CALD1"
"115543","DDX24","false","DDX24"
"115545","TUBB","false","TUBB"
"115547","BCL7B","false","BCL7B"
"115549","STRADB","false","STRADB"
"115551","DAB2","false","DAB2"
"115553","MICAL1","false","MICAL1"
"115555","NPM1","false","NPM1"
"115557","WIPF2","false","WIPF2"
