"SrNo","V1","V2"
90,"Q15797","Q9NYG2"
279,"Q15797","Q9BZL6"
344,"B2RDW1","P15374"
460,"Q15797","Q9BRB3"
461,"Q15797","Q9UIS9"
465,"P52292","Q9P2H0"
513,"Q15797","Q9P2P5"
514,"Q15797","Q9NZX4"
759,"P01106","Q13952"
840,"P01106","P61244"
841,"P01106","Q9Y6K1"
864,"P18206","P62304"
875,"A0A090N8Y5","P62304"
947,"Q15797","Q9HCE7"
949,"P01106","P68400"
1054,"B2R789","Q15797"
1196,"P45973","Q53HL2"
1348,"B7ZAX4","P45973"
1357,"P61769","P62993"
1414,"P10451","Q9Y4G8"
1452,"Q86T74","Q9Y4G8"
1469,"P46783","Q8NC51"
1472,"Q9NZC7","Q9Y4G8"
1479,"Q6P3W7","Q9Y4G8"
1480,"Q5TCQ9","Q9Y4G8"
1481,"O60232","Q9Y4G8"
1482,"A0A024R882","Q9Y4G8"
1483,"Q20BG9","Q9Y4G8"
1484,"Q96RW7","Q9Y4G8"
1485,"Q15149","Q9Y4G8"
1486,"P28838","Q9Y4G8"
1521,"P46934","Q9Y4G8"
1524,"P41743","Q9Y4G8"
1575,"P62277","P62899"
1711,"P0CG48","Q9C010"
1935,"P50570","P62993"
2113,"P01106","P55084"
2477,"P54274","Q06830"
2529,"A0A024RDV7","P45973"
2552,"P62993","Q08117"
2718,"P31151","P54274"
2757,"P0CG48","Q9UGI6"
2797,"P15374","Q15942"
2826,"P22102","Q15942"
2917,"P54274","Q9HAV7"
3030,"P54274","Q9BU76"
3098,"Q7LBR1","Q9Y448"
3133,"P54274","Q02539"
3273,"A0A024R5U5","P62993"
3296,"P10589","P45973"
3512,"Q9BYV6","Q9H3M9"
3588,"O14492","P62993"
3829,"P13010","Q9Y3Z3"
3882,"P13010","P54274"
3946,"P45973","Q9UKV0"
3964,"Q8NC51","Q92831"
3977,"B4E0L1","P62993"
4186,"P0CG48","Q15797"
4300,"A0A024R3Z2","Q8NC51"
4312,"A0A024R3Z2","Q9H1P3"
4521,"P15374","Q5TFE4"
4808,"Q13077","Q96CS2"
4843,"B4DY28","P62993"
4894,"P0CG48","Q15652"
4962,"A0A024R1A3","P62993"
4963,"P62993","Q15165"
5018,"P36578","P62899"
5200,"P36578","Q8NC51"
5326,"P19320","P62993"
5569,"Q6P5R6","Q7L5N1"
6004,"A0A024R5H0","O95232"
6096,"P0CG48","P15374"
6386,"O76013","P62993"
6464,"A0A024R0M6","P45973"
6540,"P0CG48","Q9NSI6"
6678,"A0A024R216","P62993"
6832,"Q53GS9","Q6P5R6"
6926,"P40189","P62993"
6961,"P0CG48","Q5RI15"
7022,"O75367","P45973"
7045,"P0CG48","Q8NC51"
7047,"A0A087WYF4","P45973"
7138,"B4DUR3","P45973"
7190,"P0CG48","P62993"
7194,"P0CG48","Q9UBH6"
7218,"P45973","Q6IQ32"
7220,"P26038","P54274"
7343,"P12277","P54274"
7344,"P54274","Q6P2H3"
7458,"Q8IU60","Q9BXW9"
7480,"P0CG48","Q96CS2"
7530,"O00148","P54274"
7606,"O94888","P15374"
7636,"P23258","P62899"
7656,"P0CG48","Q9Y448"
7674,"P0CG48","Q96BR5"
7920,"O94888","Q9NSI6"
7962,"A0A024QZJ6","P62993"
7982,"P22102","P55854"
7993,"Q8IU60","Q93100"
8001,"O14530","P0CG48"
8193,"A0A024R7W9","O95232"
8528,"Q5VTE6","Q8IU60"
8693,"P54274","Q53HE2"
8908,"A0A024R7C0","P54274"
9243,"B2RDW1","P62899"
9371,"A0A024QZG5","P45973"
9527,"P62993","Q9H422"
9574,"O95232","Q15022"
10126,"P01106","P22087"
10208,"O14530","O94913"
10467,"P62993","P78386"
10471,"A0A024R7W9","P62899"
10545,"P62993","P78559"
10562,"P54274","Q8TBB5"
10563,"A0A024R475","P22102"
10584,"P22102","Q9UIA9"
10585,"P07196","P54274"
10586,"P23381","P54274"
10599,"P23258","Q9Y3Z3"
10604,"P22102","P23381"
10609,"P22102","P22234"
10610,"P22102","Q93034"
10630,"O95197","P54274"
10636,"P35610","P54274"
10637,"A0A024R7I5","P54274"
10638,"A0A024R870","P54274"
10639,"P54274","Q9H6T3"
10640,"A0A024R3Z2","P22102"
10652,"P54274","Q93099"
10653,"P49418","P54274"
10700,"P14317","P54274"
10808,"P26368","P54274"
10890,"A0A024R7W9","P15374"
10939,"Q8IU60","Q9NVH2"
11020,"A0A024R2K1","Q9UGI6"
11035,"A0A024RE06","Q96BR5"
11146,"Q9Y3Z3","Q9Y4B6"
11147,"Q16531","Q9Y3Z3"
11151,"Q13617","Q9Y3Z3"
11155,"Q7L5N1","Q9Y3Z3"
