UniProtAccession	GeneSymbol	
Q9NYG2	ZDHHC3	
Q9BZL6	PRKD2	
P15374	UCHL3	
Q9BRB3	PIGQ	
Q9UIS9	MBD1	
Q9P2H0	CEP126	
Q9P2P5	HECW2	
Q9NZX4	-	
Q13952	NFYC	
P61244	MAX	
Q9Y6K1	DNMT3A	
P62304	SNRPE	
P62304	SNRPE	
Q9HCE7	SMURF1	
P68400	CSNK2A1	
Q15797	SMAD1	
Q53HL2	CDCA8	
P45973	CBX5	
P62993	GRB2	
Q9Y4G8	RAPGEF2	
Q9Y4G8	RAPGEF2	
Q8NC51	SERBP1	
Q9Y4G8	RAPGEF2	
Q9Y4G8	RAPGEF2	
Q9Y4G8	RAPGEF2	
Q9Y4G8	RAPGEF2	
Q9Y4G8	RAPGEF2	
Q9Y4G8	RAPGEF2	
Q9Y4G8	RAPGEF2	
Q9Y4G8	RAPGEF2	
Q9Y4G8	RAPGEF2	
Q9Y4G8	RAPGEF2	
Q9Y4G8	RAPGEF2	
P62899	RPL31	
Q9C010	PKIB	
P62993	GRB2	
P55084	HADHB	
Q06830	PRDX1	
P45973	CBX5	
Q08117	AES	
P54274	TERF1	
Q9UGI6	KCNN3	
Q15942	ZYX	
Q15942	ZYX	
Q9HAV7	GRPEL1	
Q9BU76	MMTAG2	
Q9Y448	KNSTRN	
Q02539	HIST1H1A	
P62993	GRB2	
P45973	CBX5	
Q9H3M9	ATXN3L	
P62993	GRB2	
Q9Y3Z3	SAMHD1	
P54274	TERF1	
Q9UKV0	HDAC9	
Q92831	KAT2B	
P62993	GRB2	
Q15797	SMAD1	
Q8NC51	SERBP1	
Q9H1P3	OSBPL2	
Q5TFE4	NT5DC1	
Q96CS2	HAUS1	
P62993	GRB2	
Q15652	JMJD1C	
P62993	GRB2	
Q15165	PON2	
P62899	RPL31	
Q8NC51	SERBP1	
P62993	GRB2	
Q7L5N1	COPS6	
O95232	LUC7L3	
P15374	UCHL3	
P62993	GRB2	
P45973	CBX5	
Q9NSI6	BRWD1	
P62993	GRB2	
Q6P5R6	RPL22L1	
P62993	GRB2	
Q5RI15	COX20	
P45973	CBX5	
Q8NC51	SERBP1	
P45973	CBX5	
P45973	CBX5	
P62993	GRB2	
Q9UBH6	XPR1	
Q6IQ32	ADNP2	
P54274	TERF1	
P54274	TERF1	
Q6P2H3	CEP85	
Q9BXW9	FANCD2	
Q96CS2	HAUS1	
P54274	TERF1	
P15374	UCHL3	
P62899	RPL31	
Q9Y448	KNSTRN	
Q96BR5	COA7	
Q9NSI6	BRWD1	
P62993	GRB2	
P55854	SUMO3	
Q93100	PHKB	
P0CG48	UBC	
O95232	LUC7L3	
Q8IU60	DCP2	
Q53HE2	TPI1	
P54274	TERF1	
P62899	RPL31	
P45973	CBX5	
Q9H422	HIPK3	
Q15022	SUZ12	
P22087	FBL	
O94913	PCF11	
P78386	KRT85	
P62899	RPL31	
P78559	MAP1A	
Q8TBB5	KLHDC4	
P22102	GART	
Q9UIA9	XPO7	
P54274	TERF1	
P54274	TERF1	
Q9Y3Z3	SAMHD1	
P23381	WARS	
P22234	PAICS	
Q93034	CUL5	
P54274	TERF1	
P54274	TERF1	
P54274	TERF1	
P54274	TERF1	
Q9H6T3	RPAP3	
P22102	GART	
Q93099	HGD	
P54274	TERF1	
P54274	TERF1	
P54274	TERF1	
P15374	UCHL3	
Q9NVH2	INTS7	
Q9UGI6	KCNN3	
Q96BR5	COA7	
Q9Y4B6	DCAF1	
Q9Y3Z3	SAMHD1	
Q9Y3Z3	SAMHD1	
Q9Y3Z3	SAMHD1	
Q9Y3Z3	SAMHD1	
Q9Y3Z3	SAMHD1	
Q9Y3Z3	SAMHD1	
Q9Y3Z3	SAMHD1	
Q9Y3Z3	SAMHD1	
Q9Y3Z3	SAMHD1	
Q9Y3Z3	SAMHD1	
Q9Y3Z3	SAMHD1	
Q9H832	UBE2Z	
Q9H832	UBE2Z	
Q9Y3Z3	SAMHD1	
