"Gene.symbol","Cell.type","SUID","name","selected","OG_Gene","ALSOD","DEG"
"ACD","Neurons",115773,"ACD","false",FALSE,FALSE,FALSE
"AES","Neurons",115161,"AES","false",FALSE,FALSE,FALSE
"AGT","Astrocytes",115891,"AGT","false",FALSE,TRUE,FALSE
"AHCYL1","Astrocytes",116983,"AHCYL1","false",FALSE,FALSE,FALSE
"AMOT","Astrocytes",118306,"AMOT","false",FALSE,FALSE,FALSE
"AMPH","Neurons",115335,"AMPH","false",FALSE,FALSE,FALSE
"ANXA3","Endothelial",117668,"ANXA3","false",FALSE,FALSE,FALSE
"AP2A2","Neurons",115972,"AP2A2","false",FALSE,FALSE,FALSE
"ARMCX5","Neurons",118273,"ARMCX5","false",FALSE,FALSE,FALSE
"ASNS","Neurons",115536,"ASNS","false",FALSE,FALSE,FALSE
"B3GNT5","Microglia",118434,"B3GNT5","false",TRUE,FALSE,FALSE
"BBS2","Astrocytes",119288,"BBS2","false",FALSE,FALSE,FALSE
"BCL2A1","Microglia",120115,"BCL2A1","false",FALSE,FALSE,FALSE
"BCL7A","Neurons",117117,"BCL7A","false",FALSE,FALSE,FALSE
"BLNK","Microglia",115863,"BLNK","false",FALSE,FALSE,FALSE
"BMPR1B","Astrocytes",119918,"BMPR1B","false",FALSE,FALSE,FALSE
"CACNA1A","Neurons",120268,"CACNA1A","false",FALSE,FALSE,FALSE
"CALD1","Endothelial",115541,"CALD1","false",FALSE,FALSE,TRUE
"CCR1","Microglia",119424,"CCR1","false",FALSE,FALSE,FALSE
"CDH1","Oligodendrocytes",117345,"CDH1","false",FALSE,FALSE,FALSE
"CDK8","Neurons",116621,"CDK8","false",FALSE,FALSE,FALSE
"CFH","Endothelial",115897,"CFH","false",FALSE,FALSE,FALSE
"CLU","Astrocytes",117567,"CLU","false",FALSE,FALSE,FALSE
"COPG2","Neurons",119091,"COPG2","false",FALSE,FALSE,FALSE
"CSF1R","Microglia",119625,"CSF1R","false",FALSE,FALSE,FALSE
"CSF3R","Microglia",119471,"CSF3R","false",FALSE,FALSE,FALSE
"CYFIP2","Neurons",118316,"CYFIP2","false",FALSE,FALSE,FALSE
"DCX","Neurons",116099,"DCX","false",FALSE,FALSE,FALSE
"DLG3","Neurons",119676,"DLG3","false",FALSE,FALSE,FALSE
"DLGAP1","Neurons",115883,"DLGAP1","false",FALSE,FALSE,FALSE
"DNM1","Neurons",115865,"DNM1","false",FALSE,FALSE,FALSE
"DPCD","Neurons",118217,"DPCD","false",FALSE,FALSE,FALSE
"DTX3","Neurons",118357,"DTX3","false",FALSE,FALSE,FALSE
"EPHA3","Neurons",117649,"EPHA3","false",FALSE,FALSE,FALSE
"EPHB6","Neurons",119775,"EPHB6","false",FALSE,FALSE,FALSE
"ERBB3","Oligodendrocytes",115847,"ERBB3","false",FALSE,FALSE,FALSE
"ETS1","Endothelial",120172,"ETS1","false",FALSE,FALSE,FALSE
"EVL","Neurons",115417,"EVL","false",FALSE,FALSE,FALSE
"FAM175B","Neurons",116212,"FAM175B","false",FALSE,FALSE,FALSE
"FNBP1L","Neurons",117433,"FNBP1L","false",FALSE,FALSE,FALSE
"GAB1","Oligodendrocytes",116961,"GAB1","false",FALSE,FALSE,FALSE
"GAB3","Microglia",117127,"GAB3","false",FALSE,FALSE,FALSE
"GLI3","Astrocytes",120314,"GLI3","false",FALSE,FALSE,FALSE
"GLUD1","Astrocytes",118087,"GLUD1","false",FALSE,FALSE,FALSE
"H3F3C","Endothelial",116260,"H3F3C","false",FALSE,FALSE,FALSE
"HCLS1","Microglia",115337,"HCLS1","false",FALSE,FALSE,TRUE
"HDAC9","Neurons",115193,"HDAC9","false",FALSE,FALSE,FALSE
"HDGFRP3","Neurons",115235,"HDGFRP3","false",FALSE,FALSE,FALSE
"HIST3H2A","Neurons",118824,"HIST3H2A","false",FALSE,FALSE,FALSE
"HLA-DRA","Microglia",118184,"HLA-DRA","false",FALSE,FALSE,FALSE
"HLA-DRB1","Microglia",118268,"HLA-DRB1","false",FALSE,FALSE,FALSE
"HRAS","Neurons",118796,"HRAS","false",FALSE,FALSE,FALSE
"HUNK","Neurons",116222,"HUNK","false",FALSE,FALSE,FALSE
"ICAM1","Endothelial",116557,"ICAM1","false",FALSE,FALSE,FALSE
"IL10RA","Microglia",119473,"IL10RA","false",FALSE,FALSE,FALSE
"IL6R","Microglia",120371,"IL6R","false",FALSE,FALSE,FALSE
"IQGAP2","Neurons",119086,"IQGAP2","false",FALSE,FALSE,FALSE
"IRS1","Neurons",119417,"IRS1","false",FALSE,FALSE,FALSE
"ITGA6","Astrocytes",119857,"ITGA6","false",FALSE,FALSE,TRUE
"ITGB4","Astrocytes",119455,"ITGB4","false",FALSE,FALSE,FALSE
"JAK2","Neurons",119909,"JAK2","false",FALSE,FALSE,FALSE
"JAKMIP1","Neurons",119495,"JAKMIP1","false",FALSE,FALSE,FALSE
"KCNN3","Astrocytes",115165,"KCNN3","false",TRUE,FALSE,FALSE
"KHDRBS2","Neurons",119520,"KHDRBS2","false",FALSE,FALSE,FALSE
"KIAA2022","Neurons",116415,"KIAA2022","false",FALSE,FALSE,FALSE
"KIF5A","Neurons",120178,"KIF5A","false",FALSE,FALSE,FALSE
"LGALS1","Endothelial",118922,"LGALS1","false",FALSE,FALSE,FALSE
"LIN7B","Neurons",120800,"LIN7B","false",FALSE,FALSE,FALSE
"LMO7","Neurons",119899,"LMO7","false",FALSE,FALSE,FALSE
"LNX1","Neurons",115515,"LNX1","false",FALSE,FALSE,FALSE
"LYN","Microglia",116816,"LYN","false",FALSE,FALSE,TRUE
"MACROD2","Neurons",116284,"MACROD2","false",FALSE,FALSE,FALSE
"MAP2","Neurons",115857,"MAP2","false",FALSE,FALSE,FALSE
"MAPK9","Neurons",115869,"MAPK9","false",FALSE,FALSE,FALSE
"MTUS2","Neurons",117624,"MTUS2","false",FALSE,FALSE,FALSE
