hgnc_symbol,uniprotswissprot
ABCA1,O95477
ABCG1,P45844
ADAT1,Q9BUB4
ALDH7A1,P49419
ANXA11,P50995
ATG10,Q9H0Y0
ATM,Q13315
B3GNT5,Q9BYG0
BBS9,Q3SYG4
BBX,Q8WY36
BRWD1,Q9NSI6
C14orf166,Q9Y224
C6orf89,Q6UWU4
CBX5,P45973
CLCN5,P51795
COA1,Q9GZY4
COA7,Q96BR5
COMMD6,Q7Z4G1
COX20,Q5RI15
DCP2,Q8IU60
DRAM2,Q6UX65
EFR3B,Q9Y2G0
EMC1,Q8N766
FASTKD2,Q9NYY8
FERMT2,Q96AC1
GART,P22102
GLCCI1,Q86VQ1
GLRX2,Q9NS18
GRB2,P62993
HAUS1,Q96CS2
HHATL,Q9HCP6
ITPKB,P27987
JAK1,P23458
JMJD1C,Q15652
KAT6A,Q92794
KCNN3,Q9UGI6
KNSTRN,Q9Y448
KPNA2,P52292
LUC7L3,O95232
LYRM2,Q9NU23
MAGI2,Q86UL8
METTL8,Q9H825
MYC,P01106
NIFK,Q9BYG3
NIPBL,Q6KC79
NUDT15,Q9NV35
OR7C1,O76099
OSBPL2,Q9H1P3
OSBPL8,Q9BZF1
PKIB,Q9C010
PLA2G4C,Q9UP65
POLR1D,Q9Y2S0
PRSS23,O95084
PTPN4,P29074
RACGAP1,Q9H0H5
RAPGEF2,Q9Y4G8
RBM18,Q96H35
REEP1,Q9H902
RNF141,Q8WVD5
RPL22L1,Q6P5R6
RPL31,P62899
RTN4IP1,Q8WWV3
RUVBL1,Q9Y265
SAMHD1,Q9Y3Z3
SERBP1,Q8NC51
SNRPE,P62304
SYNCRIP,O60506
TERF1,P54274
TIPIN,Q9BVW5
TMEM47,Q9BQJ4
TRIM55,Q9BYV6
TXNDC9,O14530
TYW1,Q9NV66
UBE2W,Q96B02
UBE2Z,Q9H832
UCHL3,P15374
USP32,Q8NFA0
VPS8,Q8N3P4
WASL,O00401
WDR77,Q9BQA1
WNK1,Q9H4A3
XPR1,Q9UBH6
ZDHHC11,Q9H8X9
ZMAT3,Q9HA38
ZNF605,Q86T29
SMAD1,Q15797
ERO1A,Q96HE7
FOXO6,A8MYZ6
