"","p.adj","p.vec","reg.mat"
"ABI1:ENPP2",0.0107167666389062,5.29615351564429e-07,0.994029797388005
"HIPK1:ENPP2",0.0107167666389062,5.29615351564429e-07,0.994029797388005
"AGO3:RBPJ",0.052827380952381,4.96031746031746e-05,1
"ANXA1:TIMP2",0.052827380952381,4.96031746031746e-05,1
"C6orf120:RPRD1A",0.052827380952381,4.96031746031746e-05,1
"C6orf120:TMEM38B",0.052827380952381,4.96031746031746e-05,1
"CCDC90B:CEP57",0.052827380952381,4.96031746031746e-05,1
"CDH11:ADAM17",0.052827380952381,4.96031746031746e-05,1
"CNOT1:ASXL2",0.052827380952381,4.96031746031746e-05,1
"CRLF3:ZFC3H1",0.052827380952381,4.96031746031746e-05,1
"EEF1A1:SNX11",0.052827380952381,4.96031746031746e-05,1
"EIF3E:ITPR2",0.052827380952381,4.96031746031746e-05,1
"FOXN3:DENND4A",0.052827380952381,4.96031746031746e-05,1
"FOXN3:PAPOLA",0.052827380952381,4.96031746031746e-05,1
"GSAP:BCLAF1",0.052827380952381,4.96031746031746e-05,1
"HIPK1:ABI1",0.052827380952381,4.96031746031746e-05,1
"KCNE4:ABL1",0.052827380952381,4.96031746031746e-05,1
"LAPTM5:TBC1D2B",0.052827380952381,4.96031746031746e-05,1
"MAP4K3:USP3",0.052827380952381,4.96031746031746e-05,1
"NSMAF:LRCH3",0.052827380952381,4.96031746031746e-05,1
"PALLD:IFITM2",0.052827380952381,4.96031746031746e-05,1
"PAPOLA:DENND4A",0.052827380952381,4.96031746031746e-05,1
"PROSER1:RFX7",0.052827380952381,4.96031746031746e-05,1
"RPRD1A:TMEM38B",0.052827380952381,4.96031746031746e-05,1
"SAT1:RAB27A",0.052827380952381,4.96031746031746e-05,1
"SETD2:GNA13",0.052827380952381,4.96031746031746e-05,1
"SF3A1:NCOA6",0.052827380952381,4.96031746031746e-05,1
"SLC11A2:NAA50",0.052827380952381,4.96031746031746e-05,1
"STAG2:FHL1",0.052827380952381,4.96031746031746e-05,1
"TMCO1:GNA13",0.052827380952381,4.96031746031746e-05,1
"TMCO1:SETD2",0.052827380952381,4.96031746031746e-05,1
"TMEM165:PRR11",0.052827380952381,4.96031746031746e-05,1
"TNFAIP3:CLIC4",0.052827380952381,4.96031746031746e-05,1
"TPP1:FAM65B",0.052827380952381,4.96031746031746e-05,1
"UBXN7:FHL1",0.052827380952381,4.96031746031746e-05,1
"UBXN7:STAG2",0.052827380952381,4.96031746031746e-05,1
"WSB1:RIT1",0.052827380952381,4.96031746031746e-05,1
"ZNF12:ANKRD28",0.052827380952381,4.96031746031746e-05,1
"NBPF1:ENPP2",0.0601480292491528,6.54855883112059e-05,0.97007727214974
"ZCCHC6:ENPP2",0.0601480292491528,6.54855883112059e-05,0.97007727214974
"RCN2:ENPP2",0.0601480292491528,0.000178156772765046,0.958101009530607
"PCNA:IMPDH1",0.0601480292491528,0.000375311873790436,0.946124746911475
"ZNF292:ENPP2",0.0601480292491528,0.000375311873790436,0.946124746911475
"ADNP:USP3",0.0601480292491528,0.000396825396825397,0.976190476190476
"AKR1C1:IFITM2",0.0601480292491528,0.000396825396825397,0.976190476190476
"ALDOA:PRPF4B",0.0601480292491528,0.000396825396825397,0.976190476190476
"AMD1:HNRNPA2B1",0.0601480292491528,0.000396825396825397,0.976190476190476
"ANKRD27:HNRNPA2B1",0.0601480292491528,0.000396825396825397,0.976190476190476
"ANKRD27:ICE1",0.0601480292491528,0.000396825396825397,0.976190476190476
"ARMC1:CRLF3",0.0601480292491528,0.000396825396825397,0.976190476190476
"ARMC1:ZFC3H1",0.0601480292491528,0.000396825396825397,0.976190476190476
"ATM:NBPF1",0.0601480292491528,0.000396825396825397,0.976190476190476
"ATM:WDR11",0.0601480292491528,0.000396825396825397,0.976190476190476
"AUTS2:AHR",0.0601480292491528,0.000396825396825397,0.976190476190476
"BCLAF1:NAA50",0.0601480292491528,0.000396825396825397,0.976190476190476
"BCLAF1:NEK4",0.0601480292491528,0.000396825396825397,0.976190476190476
"BNIP3:CDIPT",0.0601480292491528,0.000396825396825397,0.976190476190476
"BTG1:EFEMP1",0.0601480292491528,0.000396825396825397,0.976190476190476
"C6orf120:CRLF3",0.0601480292491528,0.000396825396825397,0.976190476190476
"C6orf120:GNA13",0.0601480292491528,0.000396825396825397,0.976190476190476
"C6orf120:PPFIA1",0.0601480292491528,0.000396825396825397,0.976190476190476
"C6orf120:SETD2",0.0601480292491528,0.000396825396825397,0.976190476190476
"C6orf120:TMCO1",0.0601480292491528,0.000396825396825397,0.976190476190476
"C6orf120:ZFC3H1",0.0601480292491528,0.000396825396825397,0.976190476190476
"CALD1:EFEMP1",0.0601480292491528,0.000396825396825397,0.976190476190476
"CARD8:CRY1",0.0601480292491528,0.000396825396825397,0.976190476190476
"CARD8:MAN2A1",0.0601480292491528,0.000396825396825397,0.976190476190476
"CBLB:ABCA8",0.0601480292491528,0.000396825396825397,0.976190476190476
"CBLB:CPSF7",0.0601480292491528,0.000396825396825397,0.976190476190476
"CCDC90B:ARMC1",0.0601480292491528,0.000396825396825397,0.976190476190476
"CCDC90B:FHL1",0.0601480292491528,0.000396825396825397,0.976190476190476
"CCDC90B:MAP3K7",0.0601480292491528,0.000396825396825397,0.976190476190476
"CCDC90B:NAA50",0.0601480292491528,0.000396825396825397,0.976190476190476
"CCDC90B:NEK1",0.0601480292491528,0.000396825396825397,0.976190476190476
"CCDC90B:SLC11A2",0.0601480292491528,0.000396825396825397,0.976190476190476
"CCDC90B:STAG2",0.0601480292491528,0.000396825396825397,0.976190476190476
"CCDC90B:UBXN7",0.0601480292491528,0.000396825396825397,0.976190476190476
"CDK12:ANKRD28",0.0601480292491528,0.000396825396825397,0.976190476190476
"CEP57:ARMC1",0.0601480292491528,0.000396825396825397,0.976190476190476
"CEP57:FHL1",0.0601480292491528,0.000396825396825397,0.976190476190476
"CEP57:MAP3K7",0.0601480292491528,0.000396825396825397,0.976190476190476
"CEP57:NAA50",0.0601480292491528,0.000396825396825397,0.976190476190476
"CEP57:NEK1",0.0601480292491528,0.000396825396825397,0.976190476190476
"CEP57:SLC11A2",0.0601480292491528,0.000396825396825397,0.976190476190476
"CEP57:STAG2",0.0601480292491528,0.000396825396825397,0.976190476190476
"CEP57:UBXN7",0.0601480292491528,0.000396825396825397,0.976190476190476
"CLIC4:AHR",0.0601480292491528,0.000396825396825397,0.976190476190476
"CLIC4:HABP4",0.0601480292491528,0.000396825396825397,0.976190476190476
"CLIC4:SNX11",0.0601480292491528,0.000396825396825397,0.976190476190476
"CLK4:HNRNPA2B1",0.0601480292491528,0.000396825396825397,0.976190476190476
"CLK4:ICE1",0.0601480292491528,0.000396825396825397,0.976190476190476
"CMTM6:ABL1",0.0601480292491528,0.000396825396825397,0.976190476190476
"CMTM6:ANXA1",0.0601480292491528,0.000396825396825397,0.976190476190476
"CMTM6:PIGA",0.0601480292491528,0.000396825396825397,0.976190476190476
"CMTM6:SOCS2",0.0601480292491528,0.000396825396825397,0.976190476190476
"CMTM6:TIMP2",0.0601480292491528,0.000396825396825397,0.976190476190476
"CPSF6:LIMA1",0.0601480292491528,0.000396825396825397,0.976190476190476
"CPSF6:RIT1",0.0601480292491528,0.000396825396825397,0.976190476190476
"CREG1:TWIST1",0.0601480292491528,0.000396825396825397,0.976190476190476
"CRLF3:NAA50",0.0601480292491528,0.000396825396825397,0.976190476190476
