"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"10395","false","3.49694444","3.0389E-4","NA","0.28596394","0.0","false","3","4","false","PPP1R15A","PPP1R15A","90.66666667","3","0","0","0.50061111","false","0","PPP1R15A","21536","0.3409379"
"10396","false","3.57333333","3.907E-5","NA","0.27985075","0.33333333","false","3","5","false","MED23","MED23","58.66666667","3","0","0","0.48533333","false","0","MED23","4980","0.36231884"
"10397","false","3.61833333","2.71E-6","Neurons","0.27637034","0.0","false","3","4","false","NEDD4L","NEDD4L","40.5","3","0","1","0.47633333","false","0","NEDD4L","436","0.51298701"
"10398","false","3.895","0.0","Oligodendrocytes","0.25673941","0.0","false","1","5","false","MBP","MBP","56.0","1","0","0","0.421","false","0","MBP","0","0.0"
"10399","false","3.35527778","0.0","NA","0.29803792","1.0","false","2","4","false","RFC5","RFC5","296.5","2","0","0","0.52894444","false","0","RFC5","0","0.53423423"
"10400","false","3.81472222","0.0","NA","0.26214229","0.0","false","1","5","false","CRTC2","CRTC2","74.0","1","0","0","0.43705556","false","0","CRTC2","0","0.0"
"10401","false","3.81472222","0.0","NA","0.26214229","0.0","false","1","5","false","FKBP1A","FKBP1A","74.0","1","0","0","0.43705556","false","0","FKBP1A","0","0.0"
"10402","false","3.50888889","3.682E-5","NA","0.2849905","0.0","false","2","4","false","AP2M1","AP2M1","185.5","2","0","0","0.49822222","false","0","AP2M1","5702","0.50547945"
"10403","false","3.38638889","2.907E-5","NA","0.29529981","0.0","false","2","4","false","NONO","NONO","182.5","2","0","0","0.52272222","false","0","NONO","10120","0.52155172"
"10404","false","3.28333333","3.0772E-4","NA","0.30456853","0.33333333","false","4","4","false","PRKDC","PRKDC","136.75","4","0","0","0.54333333","false","0","PRKDC","49296","0.26919291"
"10405","false","3.47611111","0.0","NA","0.2876778","0.0","false","2","5","false","MUTYH","MUTYH","282.0","2","0","1","0.50477778","false","0","MUTYH","0","0.0"
"10406","false","3.73861111","0.0","NA","0.26747901","0.0","false","1","5","false","SRGAP3","SRGAP3","64.0","1","0","0","0.45227778","false","0","SRGAP3","0","0.0"
