"","SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type","Cell.type.x","Cell.type.y","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","Matching.Attribute.1","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared.name","Stress","TopologicalCoefficient","C9","VCP"
"1",126658,"false",3.66854249,0.00039972,NA,NA,NA,0.27258782,0,"false",4,8,"false","SDHAF2","SDHAF2","SDHAF2",101.5,4,0,0,0.73314575,"false",0,"SDHAF2",84602,0.26728723,FALSE,FALSE
"2",126659,"false",4.09229038,0,NA,NA,NA,0.24436194,0,"false",1,8,"false","UBR1","UBR1","UBR1",71,1,0,0,0.69077096,"false",0,"UBR1",0,0,FALSE,FALSE
"3",126660,"false",NA,NA,NA,NA,"",NA,NA,"false",NA,NA,"","","MGRN1","MGRN1",NA,NA,NA,NA,NA,"false",NA,"MGRN1",NA,NA,FALSE,FALSE
"4",126661,"false",NA,NA,"",NA,"",NA,NA,"false",NA,NA,"","","MALT1","MALT1",NA,NA,NA,NA,NA,"false",NA,"MALT1",NA,NA,FALSE,FALSE
"5",126662,"false",3.73044457,0.00012471,NA,NA,NA,0.26806456,0,"false",2,8,"false","TFAP2C","TFAP2C","TFAP2C",156.5,2,0,0,0.72695554,"false",0,"TFAP2C",18192,0.50323625,FALSE,FALSE
"6",126663,"false",3.74366911,0,NA,NA,NA,0.26711762,0,"false",1,8,"false","KCNE3","KCNE3","KCNE3",292,1,0,0,0.72563309,"false",0,"KCNE3",0,0,FALSE,FALSE
"7",126664,"false",NA,NA,"",NA,"",NA,NA,"false",NA,NA,"","","MPP5","MPP5",NA,NA,NA,NA,NA,"false",NA,"MPP5",NA,NA,FALSE,FALSE
"8",126665,"false",NA,NA,NA,NA,"",NA,NA,"false",NA,NA,"","","LDOC1","LDOC1",NA,NA,NA,NA,NA,"false",NA,"LDOC1",NA,NA,FALSE,FALSE
"9",126666,"false",4.2290377,0,NA,NA,NA,0.23646041,0,"false",2,8,"false","HOMEZ","HOMEZ","HOMEZ",28,2,0,1,0.67709623,"false",0,"HOMEZ",0,0,FALSE,FALSE
"10",126667,"false",NA,NA,"",NA,"",NA,NA,"false",NA,NA,"","","FAM50B","FAM50B",NA,NA,NA,NA,NA,"false",NA,"FAM50B",NA,NA,FALSE,FALSE
"11",126668,"false",3.97439505,0,NA,NA,NA,0.25161062,0,"false",2,6,"false","TGFBR1","TGFBR1","TGFBR1",124,2,0,1,0.7025605,"false",0,"TGFBR1",0,0,FALSE,FALSE
