"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"106037","false","4.02038736","0.0","NA","0.24873225","0.0","false","1","8","false","SPATA8","SPATA8","120.0","1","0","0","0.69796126","false","0","SPATA8","0","0.0"
"106038","false","5.20115528","0.0","NA","0.19226498","0.0","false","1","8","false","FN1","FN1","23.0","1","0","0","0.57988447","false","0","FN1","0","0.0"
"106039","false","5.20115528","0.0","NA","0.19226498","0.0","false","1","8","false","RABGGTB","RABGGTB","23.0","1","0","0","0.57988447","false","0","RABGGTB","0","0.0"
"106040","false","4.08426775","0.0","NA","0.24484193","0.0","false","1","8","false","ITGB2","ITGB2","62.0","1","0","0","0.69157322","false","0","ITGB2","0","0.0"
"106041","false","4.0859667","0.0","NA","0.24474012","0.0","false","1","8","false","CTAGE5","CTAGE5","102.0","1","0","0","0.69140333","false","0","CTAGE5","0","0.0"
"106042","false","4.03839619","0.0","NA","0.24762305","0.0","false","1","8","false","FBXO11","FBXO11","42.0","1","0","0","0.69616038","false","0","FBXO11","0","0.0"
"106043","false","5.16989467","0.0","NA","0.19342754","0.0","false","1","8","false","SEPT9","SEPT9","12.0","1","0","0","0.58301053","false","0","SEPT9","0","0.0"
"106044","false","4.12232416","0.0","NA","0.2425816","0.0","false","1","8","false","DDR2","DDR2","48.0","1","0","0","0.68776758","false","0","DDR2","0","0.0"
"106045","false","4.00815494","0.0","NA","0.24949135","0.0","false","1","8","false","NAGK","NAGK","213.0","1","0","0","0.69918451","false","0","NAGK","0","0.0"
"106046","false","4.21610601","0.0","NA","0.23718569","0.0","false","1","8","false","TNKS2","TNKS2","30.0","1","0","0","0.6783894","false","0","TNKS2","0","0.0"
"106047","false","4.21678559","0.0","NA","0.23714746","0.0","false","1","8","false","USP13","USP13","28.0","1","0","0","0.67832144","false","0","USP13","0","0.0"
"106048","false","4.13149847","0.0","NA","0.24204293","0.0","false","1","8","false","KLHL23","KLHL23","57.0","1","0","0","0.68685015","false","0","KLHL23","0","0.0"
"106049","false","3.98504927","0.0","NA","0.25093793","0.0","false","1","8","false","TSC22D4","TSC22D4","78.0","1","0","0","0.70149507","false","0","TSC22D4","0","0.0"
"106050","false","5.16989467","0.0","NA","0.19342754","0.0","false","1","8","false","SEPT3","SEPT3","12.0","1","0","0","0.58301053","false","0","SEPT3","0","0.0"
"106051","false","4.00815494","0.0","NA","0.24949135","0.0","false","1","8","false","DDEFL1","DDEFL1","213.0","1","0","0","0.69918451","false","0","DDEFL1","0","0.0"
"106052","false","5.3853211","0.0","Endothelial","0.18568995","0.0","false","1","8","false","ETS1","ETS1","11.0","1","0","0","0.56146789","false","0","ETS1","0","0.0"
"106053","false","5.3853211","0.0","NA","0.18568995","0.0","false","1","8","false","CEBPB","CEBPB","11.0","1","0","0","0.56146789","false","0","CEBPB","0","0.0"
"106054","false","5.3853211","0.0","Neurons","0.18568995","0.0","false","1","8","false","SMARCD3","SMARCD3","11.0","1","0","0","0.56146789","false","0","SMARCD3","0","0.0"
"106055","false","3.98504927","0.0","NA","0.25093793","0.0","false","1","8","false","DNPEP","DNPEP","78.0","1","0","0","0.70149507","false","0","DNPEP","0","0.0"
"106056","false","4.10431532","0.0","NA","0.243646","0.0","false","1","8","false","REPS1","REPS1","63.0","1","0","0","0.68956847","false","0","REPS1","0","0.0"
"106057","false","4.02038736","0.0","NA","0.24873225","0.0","false","1","8","false","KIAA1683","KIAA1683","120.0","1","0","0","0.69796126","false","0","KIAA1683","0","0.0"
"106058","false","4.56948692","0.0","NA","0.21884295","0.0","false","1","8","false","C12orf52","C12orf52","15.0","1","0","0","0.64305131","false","0","C12orf52","0","0.0"
"106059","false","4.29357798","0.0","NA","0.23290598","0.0","false","1","8","false","RSRC2","RSRC2","29.0","1","0","0","0.6706422","false","0","RSRC2","0","0.0"
"106060","false","4.00815494","0.0","NA","0.24949135","0.0","false","1","8","false","CLTC","CLTC","213.0","1","0","0","0.69918451","false","0","CLTC","0","0.0"
"106061","false","5.16989467","0.0","NA","0.19342754","0.0","false","1","8","false","SEPT5","SEPT5","12.0","1","0","0","0.58301053","false","0","SEPT5","0","0.0"
"106062","false","5.16989467","0.0","NA","0.19342754","0.0","false","1","8","false","SOCS7","SOCS7","12.0","1","0","0","0.58301053","false","0","SOCS7","0","0.0"
"106063","false","4.37240911","0.0","NA","0.22870687","0.0","false","1","7","false","PIK3R3","PIK3R3","40.0","1","0","0","0.66275909","false","0","PIK3R3","0","0.0"
"106064","false","4.29357798","0.0","NA","0.23290598","0.0","false","1","8","false","ARID4A","ARID4A","29.0","1","0","0","0.6706422","false","0","ARID4A","0","0.0"
"106065","false","3.72477064","2.3952E-4","NA","0.26847291","0.0","false","2","8","false","TFAP2C","TFAP2C","155.5","2","0","0","0.72752294","false","0","TFAP2C","17852","0.50162338"
"106066","false","3.74074074","0.0","NA","0.26732673","0.0","false","1","8","false","KCNE3","KCNE3","292.0","1","0","0","0.72592593","false","0","KCNE3","0","0.0"
"106067","false","4.29357798","0.0","NA","0.23290598","0.0","false","1","8","false","LTV1","LTV1","29.0","1","0","0","0.6706422","false","0","LTV1","0","0.0"
"106068","false","4.00815494","0.0","NA","0.24949135","0.0","false","1","8","false","COMMD1","COMMD1","213.0","1","0","0","0.69918451","false","0","COMMD1","0","0.0"
"106069","false","4.25993884","0.0","Astrocytes","0.23474515","0.0","false","1","8","false","CLU","CLU","15.0","1","0","0","0.67400612","false","0","CLU","0","0.0"
"106070","false","4.70166497","0.0","NA","0.21269061","0.0","false","1","8","false","RLF","RLF","19.0","1","0","0","0.6298335","false","0","RLF","0","0.0"
