"","p.adj","p.vec","reg.mat"
"CRLF3:ZCCHC8",0.0016487333290625,5.29615351564429e-07,0.994029797388005
"EIF3E:CDH11",0.0016487333290625,5.29615351564429e-07,0.994029797388005
"EIF3E:CTBP2",0.0016487333290625,5.29615351564429e-07,0.994029797388005
"EIF3E:NBR1",0.0016487333290625,5.29615351564429e-07,0.994029797388005
"EIF3E:PLOD2",0.0016487333290625,5.29615351564429e-07,0.994029797388005
"EIF3E:ROCK1",0.0016487333290625,5.29615351564429e-07,0.994029797388005
"EIF3E:SF3A1",0.0016487333290625,5.29615351564429e-07,0.994029797388005
"EIF3E:SUN1",0.0016487333290625,5.29615351564429e-07,0.994029797388005
"HEATR3:AKR1C1",0.0016487333290625,5.29615351564429e-07,0.994029797388005
"HEATR3:HNRNPA2B1",0.0016487333290625,5.29615351564429e-07,0.994029797388005
"HEATR3:PRDX4",0.0016487333290625,5.29615351564429e-07,0.994029797388005
"SAT1:EIF3E",0.0016487333290625,5.29615351564429e-07,0.994029797388005
"STAG2:EIF3E",0.0016487333290625,5.29615351564429e-07,0.994029797388005
"ADNP:BNIP3",0.00615779287174993,4.96031746031746e-05,1
"ADNP:JMJD1C",0.00615779287174993,4.96031746031746e-05,1
"ADNP:SPOCK1",0.00615779287174993,4.96031746031746e-05,1
"ADNP:ZFC3H1",0.00615779287174993,4.96031746031746e-05,1
"AKR1B1:NCOA6",0.00615779287174993,4.96031746031746e-05,1
"AKR1B1:ZNF12",0.00615779287174993,4.96031746031746e-05,1
"AKR1C1:HNRNPA2B1",0.00615779287174993,4.96031746031746e-05,1
"ALDOA:ANKRD27",0.00615779287174993,4.96031746031746e-05,1
"AMD1:ANKRD10",0.00615779287174993,4.96031746031746e-05,1
"AMD1:CHD1",0.00615779287174993,4.96031746031746e-05,1
"AMD1:GDI1",0.00615779287174993,4.96031746031746e-05,1
"AMD1:ICE1",0.00615779287174993,4.96031746031746e-05,1
"AMD1:MFN1",0.00615779287174993,4.96031746031746e-05,1
"AMD1:NSMAF",0.00615779287174993,4.96031746031746e-05,1
"AMD1:RCN2",0.00615779287174993,4.96031746031746e-05,1
