Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
gene expression (GO:0010467)	347/672	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000125866791619212156297710438093771980840395368620279593425950112945607723486000113584457355907422253759899787257006883928719292493566438495371971246501336236829764235674271414919499358955647896109339824795261107015760399245769829423835517445695586502552032470703125	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000633991029385971642798716355548395096433568892365062826059697398032903333223278180771509682885644635539467080040244279302830612341777909013158590735926540158181306669884687889190453342768374578767446259286788283102663521528796763959689997136592864990234375	0.000000000000000000000000000000000000000444530063616438809152552850326812303872976217552072717044682189752520297468942026141135462202879711341406421265531889730482362210750579833984375	0.000000000000000000000000000000000002239097930436002360739159075728281904386618606179722544184416265643802048077545052549922123302957033263993480431963689625263214111328125	-2.3393768522360046	469.70154314397575	RPL4;EIF4A1;RPL5;RPL30;RPL3;VARS;RPL32;MAML1;CCNH;RPL31;HNRNPU;PPP2R2A;PHAX;CCNC;EPRS;RBPJ;RPL8;RPL6;RPL7;RPS14;PSMD6;RPS17;PSMD7;RPS16;PSMD4;TRIM28;SNRPD2;RPL18A;RPS19;SNRPD1;PPP2R1A;RPS18;CLP1;PSMD2;MYC;PSMD3;MAGOH;RPL35;PSMD1;AKT1;RPL38;RPS11;JUNB;RPS10;RPS13;RPS12;NUP214;MED1;RPL21;RPL23;RPL22;MED8;PRKCA;MED4;MED6;MED7;SRRM1;XRN1;PSME3;CLNS1A;CD2BP2;RPL24;RPL29;UBA52;SET;DHX9;RPN1;CSTF2;NEDD4L;PCBP1;PCBP2;CSTF1;SSR1;PSMF1;NR2C2AP;CREBBP;UPF3B;UPF3A;NR0B2;RPS26;AIMP1;HNRNPL;RPS25;HNRNPM;RPS28;SNW1;HNRNPK;QARS;AGO3;RPS29;RNPS1;RPS20;HNRNPC;RPS21;RPS24;SUGP1;RPS23;FARSB;SMG1;TRAM1;ELL;RPLP1;MED16;MED15;SMG6;MED17;MED12;MED14;XPO1;PCF11;RARS;MED10;HNF4A;XPO5;RPLP2;SEC61B;NELFCD;TEAD3;UPF2;UPF1;CNOT6L;WARS;PARP1;SSR3;MED26;MED23;NCOR2;KAT2B;PSMA6;MED25;PSMA3;MED24;NCOR1;PSMA1;PSMA2;HNRNPH1;MED20;RARA;PPARG;GARS;PABPC1;DCP2;SF3B4;SF3B5;SF3B2;SF3B3;CTDP1;SF3B6;RPL12;RPL11;PSMA7;RXRB;PPP2CA;PSMB6;EXOSC5;PSMB4;EXOSC4;RPS15A;SRP72;PSMB3;EXOSC8;PSMB1;RPS3;TCEB1;RPL15;RPS2;RPL18;RXRG;SF3B1;EXOSC1;RPL19;SF3A3;CDKN2B;SF3A1;SF3A2;NR1H2;NR1H3;SRP68;NUDT21;PSMC5;PSMC6;PSMC4;PRKRA;MARS;PSMC1;PSMC2;HNRNPA2B1;ZBTB25;GTF2B;GEMIN2;UBE2D3;UBE2D1;CASC3;RORB;RPL10A;SRP14;CTGF;EDC4;NARS;EFTUD2;EEF1B2;ZFP36;PAPOLA;MEN1;SUPT16H;RPS9;RPS7;RPS8;RPS5;RPS6;SARS;RPSA;GTF2F1;EEF1A1;PRPF4;PRPF6;HNRNPUL1;MAPKAPK2;GEMIN4;SRSF2;SRSF4;SNRNP200;SRSF6;SRSF7;SNRPA;SRSF9;SNRPB;NOTCH2;NOTCH3;PSMD12;PSMD11;NOTCH1;PSMD13;NOTCH4;TARS;UBB;MED30;MED31;UBC;EIF4EBP1;SMN1;SKIL;SMAD2;YARS;HSPA8;DARS;SMAD4;CPSF7;SMAD3;CPSF1;SMURF2;FUS;VDR;SUPT5H;EIF2S2;EEF2;EIF2S1;ESR1;LSM4;LSM3;ESR2;SMAD7;LSM2;CNOT4;CDK9;PAN2;CDK8;NR4A1;CNOT6;EIF2S3;CNOT7;SP1;CNOT1;CNOT2;CNOT3;CNOT8;MNAT1;EIF4G1;THRA;YWHAB;HSPB1;YBX1;RPS4X;SNAPC5;RPL7A;SNAPC1;SNAPC2;SNRNP70;SNAPC3;TNPO1;RBM5;TGIF1;TBP;NCBP1;RPL13A;RPS3A;SMC1A;YWHAZ;DDOST;EEF1G;SARS2;RBL1;POLR1A;EEF1D;POLR1C;RPL37A;SNRPA1;GTF3C1;GTF2A1;GTF3C3;HDAC1;SRSF1;RPL36A;DDX20;U2AF1;U2AF2;POLR2C;TGS1;IGF2BP1;SNRPB2;POLR2H;HNRNPA1;POLR2I;EIF4B;HNRNPA0;POLR2L;MAPK3;RPL23A;SSRP1;MAPK14;TNRC6C;EIF3K;POLR3C;EIF3I;EIF3G;RQCD1;EIF3H;EIF3E;EIF3F;TAF4;RBMX;EIF3D;TNRC6A;RAN;EIF3A;TRIM33;TNRC6B
mitotic cell cycle (GO:0000278)	205/404	0.0000000000000000000000000000000000000000000000000002790632490071951509721599710247394083026556179233600628093879067752989811849007523606014319441513741702164118077718965511800088517835316537230028188787400722503662109375	0.0000000000000000000000000000000000000000000000007028207926246209203642011905422338349219258240348487554304670609721058795669832348768975702147160764565026108844082958042320807834357765386812388896942138671875	0.000000000000000000000049464564084966143545932836822688941853555534035637919443070928578187750446204518084414303302764892578125	0.00000000000000000012457650464798724022579731917803671479324761396057451821872685826519955298863351345062255859375	-2.3023709708338256	255.27938245472723	RB1;NUP107;CCNH;PPP2R2A;SMC3;SOX2;GOLGA2;PSMD6;PSMD7;PSMD4;PPP2R1A;PSMD2;PSMD3;PSMD1;SKP2;PRKACA;SKP1;NUP214;CSNK2A1;CSNK2A2;CSNK1E;PSME3;CSNK2B;UBA52;BLZF1;SET;CDCA5;AAAS;NUP85;RAD21;CEP70;CEP72;NUP88;CEP192;PSMF1;CEP76;CDT1;PLK3;RCC2;PLK1;CDC7;CDC6;ZWINT;POLA1;POLA2;STAG1;STAG2;CEP57;TOP2A;CDKN1A;FEN1;CDKN1B;ACTR1A;PCM1;XPO1;TUBA1A;ENSA;EMD;NINL;RAB8A;NDEL1;OFD1;NUDC;SEC13;TUBB;TUBG1;DYNLL1;PSMA6;PSMA3;PSMA1;PSMA2;CEP63;MAPRE1;PAFAH1B1;DYNC1I2;PCNA;SSNA1;TYMS;CENPA;PSMA7;PPP2CA;PSMB6;PSMB4;PSMB3;LMNA;PSMB1;CENPT;RANBP2;CENPU;DYNC1H1;GINS2;CDKN2B;CDKN2C;CDKN2A;GINS4;RPA1;RPA2;TUBB4B;PSMC5;CENPF;PSMC6;CENPH;PSMC4;CENPI;PSMC1;TAOK1;RPA3;ALMS1;PSMC2;CENPK;CENPL;CENPM;NCAPD2;CENPN;CENPO;CENPP;CENPQ;GMNN;UBE2D1;PPP1CB;PPP1CC;CCND1;CEP250;EP300;BANF1;LIG1;USP3;CEP131;DYRK1A;CDC25C;TUBA4A;CDC25A;CCNE1;PSMD12;PSMD11;PSMD13;TUBGCP2;CUL1;PDS5B;PDS5A;NUP160;CCNB1;UBB;UBC;NEK9;NUP155;UBE2C;CDK6;CDK4;CDK2;CDK1;TUBGCP3;MNAT1;YWHAE;MCM7;NUMA1;MCM8;FOXM1;CKS1B;NUP62;CEP290;POLE;YWHAG;RFC5;RFC3;HSP90AA1;RFC4;PPP1R12A;RFC1;NUP133;RFC2;RANGAP1;SMC1A;CCNA2;RBL2;RBL1;GORASP2;MCM3;MCM4;NUP54;MCM5;MCM6;PPP1R12B;MCM2;RAB1A;DCTN2;DCTN1;HDAC1;HDAC8;RNF2;AURKB;POLD3;POLD4;RBBP4;POLD1;POLD2;E2F1;E2F2;E2F3;NUP43;RRM1;PTPN11;POLE2;PPP2R2D;NUP37
regulation of cellular response to stress (GO:0080135)	185/404	0.000000000000000000000000000000000000003313805652485122147075364616040886087831768292723518789507928404878232476451637420825706547177063872149094247987477501737885177135467529296875	0.00000000000000000000000000000000000333832781431351196757033121317844519352416466179099506668940785695293891642200563683675370967030016089438504423014819622039794921875	0.000000000000000027352889010609737991409296225308370495887264341422322189156801641729543916881084442138671875	0.00000000000002755530038928824889452256805621847871205841278008374928276680293492972850799560546875	-2.4970256802853115	203.97601828214982	IL1RN;KDM1A;DIXDC1;CLU;TNF;CCAR2;CTGF;TRIM28;PPP4R2;MYC;CHEK1;ARL6IP5;TNFSF11;AKT1;MAP3K7;TP63;MEN1;MAP3K5;PIAS4;PRKCG;MAP2K4;DAXX;SZT2;MAP2K1;FBXO18;FBXW7;DYRK1A;THOC1;NSMCE1;SETMAR;MIF;HIC1;MAPK8IP1;ERN1;SFRP2;UBE2V2;TNIK;UBE2V1;TP53;SQSTM1;DDX5;HTRA2;TWIST1;TNFRSF11A;HIF1A;FBLN5;STK3;SDCBP;NUAK1;LARP1;PPP4C;PRDX1;NACC2;PSAP;UBR5;MBIP;ABL1;DVL2;PMAIP1;DVL3;RIPK1;SKIL;MCL1;LYN;TRAP1;XBP1;GADD45B;GADD45A;NONO;HMGA1;EIF2AK2;SUPT5H;GADD45G;IFT20;CDK9;DAB2;CDK6;COPS5;STK24;MDM2;UBE2N;SNAI2;ATM;MAP3K11;RAD9A;TP73;BCL2L1;LRRK2;HSPB1;BRCA1;FOXM1;SH3RF1;CASP9;ING2;DUSP10;MECOM;CD36;HRAS;POLH;NDEL1;MAP4K1;MAP4K2;DBNL;DUSP3;SYK;RIPK2;MINK1;H2AFX;MMP3;GAB1;AXIN1;TRAF2;SIRT1;TIRAP;RNF168;SFPQ;ZEB2;RAP2A;NCOR1;TRAF4;TRAF6;CRY1;TERF2IP;PLCB1;CD44;TLR3;PAFAH1B1;RAB7A;OTUB1;BECN1;HDAC3;RAB1B;GSTP1;RNF8;NOD2;RNF5;EGFR;HDAC6;CDC42;CLN3;BCLAF1;MUC1;PAK1;MAPK7;SPP1;RPS3;SPOP;USP1;UBQLN1;PTK2B;MAPK1;BAK1;MAP4K5;SASH1;BRD4;SNCA;MAPK3;IGBP1;NPM1;MAP3K1;CDKN2A;MGMT;SYVN1;RPA2;SOD2;HIPK3;MTOR;PML;HIPK2;SOD1;DNAJA1;CUL4A;RSL1D1;ITCH;PINK1;APEX1;TAOK1;FKBP1B;TAOK2;BAX;ERCC8;P4HB;ERCC6;TRIM32;TPT1
DNA repair (GO:0006281)	182/403	0.0000000000000000000000000000000000001412064272266761441510181380325815830923594006514547546076633803932110295314500667049109044535299371803116486034923582337796688079833984375	0.000000000000000000000000000000000118542795656794609348182049102242470263995734419983065832614985740457121665964138662984340803763227967237980919890105724334716796875	0.000000000000000144512376574238690484266966764204125853659227570434386844766549984342418611049652099609375	0.0000000000001213181401340733743876327317626898487389931757807204348864615894854068756103515625	-2.4505978502023913	191.43528653982787	MDC1;DCLRE1A;CCNH;UBE2D3;SMC5;SMC6;SMC3;CDC14B;YY1;ZFYVE26;TRIM28;KAT5;EME1;RUVBL2;RUVBL1;CHEK1;FBXO6;MEN1;USP7;SUPT16H;LIG1;USP3;FOXH1;NSMCE1;LIG4;HUS1;SETMAR;CSNK1E;RBX1;MSH6;MORF4L1;NEIL2;MSH2;FANCD2;MSH3;MORF4L2;MSH4;UBE2V1;UBA52;TP53;CCNO;INO80C;VCP;PAXIP1;PRKDC;CDCA5;DDX1;XPA;XPC;UBB;RAD21;UBR5;UBC;ABL1;DMAP1;CLSPN;TP53BP1;BARD1;ZRANB3;UVRAG;XRCC6;UBE2B;GADD45A;XRCC5;NONO;FANCA;HMGA1;XRCC1;FANCC;UBE2A;FANCE;FANCG;FANCF;CDK9;POLA1;PPP5C;TDP2;CDK2;CDK1;UBE2N;RAD17;ATM;MMS19;MNAT1;RAD18;TP73;RAD9A;MUS81;SMG1;SETD2;BTG2;FEN1;WDR48;MCM8;MCM9;BRCA1;FOXM1;PRPF19;POLB;CHAF1B;CHAF1A;SUMO1;POLI;POLL;POLK;POLE;POLH;RFC5;UPF1;RBM14;SHPRH;RFC3;RFC4;RFC1;PARP1;NCOA6;RFC2;ATRX;H2AFX;ACTL6A;RAD23A;SMC1A;BAZ1B;SIRT1;RAD23B;DDB1;RNF168;KIN;SFPQ;CINP;CRY1;FAN1;OTUB1;PCNA;USP10;RNF8;UNG;RECQL4;POLD3;POLD4;WRN;RECQL5;SLX4;MTA1;TDG;POLR2C;POLD1;POLD2;USP1;RBBP8;POLR2H;POLR2I;POLR2L;MUTYH;NPM1;POLN;POLM;MGMT;MCRS1;HUWE1;RPA1;MRE11A;APEX2;RPA2;SSRP1;USP28;MLH1;APTX;MLH3;CUL4A;MAD2L2;RAD52;TAOK1;POLE2;APEX1;RPA3;ERCC8;ERCC5;STUB1;TRIP13;ERCC6;CUL4B
cell cycle phase transition (GO:0044770)	146/280	0.000000000000000000000000000000000000003026533008721386418060561251643995285629784752840893011174884875698938641132209358107980026184586730235437368463635721127502620220184326171875	0.00000000000000000000000000000000000333832781431351196757033121317844519352416466179099506668940785695293891642200563683675370967030016089438504423014819622039794921875	0.0000000000000000176615304299188475952788648215310743525786595108963139555413590642274357378482818603515625	0.00000000000002227903855141056720636553059671162311386537029089804917703077080659568309783935546875	-2.3188586986902666	189.42198634646147	RB1;CCNH;PPP2R2A;PPP1CB;PSMD6;PSMD7;CCND1;PSMD4;PPP2R1A;PSMD2;CHEK1;PSMD3;MYB;PSMD1;CEP250;EP300;SKP2;PRKACA;SKP1;RPS6;CEP131;CSNK1E;CDC25C;CDC25A;TUBA4A;CDC34;CCNE1;PSME3;TIMELESS;UBA52;KHDRBS1;PSMD12;PSMD11;CUL5;PSMD13;TUBGCP2;CUL3;CDCA5;CUL2;CUL1;GSPT1;CCNB1;UBB;CEP70;UBC;EIF4EBP1;CEP72;CEP192;PSMF1;CEP76;PLK3;CDT1;PLK2;PLK1;CDC7;NFATC1;CDC6;POLA1;POLA2;CDK6;CDK4;CDK2;CDK1;TUBGCP3;MNAT1;ITGB1;CEP57;YWHAE;CDKN1A;CDKN1B;MCM7;NUMA1;MCM8;FOXM1;CKS1B;PPP6C;PPP3CA;ACTR1A;PCM1;TUBA1A;ENSA;NINL;POLE;CEP290;RAB8A;YWHAG;OFD1;HSP90AA1;PPP1R12A;TUBB;DYNLL1;TERF1;TUBG1;DNM2;CCNA2;LATS1;PSMA6;PSMA3;LATS2;PSMA1;PSMA2;MCM3;MCM4;MCM5;CEP63;MCM6;MAPRE1;BCAT1;PLCB1;PPP1R12B;MCM2;PAFAH1B1;CAMK2B;DYNC1I2;CAMK2D;PCNA;DCTN2;DCTN1;SSNA1;TYMS;PSMA7;PSMB6;PSMB4;RBBP4;PSMB3;PSMB1;RBBP8;E2F1;DYNC1H1;CDKN2B;CDKN2C;CDKN2A;RPA1;RPA2;TUBB4B;CUL4A;PSMC5;CENPF;PSMC6;PSMC4;POLE2;PSMC1;RPA3;ALMS1;PSMC2;CRLF3
mitotic cell cycle phase transition (GO:0044772)	145/277	0.000000000000000000000000000000000000003054553057657774025306273900752061640596750189038111502426833579570727970567586585969762922358752767378053949443028614041395485401153564453125	0.00000000000000000000000000000000000333832781431351196757033121317844519352416466179099506668940785695293891642200563683675370967030016089438504423014819622039794921875	0.000000000000000017692307763677242545580357394832064259123761846008611453573422522822511382400989532470703125	0.00000000000002227903855141056720636553059671162311386537029089804917703077080659568309783935546875	-2.3181509515449283	189.3641721854793	RB1;CCNH;PPP2R2A;PPP1CB;PSMD6;PSMD7;CCND1;PSMD4;PPP2R1A;PSMD2;CHEK1;PSMD3;MYB;PSMD1;CEP250;EP300;PRKACA;SKP2;SKP1;RPS6;CEP131;CSNK1E;CDC25C;CDC25A;TUBA4A;CDC34;CCNE1;PSME3;UBA52;KHDRBS1;PSMD12;PSMD11;CUL5;PSMD13;TUBGCP2;CUL3;CDCA5;CUL2;CUL1;GSPT1;CCNB1;UBB;CEP70;UBC;EIF4EBP1;CEP72;CEP192;PSMF1;CEP76;PLK3;CDT1;PLK2;PLK1;CDC7;NFATC1;CDC6;POLA1;POLA2;CDK6;CDK4;CDK2;CDK1;TUBGCP3;MNAT1;ITGB1;CEP57;YWHAE;CDKN1A;CDKN1B;MCM7;NUMA1;MCM8;FOXM1;CKS1B;PPP6C;PPP3CA;ACTR1A;PCM1;TUBA1A;ENSA;NINL;POLE;CEP290;RAB8A;YWHAG;OFD1;HSP90AA1;PPP1R12A;TUBB;DYNLL1;TERF1;TUBG1;DNM2;CCNA2;LATS1;PSMA6;PSMA3;LATS2;PSMA1;PSMA2;MCM3;MCM4;MCM5;CEP63;MCM6;MAPRE1;BCAT1;PLCB1;PPP1R12B;MCM2;PAFAH1B1;CAMK2B;DYNC1I2;CAMK2D;PCNA;DCTN2;DCTN1;SSNA1;TYMS;PSMA7;PSMB6;PSMB4;RBBP4;PSMB3;PSMB1;RBBP8;E2F1;DYNC1H1;CDKN2B;CDKN2C;CDKN2A;RPA1;RPA2;TUBB4B;CUL4A;PSMC5;CENPF;PSMC6;PSMC4;POLE2;PSMC1;RPA3;ALMS1;PSMC2;CRLF3
negative regulation of cell cycle (GO:0045786)	188/430	0.000000000000000000000000000000000002054855100187386933084918946080701986135646581262721821191834800868842287569260153353279977294330860271287519935867749154567718505859375	0.000000000000000000000000000000001150033904404874214314170902036234159680232171687180830210137099987612858943650637305838695112480962734480272047221660614013671875	0.000000000000000552799316636531937756553571327481498425229669395342124715853060479275882244110107421875	0.00000000000030938335087757901033310410303173575044359544516936466607148759067058563232421875	-2.4597897024490925	186.5640208197408	RB1;MDC1;ATF2;CCNK;TRRAP;GMNN;UBE2D1;SMC3;ETS1;SOX2;STK11;PSMD6;RASSF1;PSMD7;CCND1;PSMD4;RPS6KA2;PSMD2;MYC;PSMD3;CHEK1;PSMD1;IL12A;TP63;MEN1;TSPYL2;NANOS2;PRKAB2;MAP2K1;CSNK2A1;FBXW7;RPS6;CSNK2A2;THOC1;TSC2;HUS1;SETMAR;SCRIB;MIF;PRKAB1;DGKZ;ERN1;TOM1L1;TOM1L2;MSH2;ZFYVE19;PSME3;DDIT3;RPL24;UBA52;TP53;NOTCH2;KMT2E;KHDRBS1;MACF1;PSMD12;TSG101;PSMD11;CUL5;PSMD13;PRKDC;CUL3;CUL2;CUL1;HTRA2;XPC;FOXO4;GIGYF2;CCNB1;UBB;NACC2;UBC;TP53BP2;ABL1;CLSPN;PSMF1;GAS2L1;SKIL;MAP2K6;BARD1;PRNP;PLK3;HEXIM2;SMAD3;TGFB1;CRADD;GADD45A;UBE2C;PLK2;PLK1;KLHL22;MAD2L1BP;PA2G4;FOXN3;ZWINT;CDK9;DLG1;CDK6;STAG2;CDK5;CDK4;CDK2;MDM2;CDK1;BCL2;RAD17;ATM;CALR;TP73;RAD9A;BCL2L1;CDKN1C;TOP2A;CDKN1A;CDKN1B;FHL1;PTEN;ILK;TNFAIP3;BRCA1;PRPF19;PKD2;PPP1R9B;ING4;RPTOR;SART1;CASP3;TIMP2;CASP2;HRAS;DST;PRMT2;H2AFY;STRADB;TERF1;SMC1A;TERF2;MLF1;TGFBR1;CCNA2;LATS1;KAT2B;PSMA6;RNF167;PSMA3;LATS2;PSMA1;PSMA2;GAS7;PPP1R15A;CDC123;HDAC2;PRKAA1;HDAC3;PRKAA2;HDAC1;PTGS2;THBS1;EGFR;AURKB;PSMA7;PSMB6;MUC1;PSMB4;PSMB3;PSMB1;MFN2;APBB1;BRD4;CDKN2B;NPM1;CDKN2C;CDKN2A;MRE11A;RPA2;CHFR;PML;MAD2L2;CUL4A;PSMC5;CENPF;PSMC6;TFAP4;PSMC4;PSMC1;PSMC2;TRIM35;PTPN3
cellular component disassembly (GO:0022411)	165/350	0.00000000000000000000000000000000000051573590226151573685908677678237175207703435304926984504740477975897240045454797393879786131958876949088477203986258246004581451416015625	0.0000000000000000000000000000000003711088199558935105766624386891912684502149481148561608709468007970221365741068803644300312660764262773227528668940067291259765625	0.00000000000000020022888108363422050833849951018753834056180455729101463901997703942470252513885498046875	0.0000000000001440789820026093469046519570384323578817083177927571568943676538765430450439453125	-2.341742966323312	180.25933671601433	RPL4;RPL5;RPL30;NUP107;RPL3;RPL32;RPL31;RPL8;RPL10A;RPL6;RPL7;RPS14;RPS17;RPS16;CAPNS1;RPL18A;RPS19;CDH1;RPS18;KIF5B;CFL2;STMN1;CFL1;RPL35;BANF1;RPL38;CAPN1;RPS11;RPS10;RPS13;KPNA1;RPS12;NUP214;SMARCC1;RPS9;SUPT16H;RPS7;RPL21;RPS8;RPS5;RPL23;RPS6;RPL22;RPSA;HSPG2;ADAM17;ADAM15;RPL24;ADAM9;COL8A1;PRKCQ;RPL29;UBA52;KPNB1;COL17A1;SET;COL13A1;PSEN1;AAAS;GSPT1;NUP160;DEDD2;NCSTN;CCNB1;SHARPIN;NUP85;NUP88;CLSPN;A2M;MCTS1;HSPA8;PLK3;NEK9;NUP155;PLK1;FN1;HMGA1;DSTN;HSPA2;PTK2;RPS26;COL1A1;RPS25;RPS28;OCLN;COL1A2;SYNJ1;STK24;COL5A1;RPS29;CDK1;SNAI2;RPS20;RPS21;RPS24;RPS23;RPLP1;LAMC1;HMGB1;LMNB1;RPS4X;RPL7A;CASP7;CASP8;CTSK;CASP3;NUP62;FLOT1;TIMP2;RPLP2;DNM1L;EMD;CTSD;NDEL1;DSP;DBNL;NUP133;MMP2;MMP3;RPL13A;NRG1;TFIP11;RPS3A;ARID1A;MMP8;MMP14;COL2A1;RPL37A;NUP54;MAPT;BIRC2;CD44;PAFAH1B1;PLEC;NAPA;NAPB;SMARCD3;ROCK1;RPL12;RPL11;RPL36A;FURIN;PLG;ADD1;HDAC6;ACAN;RPS15A;LMNA;SPP1;RPS3;NUP43;RPL15;RPS2;RPL18;PAK2;RPL19;BCAP31;SMARCE1;RANBP2;RPL23A;PEX14;COL3A1;CTNNB1;VIM;NUP37
single-organism cellular localization (GO:1902580)	208/496	0.00000000000000000000000000000000000059711016879981650688769182347560623068651306536799091092863687610925940442231043035143500715008178791887161196427769027650356292724609375	0.0000000000000000000000000000000003759554900305844517053957049995467656860546334558214369265090627864967521576333369263196899912049531167212990112602710723876953125	0.0000000000000004674184152554126506449960924771672863623820878310743953676364981220103800296783447265625	0.0000000000002942983197051891922207895892870141324221440470854105342368711717426776885986328125	-2.308830591209779	177.69589697884592	RPL4;RPL5;RPL30;RPL3;ARL6IP1;RPL32;RPL31;CBLB;GCC1;RPL8;RPL6;RPL7;RPS14;RABGEF1;GOLGA4;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL35;RPL38;RPS11;GOLGA7;RPS10;RPS13;SEC63;RPS12;NUP214;MEF2C;PRKCI;RPL21;RPL23;RPL22;ANK2;PARD3;RPL24;TXNIP;RPL29;UBA52;BLZF1;MACF1;RPN1;PIK3R1;PRKCZ;MYL12A;SNX3;PPP3R1;BLOC1S6;RHOT2;GRPEL1;S100A13;MAP7;SSR1;SPTBN1;BBS2;BBS1;JUN;RAB27A;RPS26;RPS25;RPS28;RPS29;RPS20;CD24;RPS21;RPS24;RPS23;TRAM1;RPLP1;WASL;ING1;PPP3CA;RPLP2;TMED2;KIF1B;RAC1;SEC61B;JAK2;RAB8A;BBS4;NDEL1;FCER1G;ANXA2;SSR3;NME7;KIT;HAP1;MAPT;VAMP4;VAMP5;VAMP2;PAFAH1B1;RAB7A;VAMP3;TOMM40;RPL12;SSNA1;RPL11;TIMM13;HTT;PAK1;SAMM50;RPS15A;SRP72;LMNA;RPS3;FLNA;MFN2;RPL15;RPS2;RPL18;BID;RPL19;RANBP2;PEX19;STAT3;SRP68;PEX14;LRPPRC;RAB11B;KRT18;NEDD4;TAOK2;TRIP11;NCF1;SRP14;RPL10A;TOMM20;CDH1;KIF5B;PALM;CFL1;CAPN3;PMPCB;KPNA3;KPNA1;PDIA3;RPS9;MAP2K1;RPS7;RPS8;RPS5;RPS6;TOMM34;AIP;TSC2;RPSA;TRNT1;HGS;KPNB1;CACNA1A;CPLX2;NCKIPSD;SDCBP;KIF3A;DVL1;RAB6A;PACSIN1;HSPA9;MGEA5;TGFB1;NUP155;HSPA4;HPS6;DLG1;CDK5;DLG4;RERE;LRRK2;ITGB2;PIK3CG;SYNE2;RPS4X;RPL7A;SUMO1;MYO18A;FLOT1;ITGB7;TNPO3;ACTR3;ACTR2;HSP90AA1;ITGA4;RPL13A;RPS3A;YWHAZ;DDOST;PEX7;RPL37A;ITGB1BP1;DOCK2;SLC25A6;RAB1A;DCTN2;DCTN1;RPL36A;TOB1;FYB;CLN3;AP3M1;RAB26;MAPK1;HES1;RPL23A;PML;MYO1C;RAN
chromatin modification (GO:0016568)	199/475	0.0000000000000000000000000000000000260204812070493681291191222621690741622330072910033886921182322215587803675883417234968226529334689445249750860966742038726806640625	0.0000000000000000000000000000000119150148945370594894224651081966011052528987322401284502682339630597138668185240952847314677143231165246106684207916259765625	0.0000000000000022566730933757597326306921870555370354544393214635267241874316823668777942657470703125	0.0000000000008743740285641309638291080502422354951870542283387521820259280502796173095703125	-2.379503629219807	174.9113837460388	RB1;ATF2;SPI1;TRRAP;EHMT2;HDAC11;JMJD1C;ACTB;KAT5;MYC;CHEK1;MYB;KAT8;KAT7;SOX9;TP63;SKP1;TSPYL2;SMARCC1;DAXX;SFMBT1;PRKCB;SETMAR;PRKCA;JMJD6;HCFC1;TRIM16;ASF1B;L3MBTL1;PAXIP1;MEAF6;HLCS;HLTF;NAA50;CREBBP;SETDB1;SMARCA1;SMARCA2;H2AFY2;PAF1;ATM;HNRNPC;RCOR1;BAP1;SUV39H2;SETD2;ASH2L;BMI1;ING1;ING4;MECP2;ING5;ING2;JAK2;NCOA2;PRMT2;RING1;ACTL6B;PRMT1;NCOA3;ACTL6A;TET2;SIRT7;BAZ1B;TERF1;TERF2;SIRT1;SIRT2;DDB1;RNF168;KAT2B;KAT2A;MED24;NCOR1;PAX7;TET3;DOT1L;CENPA;APBB1;BRD4;MBD3;SUZ12;CENPU;NPM1;CDKN2A;MCRS1;HUWE1;ELP3;GFI1B;MIS18A;CENPH;CENPI;CENPK;CENPN;CENPO;CENPP;ZNF335;CENPQ;CRTC2;KDM1A;ARID4A;JADE2;FBL;RUVBL2;RUVBL1;EP300;SMARCAD1;MAP3K7;MEN1;USP3;MORF4L1;KAT6A;MORF4L2;HAT1;KMT2E;INO80C;KMT2D;DNMT1;KMT2A;KMT2C;KMT2B;PHB;SUPT6H;BAG6;ATXN7;NACC2;MBIP;DMAP1;SMYD3;CBX8;MGEA5;DR1;BRPF1;CBX4;UBE2B;CBX3;HMGA1;UBE2A;SUPT5H;ESR1;YEATS2;CDK2;CDK1;UBE2N;TCF3;OGT;RERE;KDM5A;KDM5C;LDB1;DPY30;CHD4;CHD3;MYSM1;CHD1;CABIN1;VPS72;WDR5;DNMT3B;UTY;KDM6A;RBM14;USP49;H2AFY;EED;ATRX;ARID1A;ARID1B;RBL2;SFPQ;RBL1;MYOD1;TOP1;HDAC4;HDAC5;HDAC2;KDM3A;PRKAA1;SMARCD3;HDAC3;PRKAA2;HDAC1;LEF1;RNF8;HDAC8;HDAC6;AURKB;RNF2;RBBP4;RBBP5;TDG;RBBP7;MTA2;SMARCE1;USP21;USP22;POLE4;BCOR;CUL4B
