Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
kinase binding (GO:0019900)	226/487	0.00000000000000000000000000000000000000000000000054418793468609050914405580446423323641886166788824743930407663233720673184189687427540864072135943058229860814482675070049948196082567619669134728610515594482421875	0.00000000000000000000000000000000000000000000028569866571019753568404845313469282422809940951327895620643008586524698893464992123954947090706810494382502118549077389786372549451698432676494121551513671875	0.0000000000000000000003510679396862055174911215343014035486274000224737067494659085824249000751251514884643256664276123046875	0.0000000000000000001843106683352579004914405021724483888480913923987720396020784097146361091290600597858428955078125	-2.5523789890843576	267.66580695865923	RB1;ATF2;CCNK;MAML1;CCNH;DIXDC1;CCNC;ACTB;RPS19;DPYSL2;AKT1;SOX9;CCNL1;PRKACA;CDK5RAP3;DAXX;MEF2C;PRKCB;ANK2;PRKAB1;MAPK8IP1;STX1B;CDC37;FEZ1;PARD3;VDAC1;SIK1;TP53;SKAP1;CCNO;STXBP1;TWF2;IQGAP1;BCL10;HIF1A;PRKCZ;PRPSAP1;PRDX3;LDHB;PRKAR2A;SFN;PLCG1;BARD1;TRAP1;JUP;PLK1;NFATC1;BRAF;CDC6;SNAP91;PTK2;CYLD;POLA1;TOLLIP;TRIP6;GRB2;CALM1;CD24;PAM;TP73;TOP2A;BTG1;FAF1;CLTC;AP2A1;KIF11;RPTOR;IKBKB;HINT1;C1QBP;SUFU;RAC1;JAK2;RAB8A;MAP4K2;SREBF1;SYK;PGAM1;SIRT1;KAT2B;TAX1BP1;RARA;RAPGEF2;HCLS1;MAPT;ARHGEF7;STX17;GSTP1;WAS;KCNA5;EGFR;RELA;PAK1;RPS3;FLNA;PAK2;CDKN2B;NPM1;MAP3K1;CDKN2C;CDKN2A;STAT3;SORBS1;MAD2L2;ABI2;TAOK2;CTNNB1;FAS;IRS1;PEBP1;PPP1CB;PPP1CC;CCND3;ZFP36;CCND1;CEP250;MAP3K5;NSF;MAP2K4;MAP2K1;FBXW5;RPS6;CDC25C;TICAM1;CDC25A;EEF1A1;TOM1L1;TOM1L2;MSH2;CCNE1;PKP2;ADAM9;UTRN;RAF1;SQSTM1;PXN;STK39;FOXO3;CCNB1;GRK5;DVL1;ABL1;MAP2K6;NEK9;SMAD1;SMAD3;MSN;EEF2;GFAP;LSM2;DLG1;MAVS;TRPV4;PIN1;TCF3;TAB1;MAP3K11;RAD9A;BCL2L1;ITGB1;GSK3B;HSP90AB1;TRADD;ITGB2;PTEN;ILK;HSPB1;TNFAIP3;ARRB1;ARRB2;FOXM1;GHR;CASP9;YWHAG;DSP;PPP1R12A;KSR1;GLRX3;H2AFY;AXIN1;PPP2R5A;TRAF2;YWHAZ;PJA2;ADRA2A;TIRAP;TGFBR2;CCNA2;FGR;LATS1;TRAF4;LCK;TRAF3;TRAF6;DCX;CRY1;ITGB1BP1;MS4A2;PPP1R15A;HDAC4;HDAC5;PRKAA1;RGS14;MVP;NOD2;TTN;CDC42;PARD6A;MAPK7;TDG;UBQLN1;PTK2B;MAPK1;MAPK6;SASH1;HNRNPA0;IGBP1;CD4;PINK1;PFKL;TNIP1;TNIP2;SPRY2;STUB1;PFKM;BCAR1
transcription factor binding (GO:0008134)	222/464	0.000000000000000000000000000000000000000000000000006151387915087112445419961829618621103393196109959854636843334817614233196550417534278795137563089824187225966257361869878839371987566675414882411132566630840301513671875	0.00000000000000000000000000000000000000000000000645895731084146847837426492521084798678058407401249428874227386255756464797842301434734086982932694357898106368386816739622646732499333666055463254451751708984375	0.000000000000000000000043600437462280617024851450837461353854087596825198846067840369351842344514125215937383472919464111328125	0.00000000000000000004578045933539464973337509767854868413739570547760695932472396751933274572365917265415191650390625	-2.4089356841502494	261.7516188360867	RB1;TCERG1;ATF2;SPI1;HDAC11;KEAP1;JMJD1C;RBPJ;ACTB;KAT5;MYC;MAGEA2;KAT8;SOX8;SOX9;HES6;MED1;MEF2C;DAXX;FOXH1;MED4;SOX10;MED6;RUNX1;NIF3L1;DDIT3;CSNK2B;ZFPM2;ZFPM1;TP53;DHX9;CTBP1;EPAS1;PRKDC;TWIST1;BCL10;NLK;GATA1;HIF1A;TP53BP2;TP53BP1;NKX2-5;PPARGC1A;BBS2;BBS1;CREBBP;JUN;XBP1;NFATC1;NR0B2;SNW1;TRIP6;ID3;TP73;FAF1;TCF21;MED16;MED17;MECP2;RPTOR;MED12;MED14;HEY1;SUFU;C1QBP;HNF4A;HEY2;UBXN7;BBS4;TEAD3;NCOA2;PRMT2;PARP1;NCOA6;ANXA4;NCOA3;TCF12;FOS;SIRT1;SIRT2;NCOR2;KAT2B;PSMA6;MED25;ZEB1;BBS10;MED24;NCOR1;TAL1;RARA;HCLS1;PPARG;DOT1L;HTT;RELA;CREG1;RPS3;SPOP;FLNA;APBB1;ARNT2;NPM1;CDKN2A;NFYB;NR1H2;STAT3;WWP2;SORBS3;HIPK2;MAD2L2;HEYL;GFI1B;PSMC5;CENPF;MYBBP1A;NFIA;APEX1;CTNNB1;HDGF;KDM1A;GTF2B;GMNN;RORB;ETS1;CCND1;RNF19A;PIM1;EP300;USP7;TLE1;MSX2;LMO2;AIP;GTF2F1;BRMS1;KAT6A;LRIF1;HIST1H2BB;DNMT1;FOXO4;STK4;MED30;DMAP1;GAS2L1;SMAD2;SMAD4;DR1;CBX5;SMAD3;UBE2I;VDR;HMGA1;ESR1;NFKB1;NFKBIA;YEATS2;SP1;CNOT1;NACA;CNOT2;BHLHE40;BCL3;BCL2;UBA2;TCF4;TCF3;GSK3B;DDX3X;LDB1;THRA;FHL2;CHD4;ARRB1;HMGB1;SUMO1;SIN3A;NUP62;BCAS3;TBP;YWHAZ;EPN1;CREB1;RBL1;THRAP3;MYOD1;HAND1;CRY1;LCOR;HDAC4;HDAC5;GTF2A1;CEBPA;HDAC2;CEBPB;SMARCD3;HDAC3;HDAC1;SRF;LEF1;SRI;HDAC8;ADD1;PARD6A;CAND1;MTA1;NRIP1;E2F1;RBBP8;E2F2;MAPK1;HES1;VHL;MTA2;SPEN;KLF4;MAPK14;MEIS2;MTOR;DRG1;BCOR;TRIM32;TPT1
protein kinase binding (GO:0019901)	206/437	0.00000000000000000000000000000000000000000000051028863273702617398577595280403744725876172226058189818108212977685702414516579782293999103650392598179236753968245066115372310378006659448146820068359375	0.000000000000000000000000000000000000000000178601021457959179564067417064838227972758764131576386134135251585401357754157873607125498968926697645461798016029708602303571751690469682216644287109375	0.00000000000000000000690377358933070359144838924456348796106171728702638194417016970216849358621402643620967864990234375	0.000000000000000002416320756265746410479478678955077826769843350195629376464534487922719563357532024383544921875	-2.5262620850589825	248.66294487761715	ATF2;CCNK;MAML1;CCNH;DIXDC1;CCNC;ACTB;RPS19;DPYSL2;AKT1;SOX9;CCNL1;PRKACA;CDK5RAP3;DAXX;MEF2C;PRKCB;ANK2;PRKAB1;MAPK8IP1;STX1B;CDC37;PARD3;FEZ1;VDAC1;SIK1;TP53;SKAP1;CCNO;STXBP1;TWF2;IQGAP1;BCL10;HIF1A;PRKCZ;PRDX3;PRKAR2A;SFN;PLCG1;TRAP1;JUP;PLK1;NFATC1;BRAF;SNAP91;PTK2;CYLD;POLA1;GRB2;CALM1;CD24;PAM;TP73;TOP2A;FAF1;CLTC;AP2A1;KIF11;RPTOR;IKBKB;HINT1;SUFU;C1QBP;RAC1;JAK2;RAB8A;MAP4K2;SREBF1;SYK;PGAM1;SIRT1;KAT2B;RARA;RAPGEF2;HCLS1;MAPT;ARHGEF7;STX17;GSTP1;WAS;KCNA5;EGFR;RELA;PAK1;RPS3;FLNA;PAK2;CDKN2B;NPM1;MAP3K1;CDKN2C;CDKN2A;STAT3;SORBS1;MAD2L2;TAOK2;CTNNB1;IRS1;PEBP1;PPP1CB;PPP1CC;CCND3;ZFP36;CCND1;CEP250;MAP3K5;NSF;MAP2K4;MAP2K1;FBXW5;RPS6;CDC25C;TICAM1;CDC25A;EEF1A1;TOM1L1;TOM1L2;MSH2;CCNE1;PKP2;ADAM9;UTRN;RAF1;SQSTM1;PXN;STK39;FOXO3;CCNB1;GRK5;DVL1;ABL1;MAP2K6;NEK9;SMAD1;SMAD3;MSN;EEF2;LSM2;DLG1;MAVS;TRPV4;PIN1;TCF3;TAB1;MAP3K11;RAD9A;BCL2L1;ITGB1;GSK3B;HSP90AB1;ITGB2;PTEN;ILK;HSPB1;ARRB1;ARRB2;FOXM1;CASP9;GHR;YWHAG;DSP;PPP1R12A;KSR1;GLRX3;H2AFY;AXIN1;TRAF2;YWHAZ;PJA2;TIRAP;ADRA2A;TGFBR2;CCNA2;FGR;LATS1;TRAF4;TRAF3;LCK;TRAF6;DCX;CRY1;ITGB1BP1;MS4A2;PPP1R15A;HDAC4;HDAC5;RGS14;MVP;NOD2;TTN;CDC42;PARD6A;MAPK7;TDG;MAPK1;PTK2B;MAPK6;SASH1;HNRNPA0;IGBP1;CD4;PINK1;TNIP1;TNIP2;SPRY2;BCAR1
small conjugating protein ligase binding (GO:0044389)	100/182	0.000000000000000000000000000010690792070832723897833469739566526869973240412276859747919275527064000735661015994981681842546095140278339385986328125	0.000000000000000000000000002245066334874871917651539213922141536185850489704179094884188045574304587979896918881195233552716672420501708984375	0.000000000000099044130666260246582361224644065610477994092419873339849800686351954936981201171875	0.0000000000207992674399146527163071689569317558078653807029922973015345633029937744140625	-2.368795859665344	145.35183065787575	RB1;CASC3;CLU;UBE2L3;TRIM28;MAGEA2;PRKACA;PIAS4;DAXX;USP7;FBXW7;USP2;RBX1;PIAS1;TXNIP;TP53;BLZF1;TSG101;CUL5;CUL3;CUL2;CUL1;BCL10;NLK;FHIT;HIF1A;BAG6;PRKAR2A;PCBP2;TNFRSF14;RIPK1;PPARGC1A;LYN;SMAD2;HSPA8;SMAD3;HSPA5;UBE2B;XRCC5;GLMN;PA2G4;UBE2A;SMAD6;SMAD7;NFKBIA;DLG3;TOLLIP;MDM2;BCL2;CALR;UBE2K;RAD18;GSK3B;CDKN1A;CD40;FAF1;FAF2;ARRB1;BRCA1;ARRB2;CASP8;SUMO1;CASP10;SUMO2;UBXN7;IKBKG;DNM1L;CCDC50;PDE4D;AXIN1;TRAF2;TRAF1;TNFRSF1B;TRAF4;TRAF3;TRAF6;MYOD1;TRAF5;EIF4E2;ATP6V0C;OTUB1;RNF31;USP13;RNF8;NEDD8;RELA;EGFR;ZNF746;SPOP;MFN2;BID;RPA2;PML;DNAJA1;CUL4A;PINK1;ABI2;ASB4;STUB1;CUL4B
ubiquitin protein ligase binding (GO:0031625)	100/182	0.000000000000000000000000000010690792070832723897833469739566526869973240412276859747919275527064000735661015994981681842546095140278339385986328125	0.000000000000000000000000002245066334874871917651539213922141536185850489704179094884188045574304587979896918881195233552716672420501708984375	0.000000000000099044130666260246582361224644065610477994092419873339849800686351954936981201171875	0.0000000000207992674399146527163071689569317558078653807029922973015345633029937744140625	-2.355576408452498	144.540671086552	RB1;CASC3;CLU;UBE2L3;TRIM28;MAGEA2;PRKACA;PIAS4;DAXX;USP7;FBXW7;USP2;RBX1;PIAS1;TXNIP;TP53;BLZF1;TSG101;CUL5;CUL3;CUL2;CUL1;BCL10;NLK;FHIT;HIF1A;BAG6;PRKAR2A;PCBP2;TNFRSF14;RIPK1;PPARGC1A;LYN;SMAD2;HSPA8;SMAD3;HSPA5;UBE2B;XRCC5;GLMN;PA2G4;UBE2A;SMAD6;SMAD7;NFKBIA;DLG3;TOLLIP;MDM2;BCL2;CALR;UBE2K;RAD18;GSK3B;CDKN1A;CD40;FAF1;FAF2;ARRB1;BRCA1;ARRB2;CASP8;SUMO1;CASP10;SUMO2;UBXN7;IKBKG;DNM1L;CCDC50;PDE4D;AXIN1;TRAF2;TRAF1;TNFRSF1B;TRAF4;TRAF3;TRAF6;MYOD1;TRAF5;EIF4E2;ATP6V0C;OTUB1;RNF31;USP13;RNF8;NEDD8;RELA;EGFR;ZNF746;SPOP;MFN2;BID;RPA2;PML;DNAJA1;CUL4A;PINK1;ABI2;ASB4;STUB1;CUL4B
chromatin binding (GO:0003682)	168/420	0.00000000000000000000000000359797274795232913980050730894882118027794512527604701261268912138748649574837568110297070234082639217376708984375	0.0000000000000000000000006296452308916575470901573764616808637033234918794029044761502566661566515637815655281883664429187774658203125	0.000000000002838287749727381312803618936173115881727024856218122295103967189788818359375	0.0000000004967003562022916974288906359776517296378273158552474342286586761474609375	-2.4088013325720166	134.2295894392121	ATF2;KDM1A;SMC3;RBPJ;ACTB;SOX2;RUVBL2;MYB;TRIM24;EP300;SOX9;TP63;MEN1;MED1;SMARCC1;MEF2C;TLE1;PRKCB;LMO2;MITF;SOX10;HCFC1;MSH6;MORF4L1;KAT6A;ADNP;TP53;L3MBTL1;DNMT1;NOTCH1;TSHZ3;KMT2A;AIRE;SHMT2;CDCA5;DDX1;FOXO3;GATA1;ATXN7;MCMBP;DMAP1;NKX2-5;SKIL;PPARGC1A;SMAD2;TFAP2A;KLHDC3;STAT5B;SMAD4;CREBBP;CBX5;SMAD3;CBX4;H3F3C;CBX1;CDC6;SUPT5H;SMARCA1;SMAD6;ESR1;FLI1;CDK9;POLA1;STAG1;ZZZ3;STAG2;H2AFY2;BCL6;SP3;SNAI2;PAF1;TCF3;HNRNPC;RCOR1;BAP1;TP73;TOP2A;RERE;KDM5A;SUV39H2;LDB1;THRA;CHD4;MYSM1;GLI3;MECP2;MED12;ING5;ING2;CHAF1B;CHAF1A;SIN3A;NUP62;HIST1H1E;POLE;GABPA;TGIF1;NCOA2;UPF1;BCAS3;SREBF1;PROP1;RING1;H2AFY;NCOA6;EED;NCOA3;ATRX;ACTL6A;SIRT7;SMC1A;ARID1A;BAZ1B;SAFB;TERF1;CBFA2T3;TERF2;SETSIP;SIRT2;NCOR2;RNF168;KAT2A;ZEB1;NCOR1;TAL1;MYOD1;DPPA2;RARA;PPARG;TOP1;HDAC2;CEBPB;PRKAA1;HDAC3;PRKAA2;HDAC1;SRF;LEF1;CRX;RNF8;CENPA;EGFR;RELA;RNF2;MTA1;RBBP4;POLD1;HSF1;APBB1;MTA2;SF3B1;BRD4;MBD3;SMARCE1;SUZ12;RPA1;SSRP1;APTX;MLH3;CENPF;APEX1;CTNNB1;ERCC6;SSBP1;PTF1A;RBMX;RAN;NEUROG3
ubiquitin-protein transferase activity (GO:0004842)	118/279	0.000000000000000000000833574967901813677523835905714753419551429746636429123614136192654822110625900677405297756195068359375	0.0000000000000000001250362451852720679914567493034551238575270601291242037779449791656816159957088530063629150390625	0.0000000004015048005530277170757693752417734345261379758085240609943866729736328125	0.0000000602257200829541612836781627748905521002598106861114501953125	-2.334919808955811	101.62898012645041	UBE2D4;UBE2D2;UBE2D3;UBE2D1;CBLC;CBLB;UBE2L6;UBE3A;UBE2L3;SOX2;RABGEF1;TRIM28;HERC1;TRIM24;FBXO3;FBXO6;TRIM27;SKP2;TRIM21;TRIM23;SKP1;NSMCE1;UBE2E2;UBE4B;FBXO11;FBXW2;RBX1;RNF41;CDC34;KCTD10;HECW2;KCTD13;PRKCQ;UBE2V1;CUL3;UBR4;NEDD4L;UBR1;KLHL13;RNF213;IRAK1;UBR5;BARD1;CBX8;BRAP;UBE2H;UBE2I;SMURF2;UBE2B;SMURF1;UBE2C;SIAH2;SIAH1;UBE2A;FANCF;CNOT4;RNF103;MDM2;UBE2N;RNF181;FBXL3;FBXL5;UBE2K;DZIP3;RNF10;RNF11;TNFAIP3;BRCA1;TNFAIP1;PRPF19;TRIM5;TRIM2;TRIM3;ARIH2;SHPRH;TRIM63;RING1;TRAF2;PJA2;TOPORS;RNF168;RNF167;TRAF4;TRAF3;TRAF6;TRAF5;BIRC2;BIRC3;RNF31;UHRF2;PELI3;RNF8;XIAP;CBL;RCHY1;RNF5;RNF2;RBBP6;VHL;FEM1A;AMFR;MIB2;HUWE1;WWP1;WWP2;UBE2G2;CHFR;MIB1;ITCH;NEDD4;LNX1;RLIM;ERCC8;ASB4;STUB1;BCOR;TRIM32;TRIM33
ATP binding (GO:0005524)	409/1494	0.00000000000000000000121639916248168621334312736217488040758167735304864223787151000788497867688420228660106658935546875	0.0000000000000000001596523900757213053450142751808889846452114709874316373673652780240672655054368078708648681640625	0.0000002041254754615168720129569045196316068313535652123391628265380859375	0.00001260774995497604300423270806685849265704746358096599578857421875	-2.312081364779295	100.0698595743485	ARAF;HNRNPU;SMC5;SMC6;EPRS;SMC3;TBK1;CLP1;CDK20;CKMT1B;AKT1;PRKACA;DDX17;PRKCG;PRKCI;CSNK2A1;PRKCB;DDX11;PRKCE;CSNK2A2;PRKCA;PASK;DYNC1LI1;DDX39A;MTHFD1;PRKCQ;GNE;PRKDC;HSPA4L;ABCB8;PRKCZ;HSPH1;HLCS;LYN;PLK3;CDK19;ABCA5;PLK2;PLK1;EIF2AK2;BRAF;CDC7;CDC6;MOV10;QARS;RAD17;CDK12;CDK13;FARSB;ITK;SMG1;PFAS;IFIH1;IKBKB;RARS;TK1;JAK2;IKBKE;UPF1;SHPRH;RIPK3;SPHK2;RIPK2;SPHK1;BAZ1B;GARS;GART;RNASEL;ADCY7;EGFR;PAPSS1;RECQL4;WRN;RECQL5;CKB;ATAD5;HSPA1L;CSNK1A1;GLYCTK;HIPK1;HIPK3;HIPK2;PSMC5;PSMC6;PSMC4;TAOK1;PSMC1;TAOK2;PSMC2;PKN2;FRK;UBE2D4;UBE2D2;UBE2D3;UBE2D1;STK11;PAPOLG;RUVBL2;RUVBL1;STK16;PAPOLA;PIM1;SMARCAD1;NEK1;MAP3K8;MAP3K7;MAP3K5;MAGI1;MAP2K4;MAP2K1;FBXO18;SWAP70;DYRK1A;SARS;UBE2E2;PRPF4B;VRK2;ILF2;DGKZ;MSH6;MSH2;MSH3;MSH4;MAPKAPK2;TSSK3;ROR2;TNIK;FKBP4;SNRNP200;IPPK;CSF1R;GMPS;STK39;TARS;HSP90B1;PGK1;ABL1;ABL2;IP6K2;MAP2K6;NEK9;ATP8B1;CDK9;CDK8;CDK6;STK24;CDK5;CDK4;CDK2;CDK1;MAP3K14;MAP3K11;HSP90AB1;MCM7;SRXN1;MCM8;LRRK2;MCM9;LRRK1;PIK3CG;ACTR3;RFC5;ACTR2;HSP90AA1;RFC4;KSR1;CHUK;RFC1;RFC2;ATRX;SMC1A;SARS2;LCK;MCM3;MCM4;MCM5;MCM6;MCM2;PRPS2;PRPS1;PRKAA1;PRKAA2;ROCK1;SRC;NOD2;TTN;FYN;CSK;CDC42BPB;MTOR;TRIT1;DNAJA1;BCKDK;PINK1;PFKL;MYO1C;NAGK;PFKM;PFKP;EPHB6;EIF4A1;PANK2;VARS;TP53RK;RTCA;ACTB;NUBP2;UBE2L3;RPS6KA6;RPS6KA2;CHEK1;SEPHS1;SEPHS2;ACSL6;CSNK1E;RUNX1;CDC34;BTK;SIK3;SIK1;TP53;CFTR;NAIP;DHX8;DHX9;TWF2;NLK;KALRN;UBE2J1;NUAK1;HLTF;TRPM7;SRPK2;ZRANB3;SRPK3;TRAP1;XRCC6;YES1;XRCC5;PTK6;SMARCA1;SMARCA2;PAICS;PTK2;SRPK1;ATP4A;WNK1;MYO5C;ATM;DHX29;TOP2A;KIF11;KHK;ACTR1A;NMRK2;DHX15;KIF1B;CCT3;MAP4K1;MAP4K2;WARS;SYK;STRADB;MINK1;TYK2;KIF7;HCK;BBS10;NME7;KIT;DDR2;CAMKK2;PAK1;CCT7;MAP4K5;PAK2;CCT5;MAP4K3;PAK4;MAP3K3;DYNC1H1;MAP3K1;RYK;UBE2G2;MLH1;GCK;MLH3;CAMK4;MARS;TRIP13;PEBP1;TTF2;UBE2Z;ACTG1;NARS;KIF5B;NSF;LIG1;MATK;CASK;LIG4;WRNIP1;TRNT1;ATAD3A;ERN1;RAF1;ATP6V1A;VCP;DDX5;DDX1;PDS5B;STK4;STK3;GRK5;IRAK1;KIF3A;IRAK2;RIPK1;MARK4;MYH10;MARK3;MARK2;HSPA9;YARS;HSPA8;DARS;UBE2H;UBE2I;HSPA5;UBE2B;HSPA4;UBE2C;HELZ;HSPA2;UBE2A;CLK4;CLK2;CLK1;FES;TRPV4;UBE2U;UBE2N;UBA2;UBE2K;DDX3Y;SCYL3;GSK3B;ABCD3;DDX3X;DDX42;ILK;CHD4;CHD3;CHTF18;CHD1;HK1;MYO18A;ABCD1;SCYL2;CAMK1D;DDX58;CTPS2;IRAK4;TGFBR1;TGFBR2;LATS1;FGR;ZAP70;SGK223;ACTA1;DDX19B;LATS2;THRAP3;ATP6V1B2;MYH9;MVD;SKIV2L2;RBKS;ATP6V1B1;CAMK2B;CAMK2D;MVK;DDX24;DDX20;DDX21;SPG7;AURKB;HSPD1;MAPK8;MAPK7;ERBB3;ERBB4;ERBB2;MAPK1;PTK2B;MAPK6;MAPK3;CDK11A;RRM1;LIMK2;LIMK1;MAPK14;HSPE1;MAPK15;CLCN6;TEC;MYO15A;ATP13A2;ERCC6
transcription coactivator activity (GO:0003713)	119/291	0.000000000000000000015790783854936214390118527290082346594548484693261200637222352316513251935248263180255889892578125	0.00000000000000000184225811640922504829168130777027934749690963768119396359868034096507471986114978790283203125	0.000000001657901884337215593114901553335217843088145173169323243200778961181640625	0.000000217599622319259550628836315071257256903436427819542586803436279296875	-2.3409177557227534	95.59263975520292	RB1;TCERG1;ATF2;CRTC2;KDM1A;TRRAP;MAML1;UBE3A;FGF2;UBE2L3;YY1;TRIM28;KAT5;TRIM24;EP300;JUNB;DDX17;MED1;SMARCC1;ACTN2;PRKCB;AIP;GTF2F1;MED4;HCFC2;SOX10;MED6;MED7;PIAS1;HCFC1;PRPF6;CCNE1;SUB1;KAT6A;SIK1;ZFPM2;KMT2E;DDX5;MAGED1;BCL10;MED30;PPARGC1A;TFAP2A;JUN;CREBBP;JUP;HMGA1;TRIP4;SMARCA2;ESR2;NFKB2;COPS5;SNW1;NACA;SP4;RFXAP;MMS19;TCF3;NFKBIB;KDM5A;RNF14;TGFB1I1;FHL2;SRA1;BRCA1;MED16;MYSM1;CD3D;MED17;PQBP1;ING4;MED12;MED14;GABPA;NCOA2;SS18;RBM14;RIPK3;PRMT2;ACTL6B;DCC;NCOA6;NCOA3;ACTL6A;ARID1A;ARID1B;MED26;MED23;KAT2B;KAT2A;MED24;ZEB1;THRAP3;MYOD1;HAND1;RARA;PPARG;BIRC2;GTF2A1;SMARCD3;RXRB;MTA1;NRIP1;PCBD1;SMARCE1;NPM1;USP21;USP22;NR1H3;PML;HIPK2;TFAP4;APEX1;CTNNB1;TRIP11;TAF4;TRIM32;RAN;NEUROG3
structure-specific DNA binding (GO:0043566)	104/241	0.00000000000000000003711351313176422111366559074455137120672698074373552896108863219382101306109689176082611083984375	0.000000000000000003896918878835243228971949180598118058306195119248026281777441681697382591664791107177734375	0.00000000189203647440286506381892746493124379814076974071213044226169586181640625	0.0000002207375886803342579969952792773302263640289311297237873077392578125	-2.279308391965026	91.3691436194505	ACTB;YY1;RUVBL2;EP300;JUNB;TP63;MEN1;ZBP1;MED1;SMARCC1;DDX11;SETMAR;WBP11;MSH6;MSH2;MSH3;MSH4;SUB1;CGGBP1;NOTCH1;XPC;FOXO3;GATA1;PCBP1;PPARGC1A;CTC1;SMAD2;STAT5B;XRCC6;JUN;SMAD3;XRCC5;H3F3C;ZBTB16;NFKB1;HNRNPK;H2AFY2;BCL6;SP1;TDP2;SP3;HNRNPC;RAD18;TP73;FEN1;THRA;MCM7;CHD4;YBX1;HMGB1;MECP2;HIST1H1E;H2AFY;RFC1;DDX58;ACTL6A;RAD23A;FOS;SAFB;TERF1;TERF2;RAD23B;KIN;ZEB1;ZNF638;MYOD1;RARA;CRY1;MCM4;POT1;MCM6;HDAC2;PCNA;HDAC3;HDAC1;SRF;EGFR;HSPD1;RECQL4;WRN;RBBP4;TDG;MTA2;HNRNPA1;SPEN;MBD3;SMARCE1;RPA1;RPA2;MRE11A;KLF4;MLH1;APTX;LRPPRC;MLH3;APEX1;RPA3;HNRNPA2B1;CTNNB1;ERCC5;SSBP1;TARDBP;SSBP3;NEUROG3
