Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
synapse part (GO:0044456)	40/395	0.0000000000158012116194707051431722972938367813115767557263779963250271975994110107421875	0.00000000684192463123081542069765849400399260193950112807215191423892974853515625	0.00000001734466374544017546256407104159069643145585359889082610607147216796875	0.00000751023940177559566427033244107036580317071639001369476318359375	-2.3994897317340276	45.11087909473217	ITPR1;LRP8;GRM2;GRM5;SYNGR1;GRIN2A;SHARPIN;GRM7;FYN;DLGAP3;BSN;ERC2;DISC1;DLGAP2;ANKS1B;NLGN4X;UNC13A;HOMER1;SEMA4C;F2R;PCDH8;CASK;SCRIB;SYN3;SEPT5;SYN2;SRCIN1;GRIN2B;GRIN1;GRIN2D;GRIN3B;GRIN3A;DAB1;DLG4;BIN1;PICK1;STX1A;SHANK2;VAMP2;CNTNAP4
nucleoplasm (GO:0005654)	72/1051	0.000000000033872819730045271921147710379750885023586448596688569523394107818603515625	0.00000000733346547155480113828393201667703305002277147650602273643016815185546875	0.00000020932723097784712031248026929686201214053653529845178127288818359375	0.000045319345506703899244781152955141578786424361169338226318359375	-2.2400442429321106	41.95786025029098	CIITA;ELL;MAML1;ADAR;NOC2L;NR2E3;MED17;COIL;SNAPC5;PTBP1;RPS6KA3;PPP3CB;HEY1;CASP6;MED10;CASP3;HEY2;RCC1;KAT7;TEAD1;RBM5;NCOA1;MEF2A;DUSP4;NCOA2;SREBF1;MEF2C;RFC1;PRKCD;MED8;NRBP1;SREBF2;HCFC1;MED25;MAPKAPK3;MED20;SNRPA1;HNRNPH2;CAMK2B;NOTCH1;PRKAA2;SATB1;NOTCH4;SRRT;XPA;PDS5B;NLK;CCNB2;CCNB1;CDC45;MED30;MYO6;TPR;NKX2-1;PSMF1;CAMK2G;PPARGC1A;RBM11;CENPU;NFE2;GIT2;RRM1;POU2F1;GINS4;XRCC1;FANCC;SSRP1;NR0B2;APTX;NFKB2;MAPK10;TCEA1
receptor complex (GO:0043235)	29/272	0.000000003185997551730480870939193056129955239352824492016225121915340423583984375	0.00000028327555650947698263043502721336697192100473330356180667877197265625	0.0000006519013841271041745235024535143342205856242799200117588043212890625	0.00006847316500310191380619662115947221536771394312381744384765625	-2.3065091269348557	34.77488224732713	NOTCH1;LRP1;ITGB3;ITGB2;ITPR2;LRP2;ADRB2;LRP8;IKBKB;GRIN2A;GRM7;NT5DC3;LEPR;RIPK1;CACNG2;CACNG3;NTRK3;TRPC1;INSR;GRIN2B;GRIN1;GRIN2D;GRIN3B;GRIN3A;DLG4;TRAF3;TOLLIP;TRAF5;SHANK2
mediator complex (GO:0016592)	11/35	0.000000003271080329208741216288660379825532775743823776792851276695728302001953125	0.00000028327555650947698263043502721336697192100473330356180667877197265625	0.0000003420843717222983761325747799342256172394627355970442295074462890625	0.0000493741776519184024491458673278287960783927701413631439208984375	-2.279129316510532	34.3620810698502	MED22;MED11;RBM14;MED30;MED10;MED20;MED8;MED9;MED19;MED17;MED13L
synaptic membrane (GO:0097060)	26/228	0.00000000510801380710237497984391644005076893453320963089936412870883941650390625	0.00000036862832974588806752498410142238061126818138291127979755401611328125	0.0000007906831986501376410421642985937307201993462513200938701629638671875	0.00006847316500310191380619662115947221536771394312381744384765625	-2.2356804131020036	33.11820023792302	GRM2;GRIN2A;GRM7;DLGAP3;ERC2;DISC1;DLGAP2;ANKS1B;UNC13A;NLGN4X;HOMER1;SEMA4C;F2R;PCDH8;CASK;SCRIB;GRIN2B;SRCIN1;GRIN1;GRIN2D;GRIN3B;GRIN3A;DLG4;PICK1;SHANK2;CNTNAP4
cytosol (GO:0005829)	126/2529	0.000000002683486759695613918849833398768377212828539768452174030244350433349609375	0.00000028327555650947698263043502721336697192100473330356180667877197265625	0.000066407101627354456967015916557528498742613010108470916748046875	0.0021935860463007067315543974217462164233438670635223388671875	-2.059907670290238	31.05691013237086	EIF4A2;NCF1;ARL6IP1;WWC1;SAT1;NUDT11;RPS6KA3;LIPE;PNP;RPS18;TRIM25;BTRC;RGS7;TMOD1;MAP2K4;MEF2C;DAXX;MAP2K2;ACTN2;PRKCE;PRKCD;MATK;CASK;TICAM1;DOK2;MAPKAPK3;SDPR;TLN1;ANKRA2;GRB7;GNAZ;SPTBN4;ISYNA1;SEH1L;NOTCH1;CTBP1;NOTCH4;PDS5B;NLK;SOCS2;CCNB2;CCNB1;SHARPIN;MYO6;SFN;RIPK1;ASL;PSMF1;MAP2K7;PPARGC1A;ATP6V1D;SERF2;MCL1;GSTM4;YES1;STAC;MYO5A;FANCC;NFKB2;NFATC4;MOB1A;PPP5C;DAB1;TOLLIP;ID2;CHMP2A;HTR2A;ARHGAP5;LYST;RND1;IKBKB;RPTOR;PPP3CB;UCHL1;AIFM1;AP1G1;CASP6;CASP10;CASP3;NOS1;NANS;SREBF1;DCC;RIPK2;PDE4D;RHOH;RHOC;DYNLL2;RHOA;SREBF2;RHOB;ENAH;CREB3;HCK;MYH2;TRAF3;PTRH2;TRAF5;ARHGEF7;FBP2;PAFAH1B1;CAMK2B;PRKAA2;NLRC4;NT5DC3;FYN;RICTOR;NCDN;CAMK2G;EIF4E;CENPU;RRM1;CDKN2C;NOS3;NDE1;CFLAR;BAIAP2;TJP1;MAPK10;REST;CENPF;EIF3D;SEC24C;PLCD1;EIF3A;PNPLA2
neuronal cell body (GO:0043025)	26/270	0.000000163234892764856031730335140898791035368731172638945281505584716796875	0.000010097244081026095173232552670850026288462686352431774139404296875	0.00001328426177594751048994560493898831055048503912985324859619140625	0.000810261482103175035250630653393955071805976331233978271484375	-2.1636775867782045	24.889319947648545	SPTBN4;NCF1;LRP1;HTR2A;LRP8;UCHL1;BOC;MYO6;APOD;NCDN;TAC1;POLR2M;RRM1;HOMER1;DAB2IP;MYO5A;CIT;HCFC1;CREB3;GRIN3B;PPP5C;DAB1;GRIN3A;ARHGEF7;SHANK2;PAFAH1B1
postsynaptic density (GO:0014069)	15/98	0.00000020281219821985590497822314094700235642676489078439772129058837890625	0.000010977210228649701326784915433876221868558786809444427490234375	0.000007975884512946944596817853978532042447113781236112117767333984375	0.000575592999017671201437973405035108953597955405712127685546875	-2.144705093317998	24.491865659341073	HOMER1;SEMA4C;ITPR1;GRIN2B;LRP8;SRCIN1;GRIN1;GRM5;GRIN2A;DAB1;SHARPIN;DLG4;PICK1;FYN;SHANK2
postsynaptic membrane (GO:0045211)	21/195	0.00000040212331447483773120922848597069698683981187059544026851654052734375	0.0000174119395167604711408514128745395055375411175191402435302734375	0.00002005571314229461385935347761400038280044100247323513031005859375	0.00096490264340150753985536624668384320102632045745849609375	-2.1300838996751925	23.34221429127251	NLGN4X;HOMER1;SEMA4C;F2R;PCDH8;SCRIB;SRCIN1;GRIN2B;GRIN1;GRIN2D;GRIN3B;GRIN2A;GRIN3A;GRM7;DLG4;PICK1;DISC1;DLGAP3;DLGAP2;SHANK2;ANKS1B
cytoplasmic vesicle membrane (GO:0030659)	22/229	0.000001511648698483059609471118416024193464863856206648051738739013671875	0.00005209343732161055592726206509013309187139384448528289794921875	0.000062976152044414305327009462320830834869411773979663848876953125	0.0021935860463007067315543974217462164233438670635223388671875	-2.1156201563471884	20.86524366659059	CAMK2B;TRIM72;TMED10;LRP1;NOS3;SLC30A5;ITGB3;ITPR1;DLG4;AP1G1;LAMP2;FLOT2;PICK1;SFN;CD36;HRG;CACNG2;CAMK2G;SEC24C;CACNG3;VAMP2;ATP6V0A1
vesicle membrane (GO:0012506)	23/249	0.0000017314710133519049741097906025544261865434236824512481689453125	0.000053551924912955350087384598367634680471383035182952880859375	0.000075001911652575366240558452091136132366955280303955078125	0.0021935860463007067315543974217462164233438670635223388671875	-2.110026251317932	20.7518102789841	CAMK2B;TRIM72;TMED10;LRP1;NOS3;SLC30A5;ITGB3;ITPR1;DLG4;AP1G1;MYO6;LAMP2;FLOT2;PICK1;SFN;CD36;HRG;CACNG2;CAMK2G;SEC24C;CACNG3;VAMP2;ATP6V0A1
axon (GO:0030424)	18/161	0.00000156400620134165637439664642283077000683988444507122039794921875	0.00005209343732161055592726206509013309187139384448528289794921875	0.0000499287012925424367550987503339143813718692399561405181884765625	0.00196537524178826139564790764779900200664997100830078125	-1.97788313664499	19.50681622422852	UNC13A;HOMER1;DCC;DAB2IP;SRCIN1;RHOA;GRM2;GAP43;UCHL1;GRM7;DLG4;BIN1;MYO6;NF1;NRTN;NCDN;BSN;TAC1
