Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
glutamate receptor activity (GO:0008066)	9/27	0.00000005061825769195997794280386162558971197000801112153567373752593994140625	0.000006651239060723541232709836446002071852490189485251903533935546875	0.00000254969705173311582101507329067846541192920994944870471954345703125	0.0004187877407471642912835385619274575219606049358844757080078125	-3.051108313196085	36.37136943429599	GRM2;GRIN3B;GRM5;GRIN2A;GRIN3A;GRM7;GRIN2B;GRIN1;GRIN2D
transcription coactivator activity (GO:0003713)	29/291	0.000000014756526138624448153908723271703073987026755276019684970378875732421875	0.0000029859067456591270313219499410450907816994003951549530029296875	0.00000191967448846778814428525559987459558897171518765389919281005859375	0.0004187877407471642912835385619274575219606049358844757080078125	-2.416294702829108	30.739151822696357	KDM5A;CIITA;MAML1;WWC1;TGFB1I1;MED17;MED30;NRIP1;PPARGC1A;NCOA1;MEF2A;GTF2A1L;NFE2;NCOA2;RBM14;MYOCD;DCC;ACTN2;NCOA3;MKL1;NFATC4;NFKB2;HCFC1;CREB3;TFAP4;NACA;PKN1;VGLL2;VGLL1
RNA polymerase II transcription factor binding transcription factor activity (GO:0001076)	18/112	0.00000000558550860921051803030992953199608541670073691420839168131351470947265625	0.00000275935518523333741768553163675736783488900982774794101715087890625	0.00000047106798159093314826809952532149505799452526844106614589691162109375	0.0001923807351728997415939159676412373300991021096706390380859375	-2.378547275024316	30.446626585372314	NCOA1;MEF2A;RBM14;MYOCD;NOTCH1;CTBP1;MED8;MED19;MED9;MED17;MED13L;MED22;MED11;MED30;MED10;MED20;PPARGC1A;NFE2L1
RNA polymerase II transcription cofactor activity (GO:0001104)	15/78	0.00000000839986357757484769350492660559825974786463120835833251476287841796875	0.00000275935518523333741768553163675736783488900982774794101715087890625	0.000000585633897025570004135392072897037252232621540315449237823486328125	0.0001923807351728997415939159676412373300991021096706390380859375	-2.3041138727134993	29.493840811705887	NCOA1;MEF2A;RBM14;CTBP1;MED8;MED9;MED19;MED17;MED13L;MED22;MED11;MED30;MED10;MED20;PPARGC1A
N-methyl-D-aspartate selective glutamate receptor activity (GO:0004972)	6/8	0.000000018179036503251915241834063053684433786116869669058360159397125244140625	0.0000029859067456591270313219499410450907816994003951549530029296875	0.00000379135058116870483785614161231780627758780610747635364532470703125	0.000498183466365567824418736364577853237278759479522705078125	-2.088335049003883	26.5669779654061	GRIN3B;GRIN2A;GRIN3A;GRIN2B;GRIN2D;GRIN1
kinase binding (GO:0019900)	36/487	0.0000005945635676720193905391204959587359013539753505028784275054931640625	0.0000485887028695273606487999018543888496424187906086444854736328125	0.0000582436104585126222603873313854450088911107741296291351318359375	0.0029435424670186762820256465289503466919995844364166259765625	-2.474508108875784	24.577110254245344	GRB7;BTG1;MAML1;WWC1;ITGB2;TWF2;ZBTB4;RPTOR;IKBKB;LIPE;RPS6KA3;CCNB2;CCNB1;RB1CC1;TPR;RICTOR;SFN;MAP2K7;MEF2A;MAP2K4;SREBF1;DAXX;MEF2C;CDKN2C;GLRX3;DAB2IP;TICAM1;SRCIN1;USF1;MOB4;TRAF4;TRAF3;TOLLIP;PICK1;PKN1;ARHGEF7
calcium ion transmembrane transporter activity (GO:0015085)	17/127	0.0000002342621177724379694868651370642798070775825181044638156890869140625	0.00002565170189608195855878423896623274913508794270455837249755859375	0.000009013914076831893956004947143778593954266398213803768157958984375	0.000846742166794943462715394844053662382066249847412109375	-2.301572288022061	24.329691967450827	RYR1;CATSPER1;TRPC4;TRPC1;SLC11A2;ITPR1;ITPR2;GRIN2B;GRIN1;SLC8A2;GRIN3B;GRIN2A;GRIN3A;GRM7;STIM1;CACNG2;CACNG3
histone deacetylase binding (GO:0042826)	13/75	0.0000002983808158965113651670398968451802801382655161432921886444091796875	0.00002800517086342971151045021238612520164679153822362422943115234375	0.000009021606038911118014412930665724132950344937853515148162841796875	0.000846742166794943462715394844053662382066249847412109375	-2.2351483012770985	23.431330969499896	MEF2A;MYOCD;MEF2C;MEF2B;RFXANK;FOXP3;USF1;TFAP4;HEY2;NRIP1;SUDS3;PKN1;ANKRA2
calcium channel activity (GO:0005262)	15/108	0.000000738787392358629331872419722382350215639235102571547031402587890625	0.0000485887028695273606487999018543888496424187906086444854736328125	0.0000204591790197104005468754783780838124584988690912723541259765625	0.00168021007699371664745324750356303411535918712615966796875	-2.3086057286780086	22.92934798790349	RYR1;CATSPER1;TRPC4;TRPC1;ITPR1;ITPR2;GRIN2B;GRIN1;GRIN3B;GRIN2A;GRIN3A;GRM7;STIM1;CACNG2;CACNG3
calmodulin binding (GO:0005516)	19/170	0.0000008094987948446445346362414403895702008640000713057816028594970703125	0.0000485887028695273606487999018543888496424187906086444854736328125	0.00002783024652009465438134115655710587589055649004876613616943359375	0.0018284471963702186685096773288705662707798182964324951171875	-2.291591901315212	22.76036462129326	RYR1;CAMK2B;MARCKSL1;NOS3;MYO5A;CASK;GRIN1;SLC8A2;TJP1;GAP43;MYH2;PPP3CB;MYO6;CAMK1;NOS1;CAMK2G;CAMK1G;VAMP2;MYH7
