Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Glutamatergic synapse_Homo sapiens_hsa04724	20/114	0.0000000001570543029850738609481466778497698970340490376429443131200969219207763671875	0.00000001837535344925364330774620398763208317660655666259117424488067626953125	0.00000012234133628232534377557505674005700058160073240287601947784423828125	0.000014313936345032064745286248808042728342115879058837890625	-1.9117179279657148	34.052008285248355	HOMER1;TRPC1;ITPR1;GNAI3;ITPR2;GRIN2B;GRIN2D;GRIN1;GNAO1;GRM2;GRIN3B;GRIN2A;PPP3CB;GRM5;GRIN3A;GRM7;DLG4;GNAQ;GNB5;SHANK2
Cocaine addiction_Homo sapiens_hsa05030	14/49	0.0000000000966941068371261503479779217851315664677969152762671001255512237548828125	0.00000001837535344925364330774620398763208317660655666259117424488067626953125	0.000000063565474504448379942760094518661162510397844016551971435546875	0.000014313936345032064745286248808042728342115879058837890625	-1.8933979760155362	33.725688619325325	GPSM1;GNAI3;GRIN2B;GRIN2D;GRIN1;CREB3;GRM2;GRIN3B;GRIN2A;GRIN3A;DLG4;CREB3L1;CREB3L2;DRD1
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	23/167	0.0000000010089143426063882917654945562085759547255037205104599706828594207763671875	0.000000078695318723298287998479494213810436775702328304760158061981201171875	0.0000006768600257503713195006618021098976356597631820477545261383056640625	0.00005279508200852896736797459364964879569015465676784515380859375	-1.8906360446249488	30.926423509260385	MEF2A;MEF2C;MAP2K2;MEF2B;NOS3;INSR;PRKCE;ITPR1;GNAI3;ITPR2;ADRB2;ATP1B1;RHOA;NFATC4;SLC8A2;GNA13;CREB3;PPP3CB;CREB3L1;GNAQ;GNA11;CREB3L2;MYH7
Apoptosis_Homo sapiens_hsa04210	20/140	0.0000000065649402529648828604634506101063451399824089094181545078754425048828125	0.00000038404900479844564320120879792608281633192746085114777088165283203125	0.00000224317429088937409886565788053047754146973602473735809326171875	0.00010498055681362270376115464198818472141283564269542694091796875	-1.8841494994513188	27.83359033327765	DAXX;MAP2K2;ITPR1;DAB2IP;TNFRSF10B;ITPR2;TNFRSF10A;CFLAR;TNF;MAPK10;IKBKB;TUBA3D;AIFM1;CASP6;CASP10;CASP3;TNFSF10;RIPK1;TUBA8;MCL1
Amphetamine addiction_Homo sapiens_hsa05031	14/67	0.0000000085501603655158000980187252130539088401661729221814312040805816650390625	0.00000040014750510613947039531145162538638970772808534093201160430908203125	0.00000167769533877552205584915423486336294445209205150604248046875	0.000098145177318368040267175522739506732250447385013103485107421875	-1.8707181314840817	27.558358058294434	CAMK2B;GRIN2B;GRIN2D;GRIN1;CREB3;GRIN3B;PPP3CB;GRIN2A;GRIN3A;CREB3L1;CREB3L2;DRD1;CAMK2G;STX1A
Calcium signaling pathway_Homo sapiens_hsa04020	21/180	0.0000001030347760376963052006047370789953987468834384344518184661865234375	0.00000344430537040299074359761023755854836281287134625017642974853515625	0.0000216090664211713204376393016037383176808361895382404327392578125	0.0005618357269504543720362033099036125349812209606170654296875	-1.8066155514904525	22.72503457607604	RYR1;CAMK2B;NOS3;F2R;ITPR1;ITPR2;ADRB2;HTR2A;GRIN2D;GRIN1;SLC8A2;GRIN2A;PPP3CB;GRM5;STIM1;GNAQ;GNA11;DRD1;NOS1;CAMK2G;PLCD1
Long-term potentiation_Homo sapiens_hsa04720	13/66	0.0000000616089998403126033936377825041275091422221521497704088687896728515625	0.00000240275099377219175734500013208450042156982817687094211578369140625	0.000006985615998278044800500787003816327569438726641237735748291015625	0.000272439023932843742137333009623034740798175334930419921875	-1.7166034854885825	22.21095436618415	CAMK2B;MAP2K2;ITPR1;ITPR2;GRIN2B;GRIN2D;GRIN1;RPS6KA3;PPP3CB;GRM5;GRIN2A;GNAQ;CAMK2G
Circadian entrainment_Homo sapiens_hsa04713	15/95	0.0000001330373196974660874450434137894472286234304192475974559783935546875	0.0000038913416011508827665999442346755898824994801543653011322021484375	0.00001493454350906259835650956302455227842074236832559108734130859375	0.00049924045444580691065217248336693955934606492519378662109375	-1.7427596679092285	21.709132952183875	RYR1;CAMK2B;ITPR1;GNAI3;GRIN2B;GRIN2D;GRIN1;GNAO1;GRIN2A;RASD1;GNAQ;NOS1AP;GNB5;NOS1;CAMK2G
TNF signaling pathway_Homo sapiens_hsa04668	16/110	0.000000165322697364406772553772190757770399471837663440965116024017333984375	0.000004298390131474575715821162535945632043876685202121734619140625	0.0000194239876185694454826559385285378311891690827906131744384765625	0.0005618357269504543720362033099036125349812209606170654296875	-1.6992534602163174	20.99813379510308	MAP2K4;JAG1;DAB2IP;CFLAR;TNF;MAPK10;IKBKB;CREB3;TRAF3;CASP10;CREB3L1;CASP3;CREB3L2;TRAF5;RIPK1;MAP2K7
Oxytocin signaling pathway_Homo sapiens_hsa04921	19/158	0.000000258464024197776566897926005250685221881212783046066761016845703125	0.00000604805816622797196187300006187115286593325436115264892578125	0.00003686417218071606012770591309646306399372406303882598876953125	0.000862621629028755888303481302870068248012103140354156494140625	-1.735760729711298	20.85650743420678	RYR1;CAMK2B;MEF2C;PRKAA2;MAP2K2;NOS3;ITPR1;GNAI3;ITPR2;RHOA;NFATC4;GNAO1;PPP3CB;GNAQ;CAMK1;CACNG2;CAMK2G;CACNG3;CAMK1G
