Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	58/808	0.00000000057156282231445682212543819245508490423102188060511252842843532562255859375	0.000000185757917252198479701874177412446176305138578754849731922149658203125	0.0026085355563182292641666304433556433650664985179901123046875	0.0580592483932257097389850741819827817380428314208984375	-2.229522461485681	34.55497073013565	ITGB3;WWC1;TNF;UCHL1;HEY1;CASP3;LEPR;NOS1;MEF2A;NCOA1;RBFOX1;MAP2K2;PROP1;ACTN2;PRKCE;IGFBP3;PRKCD;CASK;SCRIB;SRCIN1;RHOA;ENAH;MED25;DOK2;MYCN;PICK1;TLN2;ARHGEF7;TLN1;KANK2;CAMK2B;GRB7;NOTCH1;CTBP1;NOTCH4;KCNA2;GRIN2A;EFS;NPHP1;CDH22;NRIP1;SFN;RIPK1;FYN;PAK3;MAP2K7;CAMK2G;ATP6V0A1;YES1;NTRK3;INSR;BAIAP2;GRIN2B;GRIN1;NFATC4;TJP1;ID2;FAT1
Apoptosis Modulation and Signaling_Homo sapiens_WP1772	16/93	0.000000014403661820532451728950362225545323013875531614758074283599853515625	0.0000023405950458365236044777808743777569588928599841892719268798828125	0.000042185513399750897644245595241585533585748635232448577880859375	0.00973736057072202045026276806538589880801737308502197265625	-2.0584293139358785	26.687752947406914	DAXX;TNFRSF10B;TNFRSF10A;CFLAR;IKBKB;AIFM1;CASP6;CASP10;TRAF3;TOLLIP;CASP3;PTRH2;MADD;TNFSF10;RIPK1;MCL1
BDNF signaling pathway_Homo sapiens_WP2380	18/144	0.00000029709351761052442909277347855845352597725650412030518054962158203125	0.00001727406438734701077451598461021120556324603967368602752685546875	0.000543615329120965295496559210874920609057880938053131103515625	0.028238571420461232308607435470548807643353939056396484375	-2.11433302288756	23.18641942560465	MEF2A;LINGO1;MEF2C;PRKAA2;MAP2K2;NCF1;NTRK3;PRKCD;GRIN2B;GRIN1;NFATC4;MAPK10;IKBKB;RPS6KA3;CASP3;FYN;CAMK1;EIF4E
FAS pathway and Stress induction of HSP regulation_Homo sapiens_WP314	10/42	0.0000003189058040740986679455865569765560252335490076802670955657958984375	0.00001727406438734701077451598461021120556324603967368602752685546875	0.00012227752638452568417944121836882231946219690144062042236328125	0.00993504901874271185990838972657002159394323825836181640625	-1.846118862515463	20.245101312065188	MAP2K4;DAXX;MAPKAPK3;NFX1;CASP6;CASP10;RIPK2;CASP3;CFLAR;TNF
Calcium Regulation in the Cardiac Cell_Mus musculus_WP553	18/150	0.000000549689048818569975119060176671492712330291396938264369964599609375	0.00002233111760825440367749482317716314128119847737252712249755859375	0.00083996576824004452223315642100942568504251539707183837890625	0.028238571420461232308607435470548807643353939056396484375	-1.8578002230581594	19.896166189416782	RYR1;CAMK2B;GNAZ;PRKCE;PRKCD;ITPR1;GNAI3;ITPR2;ADRB2;ATP1B1;GNAO1;GNAQ;GNA11;SFN;GNB5;CAMK1;CAMK2G;RGS7
Calcium Regulation in the Cardiac Cell_Homo sapiens_WP536	18/149	0.0000004972689297699176231163709950566786943682018318213522434234619140625	0.00002233111760825440367749482317716314128119847737252712249755859375	0.00078262874507433431714442662041619769297540187835693359375	0.028238571420461232308607435470548807643353939056396484375	-1.8544718635693276	19.860521025471808	RYR1;CAMK2B;GNAZ;PRKCE;PRKCD;ITPR1;GNAI3;ITPR2;ADRB2;ATP1B1;GNAO1;GNAQ;GNA11;SFN;GNB5;CAMK1;CAMK2G;RGS7
MAPK signaling pathway_Mus musculus_WP493	18/155	0.0000008953365701922807347854817161536544745104038156569004058837890625	0.000032331598368054580865983693716003699591965414583683013916015625	0.0011837836041408019392695560867423409945331513881683349609375	0.032060805945480053136265041757724247872829437255859375	-1.8785511683082656	19.42321504784967	DUSP4;MAP2K4;DAXX;MEF2C;MAP2K2;PRKCD;NLK;TNF;MAPK10;IKBKB;RPS6KA3;PPP5C;PPP3CB;CASP6;CASP3;NF1;MAP2K7;MAP3K4
Hypothetical Network for Drug Addiction_Homo sapiens_WP666	9/32	0.00000026513608656816899526221555094540605068687000311911106109619140625	0.00001727406438734701077451598461021120556324603967368602752685546875	0.0000911816801385691827995516600680048213689588010311126708984375	0.00987801534834499388171291656135508674196898937225341796875	-1.6945659161622595	18.58312557726231	CAMK2B;GRIN2A;GRM5;MAP2K2;PRKCE;DRD1;GRIN2B;GRIN2D;GRIN1
Hypothetical Network for Drug Addiction_Mus musculus_WP1246	9/30	0.00000014264229130791115167275671070379328142507802112959325313568115234375	0.00001545291489169037485278124233190055747400037944316864013671875	0.0000599222188967508975179949992639905076430295594036579132080078125	0.00973736057072202045026276806538589880801737308502197265625	-1.666235862428571	18.45808251814308	CAMK2B;GRIN2A;GRM5;MAP2K2;PRKCE;DRD1;GRIN2B;GRIN2D;GRIN1
Apoptosis_Homo sapiens_WP254	13/86	0.000001520113117086661531037242688080279862106181099079549312591552734375	0.0000454129297151359713198386092170011352209257893264293670654296875	0.0006721750211343669421937274677247842191718518733978271484375	0.028238571420461232308607435470548807643353939056396484375	-1.7646104546450163	17.64559933490531	MAP2K4;TNFRSF10B;CFLAR;TNF;MAPK10;IKBKB;CASP6;CASP10;TRAF3;CASP3;TNFSF10;RIPK1;MCL1
