Pathway1,Pathway2,vec
Cocaine.addiction_Homo.sapiens_hsa05030,Alcoholism_Homo.sapiens_hsa05034,0.6875
Dopaminergic.synapse_Homo.sapiens_hsa04728,Cholinergic.synapse_Homo.sapiens_hsa04725,0.611111111
Amphetamine.addiction_Homo.sapiens_hsa05031,Alcoholism_Homo.sapiens_hsa05034,0.588235294
Cholinergic.synapse_Homo.sapiens_hsa04725,Melanogenesis_Homo.sapiens_hsa04916,0.571428571
Cocaine.addiction_Homo.sapiens_hsa05030,Amphetamine.addiction_Homo.sapiens_hsa05031,0.555555556
Serotonergic.synapse_Homo.sapiens_hsa04726,Retrograde.endocannabinoid.signaling_Homo.sapiens_hsa04723,0.545454545
Estrogen.signaling.pathway_Homo.sapiens_hsa04915,Melanogenesis_Homo.sapiens_hsa04916,0.538461538
Aldosterone.synthesis.and.secretion_Homo.sapiens_hsa04925,Cholinergic.synapse_Homo.sapiens_hsa04725,0.529411765
Amphetamine.addiction_Homo.sapiens_hsa05031,cAMP.signaling.pathway_Homo.sapiens_hsa04024,0.52173913
Cholinergic.synapse_Homo.sapiens_hsa04725,Estrogen.signaling.pathway_Homo.sapiens_hsa04915,0.5
GnRH.signaling.pathway_Homo.sapiens_hsa04912,Inflammatory.mediator.regulation.of.TRP.channels_Homo.sapiens_hsa04750,0.5
AMPK.signaling.pathway_Homo.sapiens_hsa04152,Longevity.regulating.pathway...mammal_Homo.sapiens_hsa04211,0.5
Adrenergic.signaling.in.cardiomyocytes_Homo.sapiens_hsa04261,Melanogenesis_Homo.sapiens_hsa04916,0.5
cAMP.signaling.pathway_Homo.sapiens_hsa04024,Alcoholism_Homo.sapiens_hsa05034,0.47826087
Dopaminergic.synapse_Homo.sapiens_hsa04728,Glucagon.signaling.pathway_Homo.sapiens_hsa04922,0.473684211
TNF.signaling.pathway_Homo.sapiens_hsa04668,Hepatitis.B_Homo.sapiens_hsa05161,0.473684211
Aldosterone.synthesis.and.secretion_Homo.sapiens_hsa04925,Glucagon.signaling.pathway_Homo.sapiens_hsa04922,0.470588235
Cholinergic.synapse_Homo.sapiens_hsa04725,Glucagon.signaling.pathway_Homo.sapiens_hsa04922,0.470588235
Dopaminergic.synapse_Homo.sapiens_hsa04728,Melanogenesis_Homo.sapiens_hsa04916,0.470588235
Insulin.secretion_Homo.sapiens_hsa04911,Adrenergic.signaling.in.cardiomyocytes_Homo.sapiens_hsa04261,0.466666667
Estrogen.signaling.pathway_Homo.sapiens_hsa04915,Thyroid.hormone.synthesis_Homo.sapiens_hsa04918,0.461538462
Insulin.secretion_Homo.sapiens_hsa04911,Melanogenesis_Homo.sapiens_hsa04916,0.461538462
GnRH.signaling.pathway_Homo.sapiens_hsa04912,ErbB.signaling.pathway_Homo.sapiens_hsa04012,0.461538462
Alcoholism_Homo.sapiens_hsa05034,Nicotine.addiction_Homo.sapiens_hsa05033,0.461538462
Cocaine.addiction_Homo.sapiens_hsa05030,cAMP.signaling.pathway_Homo.sapiens_hsa04024,0.458333333
Inflammatory.mediator.regulation.of.TRP.channels_Homo.sapiens_hsa04750,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.454545455
NF.kappa.B.signaling.pathway_Homo.sapiens_hsa04064,RIG.I.like.receptor.signaling.pathway_Homo.sapiens_hsa04622,0.454545455
Dopaminergic.synapse_Homo.sapiens_hsa04728,Alcoholism_Homo.sapiens_hsa05034,0.45
Amyotrophic.lateral.sclerosis..ALS._Homo.sapiens_hsa05014,Alzheimer.s.disease_Homo.sapiens_hsa05010,0.444444444
Gastric.acid.secretion_Homo.sapiens_hsa04971,Renin.secretion_Homo.sapiens_hsa04924,0.444444444
Aldosterone.synthesis.and.secretion_Homo.sapiens_hsa04925,Insulin.secretion_Homo.sapiens_hsa04911,0.4375
