"Gene","GRNAvgExpr","GRNAdjPValue"
"BAIAP2",8.531746196,0.008019717
"CDH22",7.730510517,0.008019717
"CFLAR",7.306301374,0.008019717
"CHRD",7.368385786,0.008019717
"CYB5B",7.977261347,0.008019717
"FBXW7",9.355024573,0.008019717
"GABBR2",10.73367207,0.008019717
"GATM",9.735507945,0.008019717
"ISYNA1",6.812720821,0.008019717
"ITPR2",5.423055733,0.008019717
"LAMP2",8.399661036,0.008019717
"NEDD4L",8.866245777,0.008019717
"NOL4",7.743568203,0.008019717
"PHYHIP",9.707573999,0.008019717
"PLK2",7.957516821,0.008019717
"PTK2B",8.721784782,0.008019717
"QKI",7.063268948,0.008019717
"SLC6A12",7.284421617,0.008019717
"SSBP3",8.716088039,0.008019717
"TSPYL2",9.99542212,0.008019717
"WIPF1",6.114255846,0.008019717
"LDB2",9.006954188,0.008112696
"NCDN",10.12499351,0.008112696
"PLXNB2",8.761453617,0.008112696
"RGS7",8.845435373,0.008112696
"LRIF1",6.526422511,0.008170771
"CDC42",7.231488149,0.008221497
"EPHB6",8.954915485,0.008221497
"KLF4",7.314393148,0.008221497
"NUAK1",10.08111981,0.008221497
"TUBB2B",11.19821307,0.008221497
"RUNDC3A",10.25146588,0.008258198
"KTN1",9.510108689,0.008294878
"ARRB1",9.538439541,0.008346108
"BASP1",11.45314611,0.008346108
"CA2",9.452023421,0.008346108
"CAMK2B",9.059150996,0.008346108
"DLG4",7.04395231,0.008346108
"DNMBP",6.823339811,0.008346108
"DOC2A",7.421181492,0.008346108
"EEF1A2",10.8707735,0.008346108
"ELF1",7.651136648,0.008346108
"GAS7",11.20005355,0.008346108
"IKBKB",7.146284613,0.008346108
"INPPL1",7.646191095,0.008346108
"LEF1",7.491118669,0.008346108
"NECAB2",7.64054211,0.008346108
"NOTCH3",7.967540298,0.008346108
"PDE4A",8.197893567,0.008346108
"PHLPP2",8.077508264,0.008346108
"POLA1",6.579430272,0.008346108
"PPP3CA",11.11939427,0.008346108
"PRKCB",10.42022198,0.008346108
"RAB15",8.543520456,0.008346108
"RGL2",8.634678771,0.008346108
"RGS4",10.48421272,0.008346108
"RNF41",7.907216946,0.008346108
"RNPS1",10.15442522,0.008346108
"SFXN3",8.386259549,0.008346108
"SNCA",9.833060413,0.008346108
"SSFA2",8.967650142,0.008346108
"TUBB4B",10.95105635,0.008346108
