“Gene“,”P_GRN_GSM329677.CEL","P_GRN_GSM329679.CEL","P_GRN_GSM329681.CEL","P_GRN_GSM329683.CEL","P_GRN_GSM329686.CEL","P_GRN_GSM329689.CEL"
"LAMP2",672.058322,370.7048899,744.844049,693.9053944,1522.380454,940.7670205
"CACNA1C",31.24527781,30.94409287,23.64673725,23.70029838,23.81883541,24.39404619
"SAV1",193.727079,85.80988549,157.3515165,173.3435236,234.2879891,177.7380165
"CA2",927.2415501,923.4849636,1267.977341,879.1046999,1424.509243,1006.238134
"IRF2",99.15085411,62.38065864,112.058138,94.11486049,89.8165398,123.353051
"HNRNPA2B1",1335.640718,1336.555927,1665.170674,1750.684771,1771.419082,2051.80032
"FBXL5",802.6874383,874.0230767,1104.213484,1081.524993,993.6042458,894.3017992
"QKI",305.5358564,144.4416726,225.1722468,223.0860881,280.6104208,244.1500033
"SMARCE1",555.1509135,508.8692744,736.4235334,750.2314922,718.4330284,586.7890296
"GATM",1465.545762,990.2018467,1305.21306,1218.160872,1092.133922,1489.759094
"CTNNB1",530.6214371,583.1821988,601.7407754,457.454799,544.3702269,612.4888283
"SPARC",1227.590024,1000.421883,4023.299522,3231.037091,2068.123466,2521.389846
"RFC1",111.4453944,116.6187507,164.7872494,215.9433255,178.2973558,136.5500281
"GTF2F1",199.7233737,267.5249937,171.9431836,168.5972758,127.0396298,130.1211136
"ITPR2",94.76095586,46.66814536,96.89144127,123.6000314,111.8701245,129.0206048
"MVD",95.80102959,85.70302069,66.52386102,64.36150495,61.1613647,83.93313217
"NUP160",23.05772001,26.27695292,41.43203151,65.98800601,63.50797341,35.24777888
"PLSCR4",606.0758617,356.265445,723.066955,1187.733326,696.2291286,684.63068
"NINL",108.8285597,112.8078958,135.3015423,142.8614232,162.3812611,110.2431363
"PPFIA3",229.7206393,265.0079633,169.9753816,172.2625245,177.3705285,185.9561716
"CTSH",1507.075079,1944.035595,1696.227932,1722.119259,986.5900188,1854.980704
"ANXA4",212.4170568,176.140261,345.1467978,315.2213734,234.9897061,262.0744608
"EFEMP1",491.3208198,262.3732007,310.2152062,1034.14188,189.1012549,137.5888121
"SWAP70",159.6669551,177.02227,367.4666985,280.7171065,270.6482071,264.1554969
"KLF4",286.1081835,125.8971104,906.0057573,871.4405015,307.1087433,835.2124928
"CDH22",132.7787013,222.9786739,143.6043953,133.3640854,126.814986,154.8398391
"HNMT",243.7700746,163.7360099,521.1688348,610.6916595,227.1083932,238.6004971
"DARS",303.6083261,273.089279,280.2891182,257.3730913,237.3905508,264.5955184
"HSPA2",2104.728764,1533.522195,2435.990289,1444.300512,3470.861956,2490.980504
"KTN1",950.549501,635.1836492,899.3461266,1463.880603,1844.036479,1243.153392
"S100A6",694.5858685,817.5139773,1468.116643,1395.115876,1607.941659,1482.572804
"SNTB1",22.22010391,25.61202678,34.5400407,25.26138681,22.48670668,29.95892781
"HSPB3",79.08196175,146.6709511,50.83375464,45.75323795,59.16112055,63.90307839
"SMC1A",229.0329265,181.1871434,360.1789457,329.2676838,452.6700863,239.2766252
"PTPN13",162.3064664,88.66375562,244.9896376,401.6593071,149.5272671,210.9836115
"MARK2",142.5238255,168.7610832,78.97185722,80.77087789,116.6807562,128.0378531
"CALD1",800.1373902,192.9244535,962.1926468,1947.095683,1544.511549,1176.083781
