HGNC ID	Approved Symbol	Synonyms	UniProt ID(supplied by UniProt)
HGNC:5	A1BG		P04217
HGNC:37133	A1BG-AS1	FLJ23569	
HGNC:24086	A1CF	"ACF, ASP, ACF64, ACF65, APOBEC1CF"	Q9NQ94
HGNC:6	A1S9T~withdrawn		
HGNC:7	A2M	"FWP007, S863-7, CPAMD5"	P01023
HGNC:27057	A2M-AS1		
HGNC:23336	A2ML1	"FLJ25179, p170"	A8K2U0
HGNC:41022	A2ML1-AS1		
HGNC:41523	A2ML1-AS2		
HGNC:8	A2MP1		
HGNC:9	A2MR~withdrawn		
HGNC:10	A2MRAP~withdrawn		
HGNC:30005	A3GALT2	"IGBS3S, IGB3S"	U3KPV4
HGNC:18149	A4GALT	"A14GALT, Gb3S, P(k)"	Q9NPC4
HGNC:17968	A4GNT	alpha4GnT	Q9UNA3
HGNC:1	A12M1~withdrawn		
HGNC:2	A12M2~withdrawn		
HGNC:3	A12M3~withdrawn		
HGNC:4	A12M4~withdrawn		
HGNC:11	AA~withdrawn		
HGNC:13666	AAAS		Q9NRG9
HGNC:12	AABT~withdrawn		
HGNC:13	AAC1~withdrawn		
HGNC:14	AAC2~withdrawn		
HGNC:21298	AACS	"FLJ12389, SUR-5, ACSF1"	Q86V21
HGNC:18226	AACSP1		
HGNC:13792	AACT~withdrawn		
HGNC:17	AADAC	"DAC, CES5A1"	P22760
HGNC:24427	AADACL2	MGC72001	Q6P093
HGNC:50301	AADACL2-AS1		
HGNC:32037	AADACL3	OTTHUMG00000001887	Q5VUY0
HGNC:32038	AADACL4	OTTHUMG00000001889	Q5VUY2
HGNC:50305	AADACP1		
HGNC:17929	AADAT	"KATII, KAT2, KYAT2"	Q8N5Z0
HGNC:16881	AAED1		Q7RTV5
HGNC:25662	AAGAB	"FLJ11506, p34"	Q6PD74
HGNC:19679	AAK1	"KIAA1048, DKFZp686K16132"	Q2M2I8
HGNC:30205	AAMDC	"PTD015, FLJ21035, CK067"	Q9H7C9
HGNC:18	AAMP		Q13685
HGNC:19	AANAT	SNAT	Q16613
HGNC:15886	AAR2	bA234K24.2	Q9Y312
HGNC:33842	AARD	LOC441376	Q4LEZ3
HGNC:20	AARS	"CMT2N, AlaRS"	P49588
HGNC:21022	AARS2	"KIAA1270, bA444E17.1"	Q5JTZ9
HGNC:28417	AARSD1	MGC2744	Q9BTE6
HGNC:49894	AARSP1		
HGNC:23993	AASDH	"NRPS998, LYS2, ACSF4"	Q4L235
HGNC:14235	AASDHPPT	"LYS5, CGI-80, AASD-PPT, ACPS"	Q9NRN7
HGNC:17366	AASS	"LORSDH, LKRSDH"	Q9UDR5
HGNC:51526	AATBC		
HGNC:19235	AATF	"DED, CHE-1, CHE1, BFR2"	Q9NY61
HGNC:21	AATK	"AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77"	Q6ZMQ8
HGNC:40053	AATK-AS1		
HGNC:22	AAVS1	AAV	
HGNC:49667	ABALON	INXS	
HGNC:23	ABAT	GABAT	P80404
HGNC:24	ABC1~withdrawn		
HGNC:25	ABC2~withdrawn		
HGNC:26	ABC3~withdrawn		
HGNC:28	ABC7~withdrawn		
HGNC:27	ABC50~withdrawn		
HGNC:29	ABCA1	TGD	O95477
HGNC:32	ABCA2		Q9BZC7
HGNC:33	ABCA3	"ABC-C, EST111653, LBM180"	Q99758
HGNC:34	ABCA4	"FFM, ARMD2, CORD3"	P78363
HGNC:35	ABCA5	EST90625	Q8WWZ7
HGNC:36	ABCA6	EST155051	Q8N139
HGNC:37	ABCA7	ABCX	Q8IZY2
HGNC:38	ABCA8	KIAA0822	O94911
HGNC:39	ABCA9	EST640918	Q8IUA7
HGNC:39983	ABCA9-AS1		
HGNC:30	ABCA10	EST698739	Q8WWZ4
HGNC:31	ABCA11P	"EST1133530, FLJ14297"	Q4W5N1
HGNC:14637	ABCA12	"DKFZP434G232, LI2"	Q86UK0
HGNC:14638	ABCA13	"FLJ33876, FLJ33951"	Q86UQ4
HGNC:32972	ABCA17P		
HGNC:40	ABCB1	"P-gp, CD243, GP170, ABC20"	P08183
HGNC:11563	ABCB2~withdrawn		
HGNC:11564	ABCB3~withdrawn		
HGNC:45	ABCB4	"MDR2, PFIC-3, GBD1"	P21439
