Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pathways in cancer_Homo sapiens_hsa05200	189/397	0.00000000000000000000000000000000000000000047860974625703255671991706106798807085759345999443466805722658923866844768399127383515655562551906442771295323301838919860529131256043910980224609375	0.00000000000000000000000000000000000000013831821666828241048514794178110082950672490770610342465964303948259396745455933152452314608883317056269891820452500041938037611544132232666015625	0.00000000000105957683344213081227881760718379620272479313403124479009420610964298248291015625	0.000000000306217704864775786775171423920584128086641584332028287462890148162841796875	-2.109779148854536	193.63345627878402	RB1;SPI1;CSF3R;ARAF;CBLC;CBLB;FGF2;ETS1;CRKL;RASSF1;TFG;CCND1;CDH1;MYC;RASSF5;AKT1;EP300;PRKACA;SKP2;PRKCG;MAP2K1;RALBP1;PRKCB;TPM3;PRKCA;MITF;RBX1;RUNX1;MSH6;MSH2;MSH3;CCNE1;RAF1;TP53;CSF1R;CTBP2;CTBP1;EPAS1;CUL2;PDGFB;PDGFA;TGFA;PIK3R3;PIK3R1;STK4;HIF1A;CSF2RA;HSP90B1;DVL1;PLCG2;ABL1;DVL2;DVL3;PLCG1;FADD;RALGDS;STAT5A;SMAD2;STAT5B;CREBBP;JUN;SMAD4;TGFB1;SMAD3;JUP;ZBTB16;FN1;BRAF;NFKB1;PTK2;NFKB2;GNG13;NFKBIA;CDK6;CDK4;GNAQ;CDK2;MDM2;BCL2;CYCS;GRB2;GNB5;BCL2L1;ITGB1;GSK3B;CDKN1A;CDKN1B;HSP90AB1;LAMC3;PTEN;FASLG;LAMC1;GLI3;PIK3CG;CKS1B;IKBKB;CASP9;SHH;CASP8;MECOM;SUFU;CASP3;RAC2;IKBKG;RAC1;HRAS;HSP90AA1;CHUK;ITGA3;DCC;MMP2;AXIN1;TRAF2;FOS;TRAF1;RHOA;TGFBR1;TGFBR2;PLCB4;TRAF4;TRAF3;TRAF6;TRAF5;KIT;RARA;CKS2;PPARG;ITGA6;PLCB1;SOS1;SOS2;CRK;BIRC2;BIRC3;CEBPA;FH;HDAC2;ROCK1;HDAC1;GSTP1;LAMA4;LEF1;PTGER3;XIAP;PTGS2;CBL;ADCY7;EGFR;RELA;GNAI2;CDC42;RXRB;GNA13;GNG3;NRAS;MAPK8;GNG2;GNG5;GNG4;GNG7;GNA11;ERBB2;E2F1;CTNNA1;E2F2;MAPK1;E2F3;TCEB1;CTNNA3;VHL;BID;RXRG;RUNX1T1;MAPK3;ARNT2;EGLN3;CDKN2B;NOS2;CDKN2A;LAMB2;STAT3;MLH1;MTOR;PML;CCDC6;BAX;CTNNB1;FAS;KRAS
Epstein-Barr virus infection_Homo sapiens_hsa05169	115/202	0.0000000000000000000000000000000000059814112198890201451669402776543605388336048735393024517535070874312204199526394518163124641892125499254007081617601215839385986328125	0.000000000000000000000000000000000864313921273963479800314154995092985980269933377087583769701436838815323203046823917722156493947949229550431482493877410888671875	0.0000000000128526675414810993150412778450314963719913752271395424031652510166168212890625	0.0000000018572104597440188494078775147144190482695336186225176788866519927978515625	-1.9233400346011955	146.42604503495858	RB1;ATF2;SPI1;GTF2B;RBPJ;ICAM1;PSMD6;PSMD7;TBK1;PSMD4;MYC;PSMD2;PSMD3;AKT1;PSMD1;EP300;PRKACA;SKP2;MAP3K7;NUP214;MAP2K4;USP7;CSNK2A1;CSNK2A2;HLA-B;HLA-C;HLA-A;SND1;CSNK2B;TP53;PSMD12;PSMD11;PSMD13;PIK3R3;PIK3R1;IRAK1;CD19;PLCG2;RIPK1;PLCG1;MAP2K6;LYN;HSPA8;CREBBP;JUN;EIF2AK2;HSPA2;NFKB1;NFKB2;NFKBIA;SNW1;CDK2;MDM2;BCL2;CDK1;TAB2;TAB1;NFKBIE;MAP3K14;NFKBIB;YWHAE;GSK3B;CD40;CDKN1A;CDKN1B;YWHAB;TRADD;TNFAIP3;HSPB1;PIK3CG;IKBKB;XPO1;YWHAQ;IKBKG;YWHAG;YWHAH;TBP;SYK;CHUK;DDX58;TRAF2;TYK2;TRAF1;YWHAZ;NCOR2;CCNA2;FGR;TRAF3;TRAF6;TRAF5;POLR1C;PTMA;CD44;HDAC4;HDAC5;HDAC2;HDAC1;RELA;MAPK8;POLR2C;POLR2H;POLR2I;POLR2L;HSPA1L;STAT3;MAPK14;PSMC5;PSMC6;PSMC4;POLR3C;PSMC1;NEDD4;PSMC2;VIM;RAN
Viral carcinogenesis_Homo sapiens_hsa05203	111/205	0.0000000000000000000000000000000472372002554875992846303644967292955958302309019817684683283672966479700255308982778483517517287282316829077899456024169921875	0.0000000000000000000000000000045505169579453049762684213904860375286202735196374906674743455111979949719871151037065004629766917787492275238037109375	0.000000000283014842009375087824291889363284048519719959813301102258265018463134765625	0.000000024943356073640427098907134599407864339326579283806495368480682373046875	-1.9314667609813165	130.4943598191007	RB1;ATF2;GTF2B;HDAC11;UBE3A;RBPJ;CCND3;CCND1;CHEK1;EP300;PRKACA;SKP2;USP7;ACTN3;ACTN2;ACTN1;HLA-B;HLA-C;SCRIB;ACTN4;HLA-A;SND1;CCNE1;MAPKAPK2;VDAC3;HIST1H2BB;TP53;ATP6V0D2;PXN;UBR4;PIK3R3;PIK3R1;PMAIP1;STAT5A;LYN;STAT5B;CREBBP;JUN;HIST1H4L;EIF2AK2;NFKB1;NFKB2;NFKBIA;DLG1;HNRNPK;SNW1;CDK6;CDK4;CDK2;REL;MDM2;CDK1;GRB2;YWHAE;CDKN1A;CDKN1B;DDX3X;YWHAB;TRADD;CHD4;PIK3CG;POLB;CASP8;YWHAQ;CASP3;RAC1;IKBKG;CCR5;HRAS;YWHAG;YWHAH;TBP;SYK;TRAF2;TRAF1;YWHAZ;RHOA;DDB1;CCNA2;RBL2;KAT2B;KAT2A;CREB1;RBL1;TRAF3;TRAF5;IRF7;HDAC4;GTF2A1;HDAC5;HDAC2;HIST1H2BO;HDAC3;SRC;HDAC1;SRF;HDAC8;RELA;HDAC6;CDC42;NRAS;MAPK1;BAK1;MAPK3;RANBP1;CDKN2B;CDKN2A;STAT3;PSMC1;BAX;KRAS
Chronic myeloid leukemia_Homo sapiens_hsa05220	58/73	0.0000000000000000000000000000020868058472018130209158344148949405595338488748669305073962358421725635720128818294261119348220745450817048549652099609375	0.00000000000000000000000000015077172246033098839647787792803064824252690940740225762393601268034735323787798311201413525850512087345123291015625	0.000000000345236762264919396374377794970930190265878678701483295299112796783447265625	0.000000024943356073640427098907134599407864339326579283806495368480682373046875	-1.8394269751479078	117.83697700298488	RB1;CDKN1A;CDKN1B;ARAF;CBLC;CBLB;PIK3CG;CRKL;IKBKB;MECOM;CCND1;MYC;AKT1;IKBKG;HRAS;MAP2K1;CHUK;GAB2;TGFBR1;RUNX1;TGFBR2;SOS1;RAF1;SOS2;TP53;CRK;HDAC2;CTBP2;SHC1;HDAC1;CTBP1;PIK3R3;PIK3R1;CBL;RELA;NRAS;E2F1;ABL1;E2F2;MAPK1;E2F3;MAPK3;STAT5A;STAT5B;SMAD4;TGFB1;SMAD3;CDKN2A;PTPN11;BRAF;NFKB1;NFKBIA;CDK6;CDK4;MDM2;GRB2;KRAS;BCL2L1
Hepatitis B_Homo sapiens_hsa05161	87/146	0.000000000000000000000000000016049277497010932260199960237884852061484705460178520021863289763499275315567112187853382465618778951466083526611328125	0.000000000000000000000000000927648239327231847645278243574573776767354976744532591464782882790241738853176389767440923606045544147491455078125	0.00000000082981611092261996233016303268332190812284210323923616670072078704833984375	0.0000000479633712113274410398342678142624695425411118776537477970123291015625	-1.8344093172621592	114.18262484470831	RB1;ATF2;CDKN1A;DDX3X;CDKN1B;YWHAB;PTEN;FASLG;TNF;PIK3CG;CASP9;IFIH1;IKBKB;TBK1;CASP8;CCND1;YWHAQ;CASP10;MYC;CASP3;AKT1;EP300;IKBKG;HRAS;IKBKE;PRKCG;MAP2K4;MAP2K1;CHUK;DDX58;PRKCB;PRKCA;FOS;TICAM1;HSPG2;YWHAZ;TIRAP;TGFBR1;CCNA2;DDB1;CREB1;CCNE1;IRF7;VDAC3;RAF1;TP53;TLR3;PCNA;SRC;PIK3R3;PIK3R1;RELA;NRAS;MAPK8;E2F1;STAT4;E2F2;PTK2B;MAPK1;E2F3;STAT6;FADD;MAPK3;STAT5A;STAT5B;CREBBP;SMAD4;JUN;TGFB1;MAP3K1;SMAD3;STAT3;NFATC2;NFATC1;NFKB1;NFKBIA;MAVS;CDK6;CDK4;CDK2;BCL2;FAS;BAX;CYCS;GRB2;KRAS;LAMTOR5
Apoptosis_Homo sapiens_hsa04210	81/140	0.00000000000000000000000002330542452553348125220967101187056639718836631104535539804851695957718139828873660235331044532358646392822265625	0.000000000000000000000000962181098268453669406859677299070548005612588023264431869038620058487421005111173144541680812835693359375	0.000000008656431574627409463397581502151767463004716773866675794124603271484375	0.00000035738696072390303319307215679234701610766933299601078033447265625	-1.807039599370165	99.93036471940148	TRADD;CTSZ;FASLG;TNF;ACTB;PIK3CG;ACTG1;LMNB1;CASP9;IKBKB;CASP7;TUBA1B;CASP8;TUBA1A;AIFM1;CASP10;CTSK;CASP3;TNFSF10;AKT1;CASP2;CTSH;CAPN1;IKBKG;CTSD;HRAS;MAP3K5;DAXX;MAP2K1;CHUK;PARP1;TRAF2;TRAF1;FOS;TUBA4A;TNFRSF1A;ERN1;DDIT3;RAF1;TP53;BIRC2;BIRC3;DIABLO;ITPR1;HTRA2;ITPR2;PIK3R3;XIAP;CSF2RB;PIK3R1;RELA;SPTA1;NRAS;MAPK8;LMNA;PMAIP1;MAPK1;RIPK1;FADD;BAK1;BID;MCL1;MAPK3;JUN;GADD45B;GADD45A;TNFRSF10B;CFLAR;PTPN13;EIF2S1;NFKB1;GADD45G;NFKBIA;BCL2;FAS;BAX;CYCS;ATM;KRAS;MAP3K14;BCL2L1
ErbB signaling pathway_Homo sapiens_hsa04012	61/87	0.0000000000000000000000000099495287111907126422326722587454641494492931140420453878824353472374252514709436212569926283322274684906005859375	0.000000000000000000000000479235632922352667782939749852684720391518693607748916507431378194840909667817641093279235064983367919921875	0.00000000383303497133154030102700983071405127500241860616370104253292083740234375	0.0000001846245177858025191227936585847135830817933310754597187042236328125	-1.751357865880768	98.07184617570769	GSK3B;CDKN1A;CDKN1B;ARAF;CBLC;CBLB;PIK3CG;CRKL;MYC;NCK2;AKT1;HRAS;NCK1;PRKCG;MAP2K4;MAP2K1;PRKCB;GAB1;NRG1;PRKCA;NRG2;EREG;BTC;NRG3;NRG4;SOS1;RAF1;SOS2;CRK;CAMK2B;CAMK2D;SHC1;SRC;PIK3R3;TGFA;PIK3R1;CBL;EGFR;NRAS;PAK1;MAPK8;ERBB3;ERBB4;ERBB2;EIF4EBP1;PLCG2;ABL1;ABL2;MAPK1;PLCG1;PAK2;PAK4;MAPK3;STAT5A;STAT5B;JUN;BRAF;MTOR;PTK2;GRB2;KRAS
HTLV-I infection_Homo sapiens_hsa05166	117/258	0.00000000000000000000000095066810931022589971120956584520539614028298463594672817736626964542356876819440003600902855396270751953125	0.0000000000000000000000343428854488319087444397743273382079543881124249707321739508007231445052553908681147731840610504150390625	0.000000216763935535800693487850873165945220222283751354552805423736572265625	0.0000046660246773108868538655624735866922492277808487415313720703125	-1.7681393637163891	91.45815320038082	RB1;ATF2;CRTC2;SPI1;TRRAP;TNF;ETS1;ETS2;ICAM1;CCND3;ZFP36;KAT5;CCND1;MYC;MYB;CHEK1;AKT1;EP300;PRKACA;HLA-DOA;MAP2K4;MSX2;HLA-B;HLA-C;HLA-A;VDAC3;VDAC2;VDAC1;TLN1;TP53;PDGFB;PDGFA;PIK3R3;PIK3R1;PPP3R1;PPP3R2;TERT;RRAS;DVL1;DVL2;DVL3;STAT5A;SMAD2;STAT5B;CREBBP;XBP1;JUN;SMAD4;TGFB1;VCAM1;SMAD3;NFATC2;NFATC1;NFKB1;NFKB2;NFKBIA;DLG1;CDK4;ATM;CALR;TCF3;MAP3K14;BCL2L1;GSK3B;CD40;CDKN1A;ITGB2;CD3D;PIK3CG;IKBKB;POLB;PPP3CA;XPO1;IKBKG;HRAS;POLE;TBP;CHUK;FOS;TGFBR1;TGFBR2;TNFRSF1A;KAT2B;KAT2A;CREB1;LCK;CANX;SLC25A6;PCNA;SRF;XIAP;ADCY7;RELA;POLD3;POLD4;NRAS;MAPK8;POLD1;POLD2;E2F1;E2F2;E2F3;RANBP1;MAP3K3;CDKN2B;RANBP3;CDKN2C;MAP3K1;NFYB;CDKN2A;POLE4;POLE2;IL2RB;BAX;CTNNB1;KRAS;RAN
Proteoglycans in cancer_Homo sapiens_hsa05205	99/203	0.0000000000000000000000042759644422032675262793286384177902169004371561230855358903338845656671995953956866287626326084136962890625	0.0000000000000000000001235753723796744449541892351801875096608467782913921120382179548446988093246545759029686450958251953125	0.0000001437883054863605328181999122583167860511821345426142215728759765625	0.00000377771093505074512906177254534245690820171148516237735748291015625	-1.7803885245310236	89.81203910167571	ARAF;CBLC;CBLB;TNF;FGF2;ACTB;ACTG1;PPP1CB;PPP1CC;CCND1;MYC;AKT1;PRKACA;PRKCG;MAP2K1;PRKCB;RPS6;PRKCA;ANK2;HSPG2;EZR;RAF1;TP53;DDX5;SDC2;PXN;TWIST2;ITPR1;TWIST1;ITPR2;PIK3R3;PIK3R1;IQGAP1;HIF1A;VTN;RRAS;PLCG2;PLCG1;SMAD2;TGFB1;CAV1;RDX;FN1;MSN;BRAF;ESR1;PTK2;MDM2;GRB2;ITGB1;CDKN1A;ITGB5;ITGB3;FASLG;PIK3CG;CASP3;TIMP3;RAC1;HRAS;PPP1R12A;MMP2;GAB1;PLAUR;RHOA;VAV2;CTTN;HCLS1;PPP1R12B;SOS1;SOS2;CD44;CAMK2B;CD63;CAMK2D;ROCK1;SRC;CBL;THBS1;EGFR;CDC42;NRAS;PAK1;ERBB3;ERBB4;ERBB2;FLNA;MAPK1;FLNC;EIF4B;MAPK3;STAT3;PTPN11;MAPK14;MTOR;PPP1CA;TFAP4;CTNNB1;FAS;KRAS
MAPK signaling pathway_Homo sapiens_hsa04010	112/255	0.000000000000000000000236275196146476623200499227468238721664803058368410315051751091619536282451008446514606475830078125	0.00000000000000000000525257936048705706523039408919453655855030249244299074139370742120291879473370499908924102783203125	0.000001345184371424027452228649841259322528230768512003123760223388671875	0.000020460962281133889787039514818189900324796326458454132080078125	-1.6922710760279016	79.02155858076694	ATF2;TNF;FGF2;CRKL;RPS6KA6;MYC;RPS6KA2;STMN1;AKT1;MAP3K8;PRKACA;MAP3K7;MAP3K5;PRKCG;MAP2K4;DAXX;MEF2C;MAP2K1;PRKCB;PRKCA;MAPK8IP1;DDIT3;MAPKAPK2;RAF1;TP53;PDGFB;PDGFA;CACNA1A;CACNA1C;NLK;STK4;STK3;RAP1B;PPP3R1;PPP3R2;RAP1A;RRAS;MAP2K6;HSPA8;JUN;TGFB1;GADD45B;GADD45A;BDNF;BRAF;NFATC1;HSPA2;NFKB1;GADD45G;NFKB2;NR4A1;PPP5C;GRB2;TAB2;TAB1;MAP3K14;MAP3K11;HSPB1;FASLG;ARRB1;ARRB2;IKBKB;PPP3CA;DUSP10;MECOM;CASP3;RAC2;RAC1;IKBKG;HRAS;MAP4K1;MAP4K2;DUSP3;CHUK;TRAF2;FOS;TGFBR1;DUSP7;TGFBR2;TNFRSF1A;PPM1B;TRAF6;RASA1;RAPGEF2;MAPT;SOS1;SOS2;CRK;SRF;RELA;EGFR;CDC42;NRAS;PAK1;MAPK8;MAPK7;FLNA;MAPK1;FLNC;PAK2;MAP4K3;MAPK3;MAP3K3;MAP3K1;HSPA1L;MAPK14;TAOK1;TAOK2;FAS;KRAS;LAMTOR3;PTPN5
