Pathway,Database,Mutation,Adjusted P-value,Relationship
MAPK signaling pathway,KEGG,C9orf72,0.005112323,Enrichment
Staphylococcus aureus infection,KEGG,C9orf72,0.005112323,Enrichment
Regulation of actin cytoskeleton,KEGG,C9orf72,0.005392245,Enrichment
Phagosome,KEGG,C9orf72,0.007858155,Enrichment
HTLV-I infection,KEGG,C9orf72,0.007880585,Enrichment
Antigen processing and presentation,KEGG,C9orf72,0.009827083,Enrichment
Proteoglycans in cancer,KEGG,C9orf72,0.012859378,Enrichment
Longevity regulating pathway - multiple species,KEGG,C9orf72,0.012859378,Enrichment
TGF-beta signaling pathway,KEGG,C9orf72,0.012859378,Enrichment
Rheumatoid arthritis,KEGG,C9orf72,0.01664207,Enrichment
mRNA surveillance pathway,KEGG,C9orf72,0.01664207,Enrichment
Tuberculosis,KEGG,C9orf72,0.028592078,Enrichment
Viral myocarditis,KEGG,C9orf72,0.028592078,Enrichment
Hippo signaling pathway,KEGG,C9orf72,0.028592078,Enrichment
Graft-versus-host disease,KEGG,C9orf72,0.028592078,Enrichment
Rap1 signaling pathway,KEGG,C9orf72,0.030350359,Enrichment
Hypertrophic cardiomyopathy (HCM),KEGG,C9orf72,0.030350359,Enrichment
FoxO signaling pathway,KEGG,C9orf72,0.031300111,Enrichment
Systemic lupus erythematosus,KEGG,C9orf72,0.032798576,Enrichment
Ras signaling pathway,KEGG,C9orf72,0.039366174,Enrichment
Protein processing in endoplasmic reticulum,KEGG,C9orf72,0.039366174,Enrichment
Toxoplasmosis,KEGG,C9orf72,0.039366174,Enrichment
Longevity regulating pathway - mammal,KEGG,C9orf72,0.039366174,Enrichment
Intestinal immune network for IgA production,KEGG,C9orf72,0.039366174,Enrichment
Asthma,KEGG,C9orf72,0.039366174,Enrichment
Leishmaniasis,KEGG,C9orf72,0.043671192,Enrichment
Epstein-Barr virus infection,KEGG,VCP,2.12E-10,Enrichment
Spliceosome,KEGG,VCP,2.42E-07,Enrichment
Jak-STAT signaling pathway,KEGG,VCP,4.09E-06,Enrichment
Endocytosis,KEGG,VCP,4.62E-06,Enrichment
Neurotrophin signaling pathway,KEGG,VCP,4.74E-06,Enrichment
Proteasome,KEGG,VCP,7.98E-06,Enrichment
B cell receptor signaling pathway,KEGG,VCP,4.05E-05,Enrichment
Acute myeloid leukemia,KEGG,VCP,6.26E-05,Enrichment
Toxoplasmosis,KEGG,VCP,7.16E-05,Enrichment
Herpes simplex infection,KEGG,VCP,7.16E-05,Enrichment
