SUID,name,Overall Type,Pathway Type,selected,shared name
173651,Malaria,Immune response,Infectious diseases: Parasitic,FALSE,Malaria
173652,Renin secretion,Endocrine system,Endocrine system,FALSE,Renin secretion
173653,Oocyte meiosis,Cell cycle,Cell growth and death,FALSE,Oocyte meiosis
173654,Retrograde endocannabinoid signaling,Nervous system,Nervous system,FALSE,Retrograde endocannabinoid signaling
173655,Wnt signaling pathway,Signal transduction,Signal transduction,FALSE,Wnt signaling pathway
173656,Vascular smooth muscle contraction,Circulatory system,Circulatory system,FALSE,Vascular smooth muscle contraction
173657,Vasopressin-regulated water reabsorption,Excretory system,Excretory system,FALSE,Vasopressin-regulated water reabsorption
173658,Pertussis,Immune response,Infectious diseases: Bacterial,FALSE,Pertussis
173659,NOD-like receptor signaling pathway,Immune response,Immune system,FALSE,NOD-like receptor signaling pathway
173660,Gastric acid secretion,Digestive system,Digestive system,FALSE,Gastric acid secretion
173661,Serotonergic synapse,Nervous system,Nervous system,FALSE,Serotonergic synapse
173662,RIG-I-like receptor signaling pathway,Immune response,Immune system,FALSE,RIG-I-like receptor signaling pathway
173663,Adipocytokine signaling pathway,Endocrine system,Endocrine system,FALSE,Adipocytokine signaling pathway
173664,Epithelial cell signaling in Helicobacter pylori infection,Immune response,Infectious diseases: Bacterial,FALSE,Epithelial cell signaling in Helicobacter pylori infection
173665,Sphingolipid signaling pathway,Signal transduction,Signal transduction,FALSE,Sphingolipid signaling pathway
173666,Melanogenesis,Endocrine system,Endocrine system,FALSE,Melanogenesis
173667,Notch signaling pathway,Signal transduction,Signal transduction,FALSE,Notch signaling pathway
173668,Alcoholism,Nervous system,Substance dependence,FALSE,Alcoholism
173669,Sulfur metabolism,Metabolism,Energy metabolism,FALSE,Sulfur metabolism
173670,Inflammatory mediator regulation of TRP channels,Immune response,Sensory system,FALSE,Inflammatory mediator regulation of TRP channels
173671,Adrenergic signaling in cardiomyocytes,Endocrine system,Circulatory system,FALSE,Adrenergic signaling in cardiomyocytes
173672,Hepatitis B,Immune response,Infectious diseases: Viral,FALSE,Hepatitis B
