"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","C9","Cell.type","Cell.type.x","Cell.type.y","ClosenessCentrality","ClusteringCoefficient","DEG","DEGPPI","Degree","Eccentricity","GRN","IsSingleNode","Matching.Attribute","Matching.Attribute.1","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OG_Gene","OG_Gene_GRN","OG_Gene_VCP","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","VCP"
"16491","false","3.8593482","0.0","false","NA","","","0.25911111","0.0","false","false","2","6","false","false","","ZDHHC3","ZDHHC3","167.0","2","0","false","false","false","1","0.59152169","false","0","ZDHHC3","0","0.0","true"
"16492","false","3.8593482","0.0","false","NA","","","0.25911111","0.0","false","false","1","6","false","false","","PRKD2","PRKD2","167.0","1","0","false","false","false","0","0.59152169","false","0","PRKD2","0","0.0","true"
"16493","false","3.65137221","8.876E-4","false","NA","","","0.27386964","0.33333333","false","false","3","5","false","false","","RPS27A","RPS27A","112.33333333","3","0","false","false","false","0","0.62123254","false","0","RPS27A","48756","0.34567901","true"
"16494","false","2.37993139","0.08942554","false","NA","","","0.42018018","0.00676673","false","false","128","4","false","false","","KPNA2","KPNA2","13.3046875","128","0","false","false","true","0","0.80286694","false","0","KPNA2","3014434","0.0099154","true"
"16495","false","3.53816467","0.0","false","NA","","","0.28263241","0.0","false","false","2","6","false","false","","NFYC","NFYC","430.0","2","0","false","false","false","1","0.63740505","false","0","NFYC","0","0.0","true"
"16496","false","3.42109777","7.8905E-4","false","NA","","","0.29230384","0.0","false","false","2","6","false","false","","DNMT3A","DNMT3A","287.5","2","0","false","false","false","0","0.65412889","false","0","DNMT3A","103170","0.51621622","true"
"16497","false","3.0077187","0.02124231","false","NA","","","0.3324779","0.0","false","false","53","5","false","false","","SNRPE","SNRPE","3.78","53","0","false","false","true","3","0.71318304","false","0","SNRPE","1504052","0.05673469","true"
"16498","false","4.00728988","0.0","false","NA","","","0.24954521","0.0","false","false","2","6","false","false","","LSM5","LSM5","50.0","2","0","false","false","false","1","0.57038716","false","0","LSM5","0","0.0","true"
"16499","false","3.8593482","0.0","false","NA","","","0.25911111","0.0","false","false","3","6","false","false","","STARD13","STARD13","167.0","3","0","false","false","false","1","0.59152169","false","0","STARD13","0","0.0","true"
"16500","false","3.85548885","0.0","false","NA","","","0.25937048","0.0","false","false","1","6","false","false","","CDCA8","CDCA8","145.0","1","0","false","false","false","0","0.59207302","false","0","CDCA8","0","0.0","true"
"16501","false","3.81174957","3.9791E-4","false","NA","","","0.26234672","0.0","false","false","2","6","false","false","","KLF11","KLF11","87.0","2","0","false","false","false","0","0.59832149","false","0","KLF11","10118","0.50292398","true"
"16502","false","4.0441681","0.0","false","NA","","","0.24726964","0.0","false","false","1","6","false","false","","MAGI3","MAGI3","38.0","1","0","false","false","false","0","0.56511884","false","0","MAGI3","0","0.0","true"
"16503","false","4.0441681","0.0","false","NA","","","0.24726964","0.0","false","false","1","6","false","false","","CTTNBP2","CTTNBP2","38.0","1","0","false","false","false","0","0.56511884","false","0","CTTNBP2","0","0.0","true"
"16504","false","4.0441681","0.0","false","NA","","","0.24726964","0.0","false","false","1","6","false","false","","HMCN1","HMCN1","38.0","1","0","false","false","false","0","0.56511884","false","0","HMCN1","0","0.0","true"
"16505","false","3.11535163","0.0043357","false","Neurons","","","0.32099105","0.0","false","false","7","5","false","false","","PKIB","PKIB","7.42857143","7","0","false","false","true","0","0.69780691","false","0","PKIB","67396","0.1461039","true"
"16506","false","3.53816467","0.0","false","NA","","","0.28263241","0.0","false","false","1","6","false","false","","HADHB","HADHB","430.0","1","0","false","false","false","0","0.63740505","false","0","HADHB","0","0.0","true"
"16507","false","3.09777015","0.00180164","false","Astrocytes","","","0.32281285","0.0","false","false","6","5","false","false","","KCNN3","KCNN3","11.16666667","6","0","false","false","true","0","0.70031855","false","0","KCNN3","52628","0.21180556","true"
"16508","false","3.71740995","0.0","false","NA","","","0.2690045","0.0","false","false","1","6","false","false","","MMTAG2","MMTAG2","283.0","1","0","false","false","false","0","0.61179858","false","0","MMTAG2","0","0.0","true"
"16509","false","3.11363636","0.0038768","false","NA","","","0.32116788","0.0","false","false","12","5","false","false","","KNSTRN","KNSTRN","6.66666667","12","0","false","false","true","3","0.69805195","false","0","KNSTRN","86352","0.12878788","true"
"16510","false","3.71740995","0.0","false","NA","","","0.2690045","0.0","false","false","1","6","false","false","","HIST1H1A","HIST1H1A","283.0","1","0","false","false","false","0","0.61179858","false","0","HIST1H1A","0","0.0","true"
"16511","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","ADAM10","ADAM10","475.0","1","0","false","false","false","0","0.65627297","false","0","ADAM10","0","0.0","true"
"16512","false","3.85548885","0.0","false","NA","","","0.25937048","0.0","false","false","1","6","false","false","","NR2F1","NR2F1","145.0","1","0","false","false","false","0","0.59207302","false","0","NR2F1","0","0.0","true"
"16513","false","4.13765009","0.0","false","NA","","","0.24168308","0.0","false","false","1","6","false","false","","ATXN3L","ATXN3L","80.0","1","0","false","false","false","0","0.55176427","false","0","ATXN3L","0","0.0","true"
"16514","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","CD28","CD28","475.0","1","0","false","false","false","0","0.65627297","false","0","CD28","0","0.0","true"
"16515","false","3.11878216","8.7851E-4","false","NA","","","0.32063798","0.0","false","false","3","5","false","false","","OSBPL2","OSBPL2","17.33333333","3","0","false","false","true","0","0.69731683","false","0","OSBPL2","15226","0.37121212","true"
"16516","false","3.87692967","0.0","false","NA","","","0.25793607","0.0","false","false","1","6","false","false","","NT5DC1","NT5DC1","56.0","1","0","false","false","false","0","0.58901005","false","0","NT5DC1","0","0.0","true"
"16517","false","2.98542024","0.04246417","false","NA","","","0.33496122","0.0","false","false","87","5","false","false","","HAUS1","HAUS1","2.37974684","87","0","false","false","true","8","0.71636854","false","0","HAUS1","2336896","0.0281581","true"
"16518","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","CSRP1","CSRP1","475.0","1","0","false","false","false","0","0.65627297","false","0","CSRP1","0","0.0","true"
"16519","false","3.09433962","0.00213624","false","NA","","","0.32317073","0.0","false","false","6","5","false","false","","RPL22L1","RPL22L1","10.33333333","6","0","false","false","true","0","0.70080863","false","0","RPL22L1","45908","0.20740741","true"
"16520","false","2.98885077","0.01277381","false","NA","","","0.33457676","0.0","false","false","32","5","false","false","","LUC7L3","LUC7L3","4.58064516","32","0","false","false","true","1","0.71587846","false","0","LUC7L3","568144","0.0716129","true"
"16521","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","KRT36","KRT36","475.0","1","0","false","false","false","0","0.65627297","false","0","KRT36","0","0.0","true"
"16522","false","3.85548885","0.0","false","Neurons","","","0.25937048","0.0","false","false","1","6","false","false","","TIMM50","TIMM50","145.0","1","0","false","false","false","0","0.59207302","false","0","TIMM50","0","0.0","true"
"16523","false","3.40608919","0.0","false","Neurons","","","0.29359184","0.0","false","false","1","6","false","false","","HDGFRP3","HDGFRP3","475.0","1","0","false","false","false","0","0.65627297","false","0","HDGFRP3","0","0.0","true"
"16524","false","3.38121784","0.0","false","NA","","","0.29575143","1.0","false","false","3","6","false","false","","IL6ST","IL6ST","280.5","3","0","false","false","false","1","0.65982602","false","0","IL6ST","0","0.52725564","true"
"16525","false","3.12049743","0.0","false","NA","","","0.32046173","0.0","false","false","1","5","false","false","","COX20","COX20","45.0","1","0","false","false","true","0","0.6970718","false","0","COX20","0","0.0","true"
"16526","false","3.85548885","0.0","false","NA","","","0.25937048","0.0","false","false","1","6","false","false","","ZNF302","ZNF302","145.0","1","0","false","false","false","0","0.59207302","false","0","ZNF302","0","0.0","true"
"16527","false","3.11963979","8.5763E-4","false","NA","","","0.32054983","0.0","false","false","2","5","false","false","","XPR1","XPR1","23.0","2","0","false","false","true","0","0.69719432","false","0","XPR1","11624","0.5","true"
"16528","false","3.85548885","0.0","false","NA","","","0.25937048","0.0","false","false","1","6","false","false","","ADNP2","ADNP2","145.0","1","0","false","false","false","0","0.59207302","false","0","ADNP2","0","0.0","true"
"16529","false","3.09734134","0.00892118","false","NA","","","0.32285754","0.0","false","false","13","5","false","false","","COA7","COA7","4.69230769","13","0","false","false","true","0","0.70037981","false","0","COA7","132920","0.08205128","true"
