"SUID","DEGPPI","name","selected","shared name"
"82673","true","SAP18","false","SAP18"
"83441","true","CFLAR","false","CFLAR"
"82679","true","RNF2","false","RNF2"
"85242","true","PHYHIP","false","PHYHIP"
"84473","true","CDH22","false","CDH22"
"85500","true","USP14","false","USP14"
"82683","true","CEP170B","false","CEP170B"
"82688","true","YWHAE","false","YWHAE"
"84223","true","PPP2R1A","false","PPP2R1A"
"84230","true","RPA1","false","RPA1"
"84229","true","SPAG5","false","SPAG5"
"84999","true","IKBKB","false","IKBKB"
"84492","true","UNC13B","false","UNC13B"
"84752","true","PPP3R1","false","PPP3R1"
"83217","true","COPS6","false","COPS6"
"85012","true","SYNJ1","false","SYNJ1"
"83988","true","PEX14","false","PEX14"
"85270","true","RGS4","false","RGS4"
"85269","true","PRKCB","false","PRKCB"
"85527","true","WNK1","false","WNK1"
"85018","true","PRKCI","false","PRKCI"
"85530","true","UBE2Z","false","UBE2Z"
"82713","true","KCTD12","false","KCTD12"
"84253","true","USP11","false","USP11"
"85792","true","IGFBP5","false","IGFBP5"
"84000","true","YES1","false","YES1"
"83746","true","PNN","false","PNN"
"84258","true","PLCG2","false","PLCG2"
"83490","true","ITSN1","false","ITSN1"
"82721","true","ABI1","false","ABI1"
"83749","true","SRPK1","false","SRPK1"
"82728","true","SEC24A","false","SEC24A"
"83751","true","IL16","false","IL16"
"82730","true","UCHL1","false","UCHL1"
"84265","true","YWHAH","false","YWHAH"
"82988","true","ZBTB5","false","ZBTB5"
"82732","true","SPARC","false","SPARC"
"83499","true","SNCA","false","SNCA"
"83760","true","ZBTB10","false","ZBTB10"
"82738","true","ARRB1","false","ARRB1"
"84273","true","SYNCRIP","false","SYNCRIP"
"83508","true","NEK9","false","NEK9"
"84022","true","LPL","false","LPL"
"84538","true","BTG1","false","BTG1"
"85821","true","NINL","false","NINL"
"84541","true","CD2AP","false","CD2AP"
"83775","true","MCMBP","false","MCMBP"
"83521","true","TNFAIP3","false","TNFAIP3"
"85569","true","ARL6IP1","false","ARL6IP1"
"84545","true","CYCS","false","CYCS"
"85062","true","BNIP3","false","BNIP3"
"82757","true","CALD1","false","CALD1"
"82759","true","NSMAF","false","NSMAF"
"84295","true","PTK2B","false","PTK2B"
"82762","true","TCF3","false","TCF3"
"84044","true","INPPL1","false","INPPL1"
"83532","true","YWHAZ","false","YWHAZ"
"82763","true","ZCCHC8","false","ZCCHC8"
"84045","true","FGR","false","FGR"
"82768","true","CNOT1","false","CNOT1"
"86099","true","DDR2","false","DDR2"
"82777","true","SAMM50","false","SAMM50"
"85340","true","STXBP1","false","STXBP1"
"85341","true","GABRA1","false","GABRA1"
"84829","true","GABBR2","false","GABBR2"
"83040","true","RPH3A","false","RPH3A"
"83042","true","YWHAB","false","YWHAB"
"83041","true","MAPK1","false","MAPK1"
"83560","true","UBE2N","false","UBE2N"
"85098","true","TAX1BP1","false","TAX1BP1"
"85354","true","SSFA2","false","SSFA2"
"83564","true","TRIM3","false","TRIM3"
"82796","true","ANXA4","false","ANXA4"
"85102","true","SVIL","false","SVIL"
"82542","true","FHL1","false","FHL1"
"82541","true","RBPJ","false","RBPJ"
"82799","true","UBE3A","false","UBE3A"
"85874","true","CBFA2T3","false","CBFA2T3"
"82802","true","ITPR2","false","ITPR2"
"82804","true","PHYH","false","PHYH"
"82548","true","ROCK1","false","ROCK1"
"83574","true","GLDC","false","GLDC"
"82551","true","PPP3CA","false","PPP3CA"
"84599","true","KPNA1","false","KPNA1"
"84857","true","NUAK1","false","NUAK1"
"83069","true","SUMO2","false","SUMO2"
"82560","true","WASF1","false","WASF1"
"82559","true","SRGAP3","false","SRGAP3"
"83839","true","GABARAPL1","false","GABARAPL1"
"83330","true","CAV1","false","CAV1"
"82817","true","ANXA1","false","ANXA1"
"84609","true","RAB27A","false","RAB27A"
"84868","true","LSM4","false","LSM4"
"84612","true","SNAP25","false","SNAP25"
"84611","true","VAMP2","false","VAMP2"
"82566","true","VDAC1","false","VDAC1"
"84613","true","STX1A","false","STX1A"
