"Gene.symbol","Cell.type","SUID","name","selected","DEG","ALSOD"
"ACAA2","Astrocytes",41363,"ACAA2","false",FALSE,FALSE
"ACTL6B","Neurons",44923,"ACTL6B","false",FALSE,FALSE
"AES","Neurons",45603,"AES","false",FALSE,FALSE
"AHCYL2","Astrocytes",41634,"AHCYL2","false",FALSE,FALSE
"AKAP5","Neurons",42133,"AKAP5","false",FALSE,FALSE
"ALDH5A1","Neurons",41547,"ALDH5A1","false",FALSE,FALSE
"AMOT","Astrocytes",41425,"AMOT","false",FALSE,FALSE
"AMPH","Neurons",42857,"AMPH","false",FALSE,FALSE
"ANXA1","Endothelial",38158,"ANXA1","false",TRUE,FALSE
"ARL15","Neurons",44261,"ARL15","false",FALSE,FALSE
"ATP13A2","Neurons",41226,"ATP13A2","false",FALSE,FALSE
"ATP6V0C","Neurons",43553,"ATP6V0C","false",FALSE,FALSE
"BBS2","Astrocytes",44072,"BBS2","false",FALSE,FALSE
"BID","Neurons",41287,"BID","false",FALSE,FALSE
"BIRC3","Endothelial",39231,"BIRC3","false",FALSE,FALSE
"CACNA1A","Neurons",43823,"CACNA1A","false",FALSE,FALSE
"CAPN3","Oligodendrocytes",39004,"CAPN3","false",FALSE,FALSE
"CDC7","Neurons",45241,"CDC7","false",FALSE,FALSE
"CDH1","Oligodendrocytes",42195,"CDH1","false",FALSE,FALSE
"CDK5","Neurons",38913,"CDK5","false",FALSE,FALSE
"CDK8","Neurons",42128,"CDK8","false",FALSE,FALSE
"CHGB","Neurons",45205,"CHGB","false",FALSE,TRUE
"CKMT1B","Neurons",42993,"CKMT1B","false",FALSE,FALSE
"CLMN","Oligodendrocytes",44529,"CLMN","false",FALSE,FALSE
"CLU","Astrocytes",45644,"CLU","false",FALSE,FALSE
"CMTM6","Microglia",37904,"CMTM6","false",TRUE,FALSE
"CPNE7","Neurons",41594,"CPNE7","false",FALSE,FALSE
"CRMP1","Neurons",42587,"CRMP1","false",FALSE,FALSE
"CTNNA3","Oligodendrocytes",39621,"CTNNA3","false",FALSE,FALSE
"CTSH","Astrocytes",40959,"CTSH","false",TRUE,FALSE
"CYFIP2","Neurons",42979,"CYFIP2","false",FALSE,FALSE
"CYP2E1","Neurons",37851,"CYP2E1","false",TRUE,FALSE
"DCC","Neurons",40830,"DCC","false",FALSE,FALSE
"DCX","Neurons",40150,"DCX","false",FALSE,FALSE
"DHRS1","Neurons",44345,"DHRS1","false",FALSE,FALSE
"DLG3","Neurons",44307,"DLG3","false",FALSE,FALSE
"DLX5","Neurons",42661,"DLX5","false",FALSE,FALSE
"DOC2A","Neurons",43126,"DOC2A","false",FALSE,FALSE
"DOCK8","Microglia",39864,"DOCK8","false",FALSE,FALSE
"DUSP10","Oligodendrocytes",39091,"DUSP10","false",FALSE,FALSE
"EEF1A2","Neurons",40752,"EEF1A2","false",FALSE,FALSE
"EFEMP1","Astrocytes",38301,"EFEMP1","false",TRUE,TRUE
"EPHB6","Neurons",39201,"EPHB6","false",FALSE,FALSE
"ERBB3","Oligodendrocytes",41139,"ERBB3","false",FALSE,FALSE
"ERC2","Neurons",37804,"ERC2","false",FALSE,FALSE
"ERG","Endothelial",39840,"ERG","false",FALSE,FALSE
