"Gene.symbol","Cell.type","SUID","name","selected","DEG","ALSOD"
"ACAA2","Astrocytes",133453,"ACAA2","false",FALSE,FALSE
"ACD","Neurons",130693,"ACD","false",FALSE,FALSE
"ACTL6B","Neurons",135427,"ACTL6B","false",FALSE,FALSE
"ADD2","Neurons",136018,"ADD2","false",FALSE,FALSE
"AES","Neurons",138438,"AES","false",FALSE,FALSE
"AHCYL1","Astrocytes",131449,"AHCYL1","false",FALSE,FALSE
"AHCYL2","Astrocytes",133796,"AHCYL2","false",FALSE,FALSE
"AIP","Neurons",136171,"AIP","false",FALSE,FALSE
"AKAP5","Neurons",129455,"AKAP5","false",FALSE,FALSE
"ALDH5A1","Neurons",133690,"ALDH5A1","false",FALSE,FALSE
"AMOT","Astrocytes",133529,"AMOT","false",FALSE,FALSE
"AMPH","Neurons",135719,"AMPH","false",FALSE,FALSE
"ANXA1","Endothelial",128809,"ANXA1","false",TRUE,FALSE
"ARL15","Neurons",137167,"ARL15","false",FALSE,FALSE
"ATP13A2","Neurons",133238,"ATP13A2","false",FALSE,FALSE
"ATP6V0C","Neurons",128882,"ATP6V0C","false",FALSE,FALSE
"BASP1","Neurons",133737,"BASP1","false",FALSE,FALSE
"BBS2","Astrocytes",136989,"BBS2","false",FALSE,FALSE
"BID","Neurons",133353,"BID","false",FALSE,FALSE
"BIRC3","Endothelial",130397,"BIRC3","false",FALSE,FALSE
"CACNA1A","Neurons",136766,"CACNA1A","false",FALSE,FALSE
"CACNA1C","Neurons",129329,"CACNA1C","false",FALSE,FALSE
"CALD1","Endothelial",128686,"CALD1","false",TRUE,FALSE
"CAPN3","Oligodendrocytes",129974,"CAPN3","false",FALSE,FALSE
"CD24","Neurons",135141,"CD24","false",FALSE,FALSE
"CDC7","Neurons",138092,"CDC7","false",FALSE,FALSE
"CDH1","Oligodendrocytes",134478,"CDH1","false",FALSE,FALSE
"CDK5","Neurons",129831,"CDK5","false",FALSE,FALSE
"CDK8","Neurons",134418,"CDK8","false",FALSE,FALSE
"CFL2","Oligodendrocytes",133140,"CFL2","false",FALSE,FALSE
"CHGB","Neurons",132800,"CHGB","false",FALSE,TRUE
"CHST15","Neurons",135097,"CHST15","false",FALSE,FALSE
"CKMT1B","Neurons",135931,"CKMT1B","false",FALSE,FALSE
"CLMN","Oligodendrocytes",137412,"CLMN","false",FALSE,FALSE
"CLU","Astrocytes",138477,"CLU","false",FALSE,FALSE
"CMTM6","Microglia",128476,"CMTM6","false",TRUE,FALSE
"CPLX2","Neurons",135292,"CPLX2","false",FALSE,FALSE
"CPNE7","Neurons",133751,"CPNE7","false",FALSE,FALSE
"CRMP1","Neurons",135254,"CRMP1","false",FALSE,FALSE
"CSF1R","Microglia",135067,"CSF1R","false",FALSE,FALSE
"CSF3R","Microglia",135111,"CSF3R","false",FALSE,FALSE
"CTNNA3","Oligodendrocytes",131046,"CTNNA3","false",FALSE,FALSE
"CTSH","Astrocytes",132860,"CTSH","false",TRUE,FALSE
"CYFIP2","Neurons",133539,"CYFIP2","false",FALSE,FALSE
"CYP2E1","Neurons",128406,"CYP2E1","false",TRUE,FALSE
"DAB1","Neurons",130060,"DAB1","false",FALSE,FALSE
"DCC","Neurons",132700,"DCC","false",FALSE,FALSE
"DCX","Neurons",130651,"DCX","false",FALSE,FALSE
"DHRS1","Neurons",137244,"DHRS1","false",FALSE,FALSE
"DLG3","Neurons",135957,"DLG3","false",FALSE,FALSE
"DLX5","Neurons",135368,"DLX5","false",FALSE,FALSE
"DOC2A","Neurons",136079,"DOC2A","false",FALSE,FALSE
