name,GO:0070972
RPL4,TRUE
RPL5,TRUE
TRAM1,TRUE
RPL30,TRUE
RPL3,TRUE
RPL32,TRUE
RPL31,TRUE
RPLP1,TRUE
RPL8,TRUE
SRP14,TRUE
RPL10A,TRUE
RPL6,TRUE
RPL7,TRUE
RPS4X,TRUE
RPS14,TRUE
RPL7A,TRUE
RPS17,TRUE
RPS16,TRUE
RPL18A,TRUE
RPS19,TRUE
RPS18,TRUE
RPLP2,TRUE
RPL35,TRUE
RPL38,TRUE
SEC61B,TRUE
RPS11,TRUE
RPS10,TRUE
RPS13,TRUE
SEC63,TRUE
RPS12,TRUE
RPS9,TRUE
RPS7,TRUE
RPL21,TRUE
RPS8,TRUE
RPS5,TRUE
RPL23,TRUE
RPL22,TRUE
RPS6,TRUE
SSR3,TRUE
RPL13A,TRUE
RPSA,TRUE
RPS3A,TRUE
ANK2,TRUE
DDOST,TRUE
RPL37A,TRUE
RPL24,TRUE
RPL29,TRUE
UBA52,TRUE
RPL12,TRUE
RPN1,TRUE
RPL11,TRUE
RPL36A,TRUE
RPS15A,TRUE
SRP72,TRUE
RPS3,TRUE
SSR1,TRUE
RPL15,TRUE
RPS2,TRUE
RPL18,TRUE
RPL19,TRUE
BCAP31,TRUE
RPL23A,TRUE
SRP68,TRUE
UBAC2,TRUE
RPS26,TRUE
RPS25,TRUE
RPS28,TRUE
VAPA,TRUE
RPS29,TRUE
RPS20,TRUE
RPS21,TRUE
RPS24,TRUE
RPS23,TRUE
