Genesymbol,ND
APP,TRUE
GFAP,TRUE
PSEN1,TRUE
LRRK2,TRUE
ATP13A2,TRUE
HEXA,TRUE
SNCA,TRUE
SOD1,TRUE
FUS,TRUE
TBK1,TRUE
TARDBP,TRUE
GRN,TRUE
PANK2,TRUE
TUBA4A,TRUE
CACNA1A,TRUE
PINK1,TRUE
MAPT,TRUE
SQSTM1,TRUE
DCTN1,TRUE
VCP,TRUE
PFN1,TRUE
ITPR1,TRUE
FTL,TRUE
HNRNPA1,TRUE
PRNP,TRUE
ERBB4,TRUE
CTSD,TRUE
STUB1,TRUE
HSPB1,TRUE
CAPN1,TRUE
UCHL1,TRUE
VPS35,TRUE
PCNA,TRUE
EIF4G1,TRUE
ATXN1,TRUE
C9orf72,TRUE
TBP,TRUE
ATXN7,TRUE
SYNJ1,TRUE
VLDLR,TRUE
HTRA2,TRUE
CHCHD2,TRUE
MME,TRUE
NOP56,TRUE
TOMM40,TRUE
LMNB1,TRUE
CLU,TRUE
HTT,TRUE
GIGYF2,TRUE
GCH1,TRUE
NPEPPS,TRUE
SEPT5,TRUE
UBE2E2,TRUE
CYCS,TRUE
