Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
gene expression (GO:0010467)	142/672	0.0000000000000000000000000117921665443936752674744153182846626749372980579574020940893780599683336729466276437960914336144924163818359375	0.000000000000000000000053041165116682746049600016977651945118544917869013652898281530045920817428850568830966949462890625	0.0000000000000001868634023571506237747135323809722196125324773958997770506584856775589287281036376953125	0.000000000000840511583802463511852333484112454535758067464268350477141211740672588348388671875	-2.3393768522360046	119.9889171158389	CCNT1;GTF2B;UBE2D3;CASC3;RBPJ;RPL8;EDC3;CCAR1;RPL7;EDC4;NARS;ZFP36;RPS17;SNRPD2;RPL35;PSMD1;SNRPD3;RPS10;RPS12;RPS7;RPL23;RPL22;SARS;GTF2F1;AR;PRPF6;CLNS1A;GEMIN4;PSME1;SNRPG;GEMIN5;TFAM;GEMIN6;RPL27;SNRPE;GEMIN7;RPL26;SNRNP200;SRSF6;SRSF7;SNRPB;NOTCH2;NOTCH3;SET;PSMD14;PSMD13;RPN1;TARS;PRPF8;UBB;SKIL;WWTR1;CREBBP;SMURF2;VDR;NR2F1;LSM1;LSM5;CDK9;PAN2;RPS25;CDK7;EIF5;CNOT1;RPS29;AGO4;HNRNPD;RPS20;HNRNPC;RPS21;LAT;FARSB;RPLP0;ZNF45;SMG8;MED15;PCF11;SNRNP70;RARS;APOBEC1;NCBP2;DARS2;SMC1A;SRP9;PSMA5;PPM1A;PSMA4;RBL1;POLR1A;POLR1B;POLR1C;POLR1D;RARA;GTF3C1;SF3B4;GTF3C2;GTF3C3;GTF2A2;RPL10;SRSF1;DDX23;DDX20;U2AF1;PSMA7;PSMB5;POLR2B;PSMB3;EXOSC8;PSMB1;RPL14;RPS3;DROSHA;IGF2BP3;TCEB1;E2F4;RPS27A;SF3B1;SRSF11;EIF4B;HNRNPA0;RPL19;RNGTT;SF3A2;TAF12;NR1H2;TAF10;SKI;PSMC6;POLR3A;PSMC3;ERCC3;PSMC4;PRKRA;MARS;PSMC1;EIF3I;PSMC2;HNRNPA2B1;POLR3H;TAF5;TAF4;RAN
modification-dependent protein catabolic process (GO:0019941)	76/364	0.00000000000001820188233094428014272637103709221093853116990590734758370672352612018585205078125	0.0000000000272906889081957900040040672083019291337124823115800609230063855648040771484375	0.000000004069712572113521814451807408728745141246463390416465699672698974609375	0.0000061018557164555400936629091235285926586584537290036678314208984375	-2.4556197797964634	59.7316632631771	USP37;GSK3A;USP32;FAF1;UBE2D3;USP34;PTPN23;FBXO21;USP39;FBXO4;LONP1;PSMD1;FBXO8;FBXW4;USP7;TRIM63;USP6;USP49;USP5;USP4;UBE4B;YOD1;UCHL3;TRPC4AP;SIRT1;DDB1;PSMA5;TOM1L1;PSMA4;PSME1;SQSTM1;VPS28;USP13;TSG101;PSMD14;UHRF2;USP53;PSMD13;USP11;DERL1;DERL2;RNF4;PSMA7;HSP90B1;ZNRF1;ATXN3;PSMB5;MTA1;UBB;PSMB3;PSMB1;ZNF227;TCEB1;TBL1X;RPS27A;HSPA5;USP20;SMURF2;USP21;WFS1;SMURF1;USP22;PLK1;SYVN1;WWP1;UBE2A;FBXL12;UBE2W;PSMC6;RNF103;PSMC3;PSMC4;UBE2S;PSMC1;PSMC2;CUL4B
ubiquitin-dependent protein catabolic process (GO:0006511)	75/355	0.000000000000014165541491877978792761958752778342772080631684072926645967527292668819427490234375	0.0000000000272906889081957900040040672083019291337124823115800609230063855648040771484375	0.000000003323534743934968505481102911598180471575147976182051934301853179931640625	0.0000061018557164555400936629091235285926586584537290036678314208984375	-2.4541606204352076	59.69616997698884	USP37;GSK3A;USP32;FAF1;USP34;UBE2D3;PTPN23;USP39;FBXO21;FBXO4;PSMD1;FBXO8;FBXW4;USP7;USP49;TRIM63;USP6;USP5;USP4;UBE4B;YOD1;UCHL3;TRPC4AP;SIRT1;PSMA5;DDB1;TOM1L1;PSMA4;PSME1;SQSTM1;VPS28;USP13;TSG101;PSMD14;USP53;UHRF2;PSMD13;USP11;DERL1;DERL2;RNF4;PSMA7;HSP90B1;ZNRF1;ATXN3;PSMB5;MTA1;UBB;PSMB3;PSMB1;ZNF227;TCEB1;TBL1X;RPS27A;HSPA5;SMURF2;USP20;SMURF1;USP21;WFS1;USP22;PLK1;SYVN1;WWP1;UBE2A;FBXL12;UBE2W;PSMC6;RNF103;PSMC3;UBE2S;PSMC4;PSMC1;PSMC2;CUL4B
modification-dependent macromolecule catabolic process (GO:0043632)	76/368	0.0000000000000333339793067415499612581624786314889760489854619862626350368373095989227294921875	0.00000000003748405973043087325960094027916202040484616730964262387715280055999755859375	0.0000000061309059545449350130529939518868320913469460720079950988292694091796875	0.00000689420374588577911860280689193558600891265086829662322998046875	-2.458782542934911	59.02825153403782	USP37;GSK3A;USP32;FAF1;USP34;UBE2D3;PTPN23;USP39;FBXO21;FBXO4;LONP1;PSMD1;FBXO8;FBXW4;USP7;TRIM63;USP6;USP49;USP5;USP4;UBE4B;YOD1;UCHL3;TRPC4AP;SIRT1;PSMA5;DDB1;TOM1L1;PSMA4;PSME1;SQSTM1;VPS28;USP13;TSG101;PSMD14;USP53;UHRF2;PSMD13;USP11;DERL1;DERL2;RNF4;PSMA7;HSP90B1;ZNRF1;ATXN3;PSMB5;MTA1;UBB;PSMB3;PSMB1;ZNF227;TCEB1;TBL1X;RPS27A;HSPA5;SMURF2;USP20;USP21;WFS1;SMURF1;USP22;PLK1;SYVN1;WWP1;UBE2A;FBXL12;UBE2W;PSMC6;RNF103;PSMC3;UBE2S;PSMC4;PSMC1;PSMC2;CUL4B
proteolysis involved in cellular protein catabolic process (GO:0051603)	78/391	0.000000000000105722538169615343840673707791010828204391301665676650145542225800454616546630859375	0.00000000007925666278115496980700436595223472117932583813626479241065680980682373046875	0.000000014329908842462599398369271406182556827246799002750776708126068115234375	0.00001289118599467935360482727380482259604832506738603115081787109375	-2.46253603884175	57.274474926387064	USP37;GSK3A;USP32;FAF1;UBE2D3;USP34;PTPN23;FBXO21;USP39;FBXO4;LONP1;PSMD1;FBXO8;FBXW4;USP7;TRIM63;USP6;USP49;USP5;USP4;UBE4B;YOD1;UCHL3;TRPC4AP;SIRT1;CLPX;RNF41;DDB1;PSMA5;TOM1L1;PSMA4;PSME1;SQSTM1;VPS28;USP13;TSG101;PSMD14;UHRF2;USP53;PSMD13;USP11;DERL1;DERL2;RNF4;PSMA7;HSP90B1;ZNRF1;ATXN3;PSMB5;MTA1;UBB;PSMB3;PSMB1;ZNF227;TCEB1;TBL1X;RPS27A;HSPA5;USP20;SMURF2;USP21;WFS1;SMURF1;USP22;PLK1;SYVN1;WWP1;UBE2A;FBXL12;UBE2W;PSMC6;RNF103;PSMC3;PSMC4;UBE2S;PSMC1;PSMC2;CUL4B
chromatin modification (GO:0016568)	89/475	0.000000000000087962859170759224424710429979814615213356936151978260340911219827830791473388671875	0.00000000007913138811001499783303691160912395237414518334162494284100830554962158203125	0.0000000182736243635240363234864048071204312151394333341158926486968994140625	0.0000136991270645218533711685859888262939421110786497592926025390625	-2.3943793943377165	55.693052820051314	KDM5B;KDM1A;TRRAP;CHD8;HJURP;JMJD1C;YEATS4;CHD4;CTCF;ING5;ING2;ING3;SALL1;VPS72;GSG2;RUVBL1;WDR5;DNMT3B;EPC1;HMG20A;EPC2;ATXN7L3;BRD3;HELLS;PRMT8;USP49;RING1;H2AFY;DTX3L;EED;DNMT3A;ACTL6A;MSL2;CDYL;ACTR8;TERF2;SIRT1;SUPT3H;DDB1;TAF6L;RBL1;KAT6A;HAT1;TRIM16;ASF1B;INO80C;L3MBTL1;SMARCD1;HDAC5;KMT2D;INO80B;DNMT1;SRCAP;MEAF6;KMT2A;LEF1;CENPA;TDG;EP400;PCGF1;APBB1;DMAP1;BRD8;RBBP7;MBD3;CBX8;CBX7;CREBBP;BRPF1;TAF12;USP21;CBX3;TAF10;MCRS1;USP22;SS18L1;HUWE1;HMGA2;ELP3;UBE2A;SMARCA1;ASXL1;H2AFY2;BRE;ATM;TAF5;TCF3;HNRNPC;CUL4B
spliceosomal snRNP assembly (GO:0000387)	19/37	0.00000000000838193898626876382007944211645310002116449066278391910600475966930389404296875	0.00000000342745105093062752200240071265117947074685389452497474849224090576171875	0.0000001124359801949935046308008354011553908691212200210429728031158447265625	0.0000421447532430900616111368872651610217872075736522674560546875	-2.5147466312166618	49.016055674745125	NCBP2;USP4;DDX20;PRPF8;PRPF6;SART3;SNRPD2;CLNS1A;SNRPG;GEMIN4;STRAP;GEMIN5;PRPF31;SNRPE;GEMIN6;SNRPD3;GEMIN7;SRSF10;SNRPB
histone acetylation (GO:0016573)	33/101	0.0000000000017354678034474109300326124940410464744973417783313607287709601223468780517578125	0.000000001115162025700922170874551217121216362127000820692046545445919036865234375	0.000000027468751750734300250094460020371112118908740740153007209300994873046875	0.0000176506350535432691788682857403358639203361235558986663818359375	-2.140795385113375	44.130925794453	SRCAP;KMT2A;MEAF6;TRRAP;LEF1;YEATS4;ING5;ING3;RUVBL1;WDR5;EP400;EPC1;APBB1;BRD8;DMAP1;MBD3;CREBBP;BRPF1;TAF12;USP22;TAF10;MCRS1;ACTL6A;MSL2;ELP3;CDYL;SUPT3H;TAF6L;KAT6A;HAT1;TRIM16;TCF3;TAF5
peptidyl-lysine acetylation (GO:0018394)	34/108	0.0000000000026495482635835698082466040988753672581583475942323957497137598693370819091796875	0.0000000014897085111998620795511876014672637824620693436372675932943820953369140625	0.0000000360816989757904203851843270671462260423822954180650413036346435546875	0.00002028693524913816289873165488177875204200972802937030792236328125	-2.1647033730210703	43.99691496779281	MEAF6;SRCAP;KMT2A;TRRAP;LEF1;YEATS4;ING5;ING3;RUVBL1;WDR5;EP400;EPC1;APBB1;BRD8;DMAP1;MBD3;CREBBP;BRPF1;TAF12;USP22;TAF10;MCRS1;ACTL6A;MSL2;ELP3;CDYL;SIRT1;SUPT3H;TAF6L;KAT6A;HAT1;TRIM16;TCF3;TAF5
regulation of ERBB signaling pathway (GO:1901184)	27/74	0.00000000000955698093311221526303888073065198409915266264391675576916895806789398193359375	0.0000000035822750197615617811810510774835070169075379453715868294239044189453125	0.0000000808006389415355864540703272058674855315985041670501232147216796875	0.00003304011581445700541925791782205124036408960819244384765625	-2.2489661520365765	43.73624693730193	ERRFI1;SH3KBP1;CBLC;TGFA;AP2A1;PTPRJ;RBPJ;AP2A2;UBB;NUP62;NCK2;AP2S1;RPS27A;EPS15;TFAP2A;AFAP1L2;PDE6G;STAM;AP2B1;EPS15L1;AGT;FER;SPRY1;HAP1;SOS1;STAM2;PTPN2
