Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
cytosol (GO:0005829)	433/2529	0.0000000000000000000000000000000000000000000000000000000108481066434051112547933558486398081961544672185603538854869604469556752632706040823386531958873570029547161472391629519917632054255413246823640249782982891701976768672466278076171875	0.000000000000000000000000000000000000000000000000000006107484040237077163289427474088490812083482095162358696866903628866074767529722099226717852808424747522986825935588045502347731392713166276298153434254345484077930450439453125	0.00000000000000000000000000005758313181751857203994062335850773367392254086681834841686295003790716735066375353557788230318692512810230255126953125	0.00000000000000000000000003241930321326295759430968785083936379082601379376681004186092916800302106417053238374137436039745807647705078125	-2.0971989640174207	256.9699570690767	PNMT;CYFIP2;WIPF2;WIPF3;RPL8;ABCA12;SMC4;RPL7;SMC2;TBK1;CAPNS1;FGFR1OP2;DPYSL3;RPL35;PSMD1;VPS35;PRKACB;GAMT;PRKCI;ACOT7;RPL23;RPL22;BCR;RBP4;PRKAR1A;CLNS1A;MAP1B;PSME1;RPL27;RPL26;VPS28;PRKDC;MAPKAP1;SHMT1;CDCA8;OAZ1;PRKCZ;OAZ3;LDHB;BLOC1S6;LDHA;PRDX4;HSPH1;EPB41L1;PRDX1;HMOX1;ATG7;NGFR;STARD13;JUP;STARD10;PLK1;BRAF;CDC6;PRDX6;FOSL1;MOV10;EIF5;AGO4;HNRNPD;HNRNPC;ADA;FARSB;ARHGAP9;CEP57;ARF4;ITK;RPLP0;PYGM;SMG8;GLI3;EEA1;SULT1C2;CHAF1B;ATIC;RARS;TMSB4Y;IKBKG;MYBPC3;OFD1;MYBPC1;TPI1;RIPK3;SRP9;GCHFR;PSMA5;ITPKB;PSMA4;INCENP;TCP1;RAPGEF1;CEP63;TKT;GART;RPL10;AHNAK;PELI2;CENPA;PSMA7;PSMB5;PSMB3;ALOX5;PSMB1;RPS3;RPL14;AP2S1;CKB;FLNC;RPS27A;RPL19;WWOX;CKM;MDH1;CSNK1A1;KIDINS220;GSS;WWP1;RRP1B;TUBB4B;ARCN1;FABP1;PSMC6;PSMC3;PSMC4;CENPJ;PSMC1;PSMC2;RAB3B;IRS1;UBE2D3;CTNND1;IRS2;CASC3;EDC3;EDC4;ZFP36;MAP3K8;KPNA4;NUDT15;KPNA2;KPNA3;USP7;RPS7;SARS;PGD;RNF41;TOM1L1;ACLY;SNRPG;S100A6;SNRPE;RAB38;SQSTM1;S100A9;AJUBA;KPNB1;SNRPB;S100A7;FTL;NOTCH3;SHC2;SHC3;TNKS;AK1;TARS;FOXO3;HSP90B1;ATXN3;SOCS1;ORC1;ABL2;AP1M1;NEK9;SEC16A;GFPT2;GFPT1;LSM1;ASNS;PHKB;SYNJ2;LSM5;MLXIPL;SYNJ1;ARPC3;CNOT1;RAB5A;NUMA1;PIK3CB;PIK3CG;PIK3C2B;PPP6C;SCPEP1;PSTPIP1;PSTPIP2;PGM3;NCK2;PGM2;PGLS;PGM1;ACTR3;EIF5A;ACTR2;GPX2;DST;CHUK;SMC1A;TIRAP;PPM1A;PIK3CA;ESPL1;POLR1C;POLR1D;LCP2;SOS1;SOS2;PPP1R15A;HDAC5;PBXIP1;SRI;NSL1;SRM;ZNRF1;DNAJB4;TNNI1;TNNI2;CSK;IGF2BP3;TNNI3;SH2B3;ADSS;SH2B2;EIF4B;SH2B1;TUB;PTPN1;CNBP;TXNRD1;ASS1;POLR3A;TRIM39;DNAJA3;EIF3I;IMPDH2;DNAJA2;POLR3H;ATXN10;PIK3AP1;PFKM;IFIT1;IFIT3;IFIT2;TXNDC17;RPS17;MT2A;SNRPD2;FTH1;HABP4;TRIM24;CPNE3;SNRPD3;TRIM21;RPS10;RPS12;MCCC2;ACTN1;TALDO1;KRT5;INPP4A;BTK;STXBP2;PIK3R3;TXN;MYL12B;DSN1;RACGAP1;PCBP3;INPP5D;SPTBN1;WWTR1;STAT5B;CDT1;STAM;PUM1;CCT6A;RPS25;STAG1;RPS29;CD28;RPS20;RPS21;TP73;TOP2B;ACY1;SH3KBP1;FAF1;AKR1B1;AP2A1;KIF11;AP2A2;PPP3CA;MAP1LC3A;GUK1;C1QBP;RAC2;ANKRD1;VAV3;CCT3;CBR1;CCT2;PRMT8;DBNL;STRADB;GAB1;RHOG;NME2;AKR1A1;GAB2;TYK2;VAV2;TNNT1;RHOJ;TNNT3;STRAP;RHOU;SGK1;RHOQ;AHCY;MIS12;XIAP;NOL3;EXOSC8;TCEB1;CCT8;CCT7;XDH;EPS15;CCT4;MAP3K1;MYO9B;KLHL3;AP2B1;MYO9A;MIB1;PRKRA;MARS;TRIP10;TCAP;COPG1;OTUD5;ARHGAP35;ACTG1;AMOT;NARS;PPIP5K1;ARHGDIA;KIF5A;BANF1;TGM2;G6PD;HGD;OCRL;KCTD5;DOK1;PCP4;GEMIN4;GEMIN5;ELMO2;GEMIN6;GEMIN7;STAM2;PSMD14;PSMD13;COPB1;DTX1;ARHGAP17;PDS5A;ARHGAP12;SDCBP;UBB;IRAK1;CALD1;KIF3A;PACSIN2;MYH11;RAP1GAP2;SMURF2;SMURF1;EPHX2;HSPA6;UBE2A;PAN2;FER;FES;GNAS;TAB2;TAB1;AMOTL1;NFKBIB;GSK3A;TNFAIP3;BLNK;AOX1;YWHAH;NUP133;NCBP2;CAD;PLA2G4C;CTPS1;ARAP1;EHHADH;DCX;ATP6V1B2;CHMP3;BLVRB;IRF5;DOCK2;PLEC;CAMK2D;MVK;DCTN2;DCTN1;DDX20;UGP2;ERBB4;CBS;VHL;LIMK1;MAPK12;TEC;DES;ACTC1;SPRY1;RAN
nucleoplasm (GO:0005654)	215/1051	0.00000000000000000000000000000000000003910995705606296246335676945166882470203334544731569911667786145621354834181211173500455563294651850636540757477632723748683929443359375	0.000000000000000000000000000000000011009452911281723557577393243929761415109446050242230092957756735151640707322649618347723521859238271503045325516723096370697021484375	0.000000000000000000006004814564873306579874564105104993052180260578565808567510532489652774756905273534357547760009765625	0.0000000000000000016903553000118357800413564520622673937389975301102767145378091839802436879836022853851318359375	-2.2400442429321106	180.3108136623821	TRRAP;JMJD1C;RBPJ;SMC4;SMC2;CCAR1;SNRPD2;DAG1;PSMD1;EPC1;HIST3H2BB;SNRPD3;PRKACB;TINF2;AR;PSME1;L3MBTL1;SET;MEAF6;PRKDC;XPC;TXN;TERT;SYMPK;NGFR;CDT1;WWTR1;STAT5B;CREBBP;PLK1;NR2F1;CDC6;STAG1;HNRNPD;ATM;HNRNPC;TOP2B;FEN1;CTCF;ZNF45;MED15;ING5;PPP3CA;CHAF1B;ING3;PCF11;ANKRD1;MYOG;APOBEC1;RING1;ACTL6A;TERF2;SIRT1;GNL3;PSMA5;DDB1;PSMA4;RARA;SF3B4;FYTTD1;SP100;CENPA;PSMA7;RBM15B;RECQL5;PSMB5;PSMB3;PSMB1;TCEB1;TBL1X;BRD8;RPS27A;SRSF10;SF3B1;SRSF11;SF3A2;NFYB;NR1H2;NFYC;MCRS1;FABP1;SKI;MAD2L2;PSMC6;XPOT;PSMC3;NMNAT1;PSMC4;PSMC1;APEX1;PSMC2;HNRNPA2B1;TRIP12;HDGF;NCAPD3;CCNT1;KDM1A;GTF2B;UBE2D3;HJURP;YEATS4;ETS1;RUVBL1;BANF1;KPNA4;KPNA2;KPNA3;ANXA11;GTF2F1;PIAS1;PRPF6;DKC1;KAT6A;HAT1;GEMIN4;SNRPG;GEMIN5;GEMIN6;SNRPE;GEMIN7;SNRNP200;SRSF6;SQSTM1;SRSF7;KPNB1;SNRPB;NOTCH2;NOTCH3;PSMD14;PSMD13;PDS5A;FOXO3;PRPF8;ATXN3;UBB;ORC1;ORC3;EP400;DMAP1;SKIL;CBX8;BRPF1;SMURF2;SMURF1;VDR;HMGA2;NUP153;CDK9;MLXIPL;H1F0;CDK7;MAFK;TCF3;NUMA1;WDR4;MCM10;CHD4;VPS72;SNRNP70;WDR5;POLE;RFC3;RFC4;NCBP2;RFC2;EED;PLA2G4C;MSL2;SMC1A;PPM1A;RBL1;POLR1A;NUP50;POLR1B;ZNF638;POLR1C;POLR1D;MCM3;TERF2IP;NUP54;MCM2;GTF3C1;HDAC5;GTF3C2;CAMK2D;GTF3C3;GTF2A2;HIST1H2BL;LEF1;DDX23;SRSF1;DDX20;U2AF1;POLD3;ERBB4;POLR2B;POLD1;TDG;DROSHA;E2F4;RBBP7;VHL;HNRNPA0;RNGTT;TAF12;TAF10;MAPK12;RAD50;POLR3A;ERCC3;POLR3H;TAF5;TAF4;RAN;PTPN2
nucleolus (GO:0005730)	257/1653	0.0000000000000000000000002245189896386683329156570559201040377258354976359291824199763290092861367508447756335954181849956512451171875	0.0000000000000000000000421347303888567535622539573326822735709709915406462436304022727874551978999306811601854860782623291015625	0.00000000000761160629505448583612170119309315772203328176459535825415514409542083740234375	0.0000000014284447813718917379760669768111458477477526685106568038463592529296875	-2.174512917502365	112.03344943193547	TONSL;RBPJ;SMC4;HABP4;HOXA3;BBX;RPL35;FBXO3;SNRPD3;TRIM21;RPS10;TIPIN;ACOT7;RPL23;ZNF281;RECQL;CD3EAP;HDGFRP3;SCO2;CLNS1A;LAP3;ASF1B;L3MBTL1;ZNF274;MEAF6;CDCA8;XPC;SLAIN2;IQGAP1;HSPH1;RACGAP1;PRDX1;RRS1;SYMPK;HMOX1;HIVEP2;LYAR;HOXC8;SPTBN1;BARD1;HEXIM1;WWTR1;CREBBP;PLK1;IRF2BP1;LARP7;PTK6;CDC6;PARP10;RPS25;SMTN;LAS1L;HNRNPD;HBP1;CEP85;HNRNPC;CEP57;TOP2B;FEN1;ZCCHC11;GMEB1;OLA1;AKR1B1;SRA1;TCF20;IKBKAP;CTCF;TRIM8;PPP3CA;CHAF1B;ING3;RARS;RING1;PRPF40A;TERF2;ZHX1;SIRT1;SUPT3H;GNL3;PSMA5;TOX4;ZEB1;HNRNPH3;TKT;SGK1;FYTTD1;ZNF593;SP100;HEATR1;AKAP8;NOC4L;NOL3;ZNF8;RBM15B;RECQL5;PSMB5;PCGF1;SHOC2;BRD8;SF3B1;SRSF11;RPL19;CCT4;NFYC;MCRS1;YLPM1;SYVN1;HUWE1;ELP2;ELP3;RRP1B;MLH1;SCAF4;XPOT;TTC5;PSMC4;PSMC1;APEX1;TRIP10;TSR1;HDGF;TARDBP;NEK11;KDM1A;CCNT1;CSE1L;HJURP;UBE2Z;HNMT;ETS1;IPO5;EDC4;POGZ;RUVBL1;OSBP;KPNA2;MAGI1;RPS7;DIMT1;ANXA11;WBP11;MSH6;ACLY;PRPF6;DKC1;KAT6A;HAT1;SBDS;GEMIN4;MATR3;SRSF6;SNRNP200;STAM2;SRSF7;KPNB1;ZCCHC8;INO80C;NOTCH3;TSG101;KMT2A;TNKS;PDS5A;ACAT2;DPP3;ORC1;ZMAT3;ESD;PACSIN2;ZC3H18;SOCS7;TFAP2A;CBX8;CBX7;VDR;TBCB;NUP153;COPS4;CDK9;DAB2;GNL3L;CNOT1;BCL3;TAB1;NUMA1;CHD8;CDCA7L;AKAP8L;PINX1;DDX42;MCM10;PTPN23;DNPH1;SNRNP70;DNMT3B;POLE;CTNNBL1;CHUK;DTX3L;H2AFY;NCBP2;EED;DNMT3A;DDX56;PLRG1;GLRX2;SMC1A;ARL4A;RBL1;POLR1A;NUP50;POLR1B;ZNF638;EHHADH;BMP2K;MCM3;FAM96B;LUC7L3;NDUFS2;BLVRB;MCM2;GTF3C1;HDAC5;GTF2A2;NUFIP1;DDX24;UHRF2;DDX23;POMP;TULP3;U2AF1;SAMHD1;PPM1G;POLD3;MTA1;POLR2B;TDG;DNAJB4;POLD1;TYW1;SAP18;VHL;NOP58;IDH3G;USP21;TXNRD1;LIMK1;CDC5L;PTPN14;MAPK12;RAD50;ERCC3;TRIM35;TAF8;POLR3H;TAF5;TAF4;CUL4B
extracellular vesicular exosome (GO:0070062)	368/2717	0.0000000000000000000000007127347410907327003037662626999268136312059403537295820742690524132907647913981463716481812298297882080078125	0.00000000000000000000010031741480852062180507771756106617362498147745666897905810464354525723962296979152597486972808837890625	0.0000000010619019746067796701830357282620755088320407821811386384069919586181640625	0.000000119570162340723380481493135461812382658308706595562398433685302734375	-2.1859094498372853	110.72440789247702	CYFIP2;CYFIP1;RNH1;CBLC;ATP5C1;FNBP1L;RPL7;TXNDC17;SMC2;ICAM1;PCMT1;RPS17;LGALS1;TFG;CAPNS1;SNRPD2;FTH1;DAG1;PSMD1;VPS35;CPNE3;HMCN1;SNRPD3;B2M;PRKACB;EPHB1;RPS10;TBC1D10A;GAMT;GSTK1;PRKCI;ACOT7;RPL23;KRT2;ACTN1;RPL22;KRT1;KRT8;TALDO1;KRT7;MOGS;KRT5;ACTN4;HSPG2;SND1;KRT9;BCR;RBP4;PSME1;RPL27;RPL26;LAP3;ALDH7A1;VPS28;CUTA;IGSF8;CFH;SHMT1;STXBP2;XPC;IQGAP1;TXN;IQGAP2;PRKCZ;MYL12B;ATP5B;LDHB;LDHA;PRDX4;HSPH1;RACGAP1;PCBP3;CD19;EPB41L2;APOH;PRDX1;SNX9;SPTBN1;S100A10;HLA-DRB5;JUP;PRDX6;CCT6A;RPS25;H2AFY2;FXYD3;RPS29;MYO5C;HNRNPD;RPS20;HNRNPC;CD22;HLA-DRB1;ARF4;RYR2;BTG2;ZCCHC11;ACY1;ARPC1B;RPLP0;OLA1;AKR1B1;PYGM;PTPRJ;PEPD;EEA1;SULT1C2;ATIC;CSRP1;RARS;RAC2;UBXN6;VAV3;CCT3;CBR1;CCT2;TMED9;DBNL;TPI1;ANXA2;ANXA3;ANXA5;RHOG;NME2;AKR1A1;KRT35;KRT34;COMMD1;TYK2;KRT32;UCHL3;SRP9;ITFG1;PSMA5;HADHB;DDB1;LAT2;PSMA4;TUBB2A;KRT38;TCP1;RHOJ;KRT36;KIFC3;TKT;GART;PTMA;RHOQ;ARF6;STX12;APCS;FH;ECHS1;AHCY;AHNAK;ATP5A1;PSMA7;PSMB5;PSMB3;PSMB1;RPS3;RPL14;GCNT3;CD59;CKB;CCT8;CCT7;RPS27A;CCT4;MDH1;GSS;ATAD2;HUWE1;WWP1;TUBB4B;MPP6;AGT;FABP1;ERP44;SNX18;PSMC6;KRT18;KRT17;KRT16;MARS;SERBP1;TRIP10;NUCB1;RAB3B;SH3GL3;CSE1L;PDCD6;ITGA2B;UBE2D3;CTNND1;HP;PLOD3;PLOD2;HNMT;PVR;CLU;ACTG1;NARS;CHCHD3;SIT1;TUBB3;ARHGDIA;RUVBL1;CFL1;SIRPA;BANF1;KPNA4;NUDT14;PHLDA3;KRT6A;TGM2;PDGFRB;PDIA3;RAB2B;G6PD;RPS7;HGD;ANXA11;SARS;ADAM10;OCRL;PGD;SDHB;KRT73;TUFM;ATP5J2;TOM1L1;ACLY;ADAM15;RAB34;S100A6;GEMIN4;SNRPE;TNIK;IL6ST;SRSF7;SQSTM1;S100A9;KPNB1;SNRPB;S100A7;FTL;RTN4R;RTN3;TSG101;PSMD14;PSMD13;AK1;ARL1;TARS;LPL;AEBP1;NTPCR;RASAL3;ACAT2;CORO1B;RTN4;HSP90B1;DPP3;SDCBP;VTN;EFNB1;TMEM27;UBB;KIF3A;ESD;PACSIN2;PACSIN3;MYH11;AP1M1;KIRREL;HSPA5;AMBP;SMURF1;EPHX2;HSPA6;GFPT1;MSN;IGF2R;SYT7;IFT20;COPS4;SDK1;DAB2;ARPC3;PTPRA;GNAS;HLA-DRA;RAB5A;SLC25A1;ALK;ITGB4;TNFAIP3;ETFA;PTPN23;DNPH1;SCPEP1;LASP1;FLOT1;HIST1H1E;PGM2;AOX1;PGLS;HIST1H1B;PGM1;YWHAH;ACTR3;EIF5A;ACTR2;GPX2;DST;H2AFY;H2AFZ;CAD;OXSR1;BPGM;CKAP4;DNM3;DDX19B;ATP6V1B2;BLVRB;CHMP3;DNASE2;SLC25A5;DOCK2;PLEC;OTUB1;ITIH4;MVK;DCTN2;HIST1H2BL;SRSF1;DDX23;WIZ;PLG;SRI;KRT86;GANAB;UGP2;DNAJB4;SNCG;SH3BP4;CSK;SLIT2;CRYM;ADSS;LAMB2;PLA2G2A;PTPN13;ASS1;ASXL1;MFAP4;ACTC1;DES;NAGK;EIF3I;IMPDH2;DNAJA2;P4HB;PFKM;GLA;RAN;CUL4B
nuclear chromosome part (GO:0044454)	80/327	0.000000000000000000203976065527660497757476295201434335177250996171005744360404943193998406059108674526214599609375	0.0000000000000000229677049784145721534179777809794780590372490110262493345771872554905712604522705078125	0.0000000000201115158049785496039983402687836388893216632567373380879871547222137451171875	0.000000002830695849550730991664292072866083993520902595264487899839878082275390625	-2.3461544026561216	89.88690582631699	KDM1A;TRRAP;TONSL;CHD4;YY1;ING2;CHAF1B;ING3;POGZ;RUVBL1;TRIM24;DNMT3B;HIST1H1E;POLE;HIST1H1A;HIST1H1B;TIPIN;RING1;H2AFY;H2AFZ;EED;ACTR5;TEX11;DNMT3A;TINF2;ACTL6A;PLRG1;ACTR8;TERF2;SIRT1;MSH6;AR;INCENP;HAT1;TCP1;MCM3;RARA;TERF2IP;MCM2;ASF1B;INO80C;INO80B;NUFIP1;UHRF2;TNKS;KIAA2022;CENPA;SYCE3;POLD3;SYCE1;TERT;TNKS2;ORC1;PRDX1;POLD1;ORC3;EP400;BRD8;MBD3;CBX8;CBX7;CREBBP;H3F3C;CBX3;SS18L1;MCRS1;PLK1;CDC5L;UBE2A;SMARCA1;MLH1;ASXL1;H1F0;FER;RAD50;H2AFY2;ZSCAN4;NCAPD3;TCF3;HNRNPC
focal adhesion (GO:0005925)	72/352	0.0000000000002620688249294382134441541099002807421107334728826998571094009093940258026123046875	0.0000000000245907914058789540359985421281107352553529921124209067784249782562255859375	0.000000127627765494593818270055852852340461112135017174296081066131591796875	0.000011975738662242720066787582400280598449171520769596099853515625	-2.2709389929321078	55.47597173171734	CYFIP1;ARPC1B;ITGA2B;RPLP0;RPL8;PVR;TRIOBP;SYNE2;ICAM1;RPL7;LASP1;RPS17;CSRP1;CFL1;FLOT1;RAC2;DAG1;B2M;RPS10;TGM2;PDGFRB;ACTR3;PDIA3;ACTR2;DST;RPS7;ITGA2;RPL23;ACTN1;RPL22;ANXA5;NME2;RHOG;ADAM10;LMO7;ACTN4;HSPG2;PEAK1;LUC7L3;RPL27;ITGA6;LAP3;AJUBA;ARF6;PLEC;EPHA2;S100A7;AHNAK;SYNPO2;IQGAP1;CORO1B;HSP90B1;EPB41L2;RPS3;PACSIN2;CD59;FLNC;PAK4;RPL19;HSPA5;JUP;SPRY4;LIMK1;MSN;TRMT1;IGF2R;DAB2;ACTC1;RPS29;ARPC3;FES;P4HB
cell-substrate junction (GO:0030055)	73/362	0.000000000000375788819377583689594199987415489160763083786864768853774876333773136138916015625	0.0000000000302241579013685181480045131627147105002340055079912417568266391754150390625	0.000000169067851983916625794042540471828761639017102424986660480499267578125	0.00001359788580956358051868120007110718461262877099215984344482421875	-2.2841524825750867	55.32760845338947	CYFIP1;ITGB4;ARPC1B;RPLP0;ITGA2B;RPL8;PVR;TRIOBP;SYNE2;ICAM1;RPL7;LASP1;RPS17;CSRP1;CFL1;FLOT1;DAG1;RAC2;B2M;RPS10;TGM2;PDIA3;ACTR3;PDGFRB;ACTR2;DST;RPS7;ITGA2;RPL23;ACTN1;RPL22;ANXA5;NME2;RHOG;ADAM10;LMO7;ACTN4;HSPG2;PEAK1;LUC7L3;RPL27;ITGA6;LAP3;AJUBA;ARF6;PLEC;EPHA2;S100A7;AHNAK;SYNPO2;IQGAP1;CORO1B;HSP90B1;EPB41L2;RPS3;PACSIN2;CD59;FLNC;RPL19;PAK4;HSPA5;JUP;LIMK1;SPRY4;MSN;TRMT1;IGF2R;DAB2;ACTC1;RPS29;ARPC3;FES;P4HB
cell-substrate adherens junction (GO:0005924)	72/358	0.000000000000626017887173782952719066943694884789226896837366354020559811033308506011962890625	0.0000000000440560088098549756131486982509322392065342910427716560661792755126953125	0.00000022470519431087309739102954309064585913802147842943668365478515625	0.00001581362804962769470534973692554814306276966817677021026611328125	-2.2470696026026284	53.58263160389843	CYFIP1;ARPC1B;RPLP0;ITGA2B;RPL8;PVR;TRIOBP;SYNE2;ICAM1;RPL7;LASP1;RPS17;CSRP1;CFL1;FLOT1;RAC2;DAG1;B2M;RPS10;TGM2;PDGFRB;ACTR3;PDIA3;ACTR2;DST;RPS7;ITGA2;RPL23;ACTN1;RPL22;ANXA5;NME2;RHOG;ADAM10;LMO7;ACTN4;HSPG2;PEAK1;LUC7L3;ITGA6;RPL27;LAP3;AJUBA;ARF6;PLEC;EPHA2;S100A7;AHNAK;SYNPO2;IQGAP1;CORO1B;HSP90B1;EPB41L2;RPS3;PACSIN2;CD59;FLNC;RPL19;PAK4;HSPA5;JUP;SPRY4;LIMK1;MSN;TRMT1;IGF2R;DAB2;ACTC1;RPS29;ARPC3;FES;P4HB
adherens junction (GO:0005912)	77/405	0.0000000000019898113968780991795366897276841914514282361192698544982704333961009979248046875	0.0000000001244737573824855509826993972400505615583110596844562678597867488861083984375	0.0000005999979186155020405399503069521216502835159189999103546142578125	0.0000375332031311697365935815817739040767264668829739093780517578125	-2.210838697978973	50.42243503887925	CYFIP1;ARPC1B;CTNND1;ITGA2B;RPLP0;RPL8;PVR;TRIOBP;SYNE2;ICAM1;RPL7;RPS17;LASP1;CSRP1;CFL1;FLOT1;DAG1;RAC2;B2M;RPS10;TGM2;PDIA3;ACTR3;PDGFRB;ACTR2;DST;RPS7;ITGA2;RPL23;ACTN1;RPL22;ANXA5;NME2;RHOG;ADAM10;LMO7;ACTN4;HSPG2;PEAK1;LUC7L3;RPL27;ITGA6;KIFC3;LAP3;AJUBA;EPHA2;ARF6;PLEC;S100A7;AHNAK;SYNPO2;IQGAP1;CORO1B;HSP90B1;SDCBP;EPB41L2;RPS3;PACSIN2;CD59;FLNC;RPL19;PAK4;HSPA5;JUP;LIMK1;SPRY4;TBCD;MSN;TRMT1;IGF2R;DAB2;ACTC1;DES;RPS29;ARPC3;FES;P4HB
anchoring junction (GO:0070161)	77/419	0.00000000001152347934052985121842820719547935241766634106852507102303206920623779296875	0.0000000006487718868718305706062500734271521196649956664259661920368671417236328125	0.000001864742444794860514196825108934607584387777023948729038238525390625	0.00008075769203226971820926138878604660931159742176532745361328125	-2.1975330748102904	46.49087775789965	CYFIP1;ARPC1B;CTNND1;ITGA2B;RPLP0;RPL8;PVR;TRIOBP;SYNE2;ICAM1;RPL7;RPS17;LASP1;CSRP1;CFL1;FLOT1;DAG1;RAC2;B2M;RPS10;TGM2;PDIA3;ACTR3;PDGFRB;ACTR2;DST;RPS7;ITGA2;RPL23;ACTN1;RPL22;ANXA5;NME2;RHOG;ADAM10;LMO7;ACTN4;HSPG2;PEAK1;LUC7L3;RPL27;ITGA6;KIFC3;LAP3;AJUBA;EPHA2;ARF6;PLEC;S100A7;AHNAK;SYNPO2;IQGAP1;CORO1B;HSP90B1;SDCBP;EPB41L2;RPS3;PACSIN2;CD59;FLNC;RPL19;PAK4;HSPA5;JUP;LIMK1;SPRY4;TBCD;MSN;TRMT1;IGF2R;DAB2;ACTC1;DES;RPS29;ARPC3;FES;P4HB
