Epstein-Barr virus infection_Homo sapiens_hsa05169,Spliceosome_Homo sapiens_hsa03040,Jak-STAT signaling pathway_Homo sapiens_hsa04630,Endocytosis_Homo sapiens_hsa04144,Neurotrophin signaling pathway_Homo sapiens_hsa04722,B cell receptor signaling pathway_Homo sapiens_hsa04662,Proteasome_Homo sapiens_hsa03050,Acute myeloid leukemia_Homo sapiens_hsa05221,Toxoplasmosis_Homo sapiens_hsa05145,Herpes simplex infection_Homo sapiens_hsa05168,Renal cell carcinoma_Homo sapiens_hsa05211,Insulin signaling pathway_Homo sapiens_hsa04910,Ras signaling pathway_Homo sapiens_hsa04014,Focal adhesion_Homo sapiens_hsa04510,ErbB signaling pathway_Homo sapiens_hsa04012,Basal transcription factors_Homo sapiens_hsa03022,T cell receptor signaling pathway_Homo sapiens_hsa04660,Ubiquitin mediated proteolysis_Homo sapiens_hsa04120,Regulation of actin cytoskeleton_Homo sapiens_hsa04810,Glioma_Homo sapiens_hsa05214,HTLV-I infection_Homo sapiens_hsa05166,Osteoclast differentiation_Homo sapiens_hsa04380,Bacterial invasion of epithelial cells_Homo sapiens_hsa05100,Chronic myeloid leukemia_Homo sapiens_hsa05220,Prostate cancer_Homo sapiens_hsa05215,Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141,Hematopoietic cell lineage_Homo sapiens_hsa04640,Fc epsilon RI signaling pathway_Homo sapiens_hsa04664,Rap1 signaling pathway_Homo sapiens_hsa04015,Central carbon metabolism in cancer_Homo sapiens_hsa05230,Ribosome_Homo sapiens_hsa03010,Measles_Homo sapiens_hsa05162,PI3K-Akt signaling pathway_Homo sapiens_hsa04151,Prolactin signaling pathway_Homo sapiens_hsa04917,Influenza A_Homo sapiens_hsa05164,Carbon metabolism_Homo sapiens_hsa01200,Natural killer cell mediated cytotoxicity_Homo sapiens_hsa04650,Huntington's disease_Homo sapiens_hsa05016,Pathways in cancer_Homo sapiens_hsa05200,FoxO signaling pathway_Homo sapiens_hsa04068,Viral carcinogenesis_Homo sapiens_hsa05203,Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666,Adherens junction_Homo sapiens_hsa04520,RNA transport_Homo sapiens_hsa03013,Proteoglycans in cancer_Homo sapiens_hsa05205,TNF signaling pathway_Homo sapiens_hsa04668,Endometrial cancer_Homo sapiens_hsa05213,Purine metabolism_Homo sapiens_hsa00230,Chemokine signaling pathway_Homo sapiens_hsa04062,Colorectal cancer_Homo sapiens_hsa05210,Metabolic pathways_Homo sapiens_hsa01100,Longevity regulating pathway - multiple species_Homo sapiens_hsa04213,NF-kappa B signaling pathway_Homo sapiens_hsa04064,Toll-like receptor signaling pathway_Homo sapiens_hsa04620,Biosynthesis of amino acids_Homo sapiens_hsa01230,Hepatitis C_Homo sapiens_hsa05160,Mismatch repair_Homo sapiens_hsa03430,Shigellosis_Homo sapiens_hsa05131,Antigen processing and presentation_Homo sapiens_hsa04612,Nucleotide excision repair_Homo sapiens_hsa03420,Non-small cell lung cancer_Homo sapiens_hsa05223,Viral myocarditis_Homo sapiens_hsa05416,Pentose phosphate pathway_Homo sapiens_hsa00030,Type II diabetes mellitus_Homo sapiens_hsa04930,Cysteine and methionine metabolism_Homo sapiens_hsa00270,DNA replication_Homo sapiens_hsa03030,Citrate cycle (TCA cycle)_Homo sapiens_hsa00020
GTF2B,SF3B4,IL5RA,RET,SHC4,VAV3,PSMD14,STAT5B,PIK3R3,SP100,CREBBP,SHC4,SHC4,SHC4,SHC4,GTF2A2,VAV3,UBE3C,CYFIP2,PDGFRB,TRRAP,CSF1R,SHC4,SHC4,PDGFRB,PPP1R15A,CSF1R,VAV3,CSF1R,PDGFRB,RPL10,IFNAR2,CSF1R,SHC4,NLRX1,G6PD,IFNAR2,DCTN2,RET,USP7,HDAC5,VAV3,PTPN1,CYFIP2,CAMK2D,RIPK3,PIK3CA,AK1,SHC4,LEF1,PNMT,CLPB,BCL2A1,IFNAR2,TPI1,IFNAR2,MSH6,CHUK,PDIA3,DDB1,ALK,HLA-DRB5,G6PD,SOCS1,LDHB,POLD3,ACLY
AKAP8L,SRSF1,PIK3R3,CSF1R,ZNF274,CD72,PSMD13,JUP,XIAP,SRSF1,FH,SHC2,CSF1R,SHC2,STAT5B,TAF12,ITK,UBE2D3,CYFIP1,SHC4,XIAP,PIK3R3,SHC2,STAT5B,PDGFRA,UBE2D3,HLA-DRB5,PLA2G4C,FLT4,RET,MRPL19,STAT5B,IRS1,STAT5B,PIK3R3,FH,VAV3,DCTN1,FLT3,CREBBP,SP100,ARPC1B,CREBBP,CYFIP1,ARAF,CHUK,LEF1,NTPCR,ITK,ARAF,ATP5C1,IRS1,CHUK,CHUK,ACY1,CHUK,POLD3,ARPC1B,HLA-DRB5,POLD3,PIK3CA,HLA-DRB4,TALDO1,PIK3CA,DNMT1,RFC3,FH
TNFAIP3,DDX23,CSF2RB,SH3GL3,SHC2,CHUK,POMP,CHUK,PIK3CB,IFIT1,GAB1,SHC3,SHC2,SHC3,SHC2,TAF10,CHUK,CBLC,ITGB4,PDGFRA,PIK3R3,PIK3CB,SHC3,SHC2,CREBBP,RPN1,IL4R,PIK3R3,CTNND1,NTRK1,RPLP0,CHUK,ITGB4,SHC2,PLG,TPI1,SHC4,ATP5A1,ITGA2B,CHUK,GTF2A2,LIMK1,ACTN1,NUP205,CBLC,TNFAIP3,ARAF,AK8,GSK3A,PIK3R3,XYLT1,HSPA6,TNFAIP3,PIK3R3,IDH3G,ARAF,RFC3,RHOG,HLA-DRB4,RFC3,ARAF,CD28,PGM2,IRS1,LDHA,FEN1,MDH1
PIK3CB,DDX42,PIK3CB,TSG101,CAMK2D,PIK3R3,PSMA7,FLT3,PIK3CG,TBK1,ARAF,IRS1,SHC3,ITGB4,CAMK2D,GTF2B,CBLC,XIAP,ARPC1B,SHC2,PIK3CB,PIK3CG,ARPC1B,SHC3,CHUK,DERL1,HLA-DRB4,GAB2,ITGA2B,PDGFRA,RPS27L,IFNGR1,FLT4,SHC3,PIK3CB,ECHS1,SHC2,ATP5C1,ARAF,IRS1,GTF2B,PIK3R3,LEF1,RPP30,PIK3R3,PIK3R3,PIK3R3,POLD3,SHC2,BRAF,COX6A1,PIK3R3,XIAP,PIK3CB,SHMT1,PIK3R3,RFC4,U2AF1,HSPA5,CDK7,PIK3R3,DAG1,PGLS,CACNA1A,AHCY,RFC4,IDH3G
RBPJ,U2AF1,IL2RG,SH3KBP1,SHC3,PIK3CB,PSMA5,LEF1,SOCS1,C1QBP,PIK3R3,ARAF,FLT4,FLT4,SHC3,GTF2F1,PIK3R3,UBE2Z,CHRM4,CAMK2D,IL2RG,PPP3CA,GAB1,CHUK,LEF1,DERL2,FLT3,PIK3CB,PIK3R3,G6PD,MRPL12,SH2D1A,ITGA2B,PIK3R3,PIK3CG,MDH1,SHC3,AP2A1,CBLC,FOXG1,HIST1H2BL,GAB2,CTNND1,DDX20,IQGAP1,PIK3CB,BRAF,ATIC,SHC3,AXIN2,GAMT,IRS2,TIRAP,MAPK12,TALDO1,BRAF,MSH2,MAPK12,NFYB,RFC4,TGFA,RAC2,PGD,SLC2A2,MDH1,RFC2,IDH3B
PIK3CG,USP39,PIK3CG,ARPC1B,IRS1,PIK3CG,PSMA4,ARAF,IRAK1,CCL5,TGFA,CBLC,PIK3R3,ITGA2B,GAB1,TAF6L,PIK3CB,SOCS1,ITGA2B,SHC3,ETS1,SOCS1,RHOG,ARAF,ARAF,HSPBP1,ITGA2,MAPK12,PIK3CB,FLT3,RPL8,HSPA6,PIK3R3,SLC2A2,ACTG1,IDH3G,IFNGR1,COX6A1,PIK3CB,PLK1,PIK3R3,PIK3CB,LMO7,CASC3,PIK3CB,MAPK12,AXIN2,GUK1,PIK3R3,PIK3CB,MCCC2,PIK3CB,TNFRSF1A,TIRAP,ASS1,EIF2AK4,RFC2,ACTG1,NFYC,ERCC3,BRAF,HLA-DRA,TKT,PIK3R3,CBS,POLD1,SDHB
ICAM1,PRPF8,IL27RA,WIPF2,PIK3R3,VAV2,PSMC6,PIK3R3,ALOX5,IKBKG,BRAF,PIK3R3,PIK3CB,XIAP,ARAF,CDK7,MAPK12,FBXO4,ARAF,ARAF,PIK3CG,BLNK,PIK3R3,PIK3R3,PIK3R3,HSP90B1,ITGA2B,PIK3CG,PRKCZ,PIK3R3,RPL7,MSN,PIK3CB,PIK3CB,ICAM1,SHMT1,SH2D1A,AP2A2,ETS1,ARAF,CHD4,PIK3CG,PTPRJ,NUP62,PIK3CG,PIK3CG,PIK3CB,POLR2B,PIK3CB,MLH1,G6PD,FOXO3,ICAM1,PIK3CG,CBS,TYK2,MSH3,MAD2L2,HSPA6,RFC2,PIK3CB,ABL2,PRPS1L1,IRS2,GSS,MCM3,IDH3A
TBK1,SNRPD2,GHR,WIPF3,PIK3CB,PPP3CA,PSMB5,BRAF,IKBKG,IFNAR2,PIK3CB,IRS2,RASAL3,PIK3R3,PIK3R3,ERCC3,PIK3CG,TCEB1,PIK3R3,PIK3R3,ICAM1,SIRPA,CBLC,CBLC,TGFA,ATXN3L,IL5RA,VAV2,PIK3CG,SLC2A2,RPS17,TNFAIP3,IL2RG,CSN2,TBK1,TALDO1,ARAF,ATP5B,GLI3,PIK3R3,PIK3CB,VAV2,ACTN4,SAP18,ACTG1,ICAM1,SOS1,POLD1,FOXO3,PIK3CG,ACOT8,SIRT1,IRAK1,TBK1,IDH3B,PIK3CB,POLD1,ARPC3,TAP2,POLD1,SOS1,HLA-DRB3,PFKM,PIK3CB,DNMT3A,POLE,
PSMD1,SNRNP70,SOCS1,CBLC,FOXO3,PIK3CA,PSMC3,PIK3CB,HLA-DRB5,USP7,ETS1,PYGM,ETS1,PIK3CB,TGFA,TBPL2,VAV2,VHL,IQGAP1,TGFA,POLD3,IKBKG,PIK3CB,BRAF,BRAF,ATXN3,CD19,PIK3CA,ACTG1,PIK3CB,RPL14,PIK3R3,FOXO3,FOXO3,CCL5,PGD,PIK3R3,CREB3L3,PIK3CG,IRS2,RBPJ,PIK3CA,IQGAP1,EIF4B,IGF1R,TNFRSF1A,FOXO3,PGM2,PRKCZ,MSH6,HGD,PIK3CG,BLNK,PIK3CA,ALDH18A1,IFIT1,MLH1,ELMO2,PSME1,XPC,FOXO3,HLA-DRB1,PGM1,PRKCZ,DNMT3B,MCM2,
