Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Gene Expression_Homo sapiens_R-HSA-74160	256/1631	0.000000000000000000000000067536741647465623761885179378581289208634650715501170030645382191445379171934604300986393354833126068115234375	0.000000000000000000000082057141101670730000831238007750905136692914041585684725257682399501835135424698819406330585479736328125	0.000000002425700023232014781409970701387020242112413370705326087772846221923828125	0.0000014736127641134489385543217265794879722307086922228336334228515625	-2.158176768736823	109.7532732459733	RBPJ;RPL8;RRP9;CCAR1;RPL7;RPS17;SNRPD2;PSMD1;RPL35;HIST3H2BB;SNRPD3;RPS10;RPS12;SAP30BP;ZFP1;RPL23;RPL22;CD3EAP;AR;ZNF839;DDX39A;SCO2;CLNS1A;PSME1;TFAM;RPL27;RPL26;L3MBTL1;ZNF324B;NUP205;ZNF274;SET;MEAF6;MAPKAP1;RPN1;TXN;PRDX1;BARD1;ZNF264;WWTR1;CREBBP;NR2F1;MOV10;RPS25;EIF5;LAS1L;AGO4;RPS29;HNRNPD;RPS20;INTS7;ATM;HNRNPC;CDK13;RPS21;TP73;FARSB;BTG2;RPLP0;ZNF45;MED15;SMG8;ING5;PCF11;RARS;UTP14A;APOBEC1;ZNF483;SIRT1;SRP9;PSMA5;PSMA4;RARA;SGK1;FYTTD1;SF3B4;ZNF471;RPL10;HEATR1;RPS27L;NOC4L;PSMA7;PSMB5;PSMB3;PSMB1;EXOSC8;RPL14;RPS3;TCEB1;ZNF227;TBL1X;ZNF585B;RPS27A;SF3B1;SRSF11;ZNF585A;RPL19;MBD3;ZNF460;SF3A2;NR1H2;ADAT1;TRMT1;MLH1;LRPPRC;SKI;PSMC6;NFIA;XPOT;PSMC3;TTC5;PRKRA;PSMC4;CENPJ;PSMC1;MARS;HNRNPA2B1;PSMC2;TSR1;PRPF31;CRCP;CCNT1;RPP30;GTF2B;UBE2D3;CASC3;COX6A1;THG1L;EDC3;NARS;EDC4;IPO8;ZFP36;ZNF569;ZNF689;ZNF568;ZNF324;ZNF566;USP7;G6PD;RPS7;DIMT1;SARS;GTF2F1;PRPF6;MSH2;DKC1;KAT6A;SNRPG;GEMIN4;GEMIN5;SNRPE;GEMIN6;GEMIN7;SRSF6;SNRNP200;SRSF7;SNRPB;ZNF552;NOTCH2;NOTCH3;DNMT1;ZNF790;PSMD14;PSMD13;TARS;PRPF8;UBB;ZNF302;SKIL;BRPF1;SMURF2;CBX3;VDR;LSM1;NUP153;TDRD6;LSM5;PAN2;CDK9;CDK7;CNOT1;MDM4;ZNF773;COX20;WDR4;CHD4;USP39;SNRNP70;ZNF649;NUP62;DNMT3B;ZNF764;CTNNBL1;YWHAH;RFC3;GPX2;RFC4;NUP133;RFC2;H2AFZ;NCBP2;EED;DNMT3A;DARS2;PLRG1;TSN;PPM1A;RBL1;POLR1A;POLR1B;NUP50;POLR1C;POLR1D;NUP54;ZNF510;GTF3C1;GTF3C2;GTF3C3;GTF2A2;ZNF195;HIST1H2BL;SRSF1;DDX23;DDX20;U2AF1;MTA1;POLR2B;TDG;TYW1;DROSHA;SAP18;IGF2BP3;E2F4;RBBP7;MTA3;ZNF620;EIF4B;E2F7;HNRNPA0;NOP58;RNGTT;TAF12;TAF10;TXNRD1;CDC5L;RAD50;POLR3A;ERCC3;EIF3I;TAF8;POLR3H;TAF5;TAF4;TAF3;RAN
Immune System_Homo sapiens_R-HSA-168256	243/1547	0.00000000000000000000000136753365416358559644002698658149193036280255794774575665474097320439827996096937567926943302154541015625	0.00000000000000000000083077669490437826306162784109899081234368859770351942262774265490765657204974559135735034942626953125	0.000000007030894088870605359046375508989823455152645692578516900539398193359375	0.00000284751210599259558400408835765471593504116754047572612762451171875	-2.2237605818275425	107.9406296884438	CYFIP2;CYFIP1;WIPF2;WIPF3;ARAF;IFIT1;IFIT3;IL27RA;ICAM1;IFIT2;MT2A;TBK1;RNF114;FBXO4;FBXO3;PSMD1;PRKACB;TRIM21;B2M;FRS2;ATG12;RNF123;RNF125;TRIM17;PRKAR1A;BTK;PSME1;NUP205;NLRX1;CFH;PRKDC;MAPKAP1;PIK3R3;TXN;IQGAP1;RACGAP1;CD19;INPP5D;ATG7;SPTBN1;PAG1;ATG5;BRAP;STAT5B;CREBBP;HLA-DRB5;HLA-DRB4;SH2D1A;BRAF;MOV10;AGO4;CD28;HLA-DRB3;DZIP3;HLA-DRB1;CD22;RET;ITK;LRSAM1;SH3KBP1;ARPC1B;PTPRJ;AP2A1;KIF11;AP2A2;EEA1;TRIM8;PPP3CA;TRIM6;TRIM2;IKBKG;VAV3;RIPK3;IFNGR1;GAB1;GAB2;TYK2;OSMR;VAV2;PSMA5;LAT2;RNF144B;PSMA4;KIT;RAPGEF1;TLR10;SP100;PELI2;PSMA7;PSMB5;PSMB3;PSMB1;AP2S1;TCEB1;CD59;RPS27A;RNF130;MAP3K1;HUWE1;WWP1;MYO9B;AP2B1;PSMC6;PSMC3;PSMC4;PSMC1;PSMC2;TRIP12;SIGLEC7;OTUD5;CRCP;UBE3C;IRS1;UBE2D3;ITGA2B;IL5RA;IRS2;UBE2Z;CLU;PVR;ACTG1;KIF5B;CFL1;KIF5A;MAP3K8;KPNA4;KPNA2;IL6R;KPNA3;IFNAR2;PDGFRB;PDIA3;PDGFRA;FBXW8;TAP2;PIAS1;RNF41;TRAIP;ELMO2;IL6ST;SQSTM1;KPNB1;IFNAR1;CSF1R;SHC2;SHC3;PSMD14;PSMD13;CSF2RB;FOXO3;RASAL3;AGER;HSP90B1;VTN;KLC4;SOCS1;IRAK1;UBB;KIF3A;LONRF1;AP1M1;RAP1GAP2;HSPA5;SMURF2;SMURF1;NUP153;UBE2A;UBE2W;UBOX5;SELL;ARPC3;UBE2S;PTPRA;UBE2U;MKRN1;HLA-DRA;TAB2;TAB1;LAT;NFKBIB;GSK3A;FLT3;RNF14;TNFAIP3;TCIRG1;PIK3CB;GHR;UFL1;PSTPIP1;PPP2R5E;NUP62;BLNK;TRIM69;UNKL;ACTR3;ACTR2;TRIM63;NUP133;DTX3L;CHUK;PPP2R5A;TIRAP;PJA2;TNFRSF1A;PJA1;DNM3;PIK3CA;NUP50;POLR1C;IL3RA;ATP6V1B2;POLR1D;LCP2;NUP54;IRF5;SOS1;IL9R;CAMK2D;DCTN2;DCTN1;IL2RG;RNF4;SAMHD1;ZNRF1;ERBB4;TRIM46;CSK;VHL;WASF1;SH2B1;PTPN1;TRAT1;LIMK1;MAPK12;TEC;POLR3A;TRIM39;IL2RB;TRIM35;POLR3H;PIK3AP1;TRIM31;PTPN2
Infectious disease_Homo sapiens_R-HSA-5663205	82/348	0.0000000000000000008523921981481263955279308560408541202511655693408788338205628321020412840880453586578369140625	0.00000000000000025891413018749339962310504592613940635421158355765347547361443503177724778652191162109375	0.0000000016561790730629823476023052797562011562160222410966525785624980926513671875	0.0000014736127641134489385543217265794879722307086922228336334228515625	-2.3774715711739454	85.32753840221272	FEN1;CCNT1;GTF2B;RPLP0;AP2A1;RPL8;AP2A2;RPL7;IPO5;RPS17;NUP62;PSMD1;RPL35;BANF1;KPNA4;KPNA2;B2M;RPS10;KPNA3;RPS12;RPS7;NUP133;NCBP2;RPL23;RPL22;GTF2F1;PSMA5;PSMA4;NUP50;PSME1;CHMP3;RPL27;NUP54;RPL26;DOCK2;SLC25A5;VPS28;KPNB1;SLC25A6;NUP205;GTF2A2;TSG101;RPL10;PSMD14;PSMD13;PSMA7;PSMB5;UBB;PSMB3;POLR2B;PSMB1;RPL14;AP2S1;RPS3;TCEB1;RPS27A;RPL19;AP1M1;SYT2;RNGTT;TAF12;TXNRD1;TAF10;NUP153;AP2B1;CDK9;RPS25;CDK7;PSMC6;PSMC3;ERCC3;PSMC4;RPS29;PSMC1;PSMC2;CD28;RPS20;TAF5;TAF4;RPS21;TAF3;RAN
Disease_Homo sapiens_R-HSA-1643685	132/725	0.00000000000000000082162046453102916470473208429107228112840146391101484209251726298361973022110760211944580078125	0.00000000000000025891413018749339962310504592613940635421158355765347547361443503177724778652191162109375	0.00000003925456980468580773813383629454454304408272946602664887905120849609375	0.000011923575578173314581877269280330011724799987860023975372314453125	-2.376102187132909	85.27839116076277	CCNT1;IRS1;GTF2B;IRS2;RPL8;RBPJ;RPL7;IPO5;RPS17;FGFR1OP2;TRIM24;DAG1;PSMD1;RPL35;KPNA4;BANF1;KPNA2;KPNA3;B2M;RPS10;RPS12;MCCC2;PDGFRB;PDGFRA;RPS7;RPL23;RPL22;ADAM10;FRS2;GTF2F1;HSPG2;BCR;RBP4;PSME1;BTK;RPL27;RPL26;VPS28;KPNB1;NOTCH2;NOTCH3;NUP205;TSG101;PSMD14;TNKS;PSMD13;MAPKAP1;PIK3R3;CSF2RB;FOXO3;UBB;CD19;AP1M1;STAT5B;CREBBP;SYT2;NUP153;CDK9;RPS25;CDK7;RPS29;CD28;RPS20;RPS21;NFKBIB;FEN1;GSK3A;RPLP0;AP2A1;PIK3CB;AP2A2;PPP2R5E;NUP62;MYO18A;IKBKG;CHUK;NUP133;NCBP2;GAB1;PPP2R5A;GAB2;TIRAP;PSMA5;PSMA4;PIK3CA;NUP50;KIT;CHMP3;TLR10;NUP54;SOS1;SLC25A5;DOCK2;SLC25A6;HDAC5;GTF2A2;RPL10;DERL2;DLL1;PSMA7;PSMB5;TNKS2;PSMB3;POLR2B;ERBB4;PSMB1;RPL14;AP2S1;RPS3;TCEB1;TBL1X;RPS27A;RPL19;RNGTT;TAF12;CSNK1A1;TRAT1;TXNRD1;TAF10;SYVN1;AP2B1;MIB1;PSMC6;PSMC3;ERCC3;PSMC4;PSMC1;PSMC2;TAF5;TAF4;TAF3;RAN
Cytokine Signaling in Immune system_Homo sapiens_R-HSA-1280215	113/620	0.00000000000000028077637503885821414076363990761254975337966378369503051004585358896292746067047119140625	0.000000000000068228659134442545888294144768610136075372152308915474350214935839176177978515625	0.0000004050375363804297485100479325748068504253751598298549652099609375	0.00007030294381460316433841983840835609953501261770725250244140625	-2.369114430291705	71.82186386743089	IRS1;ITGA2B;ARAF;IL5RA;IRS2;IFIT1;IFIT3;IL27RA;IFIT2;ICAM1;MT2A;PSMD1;KPNA4;MAP3K8;KPNA2;KPNA3;TRIM21;B2M;IL6R;IFNAR2;PDGFRB;PDGFRA;FRS2;PIAS1;TRIM17;PSME1;IL6ST;SQSTM1;KPNB1;IFNAR1;CSF1R;NUP205;SHC2;SHC3;PSMD14;PSMD13;PIK3R3;CSF2RB;IQGAP1;RASAL3;SOCS1;UBB;IRAK1;INPP5D;SPTBN1;BRAP;STAT5B;HLA-DRB5;HLA-DRB4;BRAF;NUP153;PTPRA;HLA-DRA;TAB2;TAB1;HLA-DRB3;HLA-DRB1;LAT;RET;FLT3;PIK3CB;TRIM8;GHR;TRIM6;PPP2R5E;TRIM2;NUP62;BLNK;IKBKG;CHUK;NUP133;IFNGR1;PPP2R5A;GAB2;TYK2;OSMR;TNFRSF1A;PSMA5;PSMA4;PIK3CA;NUP50;IL3RA;KIT;RAPGEF1;NUP54;IRF5;SOS1;IL9R;SP100;CAMK2D;PELI2;IL2RG;SAMHD1;PSMA7;PSMB5;PSMB3;ERBB4;PSMB1;TRIM46;CSK;RPS27A;SH2B1;PTPN1;TEC;PSMC6;PSMC3;PSMC4;PSMC1;PSMC2;IL2RB;TRIM35;TRIM31;PTPN2
Signaling by EGFR_Homo sapiens_R-HSA-177929	74/355	0.0000000000000441262560586440672133515267078502494613851357685430087940403609536588191986083984375	0.000000000006701675138906567918653624812764908681879394425351392783340997993946075439453125	0.0000007371720809698092652425117747572169690783994155935943126678466796875	0.000111958009797289784474812190939729816818726249039173126220703125	-2.5676033839869814	66.0610037249492	RET;GSK3A;IRS1;SH3KBP1;ITGA2B;ARAF;IL5RA;AP2A1;IRS2;PIK3CB;AP2A2;PPP2R5E;PSMD1;PRKACB;PDGFRB;PDGFRA;CHUK;GAB1;ADAM10;PPP2R5A;FRS2;EPS15L1;PSMA5;PSMA4;PIK3CA;PRKAR1A;ADAM12;KIT;IL3RA;PSME1;SOS1;STAM2;SHC2;CAMK2D;SHC3;PSMD14;PSMD13;MAPKAP1;PIK3R3;CSF2RB;IQGAP1;IL2RG;RASAL3;FOXO3;PSMA7;PSMB5;UBB;PSMB3;ERBB4;CD19;PSMB1;AP2S1;CSK;RPS27A;EPS15;SPTBN1;PAG1;BRAP;TRAT1;BRAF;STAM;AP2B1;MOV10;PSMC6;PSMC3;PSMC4;PTPRA;AGO4;PSMC1;PSMC2;IL2RB;CD28;SPRY1;LAT
Adaptive Immune System_Homo sapiens_R-HSA-1280218	128/762	0.00000000000000207578169770953217352947490194220724488570104480922307033097240491770207881927490234375	0.0000000000004203457937861802322047758746660540911496868610175425828856532461941242218017578125	0.00000303558875030549752503249323620782007537854951806366443634033203125	0.0003190476416395283845543751066742288458044640719890594482421875	-2.2406659820288928	63.85382405179316	UBE3C;IRS1;UBE2D3;IRS2;UBE2Z;PVR;ICAM1;RNF114;KIF5B;KIF5A;FBXO4;PSMD1;FBXO3;MAP3K8;PRKACB;TRIM21;B2M;PDGFRB;PDIA3;PDGFRA;FBXW8;TAP2;FRS2;RNF41;TRAIP;RNF123;PSME1;BTK;PSMD14;PSMD13;MAPKAP1;PIK3R3;FOXO3;KLC4;SOCS1;RACGAP1;UBB;KIF3A;INPP5D;CD19;LONRF1;ATG7;PAG1;AP1M1;RAP1GAP2;HLA-DRB5;HLA-DRB4;HSPA5;SMURF2;SMURF1;SH2D1A;UBE2A;MOV10;UBE2W;UBOX5;SELL;AGO4;UBE2S;UBE2U;MKRN1;CD28;HLA-DRA;TAB2;HLA-DRB3;DZIP3;HLA-DRB1;LAT;CD22;NFKBIB;ITK;LRSAM1;GSK3A;RNF14;SH3KBP1;PTPRJ;AP2A1;PIK3CB;KIF11;AP2A2;UFL1;PPP2R5E;BLNK;TRIM69;IKBKG;UNKL;TRIM63;DTX3L;CHUK;GAB1;PPP2R5A;PJA2;PJA1;PSMA5;DNM3;RNF144B;PSMA4;PIK3CA;KIT;LCP2;SOS1;DCTN2;DCTN1;RNF4;PSMA7;ZNRF1;PSMB5;PSMB3;ERBB4;PSMB1;AP2S1;CSK;TCEB1;VHL;RPS27A;RNF130;TRAT1;HUWE1;WWP1;AP2B1;PSMC6;PSMC3;TRIM39;PSMC4;PSMC1;PSMC2;TRIP12;PIK3AP1;SIGLEC7
HIV Infection_Homo sapiens_R-HSA-162906	56/222	0.00000000000001338546124328424267040769792371707881431758084544991760367338429205119609832763671875	0.0000000000023233336300843363464101930571054243257651805709684822431881912052631378173828125	0.00000010485709903454858031972567362910542243525924277491867542266845703125	0.0000254802750653953063411823187767168974460219033062458038330078125	-2.3322491269849692	62.476331715662766	FEN1;CCNT1;GTF2B;AP2A1;AP2A2;NUP62;PSMD1;BANF1;B2M;NUP133;NCBP2;GTF2F1;PSMA5;PSMA4;NUP50;PSME1;CHMP3;NUP54;DOCK2;SLC25A5;VPS28;KPNB1;SLC25A6;NUP205;GTF2A2;TSG101;PSMD14;PSMD13;PSMA7;PSMB5;UBB;PSMB3;POLR2B;PSMB1;AP2S1;TCEB1;RPS27A;AP1M1;RNGTT;TAF12;TAF10;NUP153;AP2B1;CDK9;CDK7;PSMC6;PSMC3;ERCC3;PSMC4;PSMC1;PSMC2;CD28;TAF5;TAF4;TAF3;RAN
Signaling by SCF-KIT_Homo sapiens_R-HSA-1433557	67/325	0.0000000000012158480065136122975545773929326851437067447125883745684404857456684112548828125	0.000000000134295938901276258048648340614355557731673940224936814047396183013916015625	0.00000347230908395727704232494419123167261886919732205569744110107421875	0.0003190476416395283845543751066742288458044640719890594482421875	-2.482045797951486	56.41932160722873	RET;GSK3A;IRS1;ITGA2B;ARAF;IL5RA;IRS2;PIK3CB;PPP2R5E;PSMD1;PDGFRB;PDGFRA;CHUK;GAB1;PPP2R5A;FRS2;GAB2;PSMA5;PSMA4;PIK3CA;KIT;IL3RA;PSME1;SOS1;SHC2;CAMK2D;SHC3;PSMD14;PSMD13;MAPKAP1;PIK3R3;CSF2RB;IQGAP1;IL2RG;RASAL3;FOXO3;PSMA7;SOCS1;PSMB5;UBB;PSMB3;ERBB4;CD19;PSMB1;CSK;RPS27A;SH2B3;SPTBN1;SH2B2;BRAP;STAT5B;TRAT1;BRAF;MOV10;FER;TEC;PSMC6;PSMC3;PSMC4;PTPRA;AGO4;FES;PSMC1;PSMC2;IL2RB;CD28;LAT
Host Interactions of HIV factors_Homo sapiens_R-HSA-162909	39/129	0.0000000000002868562081755382652700067359113404483563804225898508093450800515711307525634765625	0.00000000003872558810369766626583479075533376044526701065251472755335271358489990234375	0.000000215885182853102602345616418087759225130639606504701077938079833984375	0.0000437167495277532782587716353450701944893808104097843170166015625	-2.2061014011883264	52.890223362892684	NUP205;CCNT1;PSMD14;PSMD13;AP2A1;AP2A2;PSMA7;PSMB5;UBB;PSMB3;NUP62;PSMB1;AP2S1;PSMD1;BANF1;TCEB1;RPS27A;B2M;AP1M1;NUP133;NUP153;AP2B1;CDK9;PSMA5;PSMC6;PSMA4;PSMC3;PSMC4;PSMC1;NUP50;PSMC2;PSME1;CD28;NUP54;DOCK2;SLC25A5;RAN;KPNB1;SLC25A6
