"Gene","VCPAvgExpr","VCPAdjPValue"
"DCP2",5.688928009,0.409155903
"PRSS23",8.867112212,0.522212085
"UCHL3",8.762781561,0.522212085
"KAT6A",3.893977454,0.522212085
"SERBP1",7.71151462,0.522212085
"NIFK",7.956953607,0.522212085
"TXNDC9",8.439129726,0.522212085
"ANXA11",7.293344647,0.522212085
"GRB2",7.659728099,0.522212085
"RAPGEF2",4.930256297,0.522212085
"ATM",6.404687855,0.522212085
"JMJD1C",7.155262469,0.522212085
"SAMHD1",6.551308209,0.522212085
"TERF1",7.933853193,0.522212085
"GART",6.465410694,0.522212085
"PTPN4",7.785104132,0.522212085
"TRIM55",8.339666413,0.522212085
"WASL",7.529858821,0.522212085
"UBE2Z",7.026698433,0.522212085
"ALDH7A1",6.620937878,0.522212085
"CBX5",6.736136973,0.522212085
"SYNCRIP",7.820407383,0.522212085
"BRWD1",6.857250276,0.522212085
"RUVBL1",6.326844219,0.522212085
"WNK1",5.736315272,0.522212085
"EMC1",6.503492073,0.522212085
"MYC",7.041862591,0.522212085
"MORF4L2",5.513700145,0.522212085
"BRD4",7.811606286,0.522212085
"DDX24",7.248282471,0.522212085
"PAK2",6.79161307,0.522212085
"TCF4",8.677714257,0.522212085
"SON",7.99545913,0.522212085
"HSPH1",8.690213392,0.522212085
"GAB1",7.375700185,0.522212085
"DACH1",3.711678648,0.522212085
"KPNB1",9.638150329,0.522212085
"MED11",7.751912085,0.522212085
"SEPHS1",7.801658492,0.522212085
"TIPRL",8.480854222,0.522212085
"XPO7",5.509135287,0.522212085
"ARHGEF7",6.267105382,0.522212085
"UNG",7.31262454,0.522212085
"KMT2A",5.150901823,0.522212085
"TARS",8.74745559,0.522212085
"MPDZ",7.815102378,0.522212085
"PPIL1",7.674833054,0.522212085
"DYNC1I2",6.893395835,0.522212085
"DNM1L",7.668264245,0.522212085
"SAT1",7.219214127,0.522212085
"GSAP",5.891615917,0.522212085
"CPSF6",6.580627611,0.522212085
"FEZ2",10.43088902,0.522212085
"UPF3A",7.868431779,0.522212085
"AGO3",7.442670133,0.522212085
"DNMT1",6.425500373,0.522212085
"GPNMB",8.467331986,0.522212085
"UTP14A",6.693261674,0.522212085
"PKP4",5.271834348,0.522212085
"TARDBP",8.761657564,0.522212085
"LSM4",8.37895129,0.522212085
"ADAMTS1",7.883876471,0.522212085
"SREBF1",6.911932324,0.522212085
"SSR3",8.655691309,0.522212085
"XPNPEP1",7.081044395,0.522212085
"SART3",6.917649746,0.522212085
"PTBP3",6.925414532,0.522212085
"CCDC90B",8.206174864,0.522212085
"IFRD1",7.889266306,0.522212085
"HIVEP3",3.884631036,0.522212085
"SYNE1",8.641040229,0.522212085
"ACTR2",6.493596718,0.522212085
"ZBTB10",5.135843754,0.522212085
"TNPO1",8.99633842,0.522212085
"MBP",8.242528117,0.522212085
"SREK1",5.395213191,0.522212085
"ZWINT",4.204666774,0.522212085
"TMBIM4",10.1566828,0.522212085
"CYCS",6.836225051,0.522212085
"SEPT2",7.834223427,0.522212085
"HRSP12",8.716048889,0.522212085
"ENAH",8.147397948,0.522212085
"VPS45",8.11748067,0.522212085
"CYB5A",8.000625104,0.523347703
"PAN2",7.06397333,0.523347703
"KDM5A",7.933038172,0.525409251
"APPBP2",6.595975856,0.525409251
"KRR1",8.528617105,0.525409251
"PPP4R2",3.70684645,0.525409251
"GAMT",11.07646236,0.527407966
"CEP57",6.447017311,0.527407966
"TTF2",3.865041404,0.527407966
"PRPF4",6.764656415,0.527824904
"LTV1",7.609304596,0.527824904
"EIF3M",4.465007768,0.527824904
"RUVBL2",8.982609019,0.527824904
"DDX39A",6.84930861,0.527824904
"BCOR",6.39813231,0.527824904
"AHCY",8.137243669,0.527824904
"ELP3",8.350821184,0.527824904
"CD47",5.623100294,0.527824904
"DYNLT1",10.32629538,0.527824904
"NUAK1",8.939000476,0.527824904
"SGCD",10.03860826,0.527824904
"TXNDC17",8.332192529,0.527824904
"MLH1",9.908645515,0.527824904
"SMARCA2",9.3603023,0.527824904
"SLC35F6",5.10490467,0.527824904
"PAICS",8.020764543,0.527824904
"ITGB1BP1",8.323918594,0.527824904
"SRSF7",7.578589275,0.527824904
"EAF1",5.638404209,0.527933363
"UBE2D1",11.70430865,0.527933363
"U2AF1",6.813713461,0.528201476
"CASP3",6.171023312,0.528602828
"RGS2",6.565131631,0.531137408
"GLMN",6.160989966,0.531137408
"TNPO3",7.84291002,0.531137408
"USP28",6.259768001,0.531137408
"C1QBP",9.683432494,0.531137408
"TCF3",6.186701215,0.531137408
"PLGRKT",8.759818642,0.531137408
