Pathway1,Pathway2,vec,overlap
Endometrial.cancer_Homo.sapiens_hsa05213,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.642857143,overlap
ErbB.signaling.pathway_Homo.sapiens_hsa04012,Glioma_Homo.sapiens_hsa05214,0.565217391,overlap
Endometrial.cancer_Homo.sapiens_hsa05213,Colorectal.cancer_Homo.sapiens_hsa05210,0.5625,overlap
ErbB.signaling.pathway_Homo.sapiens_hsa04012,Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,0.541666667,overlap
Glioma_Homo.sapiens_hsa05214,Prostate.cancer_Homo.sapiens_hsa05215,0.52173913,overlap
Glioma_Homo.sapiens_hsa05214,Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,0.5,overlap
Glioma_Homo.sapiens_hsa05214,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.5,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,0.47826087,overlap
Focal.adhesion_Homo.sapiens_hsa04510,Regulation.of.actin.cytoskeleton_Homo.sapiens_hsa04810,0.458333333,overlap
TNF.signaling.pathway_Homo.sapiens_hsa04668,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.458333333,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,Endometrial.cancer_Homo.sapiens_hsa05213,0.45,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.45,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,Prostate.cancer_Homo.sapiens_hsa05215,0.44,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,0.44,overlap
Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,Prolactin.signaling.pathway_Homo.sapiens_hsa04917,0.434782609,overlap
Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,Fc.gamma.R.mediated.phagocytosis_Homo.sapiens_hsa04666,0.434782609,overlap
Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.433333333,overlap
Prostate.cancer_Homo.sapiens_hsa05215,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.428571429,overlap
Nucleotide.excision.repair_Homo.sapiens_hsa03420,DNA.replication_Homo.sapiens_hsa03030,0.428571429,overlap
Prostate.cancer_Homo.sapiens_hsa05215,Endometrial.cancer_Homo.sapiens_hsa05213,0.409090909,overlap
ErbB.signaling.pathway_Homo.sapiens_hsa04012,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.409090909,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,ErbB.signaling.pathway_Homo.sapiens_hsa04012,0.407407407,overlap
T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,0.407407407,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,0.4,overlap
Glioma_Homo.sapiens_hsa05214,Endometrial.cancer_Homo.sapiens_hsa05213,0.4,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.4,overlap
Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.4,overlap
Glioma_Homo.sapiens_hsa05214,Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,0.392857143,overlap
Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,0.392857143,overlap
Glioma_Homo.sapiens_hsa05214,Prolactin.signaling.pathway_Homo.sapiens_hsa04917,0.391304348,overlap
Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,Prostate.cancer_Homo.sapiens_hsa05215,0.384615385,overlap
ErbB.signaling.pathway_Homo.sapiens_hsa04012,Prolactin.signaling.pathway_Homo.sapiens_hsa04917,0.384615385,overlap
Toxoplasmosis_Homo.sapiens_hsa05145,Influenza.A_Homo.sapiens_hsa05164,0.384615385,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,Hepatitis.C_Homo.sapiens_hsa05160,0.384615385,overlap
Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,Hepatitis.C_Homo.sapiens_hsa05160,0.384615385,overlap
Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,Hepatitis.C_Homo.sapiens_hsa05160,0.384615385,overlap
Mismatch.repair_Homo.sapiens_hsa03430,DNA.replication_Homo.sapiens_hsa03030,0.384615385,overlap
Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,Endometrial.cancer_Homo.sapiens_hsa05213,0.380952381,overlap
Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,0.379310345,overlap
FoxO.signaling.pathway_Homo.sapiens_hsa04068,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.375,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,Prostate.cancer_Homo.sapiens_hsa05215,0.37037037,overlap
Prostate.cancer_Homo.sapiens_hsa05215,FoxO.signaling.pathway_Homo.sapiens_hsa04068,0.366666667,overlap
Insulin.signaling.pathway_Homo.sapiens_hsa04910,Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,0.363636364,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,Endometrial.cancer_Homo.sapiens_hsa05213,0.363636364,overlap
Hepatitis.C_Homo.sapiens_hsa05160,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.363636364,overlap
Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.361111111,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,Glioma_Homo.sapiens_hsa05214,0.36,overlap
FoxO.signaling.pathway_Homo.sapiens_hsa04068,Endometrial.cancer_Homo.sapiens_hsa05213,0.36,overlap
Prostate.cancer_Homo.sapiens_hsa05215,Hepatitis.C_Homo.sapiens_hsa05160,0.357142857,overlap
Prolactin.signaling.pathway_Homo.sapiens_hsa04917,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.35483871,overlap
Osteoclast.differentiation_Homo.sapiens_hsa04380,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.35483871,overlap
Prostate.cancer_Homo.sapiens_hsa05215,Pathways.in.cancer_Homo.sapiens_hsa05200,0.352941176,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.352941176,overlap
Longevity.regulating.pathway...multiple.species_Homo.sapiens_hsa04213,Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,0.352941176,overlap
Prolactin.signaling.pathway_Homo.sapiens_hsa04917,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.35,overlap
Endometrial.cancer_Homo.sapiens_hsa05213,Hepatitis.C_Homo.sapiens_hsa05160,0.347826087,overlap
FoxO.signaling.pathway_Homo.sapiens_hsa04068,Longevity.regulating.pathway...multiple.species_Homo.sapiens_hsa04213,0.346153846,overlap
Carbon.metabolism_Homo.sapiens_hsa01200,Biosynthesis.of.amino.acids_Homo.sapiens_hsa01230,0.346153846,overlap
ErbB.signaling.pathway_Homo.sapiens_hsa04012,Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,0.34375,overlap
Focal.adhesion_Homo.sapiens_hsa04510,Glioma_Homo.sapiens_hsa05214,0.342105263,overlap
Toxoplasmosis_Homo.sapiens_hsa05145,Osteoclast.differentiation_Homo.sapiens_hsa04380,0.342105263,overlap
Epstein.Barr.virus.infection_Homo.sapiens_hsa05169,Toxoplasmosis_Homo.sapiens_hsa05145,0.333333333,overlap
Insulin.signaling.pathway_Homo.sapiens_hsa04910,ErbB.signaling.pathway_Homo.sapiens_hsa04012,0.333333333,overlap
Insulin.signaling.pathway_Homo.sapiens_hsa04910,Glioma_Homo.sapiens_hsa05214,0.333333333,overlap
ErbB.signaling.pathway_Homo.sapiens_hsa04012,Proteoglycans.in.cancer_Homo.sapiens_hsa05205,0.333333333,overlap
ErbB.signaling.pathway_Homo.sapiens_hsa04012,Endometrial.cancer_Homo.sapiens_hsa05213,0.333333333,overlap
Prolactin.signaling.pathway_Homo.sapiens_hsa04917,Endometrial.cancer_Homo.sapiens_hsa05213,0.333333333,overlap
T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.333333333,overlap
Osteoclast.differentiation_Homo.sapiens_hsa04380,Hepatitis.C_Homo.sapiens_hsa05160,0.333333333,overlap
Mismatch.repair_Homo.sapiens_hsa03430,Nucleotide.excision.repair_Homo.sapiens_hsa03420,0.333333333,overlap
Colorectal.cancer_Homo.sapiens_hsa05210,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.333333333,overlap
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,ErbB.signaling.pathway_Homo.sapiens_hsa04012,0.324324324,overlap
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,Glioma_Homo.sapiens_hsa05214,0.323529412,overlap
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,Prolactin.signaling.pathway_Homo.sapiens_hsa04917,0.323529412,overlap
T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,0.323529412,overlap
Measles_Homo.sapiens_hsa05162,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.322580645,overlap
FoxO.signaling.pathway_Homo.sapiens_hsa04068,Hepatitis.C_Homo.sapiens_hsa05160,0.322580645,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,ErbB.signaling.pathway_Homo.sapiens_hsa04012,0.321428571,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,Glioma_Homo.sapiens_hsa05214,0.32,overlap
Ras.signaling.pathway_Homo.sapiens_hsa04014,Rap1.signaling.pathway_Homo.sapiens_hsa04015,0.314814815,overlap
ErbB.signaling.pathway_Homo.sapiens_hsa04012,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.314285714,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,Pathways.in.cancer_Homo.sapiens_hsa05200,0.31372549,overlap
Herpes.simplex.infection_Homo.sapiens_hsa05168,Influenza.A_Homo.sapiens_hsa05164,0.3125,overlap
Focal.adhesion_Homo.sapiens_hsa04510,Proteoglycans.in.cancer_Homo.sapiens_hsa05205,0.3125,overlap
Glioma_Homo.sapiens_hsa05214,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.3125,overlap
Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,Hepatitis.C_Homo.sapiens_hsa05160,0.3125,overlap
ErbB.signaling.pathway_Homo.sapiens_hsa04012,Bacterial.invasion.of.epithelial.cells_Homo.sapiens_hsa05100,0.310344828,overlap
Glioma_Homo.sapiens_hsa05214,FoxO.signaling.pathway_Homo.sapiens_hsa04068,0.310344828,overlap
Focal.adhesion_Homo.sapiens_hsa04510,Rap1.signaling.pathway_Homo.sapiens_hsa04015,0.307692308,overlap
Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.307692308,overlap
Focal.adhesion_Homo.sapiens_hsa04510,PI3K.Akt.signaling.pathway_Homo.sapiens_hsa04151,0.306451613,overlap
Influenza.A_Homo.sapiens_hsa05164,Hepatitis.C_Homo.sapiens_hsa05160,0.305555556,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,Colorectal.cancer_Homo.sapiens_hsa05210,0.304347826,overlap
Carbon.metabolism_Homo.sapiens_hsa01200,Pentose.phosphate.pathway_Homo.sapiens_hsa00030,0.304347826,overlap
Ras.signaling.pathway_Homo.sapiens_hsa04014,Focal.adhesion_Homo.sapiens_hsa04510,0.303571429,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,0.303030303,overlap
Osteoclast.differentiation_Homo.sapiens_hsa04380,TNF.signaling.pathway_Homo.sapiens_hsa04668,0.303030303,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.303030303,overlap
Toxoplasmosis_Homo.sapiens_hsa05145,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.303030303,overlap
Measles_Homo.sapiens_hsa05162,Hepatitis.C_Homo.sapiens_hsa05160,0.303030303,overlap
T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,0.3,overlap
ErbB.signaling.pathway_Homo.sapiens_hsa04012,Prostate.cancer_Homo.sapiens_hsa05215,0.3,overlap
Measles_Homo.sapiens_hsa05162,Influenza.A_Homo.sapiens_hsa05164,0.3,overlap
Prolactin.signaling.pathway_Homo.sapiens_hsa04917,Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,0.3,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,FoxO.signaling.pathway_Homo.sapiens_hsa04068,0.3,overlap
Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,FoxO.signaling.pathway_Homo.sapiens_hsa04068,0.3,overlap
Regulation.of.actin.cytoskeleton_Homo.sapiens_hsa04810,Fc.gamma.R.mediated.phagocytosis_Homo.sapiens_hsa04666,0.3,overlap
Prolactin.signaling.pathway_Homo.sapiens_hsa04917,Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,0.3,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,Renal.cell.carcinoma_Homo.sapiens_hsa05211,0.296296296,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,0.296296296,overlap
Bacterial.invasion.of.epithelial.cells_Homo.sapiens_hsa05100,Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,0.296296296,overlap
Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,Endometrial.cancer_Homo.sapiens_hsa05213,0.296296296,overlap
